time,open,high,low,close,tick_volume,spread
1625731200,0.74645,0.74645,0.7454,0.74608,2171,16
1625734800,0.74608,0.74619,0.74355,0.74388,3387,15
1625738400,0.74389,0.74436,0.74247,0.74388,5553,15
1625742000,0.74388,0.74389,0.74252,0.7437,5063,14
1625745600,0.74372,0.74438,0.74279,0.74374,3686,16
1625749200,0.74374,0.74374,0.74176,0.74328,4782,15
1625752800,0.74328,0.74358,0.74221,0.74222,4102,16
1625756400,0.74223,0.7435,0.7416,0.74269,5731,14
1625760000,0.74269,0.74505,0.74269,0.74403,7366,15
1625763600,0.74402,0.74464,0.74218,0.74238,8793,15
1625767200,0.7424,0.74392,0.74231,0.74365,5185,16
1625770800,0.7436,0.74429,0.74358,0.74418,2538,15
1625774400,0.74418,0.74428,0.74347,0.74355,2034,16
1625778000,0.74355,0.74359,0.74235,0.74242,1760,16
1625781600,0.74242,0.74292,0.74199,0.74292,3808,15
1625785200,0.74292,0.74313,0.74216,0.74216,670,15
1625788800,0.74226,0.74316,0.74226,0.74246,164,180
1625792400,0.74246,0.74329,0.74246,0.74287,471,15
1625796000,0.7429,0.74369,0.7426,0.74324,1035,16
1625799600,0.74325,0.74387,0.74221,0.74232,2608,14
1625803200,0.74232,0.74243,0.74093,0.74115,3128,15
1625806800,0.74117,0.74192,0.74101,0.74166,2414,16
1625810400,0.74168,0.7423,0.74148,0.74228,1752,15
1625814000,0.74228,0.74237,0.7415,0.74196,1462,16
1625817600,0.74196,0.74299,0.74196,0.74278,2307,16
1625821200,0.74276,0.74288,0.74168,0.74192,2372,16
1625824800,0.7419,0.74435,0.74171,0.7439,4039,15
1625828400,0.74391,0.74481,0.74367,0.74384,2727,16
1625832000,0.74384,0.74591,0.74362,0.74587,3214,14
1625835600,0.74587,0.74637,0.74563,0.74583,2715,15
1625839200,0.74583,0.74713,0.7458,0.74652,2665,16
1625842800,0.74652,0.74776,0.74652,0.74748,3272,16
1625846400,0.74748,0.74758,0.74658,0.74718,3502,16
