time,open,high,low,close,tick_volume,spread
1684799100,0.66506,0.66519,0.66497,0.66512,266,12
1684800000,0.66482,0.66486,0.66449,0.6648,46,32
1684800900,0.6648,0.66505,0.66454,0.66503,34,28
1684801800,0.66503,0.66531,0.66489,0.6649,112,15
1684802700,0.6649,0.66502,0.66475,0.66484,109,18
1684803600,0.66489,0.66517,0.66489,0.66506,227,12
1684804500,0.66506,0.66519,0.66501,0.66502,105,11
1684805400,0.66502,0.66508,0.66491,0.66496,99,12
1684806300,0.66496,0.66504,0.66488,0.66491,87,11
1684807200,0.66491,0.66499,0.66481,0.66494,294,11
1684808100,0.66494,0.665,0.66481,0.66494,167,11
1684809000,0.66494,0.66501,0.66478,0.66499,180,12
1684809900,0.66498,0.665,0.66477,0.6648,185,11
1684810800,0.66479,0.66612,0.66479,0.66562,669,10
1684811700,0.66562,0.66612,0.66562,0.66581,489,10
1684812600,0.66581,0.66608,0.66565,0.66594,366,11
1684813500,0.66594,0.66609,0.66552,0.66569,359,10
1684814400,0.66568,0.6657,0.66514,0.66541,609,11
1684815300,0.66541,0.6659,0.66498,0.66569,705,10
1684816200,0.6657,0.66602,0.66539,0.66545,926,11
1684817100,0.66544,0.66572,0.66489,0.66492,742,11
1684818000,0.66492,0.66499,0.66403,0.66459,575,10
1684818900,0.66459,0.6651,0.6644,0.66493,496,11
1684819800,0.66493,0.66498,0.66463,0.6649,441,10
1684820700,0.6649,0.66558,0.66484,0.66538,379,11
1684821600,0.66538,0.66538,0.66488,0.66489,382,10
1684822500,0.66489,0.66505,0.66463,0.66475,369,11
1684823400,0.66474,0.66538,0.66469,0.66534,336,10
1684824300,0.66534,0.6657,0.66514,0.66548,393,10
1684825200,0.66544,0.66552,0.66514,0.66539,341,11
1684826100,0.66537,0.66544,0.66513,0.66523,311,10
1684827000,0.66522,0.66558,0.66513,0.66541,257,11
1684827900,0.66541,0.66542,0.66498,0.66509,217,11
1684828800,0.66509,0.66515,0.66466,0.66467,411,11
1684829700,0.66467,0.66488,0.66452,0.66458,346,10
1684830600,0.66458,0.66461,0.66419,0.66423,479,10
1684831500,0.66424,0.66493,0.66423,0.66486,464,11
1684832400,0.66487,0.66546,0.66437,0.66523,682,10
1684833300,0.66523,0.66595,0.66519,0.66569,773,10
1684834200,0.6657,0.6657,0.66509,0.66537,706,10
1684835100,0.66538,0.66544,0.66451,0.66471,816,10
1684836000,0.6647,0.66473,0.6635,0.66359,949,10
1684836900,0.66359,0.66366,0.66283,0.66295,891,10
1684837800,0.66295,0.66348,0.66259,0.66276,981,10
1684838700,0.66276,0.66309,0.66255,0.66274,703,11
1684839600,0.66273,0.6628,0.66203,0.66246,1005,10
1684840500,0.66246,0.66344,0.66244,0.66315,827,10
1684841400,0.66313,0.6633,0.66288,0.66329,601,10
1684842300,0.66328,0.66334,0.66279,0.66288,548,10
1684843200,0.66288,0.66309,0.66263,0.66277,646,10
1684844100,0.66277,0.66284,0.66212,0.66219,680,10
1684845000,0.66219,0.66238,0.66196,0.66204,531,10
1684845900,0.66204,0.66226,0.66183,0.66187,433,10
1684846800,0.66186,0.66186,0.66129,0.66162,487,10
1684847700,0.66162,0.66205,0.66154,0.66204,434,10
1684848600,0.66205,0.66221,0.66184,0.66204,422,11
1684849500,0.66204,0.66222,0.66181,0.66188,423,10
1684850400,0.66188,0.66225,0.66171,0.66218,395,11
1684851300,0.66218,0.66245,0.66194,0.66215,347,10
1684852200,0.66217,0.66229,0.66201,0.66213,342,10
1684853100,0.66214,0.66234,0.66154,0.66155,448,10
1684854000,0.66154,0.66194,0.66145,0.66186,499,11
1684854900,0.66188,0.66198,0.66155,0.66177,538,10
1684855800,0.66177,0.66181,0.66099,0.6615,793,10
1684856700,0.66151,0.66169,0.66105,0.66113,721,10
1684857600,0.66116,0.66179,0.66116,0.66174,852,10
1684858500,0.66174,0.66234,0.66168,0.66208,762,11
1684859400,0.66208,0.66242,0.66145,0.6618,1422,10
1684860300,0.66122,0.66241,0.6611,0.66222,1761,10
1684861200,0.66225,0.66297,0.66212,0.66288,1584,10
1684862100,0.66288,0.66296,0.66229,0.66249,1219,10
1684863000,0.66249,0.66276,0.66168,0.66177,910,11
1684863900,0.66177,0.66225,0.66157,0.66191,890,10
1684864800,0.66191,0.66224,0.66184,0.66194,939,10
1684865700,0.66194,0.66208,0.66144,0.66192,600,10
1684866600,0.66192,0.66238,0.66177,0.66237,504,11
1684867500,0.66237,0.66256,0.66206,0.66206,456,12
1684868400,0.66205,0.66207,0.66154,0.66156,335,10
1684869300,0.66156,0.66157,0.66123,0.66147,480,11
1684870200,0.66147,0.66163,0.66122,0.66138,553,10
1684871100,0.66138,0.6616,0.66126,0.66135,626,10
1684872000,0.66138,0.66174,0.66124,0.66166,651,10
1684872900,0.66166,0.66186,0.66131,0.66136,393,10
1684873800,0.66137,0.66153,0.6612,0.66147,611,11
1684874700,0.66148,0.66151,0.66125,0.66133,330,11
1684875600,0.66134,0.66142,0.66112,0.66128,399,11
1684876500,0.66128,0.66132,0.66072,0.6609,565,12
1684877400,0.66089,0.66116,0.66072,0.66097,537,11
1684878300,0.66098,0.6612,0.66094,0.66106,420,11
1684879200,0.66106,0.6611,0.66074,0.66104,476,11
1684880100,0.66104,0.66104,0.66074,0.66089,431,12
1684881000,0.66089,0.66096,0.66081,0.66084,291,12
1684881900,0.66084,0.66085,0.66068,0.66073,485,11
1684882800,0.66073,0.66091,0.66067,0.66086,216,11
1684883700,0.66086,0.66093,0.66079,0.66093,111,11
1684884600,0.66093,0.66099,0.66087,0.66097,107,11
1684885500,0.66097,0.66097,0.66082,0.66086,124,10
1684886400,0.66084,0.66099,0.66076,0.66091,40,27
1684887300,0.66089,0.6609,0.6607,0.66081,62,32
1684888200,0.66083,0.66095,0.66075,0.66089,63,20
1684889100,0.66089,0.66107,0.66087,0.66095,78,16
1684890000,0.66101,0.66113,0.6609,0.66107,179,10
1684890900,0.66108,0.66114,0.66097,0.66114,81,11
1684891800,0.66114,0.66124,0.66102,0.66119,140,10
1684892700,0.66117,0.66129,0.66115,0.6612,161,12
1684893600,0.6612,0.66129,0.66095,0.66128,202,10
1684894500,0.66125,0.66133,0.66106,0.66108,79,10
1684895400,0.66107,0.66111,0.66091,0.66111,109,10
1684896300,0.66111,0.66131,0.66107,0.6613,214,10
1684897200,0.6613,0.66137,0.66076,0.66102,434,11
1684898100,0.66102,0.66116,0.66091,0.66105,337,11
1684899000,0.66104,0.66117,0.66092,0.66112,329,11
1684899900,0.66112,0.66128,0.66089,0.66108,377,11
1684900800,0.66108,0.66147,0.66067,0.6608,611,11
1684901700,0.6608,0.66094,0.66017,0.66039,732,10
1684902600,0.66038,0.661,0.66013,0.66068,648,10
1684903500,0.66069,0.66123,0.66053,0.66104,545,10
1684904400,0.661,0.661,0.65851,0.65934,1644,10
1684905300,0.65933,0.65966,0.65907,0.65948,853,10
1684906200,0.65948,0.65967,0.65909,0.65964,629,11
1684907100,0.65963,0.66,0.65956,0.65967,572,11
1684908000,0.65967,0.66071,0.65926,0.66071,612,11
1684908900,0.66074,0.66078,0.66021,0.66036,485,10
1684909800,0.66036,0.66052,0.66011,0.66016,379,10
1684910700,0.66016,0.66026,0.65995,0.66009,286,11
1684911600,0.66009,0.6601,0.65955,0.6596,245,10
1684912500,0.65958,0.66023,0.65958,0.66018,308,11
1684913400,0.66018,0.66034,0.65971,0.65977,302,10
1684914300,0.65977,0.65986,0.65957,0.65959,277,11
1684915200,0.65962,0.65999,0.65947,0.65996,512,11
1684916100,0.65995,0.66013,0.65958,0.65963,365,11
1684917000,0.65963,0.65978,0.65944,0.65951,630,10
1684917900,0.65952,0.66005,0.65938,0.65954,620,10
1684918800,0.65954,0.65994,0.65876,0.65891,1084,10
1684919700,0.6589,0.65939,0.65861,0.65912,725,10
1684920600,0.65912,0.6592,0.6579,0.65842,994,10
1684921500,0.65838,0.65859,0.65796,0.65821,745,10
1684922400,0.65819,0.65827,0.65776,0.65793,1048,11
1684923300,0.65793,0.65793,0.65705,0.65708,1034,10
1684924200,0.65707,0.65763,0.65665,0.65739,917,10
1684925100,0.6574,0.6574,0.65674,0.65698,808,10
1684926000,0.65698,0.65786,0.65678,0.65743,1184,10
1684926900,0.65744,0.65782,0.65719,0.6577,851,10
1684927800,0.65766,0.6581,0.65744,0.65769,892,10
1684928700,0.65768,0.65813,0.65744,0.65791,708,10
1684929600,0.65792,0.65835,0.65764,0.65787,631,10
1684930500,0.65787,0.65792,0.65758,0.65777,743,10
1684931400,0.65777,0.65791,0.65734,0.65737,600,10
1684932300,0.65737,0.65766,0.65725,0.65729,591,10
1684933200,0.65729,0.65733,0.65693,0.65696,778,10
1684934100,0.65696,0.65696,0.65626,0.65657,831,10
1684935000,0.65657,0.65666,0.6562,0.65653,551,10
1684935900,0.65652,0.65653,0.65602,0.65612,582,10
1684936800,0.65614,0.65664,0.65609,0.6566,559,10
1684937700,0.6566,0.65712,0.65657,0.65709,481,10
1684938600,0.65709,0.65751,0.65703,0.65722,608,10
1684939500,0.65723,0.65762,0.65698,0.65762,560,12
1684940400,0.65761,0.65779,0.65742,0.65754,754,10
1684941300,0.65754,0.65846,0.65736,0.65759,974,10
1684942200,0.65759,0.65769,0.65709,0.65759,741,11
1684943100,0.6576,0.65764,0.65699,0.65716,813,11
1684944000,0.65716,0.65747,0.65678,0.65736,984,10
1684944900,0.65736,0.65747,0.65684,0.6571,743,10
1684945800,0.65711,0.65714,0.65548,0.65567,1211,10
1684946700,0.65567,0.65573,0.65469,0.65478,1129,10
1684947600,0.65473,0.65487,0.65425,0.65461,1102,10
1684948500,0.65461,0.65477,0.65373,0.65415,1249,10
1684949400,0.65414,0.65459,0.65374,0.65397,1054,10
1684950300,0.65396,0.65404,0.65308,0.65368,941,10
1684951200,0.65366,0.65403,0.65336,0.6535,1023,11
1684952100,0.6535,0.65477,0.65336,0.65433,832,10
1684953000,0.65434,0.65444,0.6538,0.65393,845,10
1684953900,0.65393,0.65407,0.6536,0.65392,768,10
1684954800,0.65392,0.65412,0.65328,0.65335,889,10
1684955700,0.65335,0.65338,0.65291,0.65308,898,10
1684956600,0.6531,0.65373,0.65294,0.65359,642,10
1684957500,0.65359,0.65388,0.65333,0.65367,806,10
1684958400,0.65369,0.65373,0.65316,0.6532,789,10
1684959300,0.6532,0.65395,0.6532,0.65373,664,11
1684960200,0.65373,0.65419,0.65372,0.65392,587,11
1684961100,0.65393,0.65425,0.65393,0.65398,558,12
1684962000,0.654,0.65443,0.65377,0.65431,1035,10
1684962900,0.65429,0.6545,0.65382,0.65407,467,10
1684963800,0.65407,0.65448,0.65398,0.65444,441,10
1684964700,0.65444,0.65449,0.65343,0.65348,481,10
1684965600,0.65349,0.65379,0.65342,0.65375,558,11
1684966500,0.65374,0.65428,0.65374,0.65412,673,11
1684967400,0.65412,0.65447,0.65397,0.65398,410,12
1684968300,0.65398,0.65411,0.65371,0.65382,483,10
1684969200,0.65382,0.65409,0.65382,0.65409,331,11
1684970100,0.6541,0.65436,0.65398,0.65399,349,11
1684971000,0.65398,0.65424,0.65398,0.65421,256,11
1684971900,0.65421,0.65437,0.65408,0.65433,256,10
1684972800,0.65366,0.65444,0.65357,0.65417,44,26
1684973700,0.65417,0.65455,0.65413,0.65427,58,21
1684974600,0.65435,0.65439,0.65395,0.65428,202,17
1684975500,0.65429,0.65463,0.65425,0.65456,202,10
1684976400,0.65459,0.65459,0.65406,0.65409,228,10
1684977300,0.65409,0.65421,0.65392,0.65407,226,12
1684978200,0.65407,0.65448,0.6538,0.65437,486,10
1684979100,0.65437,0.65451,0.65417,0.65438,377,10
1684980000,0.65438,0.65443,0.65408,0.65429,356,10
1684980900,0.65429,0.65439,0.65407,0.65408,216,11
1684981800,0.65408,0.65438,0.65405,0.65433,343,11
1684982700,0.65434,0.65449,0.65427,0.65427,286,11
1684983600,0.65428,0.65435,0.65366,0.65418,735,10
1684984500,0.65418,0.65432,0.65383,0.65384,408,11
1684985400,0.65384,0.65413,0.65365,0.65412,387,10
1684986300,0.65413,0.65429,0.65378,0.65404,508,10
1684987200,0.65404,0.65438,0.6535,0.65377,556,10
1684988100,0.65377,0.65382,0.65268,0.65286,980,10
1684989000,0.65287,0.65339,0.65255,0.65264,1016,10
1684989900,0.65262,0.65333,0.65262,0.65316,730,10
1684990800,0.65316,0.65338,0.65279,0.65317,638,10
1684991700,0.65317,0.65329,0.65269,0.65306,603,10
1684992600,0.65306,0.65355,0.6529,0.65317,380,10
1684993500,0.65317,0.65324,0.65284,0.65289,364,11
1684994400,0.65289,0.65319,0.65267,0.65309,493,10
1684995300,0.65309,0.65312,0.65233,0.65238,659,10
1684996200,0.65239,0.65278,0.65226,0.65269,537,10
1684997100,0.65269,0.65289,0.65252,0.65274,314,10
1684998000,0.65274,0.65284,0.65264,0.65264,204,10
1684998900,0.65264,0.6528,0.65249,0.65258,360,10
1684999800,0.65258,0.65267,0.65225,0.6526,343,10
1685000700,0.6526,0.65262,0.6524,0.65257,259,11
1685001600,0.65256,0.65283,0.65243,0.65243,417,10
1685002500,0.65243,0.65261,0.65224,0.65258,362,11
1685003400,0.65258,0.65267,0.65224,0.65255,555,10
1685004300,0.65255,0.65277,0.65236,0.65263,571,10
1685005200,0.65263,0.65299,0.65216,0.65259,770,10
1685006100,0.65261,0.65354,0.65259,0.65344,695,10
1685007000,0.65343,0.65394,0.65339,0.6539,764,10
1685007900,0.6539,0.6542,0.65325,0.65341,546,10
1685008800,0.6534,0.65344,0.65282,0.65282,1088,10
1685009700,0.65282,0.65353,0.65272,0.65333,915,10
1685010600,0.65333,0.65335,0.65276,0.65284,929,11
1685011500,0.65284,0.65308,0.65266,0.65308,706,10
1685012400,0.65309,0.65348,0.65293,0.65332,827,10
1685013300,0.65332,0.65333,0.65293,0.6531,758,11
1685014200,0.65308,0.65347,0.65273,0.65326,835,11
1685015100,0.65324,0.65326,0.65272,0.65301,774,11
1685016000,0.653,0.65319,0.65227,0.6525,696,10
1685016900,0.6525,0.6531,0.6524,0.65303,595,10
1685017800,0.65303,0.65344,0.65265,0.65277,507,10
1685018700,0.65277,0.65308,0.65272,0.65275,547,10
1685019600,0.65277,0.65315,0.6527,0.65299,465,10
1685020500,0.65301,0.65328,0.653,0.65308,495,10
1685021400,0.65308,0.65323,0.65281,0.65294,453,10
1685022300,0.65294,0.65299,0.65261,0.65262,427,10
1685023200,0.65262,0.65272,0.65192,0.65198,696,10
1685024100,0.65198,0.65268,0.65198,0.65257,521,10
1685025000,0.65257,0.65269,0.65225,0.65247,590,10
1685025900,0.65247,0.65276,0.65224,0.65276,622,10
1685026800,0.65276,0.65349,0.65263,0.65343,956,10
1685027700,0.65346,0.65346,0.65291,0.65311,1020,11
1685028600,0.65297,0.65314,0.65165,0.65188,2058,10
1685029500,0.65187,0.6521,0.65146,0.65175,1388,10
1685030400,0.65171,0.65222,0.65144,0.6518,1174,10
1685031300,0.6518,0.65237,0.65169,0.6517,1207,10
1685032200,0.65173,0.65173,0.65057,0.65067,1270,10
1685033100,0.65068,0.65124,0.65038,0.65047,1345,10
1685034000,0.65047,0.65125,0.65041,0.65047,1335,10
1685034900,0.65046,0.65076,0.65019,0.65024,1016,10
1685035800,0.65024,0.65113,0.65006,0.65091,1155,10
1685036700,0.65091,0.65117,0.6501,0.65091,1175,10
1685037600,0.65091,0.65149,0.65067,0.65113,861,10
1685038500,0.65113,0.65124,0.65057,0.65058,700,10
1685039400,0.65058,0.65062,0.65004,0.65007,722,10
1685040300,0.65008,0.65039,0.65005,0.65037,474,10
1685041200,0.65038,0.65048,0.65011,0.65012,368,10
1685042100,0.65012,0.65028,0.64987,0.65016,696,10
1685043000,0.65016,0.65031,0.64999,0.65,611,10
1685043900,0.65,0.65011,0.64982,0.64985,543,10
1685044800,0.64985,0.6507,0.64981,0.65066,703,10
1685045700,0.65065,0.65108,0.65062,0.65089,661,11
1685046600,0.65088,0.65126,0.65088,0.65108,504,10
1685047500,0.65108,0.65129,0.65101,0.65126,340,11
1685048400,0.65126,0.65161,0.65099,0.65122,734,10
1685049300,0.65122,0.65136,0.65101,0.65104,534,12
1685050200,0.65106,0.6511,0.6502,0.65025,715,10
1685051100,0.65025,0.65061,0.65019,0.65032,660,10
1685052000,0.65031,0.65066,0.65031,0.65047,593,11
1685052900,0.65048,0.6506,0.65024,0.65049,593,10
