time,open,high,low,close,tick_volume,spread
1695636000,26112.5,26114.7,26076.5,26109.5,135,299
1695636900,26109.5,26125.4,26099.1,26106.8,104,299
1695637800,26106.8,26143.1,26075.4,26140.7,139,299
1695638700,26140.7,26164.1,26140.7,26161.2,174,299
1695639600,26161.2,26199.8,26154.3,26154.4,173,299
1695640500,26154.4,26154.4,26107.6,26109.2,128,299
1695641400,26109.2,26109.2,26085.4,26085.4,85,299
1695642300,26085.4,26114.3,26080.0,26108.9,116,299
1695643200,26108.9,26119.7,26094.0,26098.2,120,299
1695644100,26098.2,26111.9,26066.6,26089.6,122,299
1695645000,26089.6,26095.3,26021.8,26029.7,150,299
1695645900,26029.7,26069.9,26029.7,26036.8,120,299
1695646800,26036.8,26062.2,26023.3,26061.0,171,299
1695647700,26061.0,26085.9,26050.3,26081.8,111,299
1695648600,26081.8,26091.0,26065.8,26067.1,94,299
1695649500,26067.1,26080.6,26064.8,26067.7,113,299
1695650400,26067.7,26083.7,26035.9,26036.3,106,299
1695651300,26036.3,26044.1,26017.0,26025.2,121,299
1695652200,26025.2,26053.5,25993.6,26033.6,200,299
1695653100,26033.6,26054.5,26020.2,26045.7,157,299
1695654000,26045.7,26092.8,26024.4,26025.6,199,299
1695654900,26025.6,26070.7,25977.3,26060.4,276,299
1695655800,26060.4,26067.5,26008.4,26055.1,218,299
1695656700,26055.1,26078.8,26045.7,26072.2,184,299
1695657600,26072.2,26113.1,26057.8,26101.5,212,299
1695658500,26101.5,26126.3,26092.2,26126.3,190,299
1695659400,26126.3,26132.8,26087.3,26091.6,258,299
1695660300,26091.6,26165.0,26082.1,26132.5,270,299
1695661200,26132.5,26151.6,26112.1,26126.6,270,299
1695662100,26126.6,26129.6,26089.6,26089.6,228,299
1695663000,26089.6,26121.3,26087.2,26118.1,242,299
1695663900,26118.1,26125.8,26091.5,26106.6,234,299
1695664800,26106.6,26158.1,26106.6,26141.3,233,299
1695665700,26141.3,26259.3,26141.3,26216.8,316,299
1695666600,26216.8,26269.0,26174.0,26234.9,308,299
1695667500,26234.9,26276.1,26201.9,26217.7,316,299
1695668400,26217.7,26341.8,26217.7,26336.8,346,299
1695669300,26336.8,26400.6,26296.2,26351.4,365,299
1695670200,26351.4,26365.7,26319.4,26326.5,306,299
1695671100,26326.5,26368.3,26299.8,26300.1,251,299
1695672000,26300.1,26339.1,26292.8,26325.3,256,299
1695672900,26325.3,26353.7,26200.1,26227.0,272,299
1695673800,26227.0,26281.8,26214.9,26272.5,237,299
1695674700,26272.5,26346.7,26272.5,26339.7,220,299
1695675600,26339.7,26355.6,26311.5,26311.5,251,299
1695676500,26311.5,26344.9,26292.6,26297.1,228,299
1695677400,26297.1,26337.7,26296.0,26329.1,184,299
1695678300,26329.1,26369.0,26307.5,26310.4,211,299
1695679200,26310.4,26323.4,26257.1,26266.0,267,299
1695680100,26266.0,26284.4,26256.7,26264.6,260,299
1695681000,26264.6,26280.9,26246.4,26274.6,265,299
1695681900,26274.6,26332.1,26274.5,26309.9,238,299
1695682800,26309.9,26402.0,26308.8,26386.9,355,299
1695683700,26386.9,26407.6,26328.5,26331.9,290,299
1695684600,26331.9,26339.8,26307.4,26313.8,169,299
1695685500,26313.8,26320.7,26256.2,26261.2,173,299
1695686400,26262.3,26289.6,26252.7,26256.4,217,299
1695687300,26256.4,26287.2,26251.8,26278.6,182,299
1695688200,26278.6,26280.0,26246.0,26249.6,185,299
1695689100,26249.6,26256.8,26238.3,26256.8,165,299
1695690000,26256.8,26258.5,26245.5,26253.7,115,299
1695690900,26253.7,26268.0,26252.4,26258.4,163,299
1695691800,26258.4,26259.1,26248.3,26249.1,173,299
1695692700,26249.1,26268.2,26245.1,26255.4,102,299
1695693600,26255.4,26278.0,26255.4,26272.9,143,299
1695694500,26272.9,26277.4,26268.8,26268.8,173,299
1695695400,26268.8,26269.4,26247.0,26247.0,81,299
1695696300,26247.0,26291.7,26242.2,26276.1,190,299
1695697200,26276.1,26280.6,26256.2,26256.2,205,299
1695698100,26256.2,26271.1,26243.5,26255.9,168,299
1695699000,26255.9,26255.9,26225.1,26241.8,178,299
1695699900,26241.8,26265.4,26236.9,26237.5,162,299
1695700800,26237.5,26269.3,26225.6,26268.6,176,299
1695701700,26268.6,26274.7,26230.5,26240.7,188,299
1695702600,26240.7,26240.7,26206.1,26215.6,227,299
1695703500,26215.6,26274.6,26214.9,26274.6,184,299
1695704400,26274.6,26289.9,26265.1,26279.6,227,299
1695705300,26279.6,26288.9,26255.5,26288.9,167,299
1695706200,26288.9,26296.9,26267.0,26291.5,202,299
1695707100,26291.5,26338.1,26282.0,26332.5,237,299
1695708000,26332.5,26353.7,26319.7,26324.6,230,299
1695708900,26324.6,26354.1,26321.6,26351.6,179,299
1695709800,26351.6,26372.0,26347.1,26358.9,153,299
1695710700,26358.9,26358.9,26328.7,26328.8,172,299
1695711600,26328.8,26341.6,26315.9,26337.7,137,299
1695712500,26337.7,26337.7,26310.3,26310.3,109,299
1695713400,26310.3,26319.0,26302.9,26313.2,149,299
1695714300,26313.2,26321.4,26308.8,26318.5,108,299
1695715200,26318.7,26325.6,26318.0,26325.0,63,299
1695716100,26325.0,26327.3,26307.7,26310.8,108,299
1695717000,26310.8,26314.7,26298.5,26312.3,124,299
1695717900,26312.6,26312.6,26281.9,26296.8,149,299
1695718800,26296.8,26317.7,26282.8,26284.6,137,299
1695719700,26284.6,26290.5,26265.4,26268.3,197,299
1695720600,26268.3,26274.7,26246.6,26264.7,180,299
1695721500,26264.7,26269.2,26244.8,26268.1,160,299
1695722400,26268.1,26268.1,26246.7,26250.7,122,299
1695723300,26250.7,26267.4,26246.4,26251.0,116,299
1695724200,26251.0,26253.4,26230.5,26234.7,176,299
1695725100,26234.7,26256.1,26225.0,26244.1,159,299
1695726000,26244.1,26259.6,26237.4,26246.2,131,299
1695726900,26246.2,26251.1,26231.1,26237.4,117,299
