time,open,high,low,close,tick_volume,spread
1689778800,0.06899,0.069049,0.068576,0.068859,1362,5390
1689782400,0.068869,0.06925,0.068459,0.068829,2023,5290
1689786000,0.068829,0.068909,0.068064,0.068289,2782,5250
1689789600,0.068279,0.071988,0.068064,0.071076,4101,5120
1689793200,0.071036,0.071036,0.069209,0.069778,5060,5010
1689796800,0.069778,0.070168,0.069329,0.069499,2920,5010
1689800400,0.069499,0.070058,0.069449,0.070058,2414,5010
1689804000,0.070056,0.070798,0.069868,0.070558,2155,5020
1689807600,0.070558,0.070578,0.069669,0.069748,2242,5020
1689811200,0.069748,0.070094,0.069284,0.070048,1797,5430
1689814800,0.07004,0.070078,0.069592,0.070022,1585,5020
1689818400,0.070016,0.070198,0.06964,0.069758,1507,5080
1689822000,0.069754,0.070198,0.069449,0.069934,2317,5440
1689825600,0.069936,0.070288,0.069906,0.070268,1033,5120
1689829200,0.070258,0.070678,0.070178,0.070208,1326,5140
1689832800,0.070208,0.070328,0.069892,0.070008,1396,5400
1689836400,0.070008,0.070216,0.069688,0.06981,1202,5500
1689840000,0.069808,0.070692,0.069758,0.070572,1838,5200
1689843600,0.07057,0.070624,0.069966,0.07016,1398,5480
1689847200,0.070172,0.07055,0.070016,0.070422,1361,5200
1689850800,0.070422,0.071078,0.070392,0.070832,2739,5020
1689854400,0.070838,0.073058,0.070428,0.071808,5478,5020
1689858000,0.071808,0.073577,0.071738,0.072078,5652,5010
1689861600,0.072078,0.072608,0.071758,0.071998,2858,5020
1689865200,0.071988,0.072228,0.071388,0.071518,2425,5020
1689868800,0.071518,0.072558,0.071478,0.072428,2517,5020
1689872400,0.072428,0.072498,0.069519,0.070278,5699,5020
1689876000,0.070278,0.070798,0.070008,0.070288,2822,5140
1689879600,0.070288,0.070552,0.069598,0.069838,3252,5740
1689883200,0.06984,0.070158,0.069709,0.069978,1526,5360
1689886800,0.069978,0.070028,0.069119,0.069399,1774,5330
1689890400,0.069389,0.069768,0.069339,0.069649,1062,5270
1689894000,0.069669,0.069719,0.068979,0.069619,1542,5450
1689897600,0.069619,0.070338,0.069579,0.070298,1026,5580
1689901200,0.070288,0.070288,0.070008,0.070208,641,5560
1689904800,0.070208,0.070348,0.070048,0.070328,556,5640
1689908400,0.070338,0.070728,0.06996,0.070308,2015,5120
1689912000,0.070318,0.070718,0.070108,0.070618,1395,5640
1689915600,0.070608,0.072028,0.070498,0.071678,2531,5500
1689919200,0.071668,0.072058,0.071418,0.071418,1755,5440
1689922800,0.071418,0.072288,0.071118,0.071798,2075,5100
1689926400,0.071778,0.072528,0.071438,0.072158,2799,5280
1689930000,0.072148,0.072268,0.071572,0.071828,2124,5520
1689933600,0.071828,0.071938,0.070748,0.071018,2448,5600
1689937200,0.071018,0.071548,0.070888,0.071278,1414,5420
1689940800,0.071278,0.072058,0.071128,0.071508,1895,5220
1689944400,0.071508,0.071938,0.071458,0.071738,1523,5300
1689948000,0.071748,0.072138,0.071618,0.071758,1252,5560
1689951600,0.071758,0.073907,0.071758,0.073607,3314,5000
1689955200,0.073597,0.076486,0.073507,0.074457,8604,5010
1689958800,0.074477,0.074517,0.072988,0.073497,4851,5010
1689962400,0.073497,0.073787,0.073067,0.073597,2684,5010
1689966000,0.073617,0.073667,0.072528,0.072638,2398,5000
