time,open,high,low,close,tick_volume,spread
1625731200,2242.65,2251.98,2212.11,2213.34,6797,0
1625734800,2213.45,2240.67,2205.47,2211.77,8479,0
1625738400,2211.77,2223.29,2165.16,2182.24,9922,0
1625742000,2182.24,2188.28,2161.74,2184.62,10402,0
1625745600,2184.62,2191.71,2166.83,2170.16,8032,0
1625749200,2170.16,2181.5,2161.84,2161.89,7586,0
1625752800,2161.89,2168.21,2127.97,2166.45,10432,0
1625756400,2166.45,2177.09,2147.29,2160.0,10101,0
1625760000,2160.0,2160.9,2130.48,2136.16,9345,0
1625763600,2136.26,2156.04,2133.68,2155.96,8944,0
1625767200,2155.96,2176.58,2150.37,2175.02,7777,0
1625770800,2175.02,2178.13,2146.88,2164.15,7506,0
1625774400,2164.15,2170.95,2154.09,2159.44,7272,0
1625778000,2159.44,2163.41,2141.08,2154.6,6030,0
1625781600,2154.6,2166.86,2135.74,2157.29,7418,0
1625785200,2153.02,2161.02,2135.57,2137.76,6963,0
1625788800,2137.71,2143.34,2102.11,2105.45,6111,0
1625792400,2105.45,2115.28,2084.75,2104.42,8826,0
1625796000,2104.34,2125.08,2104.32,2115.92,7594,0
1625799600,2115.92,2120.1,2066.34,2070.26,9512,0
1625803200,2070.26,2079.08,2048.17,2076.38,9139,0
1625806800,2076.38,2118.72,2069.81,2113.35,8755,0
1625810400,2113.35,2132.64,2107.28,2121.56,7659,0
1625814000,2121.56,2151.46,2117.02,2141.58,7963,0
1625817600,2141.58,2159.59,2136.08,2136.66,8040,0
1625821200,2136.66,2137.84,2113.52,2121.49,7923,0
1625824800,2121.49,2125.16,2106.48,2125.16,7480,0
1625828400,2125.16,2125.86,2084.78,2093.67,8408,0
1625832000,2093.67,2121.01,2090.99,2100.84,7908,0
1625835600,2100.84,2107.0,2090.18,2095.39,6646,0
1625839200,2095.39,2095.39,2072.14,2081.04,8299,0
1625842800,2075.71,2110.66,2065.12,2110.66,10113,0
1625846400,2110.66,2148.36,2107.17,2143.01,9864,0
1625850000,2143.01,2187.31,2135.08,2182.26,9458,0
1625853600,2182.32,2183.34,2165.86,2171.48,7795,0
1625857200,2171.48,2180.26,2156.16,2162.56,8436,0
1625860800,2162.56,2162.85,2137.71,2145.62,6601,0
1625864400,2145.65,2147.44,2128.14,2130.47,6842,0
1625868000,2130.47,2142.05,2119.86,2133.27,7083,0
1625871600,2133.27,2136.3,2123.14,2134.05,6265,0
1625875200,2134.35,2163.54,2126.47,2145.99,6993,1000
1625878800,2145.18,2166.52,2144.58,2163.0,8365,1000
1625882400,2162.98,2166.1,2143.35,2145.85,7641,1000
1625886000,2145.95,2191.24,2139.91,2176.48,10442,1000
1625889600,2176.45,2176.45,2146.72,2147.04,8518,1000
1625893200,2146.99,2149.39,2130.38,2134.82,8234,1000
1625896800,2134.97,2144.15,2123.55,2132.99,7247,1000
1625900400,2132.97,2140.62,2103.04,2105.94,8221,1000
1625904000,2105.89,2121.52,2094.72,2115.3,9659,1000
1625907600,2115.25,2135.95,2107.57,2132.36,8101,1000
1625911200,2132.33,2132.33,2106.62,2121.74,7308,1000
1625914800,2121.74,2138.32,2113.19,2121.34,7486,1000
1625918400,2121.4,2130.77,2114.14,2117.54,6742,1000
1625922000,2117.54,2123.8,2085.41,2089.98,8230,1000
1625925600,2089.96,2123.36,2085.24,2109.8,4108,1000
1625929200,2109.6,2118.76,2103.6,2117.18,7168,1000
1625932800,2117.22,2121.34,2092.0,2099.07,7411,1000
1625936400,2099.07,2114.33,2094.98,2111.38,7210,1000
1625940000,2111.38,2126.29,2106.64,2118.88,6799,1000
1625943600,2118.78,2158.91,2115.4,2134.61,8914,1000
1625947200,2134.41,2134.53,2074.47,2086.21,10638,1000
1625950800,2086.17,2096.86,2080.02,2096.86,7151,1000
1625954400,2097.01,2110.44,2089.71,2093.29,6853,1000
1625958000,2093.36,2097.84,2077.63,2094.76,7991,1000
1625961600,2092.64,2107.43,2087.6,2105.16,5018,1000
1625965200,2105.16,2119.56,2104.92,2115.49,7129,1000
1625968800,2115.55,2129.11,2108.44,2110.72,6689,1000
1625972400,2108.32,2138.36,2108.16,2118.98,8145,1000
1625976000,2118.54,2125.65,2108.34,2116.54,6478,1000
1625979600,2116.62,2119.92,2095.98,2097.34,5518,1000
1625983200,2097.16,2102.26,2084.72,2091.37,6823,1000
1625986800,2091.42,2098.04,2081.48,2094.13,7471,1000
1625990400,2094.22,2103.3,2089.45,2099.87,5950,1000
1625994000,2099.87,2108.04,2088.16,2091.56,6644,1000
1625997600,2091.62,2103.8,2087.48,2099.32,6051,1000
1626001200,2099.32,2120.62,2090.56,2112.41,7222,1000
1626004800,2112.32,2129.04,2107.62,2119.32,7154,1000
1626008400,2119.4,2135.15,2112.54,2121.12,6972,1000
1626012000,2121.28,2130.28,2116.3,2129.24,6401,1000
1626015600,2129.24,2137.76,2120.06,2123.68,6893,1000
1626019200,2123.79,2135.13,2113.16,2135.05,6596,1000
1626022800,2135.05,2148.92,2127.18,2146.67,7462,1000
1626026400,2146.82,2150.75,2133.77,2144.27,6803,1000
1626030000,2144.18,2154.34,2127.78,2147.68,8411,1000
1626033600,2147.72,2149.5,2139.8,2141.64,5750,1000
1626037200,2141.64,2144.18,2134.4,2142.16,5377,1000
1626040800,2142.16,2143.96,2130.18,2134.3,4668,1000
1626044400,2133.68,2140.86,2128.53,2129.41,4632,270
1626048000,2129.41,2173.88,2125.47,2165.21,5578,0
1626051600,2165.21,2171.65,2147.8,2149.24,6975,270
1626055200,2149.24,2149.58,2133.79,2140.46,6474,270
1626058800,2140.46,2142.33,2126.31,2131.54,6966,0
1626062400,2131.54,2138.91,2127.06,2136.51,5817,270
1626066000,2136.51,2157.3,2133.64,2154.34,5691,0
1626069600,2154.34,2168.47,2153.03,2164.55,6137,40
1626073200,2164.55,2167.59,2146.58,2148.54,7040,270
