time,open,high,low,close,tick_volume,spread
1714158000,3115.4,3122.8,3103.2,3109.3,1602,1450
1714158900,3109.27,3121.81,3108.47,3118.5,1150,1660
1714159800,3118.77,3121.9,3113.07,3114.2,918,1380
1714160700,3114.34,3127.5,3113.47,3120.12,793,1300
1714161600,3120.14,3128.15,3116.84,3127.4,777,1510
1714162500,3127.33,3133.08,3122.3,3130.84,919,1260
1714163400,3130.91,3135.7,3126.57,3134.71,956,1220
1714164300,3134.81,3143.66,3134.81,3143.33,868,1240
1714165200,3143.44,3152.13,3139.83,3151.5,740,1300
1714166100,3151.5,3151.7,3141.5,3146.9,703,1480
1714167000,3146.94,3153.3,3145.68,3150.84,565,1340
1714167900,3150.74,3152.99,3146.13,3150.75,549,1300
1714168800,3150.65,3151.6,3144.51,3145.26,459,1310
1714169700,3145.15,3146.75,3140.11,3143.58,518,1420
1714170600,3143.48,3143.48,3134.56,3135.75,565,1350
1714171500,3135.66,3143.28,3131.4,3131.9,595,1230
1714172400,3131.9,3143.82,3131.9,3141.7,654,1230
1714173300,3141.78,3148.96,3139.4,3140.97,516,1390
1714174200,3140.97,3144.66,3140.12,3142.69,311,1250
1714175100,3142.79,3143.12,3138.92,3142.38,284,1590
1714176000,3141.59,3147.66,3141.03,3141.03,274,1930
1714176900,3140.93,3142.38,3138.36,3138.92,183,2400
1714177800,3138.86,3146.4,3138.4,3144.94,162,2590
1714178700,3144.93,3151.55,3142.92,3149.32,228,2250
1714179600,3149.32,3150.46,3143.56,3144.65,308,2280
1714180500,3144.65,3145.57,3123.44,3127.91,700,1240
1714181400,3127.83,3134.17,3120.88,3120.88,871,1980
1714182300,3120.88,3130.49,3118.68,3130.02,677,2180
1714183200,3130.02,3134.63,3128.13,3128.32,582,2080
1714184100,3128.0,3131.4,3124.69,3131.14,435,2340
1714185000,3131.0,3131.04,3126.47,3127.98,407,2540
1714185900,3127.98,3131.16,3126.32,3129.42,331,2200
1714186800,3129.42,3136.69,3128.7,3135.82,527,1470
1714187700,3135.97,3136.98,3112.55,3114.54,753,1300
1714188600,3114.43,3115.2,3083.79,3088.33,1549,1230
1714189500,3088.31,3107.8,3087.26,3106.97,1503,1220
1714190400,3107.22,3112.72,3095.6,3104.99,1685,1470
1714191300,3104.82,3108.9,3066.79,3082.04,2685,1210
1714192200,3081.75,3098.48,3081.3,3094.37,1809,1580
1714193100,3094.2,3097.38,3086.55,3092.03,1279,1610
1714194000,3092.0,3108.66,3087.65,3106.48,1318,1570
1714194900,3106.62,3124.18,3104.74,3124.07,935,1520
1714195800,3124.49,3129.85,3114.24,3118.75,1053,1420
1714196700,3118.64,3122.11,3113.3,3118.47,670,1610
1714197600,3118.6,3123.31,3112.94,3120.2,655,1690
1714198500,3120.09,3122.45,3116.12,3119.67,494,1690
1714199400,3119.54,3122.45,3117.48,3121.21,422,1920
