time,open,high,low,close,tick_volume,spread
1625443200,1.18613,1.18665,1.18592,1.18632,118,50
1625446800,1.1865,1.18663,1.18572,1.18576,516,5
1625450400,1.18577,1.18609,1.18546,1.18547,982,4
1625454000,1.18547,1.18602,1.18524,1.18563,1405,4
1625457600,1.18563,1.18616,1.18528,1.18592,1795,5
1625461200,1.18592,1.18592,1.18508,1.18523,1279,5
1625464800,1.18523,1.18571,1.18517,1.18518,766,5
1625468400,1.18518,1.18564,1.18502,1.18558,680,5
1625472000,1.18556,1.18585,1.18517,1.18521,1000,5
1625475600,1.18521,1.18654,1.18507,1.18622,2838,4
1625479200,1.18622,1.18722,1.18512,1.18708,3501,4
1625482800,1.18709,1.18722,1.18639,1.18695,2052,4
1625486400,1.18695,1.18794,1.18685,1.18754,2099,4
1625490000,1.18755,1.1879,1.18684,1.18763,1751,4
1625493600,1.18763,1.18799,1.18674,1.18717,1594,4
1625497200,1.18715,1.18717,1.18593,1.18623,2056,4
1625500800,1.18623,1.18652,1.18594,1.18642,1892,4
1625504400,1.18641,1.18644,1.18545,1.18609,1868,4
1625508000,1.18609,1.18666,1.18602,1.18653,1601,4
1625511600,1.18653,1.18684,1.18634,1.18666,1080,4
1625515200,1.18665,1.18687,1.18642,1.18661,850,5
1625518800,1.1866,1.18691,1.18652,1.18669,465,5
1625522400,1.1867,1.1868,1.18612,1.1863,962,12
1625526000,1.18631,1.18638,1.18584,1.18587,324,14
1625529600,1.18589,1.18623,1.18589,1.1861,119,47
1625533200,1.1861,1.18684,1.1859,1.18633,640,4
1625536800,1.18633,1.18649,1.18603,1.18616,892,5
1625540400,1.18616,1.18655,1.1859,1.18598,1747,4
1625544000,1.18597,1.1866,1.18573,1.18645,2119,5
1625547600,1.18645,1.18711,1.18645,1.18708,1539,5
1625551200,1.18707,1.18746,1.18694,1.18727,1610,5
1625554800,1.18727,1.1875,1.18693,1.18733,1808,5
1625558400,1.18734,1.18822,1.1873,1.18818,1487,4
1625562000,1.1882,1.18945,1.18796,1.189,3344,4
1625565600,1.18898,1.1892,1.18697,1.18714,3178,4
1625569200,1.18712,1.18734,1.18413,1.18439,5019,4
1625572800,1.18439,1.18499,1.18299,1.18387,3393,4
1625576400,1.18388,1.18453,1.1836,1.18386,2341,4
1625580000,1.18386,1.18454,1.18358,1.1839,2382,4
1625583600,1.1839,1.18454,1.18321,1.1835,3975,4
1625587200,1.1835,1.18364,1.18213,1.18316,6104,4
1625590800,1.1833,1.18415,1.18192,1.18279,9040,4
1625594400,1.18279,1.18295,1.18119,1.18153,5771,4
1625598000,1.18153,1.18183,1.18055,1.18131,4556,4
1625601600,1.18131,1.18223,1.18118,1.18218,2433,5
1625605200,1.18216,1.18256,1.18204,1.18222,1544,5
1625608800,1.18222,1.18266,1.18198,1.18209,1636,4
1625612400,1.18209,1.18238,1.18187,1.18187,570,5
1625616000,1.18202,1.18225,1.18164,1.18198,236,45
1625619600,1.18198,1.18218,1.18169,1.18187,339,6
1625623200,1.18185,1.18237,1.18181,1.1821,743,5
1625626800,1.1821,1.18223,1.18142,1.18195,2398,5
1625630400,1.18195,1.18224,1.18163,1.18217,2495,5
1625634000,1.18217,1.18237,1.1818,1.18184,1357,4
1625637600,1.18184,1.18236,1.18174,1.18235,928,5
1625641200,1.18235,1.18256,1.18174,1.18222,1290,5
1625644800,1.18222,1.18334,1.18209,1.18294,1634,4
1625648400,1.18291,1.18296,1.18206,1.18257,2928,5
1625652000,1.18257,1.18287,1.18107,1.18243,3827,4
1625655600,1.18243,1.1831,1.18138,1.18228,3076,4
1625659200,1.18228,1.18293,1.18163,1.18276,2377,4
1625662800,1.18276,1.1829,1.18175,1.1819,2320,4
1625666400,1.1819,1.18248,1.18139,1.18215,2270,4
1625670000,1.18214,1.18352,1.18114,1.18148,4290,4
1625673600,1.18148,1.18173,1.17988,1.18036,4915,4
