time,open,high,low,close,tick_volume,spread
1659074400,1.01958,1.02057,1.01916,1.02043,686,8
1659075300,1.02044,1.0208,1.02004,1.02008,728,8
1659076200,1.02008,1.02038,1.01992,1.02005,579,8
1659077100,1.02005,1.02247,1.02003,1.02127,1049,8
1659078000,1.02126,1.02199,1.02124,1.02195,825,8
1659078900,1.02195,1.02213,1.02139,1.02162,580,8
1659079800,1.02158,1.02165,1.02116,1.02132,438,8
1659080700,1.02132,1.02142,1.02081,1.02092,473,8
1659081600,1.02093,1.02154,1.02093,1.02112,617,8
1659082500,1.02116,1.02201,1.02112,1.02116,868,8
1659083400,1.02116,1.02196,1.02116,1.02191,964,8
1659084300,1.02191,1.02194,1.021,1.021,899,8
1659085200,1.021,1.02258,1.021,1.02241,1730,8
1659086100,1.02241,1.02507,1.02236,1.02496,1782,8
1659087000,1.02496,1.02543,1.02361,1.02367,1896,8
1659087900,1.02368,1.0244,1.02322,1.02421,1496,8
1659088800,1.02423,1.02526,1.02327,1.02377,1894,8
1659089700,1.02376,1.02445,1.02245,1.02347,1827,8
1659090600,1.02349,1.02432,1.02222,1.02222,1700,8
1659091500,1.02225,1.02395,1.02221,1.0236,1311,8
1659092400,1.0236,1.02368,1.02169,1.02195,1422,8
1659093300,1.02195,1.02245,1.02086,1.02117,1536,8
1659094200,1.02117,1.02204,1.02028,1.02143,1347,8
1659095100,1.0214,1.02232,1.02121,1.02209,1213,8
1659096000,1.0221,1.02304,1.02109,1.0212,1537,8
1659096900,1.0212,1.02122,1.0191,1.01989,1216,8
1659097800,1.01989,1.02078,1.01934,1.01967,945,8
1659098700,1.01967,1.02052,1.01856,1.02029,1230,8
1659099600,1.02029,1.02168,1.01973,1.02162,1171,8
1659100500,1.02162,1.02189,1.02086,1.02137,916,8
1659101400,1.02137,1.02343,1.02134,1.02336,1056,8
1659102300,1.02335,1.02457,1.02314,1.02409,1150,8
1659103200,1.0241,1.0241,1.02185,1.02187,1252,8
1659104100,1.02188,1.02251,1.02155,1.0221,897,8
1659105000,1.0221,1.02268,1.02187,1.02223,1043,8
1659105900,1.02223,1.02248,1.02056,1.02091,1159,8
1659106800,1.02091,1.02107,1.01958,1.01982,1481,8
1659107700,1.01982,1.01996,1.0186,1.0198,1394,8
1659108600,1.01985,1.01986,1.01742,1.01826,3260,7
1659109500,1.01827,1.01903,1.01764,1.01773,1800,8
1659110400,1.01773,1.01773,1.01534,1.01546,1925,8
1659111300,1.01546,1.01628,1.01459,1.01595,1614,8
1659112200,1.01593,1.01614,1.01474,1.01612,1989,8
1659113100,1.01612,1.01669,1.01498,1.01664,1772,8
1659114000,1.01652,1.01727,1.01521,1.01594,2751,7
1659114900,1.01594,1.01697,1.01525,1.01695,2288,8
1659115800,1.01695,1.01792,1.01632,1.01754,2106,8
1659116700,1.01754,1.01978,1.01721,1.01952,3089,8
1659117600,1.01955,1.02095,1.01926,1.02033,3086,8
1659118500,1.02032,1.02129,1.01993,1.02018,1555,8
1659119400,1.02019,1.02079,1.01924,1.02075,1336,8
1659120300,1.02075,1.02113,1.01979,1.02015,1111,8
1659121200,1.02015,1.02107,1.01975,1.02017,1289,8
1659122100,1.02018,1.02035,1.01865,1.01879,1052,8
1659123000,1.0188,1.01888,1.01771,1.01849,768,8
1659123900,1.01849,1.01972,1.01841,1.01968,592,8
1659124800,1.01967,1.01999,1.01936,1.01974,588,8
1659125700,1.01974,1.02015,1.01959,1.01961,466,8
1659126600,1.01961,1.02087,1.01942,1.02085,611,8
1659127500,1.02085,1.02142,1.02042,1.02099,707,8
1659128400,1.02099,1.02136,1.02075,1.02085,554,8
1659129300,1.02085,1.02106,1.02068,1.02088,293,8
1659130200,1.02093,1.02112,1.02067,1.0211,296,8
1659131100,1.0211,1.02205,1.02085,1.022,746,8
1659132000,1.02199,1.02228,1.02165,1.02167,781,8
1659132900,1.02167,1.02184,1.02129,1.02137,320,8
1659133800,1.02137,1.02167,1.02128,1.02136,428,8
1659134700,1.02136,1.02222,1.02125,1.02217,677,8
1659135600,1.02216,1.02244,1.02169,1.02242,564,8
1659136500,1.02242,1.02269,1.02232,1.02261,234,8
1659137400,1.02261,1.02266,1.02245,1.02264,132,8
1659138300,1.02264,1.02269,1.02244,1.02254,191,8
1659312000,1.02108,1.02166,1.02094,1.02162,95,99
1659312900,1.02161,1.02193,1.02133,1.02161,139,80
1659313800,1.0216,1.0219,1.02157,1.02176,138,83
1659314700,1.02176,1.02195,1.02121,1.02142,219,98
1659315600,1.02142,1.02234,1.02122,1.02148,772,8
1659316500,1.02148,1.02157,1.02077,1.02152,494,8
1659317400,1.02152,1.0218,1.02135,1.02162,468,8
1659318300,1.02162,1.02179,1.02124,1.0215,367,8
1659319200,1.0215,1.02167,1.02127,1.0216,343,8
1659320100,1.02162,1.02162,1.02081,1.02092,246,8
1659321000,1.02092,1.02116,1.02057,1.02071,308,8
1659321900,1.02071,1.02102,1.02055,1.02102,352,8
1659322800,1.02103,1.02174,1.02077,1.0216,1005,8
1659323700,1.02161,1.0226,1.02161,1.02236,1206,8
1659324600,1.02237,1.0224,1.02166,1.02217,1114,8
1659325500,1.02217,1.02235,1.0215,1.02202,1132,8
1659326400,1.02203,1.02329,1.02155,1.02323,1524,8
1659327300,1.02323,1.02348,1.02293,1.02328,1530,8
1659328200,1.02326,1.02403,1.02307,1.02365,1154,8
1659329100,1.02365,1.0239,1.02305,1.02326,1081,8
1659330000,1.02329,1.02376,1.02317,1.02355,750,8
1659330900,1.02357,1.02392,1.02337,1.02389,795,8
1659331800,1.02389,1.02413,1.0237,1.02397,714,8
1659332700,1.024,1.02407,1.0237,1.02397,567,8
1659333600,1.02398,1.02403,1.02295,1.02305,724,8
1659334500,1.02305,1.02306,1.0225,1.02278,626,8
1659335400,1.02278,1.02291,1.02249,1.02289,313,8
1659336300,1.02289,1.02289,1.02237,1.02257,355,8
1659337200,1.02257,1.02258,1.02207,1.02224,402,8
1659338100,1.02224,1.02293,1.02224,1.02277,403,8
1659339000,1.02277,1.02314,1.02271,1.02286,531,8
1659339900,1.02286,1.02292,1.0222,1.02238,496,8
1659340800,1.02239,1.02256,1.02215,1.02224,352,8
1659341700,1.02225,1.02247,1.02223,1.02238,505,8
1659342600,1.02237,1.02245,1.02189,1.02205,594,8
1659343500,1.02205,1.02243,1.02134,1.0216,720,8
1659344400,1.02159,1.02229,1.02151,1.02204,996,8
1659345300,1.02204,1.02231,1.02134,1.02179,848,8
1659346200,1.02178,1.0227,1.02158,1.02265,956,8
1659347100,1.02265,1.02408,1.02265,1.02334,1355,8
1659348000,1.02333,1.02369,1.02277,1.02328,1509,8
1659348900,1.02333,1.02404,1.02269,1.0228,1312,8
1659349800,1.0228,1.02405,1.02247,1.02377,1738,8
1659350700,1.02379,1.02397,1.02266,1.02299,1447,8
1659351600,1.023,1.02463,1.0227,1.02445,1581,8
1659352500,1.02448,1.02448,1.02336,1.02395,1192,8
1659353400,1.02397,1.02675,1.02397,1.02595,1842,8
1659354300,1.02592,1.02612,1.02487,1.02557,1310,8
1659355200,1.02558,1.02648,1.02515,1.02549,1401,8
1659356100,1.0255,1.02608,1.02519,1.02562,1080,8
1659357000,1.0256,1.02701,1.0256,1.02667,1203,8
1659357900,1.02667,1.02698,1.02558,1.0264,1264,8
1659358800,1.02641,1.02674,1.02566,1.02573,1057,8
1659359700,1.02573,1.02611,1.02533,1.02571,892,8
1659360600,1.02572,1.02624,1.02463,1.02469,875,8
1659361500,1.02469,1.02574,1.02461,1.02517,1112,8
1659362400,1.02517,1.02543,1.02457,1.02471,1137,8
1659363300,1.02471,1.02472,1.02345,1.02427,1181,8
1659364200,1.02427,1.02467,1.02385,1.02386,924,8
1659365100,1.02386,1.02418,1.02289,1.0233,1341,8
1659366000,1.02331,1.0236,1.0225,1.02327,1070,8
1659366900,1.02328,1.02409,1.02307,1.02318,1251,8
1659367800,1.02318,1.02385,1.02278,1.02367,1046,8
1659368700,1.02362,1.02408,1.02269,1.0236,1357,8
1659369600,1.0236,1.02609,1.02267,1.02574,1871,8
1659370500,1.02574,1.02626,1.0247,1.02497,1574,8
1659371400,1.02497,1.02517,1.02399,1.02497,1699,8
