time,open,high,low,close,tick_volume,spread
1625443200,153.492,153.554,153.492,153.532,81,244
1625446800,153.538,153.723,153.492,153.723,1198,30
1625450400,153.723,153.739,153.694,153.714,2695,27
1625454000,153.714,153.718,153.554,153.622,1972,27
1625457600,153.622,153.666,153.543,153.568,1937,28
1625461200,153.568,153.618,153.556,153.563,1609,33
1625464800,153.564,153.633,153.544,153.579,936,34
1625468400,153.579,153.649,153.569,153.636,888,35
1625472000,153.636,153.643,153.55,153.595,894,31
1625475600,153.595,153.727,153.57,153.63,2788,33
1625479200,153.63,153.68,153.532,153.578,3438,32
1625482800,153.578,153.665,153.506,153.598,2757,32
1625486400,153.596,153.628,153.534,153.558,2070,33
1625490000,153.557,153.611,153.457,153.595,1673,35
1625493600,153.594,153.649,153.517,153.576,1832,31
1625497200,153.575,153.662,153.559,153.578,2092,33
1625500800,153.581,153.648,153.544,153.623,1641,26
1625504400,153.625,153.625,153.538,153.546,1414,29
1625508000,153.546,153.662,153.521,153.632,1374,26
1625511600,153.631,153.704,153.61,153.654,1243,27
1625515200,153.658,153.677,153.462,153.555,1280,27
1625518800,153.594,153.626,153.497,153.522,2336,77
1625522400,153.501,153.65,153.501,153.563,980,116
1625526000,153.584,153.632,153.521,153.572,406,125
1625529600,153.471,153.667,153.471,153.665,158,244
1625533200,153.665,153.7,153.543,153.698,1518,27
1625536800,153.696,153.721,153.648,153.652,746,35
1625540400,153.651,153.664,153.541,153.626,1867,29
1625544000,153.625,153.746,153.56,153.729,2134,27
1625547600,153.729,153.875,153.708,153.862,1817,30
1625551200,153.862,153.965,153.849,153.893,1187,28
1625554800,153.894,153.922,153.812,153.84,1829,31
1625558400,153.839,153.928,153.82,153.928,1517,33
1625562000,153.928,154.069,153.882,154.06,3509,30
1625565600,154.06,154.06,153.636,153.65,4711,30
1625569200,153.65,153.663,153.456,153.503,4209,26
1625572800,153.502,153.538,153.316,153.4,3843,29
1625576400,153.4,153.451,153.274,153.289,2909,26
1625580000,153.286,153.386,153.207,153.306,3123,26
1625583600,153.306,153.522,153.276,153.463,4896,26
1625587200,153.463,153.483,153.124,153.193,5738,26
1625590800,153.188,153.207,152.56,152.678,7628,26
1625594400,152.676,152.738,152.407,152.623,5987,27
1625598000,152.625,152.633,152.35,152.434,5076,27
1625601600,152.434,152.685,152.427,152.667,3487,30
1625605200,152.667,152.734,152.642,152.644,1582,28
1625608800,152.647,152.716,152.64,152.657,1643,36
1625612400,152.662,152.71,152.538,152.54,917,38
1625616000,152.544,152.716,152.506,152.626,944,244
1625619600,152.624,152.711,152.549,152.678,1037,33
1625623200,152.678,152.72,152.603,152.668,912,31
1625626800,152.668,152.668,152.329,152.336,3836,27
1625630400,152.338,152.498,152.33,152.442,2811,26
1625634000,152.442,152.52,152.381,152.493,1833,29
1625637600,152.493,152.642,152.454,152.63,1370,27
1625641200,152.63,152.725,152.423,152.54,1865,27
