time,open,high,low,close,tick_volume,spread
1691561700,182.674,182.692,182.603,182.66,647,20
1691562600,182.664,182.683,182.629,182.65,436,17
1691563500,182.65,182.669,182.624,182.638,383,19
1691564400,182.638,182.657,182.576,182.592,557,18
1691565300,182.591,182.642,182.59,182.631,390,18
1691566200,182.631,182.699,182.623,182.669,326,22
1691567100,182.669,182.685,182.62,182.679,420,18
1691568000,182.68,182.747,182.64,182.711,627,20
1691568900,182.711,182.721,182.658,182.69,582,22
1691569800,182.69,182.716,182.657,182.695,505,18
1691570700,182.695,182.724,182.529,182.529,665,19
1691571600,182.534,182.74,182.515,182.71,879,12
1691572500,182.71,182.838,182.68,182.815,689,12
1691573400,182.815,182.815,182.67,182.684,1234,17
1691574300,182.684,182.773,182.653,182.74,1251,12
1691575200,182.74,182.923,182.737,182.787,1438,12
1691576100,182.786,182.864,182.75,182.801,1145,16
1691577000,182.808,182.832,182.755,182.803,988,14
1691577900,182.8,182.932,182.759,182.926,811,15
1691578800,182.925,182.998,182.766,182.767,1094,12
1691579700,182.767,182.828,182.665,182.76,965,14
1691580600,182.76,182.76,182.685,182.717,875,16
1691581500,182.717,182.785,182.712,182.739,771,12
1691582400,182.741,182.855,182.727,182.785,1180,16
1691583300,182.783,182.827,182.682,182.714,1420,18
1691584200,182.711,182.713,182.55,182.58,990,17
1691585100,182.582,182.582,182.419,182.427,921,12
1691586000,182.426,182.478,182.368,182.406,774,12
1691586900,182.406,182.61,182.404,182.571,711,12
1691587800,182.57,182.623,182.543,182.556,704,15
1691588700,182.556,182.589,182.503,182.589,644,16
1691589600,182.592,182.661,182.555,182.571,937,16
1691590500,182.571,182.616,182.521,182.546,831,15
1691591400,182.546,182.693,182.546,182.623,723,15
1691592300,182.625,182.706,182.577,182.656,884,14
1691593200,182.659,182.662,182.48,182.514,1054,15
1691594100,182.515,182.566,182.362,182.562,1223,13
1691595000,182.563,182.695,182.53,182.625,1371,17
1691595900,182.626,182.649,182.493,182.527,1491,15
1691596800,182.53,182.707,182.53,182.569,823,17
1691597700,182.565,182.731,182.563,182.651,753,15
1691598600,182.651,182.681,182.519,182.571,1588,14
1691599500,182.569,182.654,182.507,182.637,1309,15
1691600400,182.637,182.749,182.617,182.68,1843,12
1691601300,182.679,182.809,182.663,182.761,1846,12
1691602200,182.76,182.874,182.724,182.814,2176,14
1691603100,182.815,183.01,182.794,182.97,2015,13
1691604000,182.965,182.981,182.779,182.791,1553,17
1691604900,182.791,182.813,182.571,182.574,1143,16
1691605800,182.574,182.697,182.554,182.602,873,12
1691606700,182.602,182.625,182.492,182.552,779,16
1691607600,182.552,182.619,182.49,182.557,810,16
1691608500,182.553,182.599,182.492,182.586,673,14
1691609400,182.583,182.706,182.581,182.675,1005,18
1691610300,182.676,182.782,182.643,182.749,805,17
1691611200,182.749,182.775,182.701,182.769,915,17
1691612100,182.769,182.82,182.768,182.787,627,18
1691613000,182.787,182.859,182.778,182.827,837,12
1691613900,182.825,182.85,182.794,182.802,681,16
1691614800,182.802,182.842,182.743,182.832,527,16
1691615700,182.831,182.864,182.79,182.821,859,15
1691616600,182.819,182.895,182.819,182.846,549,14
1691617500,182.846,182.894,182.805,182.817,748,18
1691618400,182.817,182.873,182.78,182.872,745,21
1691619300,182.872,182.929,182.865,182.907,377,23
1691620200,182.909,182.916,182.868,182.898,508,22
1691621100,182.898,182.904,182.773,182.797,918,20
1691622000,182.797,182.807,182.757,182.799,471,18
1691622900,182.799,182.799,182.762,182.78,644,26
1691623800,182.78,182.784,182.728,182.75,274,15
1691624700,182.749,182.819,182.744,182.778,500,15
1691625600,182.675,182.746,182.636,182.717,107,86
1691626500,182.717,182.729,182.679,182.715,99,71
1691627400,182.715,182.766,182.715,182.748,149,77
1691628300,182.732,182.772,182.683,182.712,298,65
1691629200,182.712,182.732,182.689,182.707,420,34
1691630100,182.711,182.713,182.677,182.708,456,30
1691631000,182.708,182.764,182.69,182.737,484,22
1691631900,182.736,182.743,182.69,182.693,315,23
1691632800,182.697,182.744,182.679,182.708,303,25
1691633700,182.708,182.724,182.673,182.701,146,26
1691634600,182.701,182.818,182.701,182.816,306,23
1691635500,182.816,182.834,182.767,182.793,447,21
1691636400,182.79,182.863,182.753,182.835,877,20
1691637300,182.833,182.889,182.794,182.826,752,18
1691638200,182.826,182.86,182.76,182.832,1070,17
1691639100,182.831,182.918,182.76,182.817,1228,16
1691640000,182.819,182.834,182.69,182.788,790,21
1691640900,182.788,182.866,182.761,182.861,494,21
1691641800,182.863,182.903,182.831,182.869,1018,18
1691642700,182.869,182.926,182.819,182.819,974,19
1691643600,182.819,182.933,182.802,182.924,720,21
1691644500,182.924,182.941,182.796,182.813,767,19
1691645400,182.814,182.892,182.807,182.876,726,17
1691646300,182.876,182.946,182.856,182.906,684,12
1691647200,182.905,182.956,182.889,182.928,584,18
1691648100,182.929,182.956,182.889,182.918,538,16
1691649000,182.916,182.924,182.875,182.893,647,19
1691649900,182.893,182.919,182.882,182.908,524,19
1691650800,182.908,183.072,182.898,183.049,770,15
1691651700,183.05,183.121,182.997,183.024,590,18
1691652600,183.028,183.074,183.007,183.05,478,21
1691653500,183.052,183.174,183.027,183.091,960,12
1691654400,183.091,183.193,183.075,183.188,671,16
1691655300,183.188,183.188,183.08,183.142,781,17
1691656200,183.139,183.224,183.106,183.194,555,19
1691657100,183.189,183.241,183.148,183.188,711,16
1691658000,183.184,183.436,183.144,183.364,1149,12
1691658900,183.365,183.377,183.256,183.284,1129,12
1691659800,183.284,183.301,183.17,183.191,816,19
1691660700,183.191,183.301,183.159,183.277,801,16
1691661600,183.277,183.382,183.151,183.374,1469,15
1691662500,183.375,183.518,183.348,183.441,1269,12
1691663400,183.44,183.491,183.357,183.374,1088,18
1691664300,183.375,183.436,183.251,183.274,1289,17
1691665200,183.274,183.512,183.217,183.456,1287,12
1691666100,183.455,183.636,183.399,183.61,1349,16
1691667000,183.61,183.64,183.406,183.431,1340,16
1691667900,183.431,183.5,183.413,183.438,1069,21
1691668800,183.438,183.537,183.421,183.489,921,14
1691669700,183.493,183.535,183.434,183.464,680,17
1691670600,183.461,183.558,183.449,183.529,621,17
1691671500,183.529,183.603,183.502,183.539,665,12
1691672400,183.543,183.585,183.451,183.585,693,15
1691673300,183.583,183.625,183.485,183.516,651,15
1691674200,183.516,183.675,183.481,183.651,658,14
1691675100,183.651,183.67,183.577,183.663,519,13
1691676000,183.661,183.743,183.578,183.624,883,15
1691676900,183.624,183.653,183.561,183.579,553,15
1691677800,183.581,183.651,183.543,183.593,738,12
1691678700,183.592,183.643,183.476,183.511,769,17
1691679600,183.511,183.569,183.485,183.532,775,14
1691680500,183.532,183.59,183.384,183.466,1097,13
1691681400,183.447,183.85,183.251,183.668,3637,12
1691682300,183.664,183.836,183.607,183.816,2566,14
1691683200,183.818,183.962,183.702,183.782,2522,14
1691684100,183.783,183.978,183.752,183.822,2018,15
1691685000,183.824,184.114,183.787,184.113,2298,12
1691685900,184.115,184.154,183.969,184.071,1864,13
1691686800,184.071,184.166,183.999,184.158,2145,16
1691687700,184.159,184.236,184.026,184.101,1777,12
1691688600,184.102,184.171,183.923,183.961,2098,14
1691689500,183.959,183.97,183.803,183.875,2263,15
1691690400,183.863,183.895,183.737,183.765,1806,13
1691691300,183.765,183.942,183.73,183.829,1545,12
1691692200,183.829,183.918,183.753,183.781,1137,12
1691693100,183.781,183.8,183.622,183.732,1272,12
1691694000,183.731,183.742,183.623,183.634,1179,15
1691694900,183.635,183.662,183.526,183.579,814,15
1691695800,183.58,183.697,183.577,183.69,928,12
1691696700,183.683,183.778,183.626,183.672,619,15
1691697600,183.673,183.675,183.564,183.649,932,15
1691698500,183.65,183.696,183.495,183.542,1042,16
1691699400,183.533,183.533,183.291,183.402,1452,15
1691700300,183.402,183.509,183.297,183.357,1538,16
1691701200,183.358,183.534,183.329,183.507,1290,14
1691702100,183.508,183.569,183.448,183.56,1343,12
1691703000,183.56,183.578,183.477,183.515,880,17
1691703900,183.515,183.695,183.491,183.685,781,16
1691704800,183.686,183.686,183.6,183.619,738,20
1691705700,183.619,183.62,183.537,183.57,830,20
1691706600,183.572,183.577,183.508,183.51,693,21
1691707500,183.51,183.543,183.479,183.523,856,21
1691708400,183.525,183.538,183.479,183.49,560,18
1691709300,183.488,183.531,183.47,183.483,499,15
1691710200,183.483,183.49,183.428,183.436,401,20
1691711100,183.435,183.488,183.415,183.415,893,20
1691712000,183.379,183.561,183.312,183.428,75,162
1691712900,183.426,183.461,183.342,183.414,169,105
1691713800,183.414,183.436,183.393,183.403,308,81
1691714700,183.403,183.423,183.37,183.393,273,114
1691715600,183.393,183.494,183.384,183.49,501,33
1691716500,183.491,183.537,183.48,183.507,668,22
1691717400,183.508,183.551,183.48,183.522,402,21
1691718300,183.522,183.565,183.499,183.518,396,23
1691719200,183.517,183.524,183.436,183.503,411,25
1691720100,183.503,183.56,183.484,183.507,317,24
1691721000,183.51,183.547,183.493,183.497,270,20
1691721900,183.497,183.556,183.495,183.519,302,20
1691722800,183.519,183.552,183.497,183.541,554,21
1691723700,183.541,183.632,183.511,183.62,461,17
1691724600,183.62,183.636,183.549,183.57,435,20
1691725500,183.57,183.639,183.542,183.634,462,21
1691726400,183.646,183.659,183.582,183.633,743,24
1691727300,183.632,183.671,183.595,183.597,805,22
1691728200,183.597,183.626,183.513,183.535,969,19
1691729100,183.537,183.592,183.505,183.589,784,20
1691730000,183.589,183.624,183.536,183.588,690,12
1691730900,183.588,183.621,183.538,183.566,579,16
1691731800,183.566,183.598,183.535,183.581,733,19
1691732700,183.583,183.596,183.507,183.523,775,19
1691733600,183.523,183.567,183.507,183.536,851,23
1691734500,183.536,183.574,183.515,183.545,628,24
1691735400,183.545,183.578,183.504,183.511,460,19
1691736300,183.508,183.54,183.5,183.519,279,19
1691737200,183.518,183.525,183.467,183.469,301,21
1691738100,183.469,183.51,183.454,183.471,363,20
1691739000,183.471,183.497,183.437,183.49,652,21
1691739900,183.493,183.519,183.456,183.482,510,20
1691740800,183.48,183.522,183.45,183.508,636,20
1691741700,183.509,183.594,183.498,183.552,519,23
1691742600,183.553,183.563,183.493,183.512,662,19
1691743500,183.512,183.63,183.497,183.588,675,22
1691744400,183.59,184.015,183.582,183.968,1449,16
1691745300,183.968,184.111,183.926,183.939,1113,12
1691746200,183.935,184.066,183.918,183.94,821,13
1691747100,183.94,183.96,183.864,183.895,920,14
1691748000,183.892,183.989,183.799,183.826,1272,13
1691748900,183.825,183.903,183.781,183.805,1087,15
1691749800,183.802,183.832,183.743,183.744,831,19
1691750700,183.744,183.793,183.689,183.74,935,16
1691751600,183.739,183.784,183.662,183.782,971,13
1691752500,183.779,183.847,183.681,183.828,930,16
1691753400,183.829,183.83,183.627,183.744,1041,16
1691754300,183.743,183.753,183.672,183.705,1176,18
1691755200,183.705,183.805,183.705,183.772,791,15
1691756100,183.771,183.771,183.64,183.692,697,16
1691757000,183.692,183.772,183.649,183.687,877,16
1691757900,183.685,183.69,183.546,183.586,1000,14
1691758800,183.586,183.718,183.557,183.66,771,15
1691759700,183.66,183.809,183.651,183.781,667,17
1691760600,183.783,183.829,183.713,183.732,606,15
1691761500,183.732,183.846,183.707,183.827,821,12
1691762400,183.827,183.946,183.825,183.894,733,15
1691763300,183.887,183.957,183.876,183.943,810,17
1691764200,183.946,184.012,183.937,183.982,984,19
1691765100,183.982,184.023,183.942,183.961,1082,18
1691766000,183.958,183.999,183.895,183.933,1187,17
1691766900,183.932,183.97,183.866,183.949,1209,12
1691767800,183.943,184.045,183.648,183.751,2562,12
1691768700,183.751,183.758,183.646,183.679,1806,17
1691769600,183.676,183.847,183.622,183.822,1683,12
1691770500,183.821,183.822,183.722,183.742,1748,17
1691771400,183.744,183.876,183.662,183.787,1864,16
1691772300,183.788,183.994,183.747,183.959,1884,12
1691773200,183.96,184.02,183.678,183.986,2434,12
1691774100,183.987,184.098,183.937,184.082,1979,15
1691775000,184.086,184.238,184.049,184.135,1785,16
1691775900,184.135,184.159,183.953,183.978,1702,13
1691776800,183.978,184.088,183.903,183.978,1478,16
1691777700,183.976,184.0,183.92,183.959,1303,17
1691778600,183.959,184.043,183.903,183.917,821,16
1691779500,183.917,183.975,183.854,183.971,906,15
1691780400,183.963,184.053,183.952,183.983,1073,15
1691781300,183.984,184.012,183.896,183.983,977,17
1691782200,183.983,184.023,183.901,183.944,592,17
1691783100,183.946,183.955,183.882,183.921,547,14
1691784000,183.918,183.946,183.888,183.93,460,16
1691784900,183.93,184.038,183.928,184.019,795,18
1691785800,184.019,184.06,183.952,183.971,735,17
1691786700,183.971,183.982,183.856,183.971,664,19
1691787600,183.973,184.039,183.95,184.0,558,17
1691788500,183.999,184.06,183.975,184.025,514,18
1691789400,184.025,184.059,183.965,183.982,590,17
1691790300,183.98,184.066,183.977,184.055,724,18
1691791200,184.055,184.061,183.99,184.007,931,21
1691792100,184.007,184.035,183.956,184.015,962,18
1691793000,184.016,184.052,183.988,184.019,1410,18
1691793900,184.017,184.065,183.99,184.065,1270,22
1691794800,184.065,184.078,184.045,184.051,694,24
1691795700,184.051,184.075,184.038,184.062,509,27
1691796600,184.059,184.076,184.046,184.057,473,26
1691797500,184.061,184.071,183.919,183.923,375,21
1691971200,183.942,184.015,183.805,183.976,97,112
1691972100,183.976,184.145,183.968,184.121,78,129
1691973000,184.112,184.135,184.007,184.007,228,92
1691973900,184.042,184.079,184.006,184.035,297,88
1691974800,184.021,184.127,184.008,184.03,865,37
1691975700,184.029,184.036,183.935,183.944,1002,35
1691976600,183.944,183.985,183.902,183.902,378,36
1691977500,183.898,183.906,183.851,183.868,488,36
1691978400,183.87,183.899,183.854,183.885,390,30
1691979300,183.885,183.889,183.835,183.849,351,27
1691980200,183.852,183.901,183.852,183.887,204,28
1691981100,183.884,183.893,183.826,183.868,436,17
1691982000,183.868,183.951,183.795,183.919,1170,23
1691982900,183.925,184.184,183.852,184.088,1445,19
1691983800,184.086,184.158,183.988,183.999,1499,22
1691984700,183.999,184.007,183.835,183.872,1269,18
1691985600,183.872,183.89,183.466,183.725,1289,20
1691986500,183.725,183.812,183.661,183.779,1053,22
1691987400,183.775,183.786,183.669,183.775,1253,24
1691988300,183.775,183.812,183.7,183.781,1328,17
1691989200,183.781,183.795,183.659,183.661,1289,17
1691990100,183.661,183.671,183.571,183.576,854,20
1691991000,183.576,183.638,183.554,183.618,643,20
1691991900,183.618,183.669,183.58,183.636,529,20
1691992800,183.638,183.692,183.587,183.621,718,16
1691993700,183.619,183.647,183.579,183.628,667,20
1691994600,183.627,183.65,183.563,183.565,608,21
1691995500,183.565,183.622,183.541,183.6,630,22
1691996400,183.6,183.619,183.552,183.605,528,21
1691997300,183.605,183.617,183.57,183.588,460,18
1691998200,183.588,183.633,183.581,183.604,490,23
1691999100,183.604,183.639,183.592,183.606,673,23
1692000000,183.607,183.699,183.606,183.691,817,23
1692000900,183.691,183.806,183.69,183.731,974,21
1692001800,183.735,183.788,183.72,183.74,885,23
1692002700,183.74,183.769,183.637,183.651,786,21
1692003600,183.657,183.658,183.452,183.587,1140,17
1692004500,183.587,183.664,183.58,183.624,822,13
1692005400,183.626,183.675,183.575,183.623,919,17
1692006300,183.621,183.713,183.593,183.631,643,16
1692007200,183.634,183.793,183.566,183.673,1419,12
1692008100,183.673,183.851,183.659,183.783,1123,16
1692009000,183.783,183.836,183.722,183.729,1093,16
1692009900,183.729,183.821,183.624,183.786,1230,12
1692010800,183.784,183.845,183.736,183.789,1350,16
1692011700,183.79,183.881,183.758,183.855,1270,18
1692012600,183.854,184.032,183.826,184.032,874,16
1692013500,184.032,184.103,183.958,184.036,1197,15
1692014400,184.036,184.094,183.968,184.08,1086,16
1692015300,184.075,184.098,183.991,184.054,1011,14
1692016200,184.054,184.124,183.983,183.998,1286,12
1692017100,183.998,184.041,183.947,184.017,1074,15
1692018000,184.018,184.197,184.006,184.171,841,15
1692018900,184.171,184.226,184.137,184.165,671,17
1692019800,184.165,184.264,184.159,184.246,618,16
1692020700,184.246,184.318,184.164,184.175,766,14
1692021600,184.173,184.205,184.096,184.156,880,17
1692022500,184.156,184.222,184.14,184.196,765,15
1692023400,184.196,184.241,184.088,184.135,776,15
1692024300,184.135,184.21,184.11,184.129,663,14
1692025200,184.125,184.194,184.002,184.03,1362,14
1692026100,184.03,184.12,184.013,184.078,1885,17
1692027000,184.084,184.096,183.881,183.901,1368,12
1692027900,183.901,184.016,183.841,183.957,1326,13
1692028800,183.952,184.014,183.907,183.953,1476,15
1692029700,183.954,183.961,183.755,183.826,1293,15
1692030600,183.827,183.835,183.648,183.713,1824,16
1692031500,183.713,183.807,183.624,183.773,1694,13
1692032400,183.774,183.932,183.764,183.854,1893,13
1692033300,183.854,184.011,183.823,183.931,1571,16
1692034200,183.931,184.065,183.865,184.011,1702,14
1692035100,184.005,184.136,183.965,184.128,1811,14
1692036000,184.13,184.208,184.095,184.194,1096,15
1692036900,184.197,184.434,184.176,184.374,1368,17
1692037800,184.374,184.415,184.306,184.352,887,16
1692038700,184.352,184.445,184.352,184.37,736,15
1692039600,184.37,184.482,184.353,184.385,952,13
1692040500,184.386,184.396,184.274,184.338,675,15
1692041400,184.338,184.466,184.328,184.431,543,15
1692042300,184.431,184.495,184.429,184.461,647,16
1692043200,184.461,184.492,184.417,184.418,615,16
1692044100,184.416,184.436,184.397,184.413,394,18
1692045000,184.413,184.47,184.409,184.426,685,12
1692045900,184.427,184.5,184.372,184.494,733,13
1692046800,184.495,184.52,184.474,184.498,687,14
1692047700,184.498,184.524,184.471,184.519,385,17
1692048600,184.519,184.533,184.454,184.468,515,17
1692049500,184.468,184.475,184.367,184.407,881,18
1692050400,184.408,184.427,184.372,184.422,787,19
1692051300,184.422,184.482,184.421,184.451,570,23
1692052200,184.451,184.498,184.43,184.482,669,21
1692053100,184.482,184.5,184.427,184.433,979,18
1692054000,184.431,184.501,184.422,184.496,587,23
1692054900,184.496,184.51,184.444,184.505,383,19
1692055800,184.506,184.562,184.487,184.536,200,17
1692056700,184.538,184.718,184.527,184.527,811,22
1692057600,184.527,184.642,184.324,184.574,136,53
1692058500,184.574,184.653,184.543,184.571,164,68
1692059400,184.571,184.604,184.557,184.586,155,63
1692060300,184.586,184.626,184.56,184.597,231,58
1692061200,184.595,184.661,184.527,184.533,590,31
1692062100,184.532,184.559,184.521,184.535,467,28
1692063000,184.537,184.57,184.507,184.561,163,28
1692063900,184.561,184.597,184.555,184.579,301,15
1692064800,184.583,184.593,184.528,184.54,254,20
1692065700,184.54,184.551,184.496,184.521,179,21
1692066600,184.52,184.546,184.49,184.5,263,19
1692067500,184.498,184.509,184.37,184.484,501,21
1692068400,184.481,184.649,184.475,184.563,857,15
1692069300,184.563,184.613,184.535,184.574,657,20
1692070200,184.574,184.58,184.504,184.552,517,20
1692071100,184.552,184.561,184.449,184.456,975,20
1692072000,184.456,184.505,184.389,184.428,821,13
1692072900,184.428,184.534,184.364,184.515,1011,16
1692073800,184.515,184.515,184.338,184.402,1399,13
1692074700,184.402,184.492,184.4,184.48,1090,18
1692075600,184.482,184.501,184.399,184.446,916,17
1692076500,184.448,184.55,184.431,184.503,1161,12
1692077400,184.501,184.643,184.501,184.626,1282,17
1692078300,184.623,184.628,184.529,184.574,870,13
1692079200,184.574,184.614,184.558,184.59,1008,16
1692080100,184.589,184.647,184.573,184.61,709,20
1692081000,184.61,184.632,184.574,184.585,460,20
1692081900,184.585,184.634,184.584,184.603,472,21
1692082800,184.602,184.645,184.587,184.596,1010,18
1692083700,184.596,184.631,184.57,184.617,478,18
1692084600,184.617,184.621,184.553,184.567,718,20
1692085500,184.567,184.637,184.554,184.58,603,18
1692086400,184.579,184.581,184.467,184.542,588,19
1692087300,184.542,184.593,184.368,184.553,1061,17
1692088200,184.553,184.56,184.47,184.52,651,19
1692089100,184.52,184.591,184.484,184.484,930,17
1692090000,184.542,185.006,184.433,184.876,2041,12
1692090900,184.877,184.946,184.757,184.896,1528,14
1692091800,184.9,185.206,184.897,185.174,1319,15
1692092700,185.172,185.249,185.124,185.226,1058,14
1692093600,185.228,185.259,185.054,185.129,1379,14
1692094500,185.129,185.228,184.909,184.924,1250,12
1692095400,184.923,185.085,184.853,185.066,1589,16
1692096300,185.066,185.214,185.036,185.041,1192,16
1692097200,185.039,185.091,184.955,185.036,1430,16
1692098100,185.04,185.072,184.884,184.922,1207,12
1692099000,184.922,185.058,184.858,185.0,1163,16
1692099900,184.997,185.142,184.963,185.135,973,14
1692100800,185.135,185.153,184.983,184.991,1193,17
1692101700,184.991,185.096,184.963,185.02,1236,16
