time,open,high,low,close,tick_volume,spread
1625731200,1.37851,1.37939,1.37767,1.3793,2686,5
1625734800,1.3793,1.3793,1.3765,1.37733,3715,5
1625738400,1.37735,1.37812,1.3759299999999999,1.3777599999999999,6865,5
1625742000,1.3777599999999999,1.37882,1.3766,1.3785,6806,6
1625745600,1.37857,1.37934,1.37761,1.37796,4214,7
1625749200,1.37791,1.37796,1.37513,1.37735,5603,4
1625752800,1.37735,1.37775,1.37596,1.37599,4583,6
1625756400,1.376,1.3771,1.37412,1.37603,4974,4
1625760000,1.37603,1.37886,1.37538,1.3787099999999999,6363,5
1625763600,1.3787099999999999,1.37964,1.3758,1.37592,8251,4
1625767200,1.37591,1.37737,1.3753600000000001,1.3765399999999999,5398,4
1625770800,1.37655,1.3774,1.3761,1.37718,2561,7
1625774400,1.37717,1.37781,1.37714,1.3777,2906,7
1625778000,1.37771,1.37796,1.37613,1.37741,1784,4
1625781600,1.37741,1.37848,1.37736,1.3784399999999999,4040,6
1625785200,1.37843,1.37917,1.37751,1.37785,1350,5
1625788800,1.37791,1.37858,1.37782,1.37836,56,61
1625792400,1.37836,1.37923,1.37736,1.37848,364,5
1625796000,1.37851,1.37933,1.37836,1.3789,802,8
1625799600,1.3789799999999999,1.37939,1.37811,1.3787,2121,4
1625803200,1.3787,1.37879,1.3767800000000001,1.3773900000000001,3558,7
1625806800,1.3774,1.37755,1.37664,1.37713,3158,5
1625810400,1.37713,1.37793,1.37702,1.37793,2324,8
1625814000,1.37793,1.3780299999999999,1.37714,1.37741,2897,5
1625817600,1.3774,1.37839,1.37723,1.37781,3429,6
1625821200,1.37788,1.37798,1.37594,1.37621,3553,6
1625824800,1.3761999999999999,1.3787099999999999,1.37548,1.37777,5947,5
1625828400,1.3778000000000001,1.37918,1.37759,1.37769,4724,6
1625832000,1.37767,1.37977,1.37701,1.37967,4138,4
1625835600,1.3796599999999999,1.38128,1.37938,1.381,3385,5
1625839200,1.38103,1.38243,1.38063,1.38172,3594,5
1625842800,1.3817300000000001,1.38414,1.3817,1.384,4191,5
1625846400,1.384,1.38606,1.38364,1.38535,3955,4
1625850000,1.38535,1.38772,1.3829500000000001,1.38334,5699,4
1625853600,1.38336,1.38422,1.3823400000000001,1.38406,4642,5
1625857200,1.38406,1.38592,1.38405,1.38587,1870,5
1625860800,1.38587,1.38828,1.38577,1.3881000000000001,2738,5
1625864400,1.38809,1.38907,1.38781,1.38899,2114,4
1625868000,1.38898,1.3893499999999999,1.3887,1.38917,2131,5
1625871600,1.38917,1.39093,1.38917,1.38932,1488,4
1626048000,1.38893,1.38984,1.38835,1.38888,79,49
1626051600,1.38903,1.3901,1.3885100000000001,1.38997,751,7
1626055200,1.38997,1.39017,1.38952,1.38991,1007,6
1626058800,1.3899,1.39023,1.3894199999999999,1.39011,2991,5
1626062400,1.39011,1.39108,1.38997,1.39011,4370,6
1626066000,1.39012,1.3907,1.38947,1.38954,2591,6
1626069600,1.38954,1.38968,1.38855,1.3887,1012,8
1626073200,1.38871,1.38918,1.38837,1.38918,1429,6
1626076800,1.38918,1.38932,1.38837,1.38882,1468,6
1626080400,1.38887,1.38932,1.38819,1.38903,2304,5
1626084000,1.38902,1.38944,1.38678,1.38764,4730,4
1626087600,1.38763,1.38804,1.3856600000000001,1.38602,3406,7
1626091200,1.38605,1.3873,1.38547,1.38593,3108,5
1626094800,1.38593,1.3863699999999999,1.38414,1.38514,3419,5
1626098400,1.38514,1.38625,1.38401,1.38435,3004,5
1626102000,1.38436,1.38547,1.38389,1.38461,3310,7
1626105600,1.38461,1.38818,1.38392,1.38794,4497,5
1626109200,1.38796,1.39055,1.38745,1.3893900000000001,4903,5
1626112800,1.3893900000000001,1.3894,1.3875199999999999,1.38856,2838,5
1626116400,1.38856,1.38859,1.38771,1.38814,1412,6
1626120000,1.38814,1.38846,1.3878300000000001,1.38802,1682,4
1626123600,1.38802,1.38816,1.38724,1.3872900000000001,1447,5
1626127200,1.3872900000000001,1.38836,1.3872900000000001,1.38836,1455,8
1626130800,1.38835,1.38849,1.38772,1.38772,1098,9
1626134400,1.38767,1.38869,1.38767,1.3885100000000001,159,53
1626138000,1.38858,1.38887,1.38812,1.38848,374,7
1626141600,1.3885100000000001,1.38886,1.38828,1.38862,1116,10
1626145200,1.38865,1.38953,1.38865,1.38926,2825,5
1626148800,1.38926,1.3893900000000001,1.38831,1.38922,2553,5
1626152400,1.38919,1.39044,1.38894,1.39041,2187,7
1626156000,1.39043,1.39055,1.38979,1.38987,1284,6
1626159600,1.38987,1.38994,1.3893,1.38936,1218,5
1626163200,1.38936,1.38938,1.38814,1.38827,1476,8
1626166800,1.38832,1.3889,1.38745,1.38753,2093,5
1626170400,1.38745,1.38805,1.3862700000000001,1.3863400000000001,3125,5
1626174000,1.3863400000000001,1.38642,1.38509,1.38606,2436,6
1626177600,1.38605,1.38622,1.38493,1.38537,1682,5
1626181200,1.38537,1.38599,1.3848799999999999,1.38557,1508,6
1626184800,1.38557,1.38565,1.38384,1.3848799999999999,1879,5
1626188400,1.3848799999999999,1.38568,1.37991,1.38059,7837,4
1626192000,1.3806,1.38396,1.3801,1.3835,7174,4
1626195600,1.38351,1.3847,1.38246,1.38421,5196,4
1626199200,1.38418,1.38465,1.38317,1.3845,3231,5
1626202800,1.38449,1.38554,1.38411,1.38413,1597,5
1626206400,1.38413,1.38413,1.38248,1.3825,2782,6
1626210000,1.38249,1.38259,1.38168,1.38198,2044,7
1626213600,1.38199,1.38201,1.3808099999999999,1.38111,2371,6
1626217200,1.38109,1.38147,1.38071,1.38071,786,4
1626220800,1.38071,1.3817,1.38071,1.38118,101,49
1626224400,1.3811499999999999,1.3814899999999999,1.38092,1.38105,254,11
1626228000,1.38107,1.38121,1.38043,1.3804699999999999,780,5
1626231600,1.38049,1.38104,1.38007,1.38055,2750,5
1626235200,1.38056,1.38199,1.38049,1.38171,2584,7
1626238800,1.38175,1.38215,1.3814899999999999,1.38206,2949,6
1626242400,1.38205,1.3823400000000001,1.38175,1.38189,1754,7
1626246000,1.38189,1.3820700000000001,1.38147,1.38198,1447,8
1626249600,1.38197,1.3827,1.38186,1.38239,969,8
1626253200,1.38239,1.38522,1.38215,1.3846,3170,6
1626256800,1.38458,1.38531,1.38333,1.38372,3506,6
1626260400,1.38372,1.38618,1.38347,1.3846,3490,5
1626264000,1.3846,1.38513,1.38349,1.38452,2938,5
