time,open,high,low,close,tick_volume,spread
1684811700,1.24405,1.24459,1.24403,1.24435,460,8
1684812600,1.24435,1.2444600000000001,1.24416,1.24423,465,8
1684813500,1.24423,1.24439,1.2438500000000001,1.24388,453,9
1684814400,1.24386,1.24388,1.24332,1.24354,475,8
1684815300,1.24354,1.2439,1.24323,1.24354,404,10
1684816200,1.24354,1.24376,1.2432400000000001,1.24331,735,11
1684817100,1.24326,1.2435,1.24285,1.24285,715,8
1684818000,1.24286,1.24308,1.24253,1.24294,524,8
1684818900,1.24294,1.24326,1.24272,1.24304,324,8
1684819800,1.24304,1.2431,1.24285,1.24301,300,9
1684820700,1.24301,1.24365,1.24295,1.24356,408,8
1684821600,1.24357,1.24357,1.24293,1.24293,361,8
1684822500,1.24293,1.24309,1.24282,1.24285,404,8
1684823400,1.24285,1.24346,1.24275,1.24337,301,9
1684824300,1.24337,1.2436099999999999,1.24315,1.24355,466,8
1684825200,1.24353,1.2436,1.24331,1.24337,346,8
1684826100,1.24336,1.24349,1.24315,1.2432400000000001,232,10
1684827000,1.2432400000000001,1.2436099999999999,1.24318,1.24344,235,10
1684827900,1.24344,1.24358,1.24325,1.24355,231,8
1684828800,1.24356,1.24368,1.24323,1.2432699999999999,348,10
1684829700,1.2432699999999999,1.24334,1.24283,1.24285,238,10
1684830600,1.24285,1.24285,1.24203,1.24214,667,9
1684831500,1.24213,1.24296,1.24212,1.24296,548,9
1684832400,1.24296,1.24326,1.24223,1.24316,784,8
1684833300,1.24316,1.24341,1.24246,1.2426,1038,8
1684834200,1.24264,1.24309,1.24238,1.24302,648,8
1684835100,1.24302,1.24337,1.24245,1.24334,605,8
1684836000,1.24335,1.24335,1.24071,1.24087,1163,8
1684836900,1.24081,1.24134,1.24027,1.2406,879,8
1684837800,1.24036,1.24196,1.24006,1.24131,1014,8
1684838700,1.24131,1.2414100000000001,1.24041,1.24084,865,8
1684839600,1.2408299999999999,1.2408299999999999,1.23893,1.2398,1053,8
1684840500,1.2398,1.24062,1.2395,1.24034,966,8
1684841400,1.24021,1.2404,1.23842,1.2398,1017,8
1684842300,1.23976,1.24109,1.23967,1.24089,740,8
1684843200,1.24089,1.2413,1.24008,1.2401200000000001,473,8
1684844100,1.2401200000000001,1.24018,1.23859,1.23915,793,8
1684845000,1.23915,1.23948,1.23826,1.23847,729,8
1684845900,1.23847,1.23878,1.23822,1.23846,726,8
1684846800,1.23846,1.23847,1.23759,1.23787,627,8
1684847700,1.23787,1.23814,1.23725,1.23792,587,8
1684848600,1.23792,1.2386,1.23772,1.2382900000000001,631,8
1684849500,1.2382900000000001,1.23891,1.2382900000000001,1.23847,545,8
1684850400,1.23846,1.23852,1.23788,1.2379,564,8
1684851300,1.2379,1.23896,1.2376,1.23869,467,8
1684852200,1.23869,1.23903,1.23851,1.23878,406,8
1684853100,1.23878,1.2391,1.23807,1.2383,644,8
1684854000,1.2383,1.23912,1.2383,1.23881,580,8
1684854900,1.23882,1.23917,1.23846,1.23908,643,8
1684855800,1.23908,1.23911,1.23759,1.23907,775,8
1684856700,1.23907,1.2392,1.23783,1.23787,854,8
1684857600,1.23787,1.23904,1.23764,1.2388,916,8
1684858500,1.2388,1.2405599999999999,1.2387299999999999,1.24009,1005,8
1684859400,1.24008,1.24095,1.23965,1.2405599999999999,1136,8
1684860300,1.23964,1.24215,1.23907,1.24163,1545,8
1684861200,1.24166,1.24328,1.24143,1.24256,1935,8
1684862100,1.24254,1.24337,1.24226,1.24254,1390,8
1684863000,1.24253,1.24308,1.24233,1.24247,1128,8
1684863900,1.24246,1.24274,1.24183,1.24201,880,8
1684864800,1.24199,1.24283,1.24185,1.24224,821,8
1684865700,1.24224,1.24246,1.24152,1.24208,565,8
1684866600,1.24213,1.2423899999999999,1.24156,1.24237,577,8
1684867500,1.24237,1.24281,1.24198,1.24203,495,8
1684868400,1.24199,1.24204,1.24078,1.2408299999999999,604,8
1684869300,1.2408299999999999,1.2414,1.24066,1.24097,490,8
1684870200,1.24097,1.24142,1.24091,1.24128,659,8
1684871100,1.24128,1.24159,1.24115,1.24149,597,8
1684872000,1.24149,1.2421,1.24124,1.24198,536,8
1684872900,1.24198,1.24228,1.24181,1.24192,345,8
1684873800,1.24191,1.24236,1.2416800000000001,1.24227,339,9
1684874700,1.24227,1.24228,1.24188,1.24197,224,8
1684875600,1.24197,1.2421,1.24176,1.24207,420,8
1684876500,1.24207,1.24211,1.24138,1.2416,421,8
1684877400,1.2416,1.242,1.24115,1.24157,385,8
1684878300,1.24156,1.24193,1.24133,1.24176,355,8
1684879200,1.24176,1.2417799999999999,1.24114,1.24149,401,8
