time,open,high,low,close,tick_volume,spread
1689778800,0.62454,0.62541,0.62451,0.62502,3743,14
1689782400,0.62502,0.62589,0.62469,0.62497,4267,14
1689786000,0.62495,0.62523,0.62304,0.62399,4860,14
1689789600,0.62399,0.6245,0.62341,0.62408,3762,14
1689793200,0.62408,0.62514,0.62389,0.625,2431,14
1689796800,0.62502,0.62545,0.62482,0.6253,2347,14
1689800400,0.6253,0.62585,0.62486,0.6256,1685,15
1689804000,0.62564,0.62612,0.62552,0.62605,1264,14
1689807600,0.62605,0.62638,0.62588,0.62626,812,14
1689811200,0.62622,0.62642,0.6249,0.62609,540,17
1689814800,0.62616,0.62628,0.62543,0.62583,1607,15
1689818400,0.62583,0.6265,0.62572,0.62615,898,15
1689822000,0.62615,0.62691,0.62604,0.62666,2104,14
1689825600,0.62666,0.6304,0.62656,0.62963,4473,14
1689829200,0.62969,0.6307,0.62918,0.63053,3340,14
1689832800,0.63055,0.63063,0.62943,0.63039,2452,14
1689836400,0.6304,0.63064,0.63001,0.63028,1438,16
1689840000,0.63026,0.63046,0.6293,0.62961,2395,16
1689843600,0.62962,0.6297,0.62781,0.62819,2865,14
1689847200,0.62819,0.6287,0.62709,0.62748,3529,14
1689850800,0.62748,0.62906,0.62737,0.62845,3035,14
1689854400,0.62845,0.62912,0.62816,0.62878,2009,14
1689858000,0.62878,0.62993,0.62839,0.6284,2327,14
1689861600,0.62835,0.62837,0.62738,0.62738,3085,14
1689865200,0.62739,0.62739,0.62462,0.62543,5043,14
1689868800,0.62544,0.62579,0.62447,0.62547,5110,14
1689872400,0.62556,0.6258,0.62189,0.62308,5588,14
1689876000,0.62308,0.62328,0.62168,0.62222,3115,14
1689879600,0.62222,0.62245,0.62124,0.62172,2383,14
1689883200,0.62173,0.62312,0.62173,0.62265,1905,14
1689886800,0.62265,0.6228,0.62221,0.62239,1323,14
1689890400,0.62243,0.62288,0.62218,0.62283,1197,14
1689894000,0.62283,0.6234,0.62275,0.62337,544,14
1689897600,0.6227,0.62318,0.62255,0.6229,181,34
1689901200,0.6229,0.62404,0.62284,0.62314,760,14
1689904800,0.62312,0.62352,0.62275,0.62297,1046,15
1689908400,0.62299,0.62299,0.6221,0.62244,2496,14
1689912000,0.62244,0.62271,0.62145,0.62206,3439,15
1689915600,0.62206,0.62268,0.62173,0.62255,2551,14
1689919200,0.62256,0.62301,0.62228,0.62244,1572,15
1689922800,0.62244,0.62254,0.62186,0.62226,1312,14
1689926400,0.62226,0.62261,0.62166,0.62231,2258,14
1689930000,0.62229,0.62375,0.62213,0.62311,2783,14
1689933600,0.62311,0.62338,0.62046,0.6207,4392,15
1689937200,0.62067,0.62074,0.6188,0.61901,3933,14
1689940800,0.61901,0.61973,0.6189,0.61969,3357,14
1689944400,0.61969,0.62001,0.61903,0.61926,2412,14
1689948000,0.61926,0.61945,0.61839,0.61839,2293,14
1689951600,0.61841,0.61916,0.61819,0.61859,3349,14
1689955200,0.61858,0.61946,0.6175,0.6179,3632,14
1689958800,0.6179,0.61836,0.61685,0.61735,3486,14
1689962400,0.61735,0.61802,0.61713,0.6175,2720,14
1689966000,0.6175,0.61794,0.61729,0.6178,963,16
1689969600,0.6178,0.61804,0.61756,0.61756,1424,14
1689973200,0.61756,0.61782,0.61699,0.61718,1071,16
1689976800,0.61718,0.61718,0.61647,0.61691,834,15
1689980400,0.61691,0.61693,0.61633,0.61663,690,14
1690156800,0.61652,0.61718,0.61648,0.61694,257,36
1690160400,0.61709,0.6173,0.61654,0.61668,1285,15
1690164000,0.61666,0.61689,0.6163,0.61661,854,15
1690167600,0.61661,0.61757,0.61642,0.61724,2076,15
1690171200,0.61723,0.61743,0.61574,0.61601,3066,14
1690174800,0.61601,0.6173,0.61554,0.61687,2280,14
1690178400,0.61688,0.6172,0.61618,0.61682,1783,14
1690182000,0.61682,0.61702,0.61646,0.61693,1085,14
1690185600,0.61692,0.61752,0.61668,0.61751,1806,16
1690189200,0.61752,0.61842,0.61715,0.61818,2912,15
1690192800,0.61818,0.61963,0.61815,0.61957,4457,14
1690196400,0.61956,0.61988,0.61883,0.61909,3650,14
1690200000,0.6191,0.62049,0.61899,0.61978,2756,14
1690203600,0.61978,0.6201,0.6195,0.61988,2125,14
1690207200,0.61988,0.62145,0.61964,0.62024,1946,14
1690210800,0.62022,0.62033,0.61901,0.62002,3035,14
1690214400,0.62001,0.62076,0.61872,0.61972,4646,14
1690218000,0.61972,0.62065,0.619,0.62049,5191,14
1690221600,0.6205,0.62094,0.61983,0.62071,2634,15
1690225200,0.62074,0.62082,0.61989,0.62029,2231,14
1690228800,0.62029,0.62067,0.61989,0.62003,1811,15
1690232400,0.62003,0.62011,0.61937,0.61997,1608,14
1690236000,0.61997,0.62033,0.61953,0.61957,1240,14
1690239600,0.61955,0.62038,0.61916,0.62033,529,14
1690243200,0.62033,0.62084,0.61816,0.62035,341,23
1690246800,0.62039,0.62067,0.62032,0.62036,825,14
1690250400,0.62035,0.62055,0.61975,0.6198,855,16
1690254000,0.61981,0.61999,0.61889,0.6193,1772,14
1690257600,0.61929,0.62153,0.61924,0.62131,3159,14
1690261200,0.62131,0.62217,0.62062,0.62184,2488,14
1690264800,0.62184,0.622,0.62101,0.62139,1687,14
1690268400,0.62138,0.62159,0.62067,0.62077,1183,16
1690272000,0.62075,0.62172,0.62062,0.62149,1884,15
1690275600,0.6215,0.62181,0.62102,0.62132,2533,14
1690279200,0.6213,0.62174,0.62028,0.62083,3094,14
1690282800,0.62083,0.62184,0.62043,0.62176,3615,15
