time,open,high,low,close,tick_volume,spread
1689778800,26.4318,26.447,26.0691,26.2231,5879,7930
1689782400,26.2204,26.6789,25.9838,26.321,7551,7700
1689786000,26.322,26.3734,25.8182,25.9402,7919,6420
1689789600,25.9372,26.341,25.7952,26.323,6213,7890
1689793200,26.323,26.477,26.1411,26.2161,5651,7160
1689796800,26.2161,26.7089,26.1461,26.6279,6592,6500
1689800400,26.6289,26.8379,26.505,26.8169,7185,7810
1689804000,26.8169,26.8729,26.6399,26.7398,5244,6990
1689807600,26.7462,26.968,26.541,26.6459,5322,6030
1689811200,26.6309,26.7049,26.237,26.6399,5655,6720
1689814800,26.6369,26.7129,26.2368,26.351,5031,7120
1689818400,26.35,26.51,26.2121,26.2651,4340,7780
1689822000,26.2631,26.443,26.0911,26.382,5279,6400
1689825600,26.3802,26.7139,26.37,26.525,3467,7520
1689829200,26.525,26.7649,26.525,26.6269,3225,8190
1689832800,26.6249,26.6899,26.393,26.435,2836,7080
1689836400,26.436,26.57,26.33,26.343,2883,8840
1689840000,26.339,26.7869,26.2782,26.7849,4514,7810
1689843600,26.7859,26.8739,26.6639,26.7719,3967,7830
1689847200,26.7699,26.9049,26.6839,26.8179,4201,6430
1689850800,26.8209,27.2937,26.7579,27.1698,6102,7820
1689854400,27.1698,27.2628,26.9988,27.1716,6048,6840
1689858000,27.1706,27.3227,27.032,27.0838,5368,6900
1689861600,27.0798,27.2917,27.0098,27.1048,3783,7580
1689865200,27.1058,27.1958,26.8216,26.9109,4754,6100
1689868800,26.9169,27.0898,26.8209,26.9578,5093,7300
1689872400,26.9648,27.0298,25.8722,26.0391,9893,6530
1689876000,26.0371,26.1791,25.5183,25.6292,7665,6390
1689879600,25.6302,25.7172,25.1662,25.4703,8469,6040
1689883200,25.4703,25.6213,25.3493,25.5213,5386,7550
1689886800,25.5203,25.5203,25.1952,25.3383,5107,7430
1689890400,25.3373,25.4643,25.2134,25.3453,4265,7790
1689894000,25.3523,25.3523,24.9904,25.1714,5038,7100
1689897600,25.1714,25.6292,25.1134,25.6033,4497,7470
1689901200,25.5953,25.6033,25.3483,25.4563,2805,7570
1689904800,25.4543,25.5203,25.2762,25.322,2767,8430
1689908400,25.322,25.3773,25.0254,25.1524,4404,7840
1689912000,25.1544,25.4133,25.0654,25.3493,4001,7110
1689915600,25.3493,25.5573,25.2254,25.5063,4045,7970
1689919200,25.5033,25.5743,25.4053,25.4373,2446,7990
1689922800,25.4333,25.4563,25.2074,25.2973,2353,7630
1689926400,25.2933,25.4073,25.1084,25.1984,2523,8200
1689930000,25.2034,25.3533,25.1134,25.294,2656,6490
1689933600,25.2913,25.3443,25.0864,25.1304,3225,8520
1689937200,25.1282,25.2734,25.1176,25.2044,2393,7760
1689940800,25.2044,25.4313,25.1074,25.1184,3510,7910
1689944400,25.1144,25.2913,25.0914,25.1584,3056,7520
1689948000,25.1594,25.2484,25.0204,25.2294,3169,7480
1689951600,25.2304,25.5298,25.2304,25.4563,4815,6310
1689955200,25.4533,25.5503,25.2684,25.3283,5812,6110
1689958800,25.3263,25.4103,25.1964,25.3953,4880,8150
1689962400,25.3903,25.4763,25.2184,25.2574,3599,8010
1689966000,25.2554,25.3023,25.1214,25.2184,3476,8580
1689969600,25.2194,25.4753,25.1844,25.4513,3441,8220
1689973200,25.4523,25.9532,25.4453,25.8382,6312,7760
1689976800,25.8452,25.8872,25.3993,25.7552,5931,7630
1689980400,25.7552,25.8132,25.5893,25.7022,3150,8300
1690156800,24.9155,24.9185,24.4736,24.5242,3150,6960
1690160400,24.525,24.6775,24.5122,24.6295,2362,7690
1690164000,24.626,24.7845,24.619,24.7126,2502,8670
1690167600,24.7126,24.7895,24.6156,24.6196,2958,7850
1690171200,24.6206,24.6275,24.3208,24.3796,4360,6840
1690174800,24.3806,24.4196,24.1818,24.3878,4455,7570
1690178400,24.3878,24.4086,24.2378,24.289,3235,8140
1690182000,24.287,24.3196,24.0146,24.3106,4203,8270
1690185600,24.3086,24.4076,24.2667,24.3916,1794,8660
1690189200,24.3916,24.4256,24.2926,24.3406,1809,8440
1690192800,24.3386,24.6375,24.3146,24.5316,3903,8020
1690196400,24.5316,24.584600000000002,24.4126,24.4336,3625,7620
1690200000,24.4346,24.5186,22.9956,23.3489,5270,6020
1690203600,23.3479,23.7398,23.254,23.7258,8126,7590
1690207200,23.7238,23.7968,23.5169,23.5769,4327,7440
1690210800,23.5759,23.6229,23.4209,23.5479,5571,6790
1690214400,23.5479,23.6318,23.3384,23.4579,4439,7370
1690218000,23.4599,23.5119,23.102,23.188,6276,6350
1690221600,23.193,23.3759,22.818,23.152,7933,6130
1690225200,23.151,23.3229,23.01,23.2939,3614,7080
1690228800,23.2939,23.3279,23.083,23.181,3813,7850
1690232400,23.182,23.4349,23.111,23.3409,3804,6690
1690236000,23.3429,23.3969,23.229,23.253,3090,8090
1690239600,23.251,23.3669,23.182,23.3089,2792,7920
1690243200,23.3089,23.5249,23.2959,23.4749,3040,6530
1690246800,23.4759,23.5699,23.282,23.3609,2902,7450
1690250400,23.3619,23.4389,23.292,23.3199,2267,8230
1690254000,23.3209,23.3999,23.1634,23.246,3402,8000
1690257600,23.2462,23.254,23.097,23.231,2992,8340
1690261200,23.232,23.4819,23.213,23.4179,3208,8010
1690264800,23.4189,23.4549,23.274,23.3309,2378,6030
1690268400,23.3329,23.3419,23.123,23.178,2267,6220
1690272000,23.181,23.3119,23.152,23.259,2038,7400
1690275600,23.26,23.285,22.989,23.129,3041,7780
1690279200,23.134,23.201,22.916,23.047,3440,7220
1690282800,23.047,23.155,22.976,23.149,3252,7940
1690286400,23.151,23.3479,23.109,23.204,3736,8540
1690290000,23.205,23.243,23.1182,23.1344,2297,8380
1690293600,23.1344,23.171,23.072,23.127,2390,8200
1690297200,23.123,23.185,22.971,23.016,3034,6280
1690300800,23.014,23.3959,22.6914,23.2989,8084,6030
1690304400,23.3029,23.5399,23.047,23.134,7090,6330
1690308000,23.133,23.271,23.103,23.166,3667,7680
1690311600,23.167,23.3389,23.11,23.209,4141,7870
1690315200,23.208,23.3389,23.029,23.3289,4127,7780
1690318800,23.3299,23.4119,23.194,23.205,4352,7940
1690322400,23.204,23.27,23.096,23.119,2918,8020
1690326000,23.118,23.207,23.068,23.189,2739,8040
1690329600,23.194,23.3109,23.194,23.265,2503,7220
1690333200,23.263,23.3169,23.101,23.108,2263,6940
1690336800,23.108,23.263,23.083,23.233,1980,6080
1690340400,23.234,23.3049,23.128,23.226,2907,7540
1690344000,23.218,23.4689,23.19,23.3729,5931,6870
1690347600,23.3699,23.4879,23.244,23.4819,3606,6790
1690351200,23.4829,23.6478,23.456,23.4679,4276,6310
1690354800,23.4719,23.4719,23.3349,23.3699,2748,7970
1690358400,23.3689,23.5459,23.3579,23.5039,2543,7990
1690362000,23.5079,23.5779,23.3279,23.4019,2854,7870
1690365600,23.4029,23.4619,23.3549,23.4259,2204,7690
1690369200,23.4249,23.5869,23.4209,23.4939,2780,7230
1690372800,23.4929,23.5689,23.3909,23.4749,3206,8120
1690376400,23.4759,23.7548,23.4609,23.6328,4275,7360
1690380000,23.6378,23.9298,23.6209,23.7748,5201,8080
1690383600,23.7748,24.52,23.7578,24.3616,7818,6060
1690387200,24.3616,24.5906,24.266,24.4806,5901,6300
1690390800,24.4816,24.6355,24.2547,24.4466,5884,6330
1690394400,24.4456,24.9465,24.4366,24.8635,7173,6390
1690398000,24.8645,24.9235,24.6106,24.6365,6161,7530
1690401600,24.6365,24.7925,24.4716,24.6495,5143,6600
1690405200,24.6505,25.6262,24.5586,25.0474,11996,6020
1690408800,25.0474,25.3833,24.741,25.3303,9695,6100
1690412400,25.3283,25.5373,25.1504,25.1914,8210,6860
1690416000,25.1974,25.3533,25.1174,25.1954,5154,8200
1690419600,25.1914,25.4083,25.1324,25.290399999999998,4480,7880
1690423200,25.2884,25.3843,25.0194,25.1234,4345,8100
1690426800,25.1254,25.4613,24.8384,25.0894,6358,6290
1690430400,25.0874,25.1154,24.8705,24.9465,4675,6150
1690434000,24.9475,24.9864,24.6196,24.6945,5034,6070
1690437600,24.6975,25.0434,24.6475,24.8765,4050,6900
1690441200,24.8765,25.2014,24.8765,25.1214,4565,6440
1690444800,25.1204,25.2844,25.0304,25.2704,4253,8020
1690448400,25.2714,25.3103,25.0104,25.0104,3935,8110
1690452000,25.0114,25.1634,24.9325,24.9604,3733,7420
1690455600,24.9604,25.2504,24.8745,25.2344,4304,8140
1690459200,25.2354,25.4473,25.1564,25.2973,5058,7210
1690462800,25.2983,25.3653,25.1374,25.1614,3798,7420
1690466400,25.1604,25.3833,25.1314,25.3473,3327,8230
1690470000,25.3463,25.4163,25.2264,25.2734,4474,8320
1690473600,25.2734,25.5243,25.1714,25.4083,4236,7690
1690477200,25.4083,25.6123,25.1934,25.4163,7077,6370
1690480800,25.4163,25.556,25.0118,25.1064,6771,6040
1690484400,25.1064,25.2923,25.0714,25.1864,4862,7560
1690488000,25.1884,25.2504,24.9934,25.1424,4840,6020
1690491600,25.1414,25.165399999999998,24.6925,24.8775,7097,6770
1690495200,24.8775,24.9335,24.6642,24.8985,4413,8410
1690498800,24.9045,24.9824,24.7065,24.7555,3168,7630
1690502400,24.7555,25.0278,24.7246,24.9584,3393,7790
1690506000,24.9594,25.1944,24.9594,25.0774,3451,6880
1690509600,25.0684,25.1244,24.9714,25.0414,2347,8500
1690513200,25.0394,25.3433,24.9644,25.2384,4014,8080
1690516800,25.2424,25.2794,25.0654,25.0794,2646,8420
1690520400,25.0844,25.1434,24.8945,24.9545,2559,8350
1690524000,24.9535,25.0054,24.764499999999998,24.8835,3153,8410
1690527600,24.8875,24.9684,24.8085,24.9614,2552,8070
1690531200,24.9614,24.9724,24.5058,24.6166,4042,7260
1690534800,24.6146,24.7295,24.5906,24.6535,2735,8450
1690538400,24.6535,24.7155,24.5086,24.5656,2819,6550
1690542000,24.5626,24.6805,24.4796,24.639499999999998,3120,7960
1690545600,24.639499999999998,24.7735,24.4896,24.7445,2814,8270
1690549200,24.7445,24.7745,24.6335,24.6645,2141,8070
1690552800,24.6675,24.6755,24.5806,24.5806,1862,7820
1690556400,24.5806,24.7545,24.5796,24.7515,2713,8290
1690560000,24.7485,24.7575,24.6305,24.6645,2352,7910
1690563600,24.6745,25.0874,24.6745,25.0714,5584,6420
1690567200,25.0784,25.5013,25.0224,25.1804,6977,6540
1690570800,25.1814,25.2983,25.0494,25.2484,3784,7180
1690574400,25.2534,25.3863,24.7868,24.9686,4609,6010
1690578000,24.9686,25.0684,24.9255,25.0364,2726,6520
1690581600,25.0364,25.0944,24.9834,24.9854,2056,6600
1690585200,24.9824,25.0474,24.9355,25.0024,1854,6940
1690761600,24.2387,24.2767,24.1426,24.2017,3225,8330
1690765200,24.2057,24.2157,24.0197,24.0447,2754,6630
1690768800,24.042,24.2727,24.0327,24.2007,2517,8270
1690772400,24.1977,24.4996,24.0657,24.427599999999998,4176,7470
1690776000,24.4296,24.4936,24.3096,24.4326,3197,8080
1690779600,24.4308,24.7375,24.3956,24.7045,3052,7620
1690783200,24.7015,24.7415,24.5516,24.5956,3073,7520
1690786800,24.5966,24.6435,24.3256,24.3946,3634,8100
1690790400,24.3936,24.4616,24.3338,24.3686,2296,8460
1690794000,24.3696,24.5006,24.3464,24.4726,2315,7520
1690797600,24.4736,24.5346,24.4016,24.4476,2100,8040
1690801200,24.4476,24.5486,24.4166,24.5156,2466,8280
1690804800,24.5146,24.5406,24.3108,24.4186,2557,8060
