time,open,high,low,close,tick_volume,spread
1625731200,7123.9,7123.9,7107.7,7108.6,858,13
1625734800,7108.9,7113.0,7091.1,7094.4,3189,11
1625738400,7093.9,7099.0,7035.9,7066.4,9689,11
1625742000,7066.4,7066.4,7034.0,7047.6,7762,11
1625745600,7047.7,7050.7,7028.6,7032.0,6356,12
1625749200,7031.6,7031.9,6989.9,7015.4,6900,11
1625752800,7015.9,7023.9,6992.9,6995.0,3662,11
1625756400,6995.4,7012.5,6982.4,6998.6,5107,11
1625760000,6998.7,7013.0,6986.8,7009.9,9006,12
1625763600,7010.0,7010.0,6967.4,6981.9,11603,11
1625767200,6981.9,7034.9,6979.5,7033.9,6959,11
1625770800,7033.9,7041.5,7029.9,7035.4,1846,11
1625774400,7035.4,7036.4,7019.5,7021.5,2562,11
1625778000,7021.5,7022.5,7010.8,7013.6,2544,12
1625781600,7013.5,7026.2,7005.5,7025.1,3631,13
1625785200,7019.5,7020.0,7006.0,7010.4,386,121
1625792400,7023.1,7026.1,7019.1,7020.6,190,121
1625796000,7020.1,7026.1,7016.8,7017.8,306,121
1625799600,7015.0,7035.5,7011.1,7011.5,1303,14
1625803200,7011.6,7018.5,6999.6,7001.5,1685,13
1625806800,7001.5,7015.5,6994.6,7015.0,1197,14
1625810400,7015.0,7024.8,7012.5,7015.7,1095,14
1625814000,7015.8,7029.6,7012.7,7028.8,798,12
1625817600,7028.7,7037.7,7027.1,7035.0,1526,14
1625821200,7035.5,7053.0,7034.5,7043.3,1807,11
1625824800,7043.3,7065.0,7033.3,7049.4,12335,11
1625828400,7049.4,7076.5,7049.4,7071.4,5998,12
1625832000,7071.5,7088.4,7063.9,7066.0,3916,11
1625835600,7066.1,7074.2,7057.4,7060.3,6484,11
1625839200,7060.0,7080.1,7058.5,7076.5,5357,11
1625842800,7076.6,7079.2,7057.8,7061.2,3646,14
1625846400,7061.1,7073.9,7043.9,7069.9,5070,12
1625850000,7069.9,7092.9,7069.9,7090.9,4392,12
1625853600,7090.9,7113.1,7090.9,7105.9,2702,11
1625857200,7105.9,7108.9,7100.1,7100.4,972,11
1625860800,7100.5,7100.9,7097.4,7097.9,846,12
1625864400,7097.9,7105.7,7096.6,7105.2,533,11
1625868000,7105.2,7106.2,7097.1,7104.3,907,11
1625871600,7099.7,7100.7,7097.2,7098.7,56,87
1626051600,7105.6,7111.3,7092.0,7095.1,286,121
1626055200,7095.6,7107.7,7091.6,7106.2,262,121
1626058800,7109.5,7109.8,7093.5,7098.5,892,13
1626062400,7098.7,7100.0,7088.5,7088.7,907,14
1626066000,7088.5,7095.0,7088.5,7091.5,689,14
1626069600,7091.5,7093.5,7085.6,7086.5,370,15
1626073200,7086.7,7091.0,7085.2,7091.0,340,15
1626076800,7091.0,7091.0,7084.0,7086.5,470,15
1626080400,7086.1,7103.1,7084.1,7099.7,1965,11
1626084000,7099.2,7102.1,7056.6,7057.7,11228,11
1626087600,7057.5,7083.5,7054.9,7079.1,6632,11
1626091200,7079.2,7079.5,7060.6,7062.2,5142,11
1626094800,7062.4,7070.1,7055.9,7056.2,5417,11
1626098400,7056.2,7086.2,7056.2,7080.4,4397,11
1626102000,7080.5,7094.9,7071.0,7093.9,4106,11
1626105600,7093.9,7111.0,7080.6,7109.9,9191,11
1626109200,7109.8,7125.2,7108.2,7112.2,9652,11
1626112800,7112.1,7125.1,7109.6,7117.5,5164,11
1626116400,7117.7,7122.9,7115.3,7116.6,1618,11
1626120000,7116.7,7121.6,7116.7,7119.1,1443,11
1626123600,7119.1,7124.6,7117.3,7121.4,1225,11
1626127200,7121.2,7122.4,7110.6,7115.9,2130,11
1626130800,7110.1,7113.1,7109.1,7109.6,153,121
1626138000,7111.2,7111.7,7104.7,7105.7,93,121
1626141600,7106.2,7114.7,7105.2,7114.7,139,121
1626145200,7115.2,7125.1,7114.1,7124.2,549,14
1626148800,7124.1,7125.1,7117.1,7124.8,768,13
1626152400,7124.7,7125.2,7118.2,7118.2,449,15
1626156000,7118.2,7120.1,7116.7,7117.6,364,15
1626159600,7117.8,7118.2,7115.1,7117.1,288,12
1626163200,7117.1,7119.1,7114.6,7115.0,446,15
1626166800,7115.7,7126.9,7110.7,7125.6,1759,12
