time,open,high,low,close,tick_volume,spread
1679000400,12560.9,12583.1,12554.9,12571.8,2161,1
1679001300,12571.8,12602.9,12564.6,12598.6,2211,3
1679002200,12598.6,12599.4,12572.1,12596.6,2311,2
1679003100,12596.6,12597.9,12562.6,12586.1,2449,2
1679004000,12586.9,12588.6,12567.3,12579.4,1451,1
1679004900,12579.1,12596.8,12578.1,12591.3,883,4
1679005800,12591.3,12592.8,12583.6,12584.8,594,2
1679006700,12584.9,12584.9,12580.4,12581.9,460,4
1679007600,12581.9,12581.9,12581.9,12581.9,1,16
1679011200,12579.8,12581.0,12565.9,12576.4,766,2
1679012100,12576.4,12581.2,12570.9,12573.1,607,1
1679013000,12573.1,12581.0,12570.6,12577.5,449,2
1679013900,12577.5,12592.0,12575.3,12589.5,546,6
1679014800,12589.5,12598.6,12587.1,12596.4,683,2
1679015700,12596.4,12602.2,12595.3,12596.8,580,5
1679016600,12596.8,12597.9,12592.8,12594.5,615,5
1679017500,12594.5,12597.6,12591.2,12595.3,644,5
1679018400,12595.3,12596.9,12579.9,12580.8,1060,5
1679019300,12581.3,12583.4,12577.1,12582.0,859,4
1679020200,12582.3,12586.3,12577.8,12581.8,818,5
1679021100,12581.8,12584.9,12574.7,12579.6,733,3
1679022000,12580.0,12581.2,12575.0,12578.1,702,7
1679022900,12577.6,12587.9,12577.6,12586.6,1055,7
1679023800,12586.6,12588.5,12575.4,12582.2,1159,1
1679024700,12582.2,12586.1,12578.6,12582.6,943,5
1679025600,12582.3,12591.5,12582.1,12586.5,945,5
1679026500,12586.9,12586.9,12581.9,12586.3,886,5
1679027400,12586.3,12587.9,12580.1,12581.8,679,2
1679028300,12581.8,12585.4,12579.8,12581.8,662,6
1679029200,12581.8,12587.6,12579.8,12586.1,712,7
1679030100,12586.1,12596.2,12585.1,12592.9,716,5
1679031000,12592.9,12595.8,12591.6,12593.6,561,8
1679031900,12593.6,12593.6,12590.6,12592.6,433,8
1679032800,12592.6,12598.9,12592.2,12597.9,480,7
1679033700,12597.9,12611.2,12595.6,12603.3,724,7
1679034600,12603.3,12609.5,12601.2,12605.1,628,5
1679035500,12605.1,12610.4,12602.8,12609.8,501,5
1679036400,12609.6,12617.8,12604.8,12614.1,769,5
1679037300,12614.2,12615.8,12610.1,12612.6,624,3
1679038200,12612.6,12617.5,12609.6,12610.2,658,2
1679039100,12610.1,12613.9,12607.3,12612.8,560,4
1679040000,12612.6,12613.6,12604.9,12605.8,650,2
1679040900,12605.8,12609.2,12600.8,12608.9,588,2
1679041800,12608.9,12611.6,12602.1,12609.8,693,3
1679042700,12609.8,12637.6,12608.1,12637.6,898,5
1679043600,12636.1,12640.0,12613.0,12618.5,1072,1
1679044500,12618.5,12624.3,12607.0,12611.8,808,2
1679045400,12611.3,12628.5,12611.3,12620.5,975,4
1679046300,12620.5,12623.8,12611.5,12611.5,919,4
1679047200,12611.8,12630.0,12607.0,12615.5,2164,2
1679048100,12615.3,12628.8,12610.5,12626.0,1591,2
1679049000,12626.2,12627.8,12607.5,12608.0,1528,1
1679049900,12608.0,12613.8,12590.0,12598.3,1318,2
1679050800,12598.3,12614.3,12586.3,12586.8,1362,2
1679051700,12586.8,12601.0,12580.8,12599.0,1107,2
1679052600,12599.3,12604.5,12589.0,12589.3,1172,4
1679053500,12589.3,12608.8,12585.5,12603.5,1105,2
1679054400,12603.1,12605.8,12583.2,12588.5,1230,2
1679055300,12588.5,12597.8,12581.8,12596.5,1317,2
1679056200,12596.5,12607.0,12594.2,12602.3,1082,4
1679057100,12603.2,12607.5,12591.8,12593.0,1172,2
1679058000,12593.5,12604.3,12589.5,12593.5,1348,2
1679058900,12593.5,12598.3,12582.5,12586.8,1351,2
1679059800,12586.8,12595.5,12572.0,12594.8,1296,1
1679060700,12594.8,12611.2,12593.0,12608.8,1246,2
1679061600,12608.8,12615.0,12595.8,12597.3,1395,1
1679062500,12597.3,12603.3,12539.5,12545.8,1583,1
