time,open,high,low,close,tick_volume,spread
1625446800,4350.6,4353.4,4350.6,4351.6,485,11
1625450400,4351.6,4352.3,4349.3,4350.0,637,12
1625454000,4350.1,4350.2,4345.3,4348.1,1692,12
1625457600,4348.1,4349.4,4347.0,4347.5,1221,12
1625461200,4347.5,4348.0,4346.5,4347.0,472,11
1625464800,4347.0,4348.3,4346.3,4347.3,427,11
1625468400,4347.3,4349.0,4347.0,4348.3,166,11
1625472000,4348.0,4348.6,4346.1,4347.4,886,11
1625475600,4347.4,4347.9,4345.3,4347.9,1077,12
1625479200,4347.9,4348.4,4343.8,4345.8,3056,12
1625482800,4345.7,4350.8,4344.8,4348.6,1420,11
1625486400,4348.6,4352.0,4348.2,4350.7,1295,12
1625490000,4350.8,4352.5,4349.5,4352.0,1157,12
1625493600,4352.0,4354.4,4351.5,4351.8,1300,12
1625497200,4351.9,4354.4,4351.6,4354.1,942,12
1625500800,4354.0,4354.7,4352.5,4354.4,799,12
1625504400,4354.2,4356.3,4352.9,4355.7,496,12
1625508000,4355.4,4356.6,4355.2,4355.4,423,12
1625511600,4355.4,4356.5,4351.7,4352.1,572,11
1625533200,4352.7,4356.2,4351.9,4355.9,208,11
1625536800,4355.9,4358.0,4355.9,4357.0,398,12
1625540400,4357.0,4358.7,4355.2,4358.2,1081,12
1625544000,4358.2,4358.3,4353.7,4355.1,1311,12
1625547600,4355.0,4356.7,4353.0,4353.0,1197,12
1625551200,4353.2,4353.8,4352.0,4352.8,715,12
1625554800,4352.8,4354.0,4352.5,4352.7,379,12
1625558400,4352.8,4354.2,4350.2,4351.0,890,12
1625562000,4350.9,4354.0,4349.3,4353.0,1431,12
1625565600,4353.0,4353.5,4347.4,4350.3,4886,12
1625569200,4350.2,4351.9,4347.9,4351.0,2310,12
1625572800,4350.9,4352.2,4348.7,4351.9,1715,12
1625576400,4351.9,4353.4,4349.8,4350.4,1463,12
1625580000,4350.2,4353.8,4349.8,4351.4,1431,12
1625583600,4351.3,4353.3,4349.5,4352.8,944,12
1625587200,4352.9,4356.3,4345.2,4345.8,3354,11
1625590800,4346.0,4346.9,4326.3,4326.4,5744,11
1625594400,4326.2,4331.0,4321.0,4327.8,5803,11
1625598000,4327.6,4327.8,4316.3,4326.6,5983,12
1625601600,4326.5,4334.4,4325.6,4333.7,1754,11
1625605200,4333.6,4340.9,4333.1,4337.4,1586,11
1625608800,4337.4,4347.6,4337.0,4344.5,2184,11
1625612400,4344.8,4345.3,4338.2,4338.9,394,11
1625619600,4338.7,4341.2,4338.2,4340.2,284,11
1625623200,4340.2,4340.9,4336.9,4338.4,428,11
1625626800,4338.2,4341.2,4335.9,4340.7,999,11
