time,open,high,low,close,tick_volume,spread
1684772100,1.35046,1.35111,1.35032,1.35086,831,8
1684773000,1.35086,1.35127,1.34966,1.35031,1492,7
1684773900,1.35029,1.35088,1.35003,1.35073,1037,6
1684774800,1.35141,1.3516599999999999,1.35064,1.35095,1361,6
1684775700,1.35094,1.3512,1.35023,1.3507,1219,8
1684776600,1.35069,1.35108,1.3503,1.35094,1048,6
1684777500,1.35094,1.35186,1.35084,1.35133,1341,7
1684778400,1.35133,1.3514300000000001,1.35059,1.35134,919,9
1684779300,1.35134,1.35153,1.3508,1.35098,720,8
1684780200,1.35096,1.35137,1.3505099999999999,1.3513600000000001,817,6
1684781100,1.3513600000000001,1.35154,1.35053,1.35091,844,7
1684782000,1.35091,1.3511,1.35061,1.35107,828,8
1684782900,1.35107,1.35127,1.35067,1.35099,789,8
1684783800,1.35098,1.35106,1.35054,1.35069,578,6
1684784700,1.35069,1.35101,1.35069,1.3508,598,8
1684785600,1.35083,1.35089,1.3505,1.35073,403,8
1684786500,1.35073,1.3510900000000001,1.35032,1.35041,726,8
1684787400,1.35041,1.35054,1.35016,1.35043,788,8
1684788300,1.35043,1.35056,1.3501400000000001,1.35052,710,8
1684789200,1.3505099999999999,1.35076,1.35027,1.3507500000000001,550,6
1684790100,1.35076,1.3509,1.35062,1.35062,669,8
1684791000,1.35061,1.35092,1.3505,1.3505099999999999,506,7
1684791900,1.3505099999999999,1.35092,1.35034,1.35076,618,7
1684792800,1.35077,1.35088,1.3505,1.3508,482,7
1684793700,1.3508,1.35099,1.35069,1.35069,431,8
1684794600,1.35069,1.35098,1.35067,1.35088,352,9
1684795500,1.35088,1.35101,1.35066,1.35088,332,7
1684796400,1.35088,1.35094,1.35047,1.3505099999999999,171,8
1684797300,1.3505099999999999,1.3506,1.3504,1.35053,136,8
1684798200,1.3505,1.35062,1.35047,1.35047,179,6
1684799100,1.35047,1.35059,1.35041,1.35043,225,10
1684800000,1.35041,1.35041,1.34965,1.34965,28,28
1684800900,1.35002,1.35037,1.34994,1.35032,55,31
1684801800,1.35032,1.35032,1.34994,1.35006,56,26
1684802700,1.35006,1.3502,1.34984,1.34993,59,23
1684803600,1.34994,1.35053,1.34994,1.35045,199,13
1684804500,1.35046,1.35056,1.3504399999999999,1.3505,123,14
1684805400,1.35049,1.35066,1.35045,1.35066,116,15
1684806300,1.35066,1.35071,1.35055,1.3506,153,13
1684807200,1.35055,1.35064,1.35033,1.35042,225,11
1684808100,1.35042,1.35047,1.3502399999999999,1.3502399999999999,134,12
1684809000,1.3502399999999999,1.3504800000000001,1.35016,1.35037,124,11
1684809900,1.35037,1.35042,1.35018,1.35029,192,11
1684810800,1.35029,1.35029,1.3495,1.34991,701,6
1684811700,1.34991,1.34998,1.3492,1.34947,482,6
1684812600,1.34947,1.3496299999999999,1.3491900000000001,1.34938,439,8
1684813500,1.3494,1.3498,1.3492899999999999,1.34959,392,9
1684814400,1.3496000000000001,1.34997,1.34957,1.34957,572,10
1684815300,1.34957,1.34985,1.34916,1.34927,600,8
1684816200,1.3492600000000001,1.34945,1.3489900000000001,1.3492899999999999,734,7
1684817100,1.3493,1.34952,1.3489,1.34949,665,7
1684818000,1.34951,1.34998,1.34934,1.3495300000000001,547,7
1684818900,1.3495300000000001,1.34973,1.34916,1.3492600000000001,385,10
1684819800,1.3492600000000001,1.34948,1.3491,1.34918,408,9
1684820700,1.34918,1.34923,1.34849,1.3487,381,8
1684821600,1.3487,1.34921,1.3487,1.34916,276,6
1684822500,1.34916,1.34961,1.34903,1.34959,389,7
1684823400,1.34962,1.34968,1.34925,1.3492899999999999,431,9
1684824300,1.34932,1.3495,1.34908,1.34916,563,6
1684825200,1.34917,1.34948,1.34906,1.34941,459,8
1684826100,1.34944,1.3496299999999999,1.34934,1.3495,278,8
1684827000,1.3495,1.34967,1.34928,1.34947,334,9
1684827900,1.34947,1.34985,1.34944,1.34977,256,7
1684828800,1.34977,1.35006,1.34959,1.34999,399,6
1684829700,1.35,1.35025,1.34981,1.35023,363,6
1684830600,1.35023,1.3505099999999999,1.3501,1.35045,603,6
1684831500,1.35045,1.3504800000000001,1.34994,1.35008,542,6
1684832400,1.3501,1.35037,1.34934,1.3495,629,6
1684833300,1.34952,1.34952,1.34874,1.34924,844,6
1684834200,1.34923,1.3498700000000001,1.34923,1.34952,831,8
1684835100,1.34955,1.3502,1.34941,1.3496299999999999,772,6
1684836000,1.34967,1.35094,1.34958,1.35076,1120,8
1684836900,1.35074,1.35159,1.35074,1.3515,1015,6
1684837800,1.35159,1.3521,1.35104,1.35178,1062,6
1684838700,1.35178,1.35307,1.35178,1.35279,945,7
1684839600,1.35279,1.35357,1.35279,1.35323,1264,6
1684840500,1.35321,1.35323,1.35186,1.35225,921,6
1684841400,1.35229,1.35281,1.3520699999999999,1.35229,583,7
1684842300,1.35229,1.35296,1.35219,1.35294,569,6
1684843200,1.35298,1.3534,1.35287,1.35304,638,8
1684844100,1.35304,1.3537,1.35276,1.35331,780,6
1684845000,1.35332,1.35385,1.35297,1.35382,753,7
1684845900,1.35382,1.35438,1.35368,1.35437,660,9
1684846800,1.35437,1.35481,1.35433,1.35455,663,6
1684847700,1.35455,1.35471,1.3538999999999999,1.35394,551,9
1684848600,1.35394,1.35394,1.3529499999999999,1.35296,514,10
1684849500,1.35296,1.3541699999999999,1.35276,1.35415,523,9
1684850400,1.3541400000000001,1.35427,1.35361,1.35374,740,9
1684851300,1.35379,1.35385,1.35276,1.35279,549,7
1684852200,1.35278,1.35316,1.3526500000000001,1.3529200000000001,566,7
1684853100,1.35291,1.35291,1.35233,1.3528,680,7
1684854000,1.3528,1.3528,1.35145,1.35154,890,6
1684854900,1.35149,1.35205,1.35093,1.35096,1088,7
1684855800,1.35095,1.35171,1.35067,1.35068,971,6
1684856700,1.35069,1.35122,1.34975,1.3505099999999999,1308,6
1684857600,1.35049,1.35088,1.35006,1.35025,1155,6
1684858500,1.35025,1.35079,1.3497,1.3507799999999999,1170,7
1684859400,1.35079,1.35193,1.3504,1.35128,1680,6
1684860300,1.35182,1.35188,1.35079,1.3514599999999999,2018,6
1684861200,1.35148,1.35158,1.34965,1.3504399999999999,1986,7
1684862100,1.35042,1.3512,1.34974,1.34979,1584,6
1684863000,1.34978,1.35043,1.34946,1.35031,1152,6
1684863900,1.35031,1.3507,1.3495300000000001,1.35007,1251,7
1684864800,1.35006,1.3502100000000001,1.34959,1.3496299999999999,908,8
1684865700,1.3496299999999999,1.35072,1.34957,1.35015,772,8
1684866600,1.35015,1.35023,1.34875,1.34877,816,7
1684867500,1.34877,1.34905,1.3484099999999999,1.34857,814,7
1684868400,1.3485800000000001,1.34971,1.34855,1.34965,742,6
1684869300,1.34965,1.34998,1.34958,1.34975,668,6
1684870200,1.34976,1.35092,1.34955,1.35084,737,8
1684871100,1.35084,1.35144,1.35043,1.35046,821,6
1684872000,1.35045,1.35068,1.34985,1.3501699999999999,590,6
1684872900,1.3501699999999999,1.35069,1.34955,1.35053,540,6
1684873800,1.35055,1.35079,1.34924,1.34927,534,6
1684874700,1.34927,1.3498700000000001,1.3492199999999999,1.34955,639,7
1684875600,1.34955,1.3498,1.34917,1.34962,666,7
1684876500,1.34962,1.35104,1.34955,1.35086,800,6
1684877400,1.35086,1.35117,1.35053,1.35057,724,7
1684878300,1.35057,1.3506,1.35005,1.35018,759,6
1684879200,1.3501699999999999,1.3507799999999999,1.35016,1.35028,783,8
1684880100,1.35029,1.35089,1.35029,1.35045,802,8
1684881000,1.35045,1.35052,1.35015,1.3501699999999999,601,8
1684881900,1.35016,1.3507799999999999,1.35006,1.35058,551,6
1684882800,1.35057,1.3508200000000001,1.35045,1.3506,372,6
1684883700,1.3506,1.3507799999999999,1.35053,1.35055,214,9
1684884600,1.35052,1.35055,1.3501699999999999,1.35026,235,7
1684885500,1.35027,1.35041,1.3501400000000001,1.35026,233,7
1684886400,1.35037,1.35037,1.35008,1.3501,22,13
1684887300,1.3501,1.35028,1.34945,1.3498999999999999,64,19
1684888200,1.3498999999999999,1.35025,1.34973,1.3501699999999999,78,26
1684889100,1.35016,1.35031,1.34996,1.35022,108,17
1684890000,1.35026,1.35026,1.34982,1.34989,83,11
1684890900,1.34989,1.35,1.34978,1.34978,77,11
1684891800,1.34978,1.34985,1.3496000000000001,1.34972,127,6
1684892700,1.34972,1.35002,1.34965,1.34999,152,14
1684893600,1.34997,1.35009,1.34973,1.34977,151,7
1684894500,1.34977,1.35016,1.34976,1.35015,135,7
1684895400,1.35015,1.3502100000000001,1.34994,1.34996,110,8
1684896300,1.34996,1.35009,1.34978,1.35005,154,9
1684897200,1.35005,1.3505,1.34997,1.35023,289,7
1684898100,1.35023,1.35027,1.34969,1.34981,440,6
1684899000,1.34981,1.34998,1.34967,1.34982,363,9
1684899900,1.34982,1.35003,1.34959,1.34991,358,7
1684900800,1.3498999999999999,1.35025,1.34968,1.3498299999999999,606,7
1684901700,1.3498299999999999,1.35032,1.34969,1.34992,585,10
1684902600,1.3498999999999999,1.35042,1.34951,1.3498999999999999,670,8
1684903500,1.34989,1.35012,1.34961,1.34996,469,10
1684904400,1.34996,1.35094,1.34996,1.35035,1119,6
1684905300,1.35035,1.35065,1.35023,1.35057,494,6
1684906200,1.35057,1.351,1.35056,1.3508499999999999,559,9
1684907100,1.35086,1.35087,1.35039,1.35083,431,8
1684908000,1.3508,1.35098,1.35002,1.35002,415,8
1684908900,1.35001,1.3505,1.34995,1.3504800000000001,518,9
1684909800,1.35049,1.35067,1.35029,1.35065,294,8
1684910700,1.35066,1.35069,1.3504800000000001,1.3505,337,6
1684911600,1.3505,1.35066,1.35045,1.35056,248,9
1684912500,1.35056,1.35056,1.35006,1.35013,289,8
1684913400,1.35013,1.35025,1.35,1.35004,335,8
1684914300,1.35004,1.3501699999999999,1.34988,1.35013,245,10
1684915200,1.35013,1.35031,1.3498299999999999,1.3498700000000001,364,8
1684916100,1.3498700000000001,1.35016,1.34979,1.35007,414,9
1684917000,1.35008,1.3502100000000001,1.34979,1.34994,488,9
1684917900,1.34994,1.3502399999999999,1.34966,1.35004,590,8
1684918800,1.35004,1.35126,1.34971,1.35108,1244,9
1684919700,1.35107,1.3516599999999999,1.35099,1.35122,837,9
1684920600,1.35123,1.35225,1.3512,1.35176,933,9
1684921500,1.35176,1.35284,1.35158,1.3526099999999999,1026,6
1684922400,1.3525800000000001,1.3538999999999999,1.3525800000000001,1.3536000000000001,1471,6
1684923300,1.3536299999999999,1.3545,1.3536299999999999,1.35439,1295,7
1684924200,1.3544100000000001,1.3545,1.35362,1.35399,1223,8
1684925100,1.35399,1.35465,1.35391,1.35458,955,6
1684926000,1.35458,1.35471,1.35341,1.35393,1383,7
1684926900,1.35393,1.35442,1.35379,1.3541,937,8
1684927800,1.3541,1.35445,1.35375,1.35418,897,7
1684928700,1.35418,1.35426,1.3536299999999999,1.3538700000000001,897,8
1684929600,1.35388,1.35419,1.35333,1.35394,897,8
1684930500,1.35394,1.35436,1.35385,1.3538999999999999,743,10
1684931400,1.35393,1.35432,1.3535300000000001,1.35418,681,6
1684932300,1.35418,1.3545099999999999,1.35397,1.3545099999999999,620,8
1684933200,1.35452,1.35523,1.35445,1.35522,838,6
1684934100,1.35522,1.35586,1.35522,1.35537,1004,8
1684935000,1.35537,1.35571,1.35526,1.3553899999999999,661,9
1684935900,1.35542,1.35572,1.35531,1.35554,534,8
1684936800,1.35554,1.35557,1.35472,1.35483,695,9
1684937700,1.35483,1.35534,1.3547799999999999,1.35491,533,7
1684938600,1.35491,1.35524,1.35438,1.3544800000000001,705,8
1684939500,1.35447,1.35464,1.3536299999999999,1.3536299999999999,729,8
1684940400,1.3536299999999999,1.35407,1.35334,1.35342,802,6
1684941300,1.35342,1.35426,1.35313,1.3542,941,7
1684942200,1.35419,1.3550499999999999,1.35385,1.35395,1062,6
1684943100,1.35395,1.35483,1.35362,1.35443,1016,6
1684944000,1.35442,1.35476,1.35407,1.3541400000000001,1241,6
1684944900,1.3541400000000001,1.35472,1.35397,1.35416,981,6
1684945800,1.35416,1.35542,1.35406,1.35498,1621,6
1684946700,1.35498,1.3568500000000001,1.35496,1.35677,1562,7
1684947600,1.35677,1.3584100000000001,1.3565,1.35808,1631,6
1684948500,1.3580999999999999,1.3596300000000001,1.35802,1.35928,1425,6
1684949400,1.3593,1.35938,1.35769,1.35866,1484,6
1684950300,1.35868,1.3597299999999999,1.35856,1.35883,1385,6
1684951200,1.3588,1.3597000000000001,1.35856,1.3596,1200,6
1684952100,1.35957,1.35984,1.35889,1.35934,1143,6
1684953000,1.35934,1.35965,1.35898,1.35944,887,6
1684953900,1.35944,1.35961,1.35901,1.35903,1145,6
1684954800,1.35903,1.35962,1.3589,1.35957,1104,7
1684955700,1.35957,1.36001,1.35957,1.35991,773,7
1684956600,1.35991,1.36023,1.35969,1.35981,825,8
1684957500,1.35981,1.35996,1.35911,1.35929,867,7
1684958400,1.35929,1.36045,1.35919,1.36039,823,6
1684959300,1.36039,1.36052,1.35916,1.35971,746,7
1684960200,1.35971,1.35975,1.35898,1.35917,718,7
1684961100,1.35916,1.3594300000000001,1.35869,1.35942,605,6
1684962000,1.3594,1.35998,1.35915,1.35942,1264,7
1684962900,1.35945,1.35979,1.35918,1.3594300000000001,791,7
1684963800,1.3594300000000001,1.35957,1.35839,1.35839,786,6
1684964700,1.35839,1.36018,1.35833,1.35979,814,6
1684965600,1.35979,1.3602699999999999,1.35953,1.35981,816,8
1684966500,1.3598,1.35982,1.35889,1.359,729,9
1684967400,1.35901,1.3594300000000001,1.3585099999999999,1.35935,664,7
