time,open,high,low,close,tick_volume,spread
1625731200,110.527,110.536,110.207,110.272,2680,12
1625734800,110.272,110.336,110.149,110.161,3779,12
1625738400,110.161,110.194,109.758,109.786,6324,12
1625742000,109.785,109.91,109.751,109.846,5074,12
1625745600,109.846,110.044,109.842,109.904,3397,12
1625749200,109.904,109.954,109.712,109.803,3496,12
1625752800,109.804,109.848,109.699,109.743,2549,12
1625756400,109.741,109.755,109.596,109.668,4309,12
1625760000,109.667,109.735,109.62,109.667,5309,12
1625763600,109.666,109.667,109.529,109.567,4339,13
1625767200,109.567,109.852,109.547,109.817,3667,12
1625770800,109.82,109.863,109.791,109.798,1784,13
1625774400,109.798,109.866,109.783,109.838,1939,13
1625778000,109.839,109.863,109.792,109.801,2000,13
1625781600,109.801,109.839,109.767,109.772,1303,13
1625785200,109.772,109.783,109.747,109.747,639,14
1625788800,109.697,109.774,109.697,109.754,9321,132
1625792400,109.744,109.794,109.737,109.774,28192,14
1625796000,109.771,109.84,109.77,109.797,1076,12
1625799600,109.8,109.919,109.784,109.87,3110,12
1625803200,109.869,109.897,109.759,109.797,2420,13
1625806800,109.797,109.935,109.792,109.913,1748,12
1625810400,109.913,109.962,109.881,109.886,1682,13
1625814000,109.886,109.99,109.866,109.987,1827,12
1625817600,109.987,110.083,109.973,110.006,1661,13
1625821200,110.006,110.128,109.989,110.087,2612,12
1625824800,110.088,110.13,109.996,110.01,3405,12
1625828400,110.009,110.099,109.997,110.093,2345,13
1625832000,110.093,110.14,110.014,110.016,2430,12
1625835600,110.016,110.024,109.898,110.003,1992,12
1625839200,110.004,110.075,109.917,110.054,2373,13
1625842800,110.052,110.076,109.935,109.979,2776,12
1625846400,109.979,110.194,109.938,110.142,2626,13
1625850000,110.142,110.257,110.069,110.139,3661,12
1625853600,110.139,110.212,110.114,110.182,1954,12
1625857200,110.182,110.216,110.179,110.2,953,12
1625860800,110.2,110.206,110.165,110.167,644,13
1625864400,110.167,110.193,110.142,110.156,719,12
1625868000,110.156,110.198,110.11,110.111,916,12
1625871600,110.111,110.142,110.093,110.098,531,14
1626048000,110.156,110.157,110.08,110.129,89,132
1626051600,110.138,110.245,110.105,110.196,1451,13
1626055200,110.196,110.235,110.141,110.216,715,13
1626058800,110.216,110.252,110.115,110.119,1723,12
1626062400,110.119,110.132,110.009,110.132,1846,12
1626066000,110.133,110.185,110.122,110.173,1199,12
1626069600,110.173,110.197,110.136,110.152,733,13
1626073200,110.152,110.192,110.123,110.18,577,12
1626076800,110.18,110.193,110.16,110.169,660,13
1626080400,110.169,110.215,110.138,110.18,996,13
1626084000,110.18,110.277,110.009,110.044,1824,12
1626087600,110.044,110.139,109.974,110.091,1744,12
1626091200,110.089,110.135,110.055,110.109,1270,12
1626094800,110.109,110.181,110.099,110.176,1014,12
1626098400,110.176,110.267,110.17,110.21,1212,12
1626102000,110.21,110.24,110.099,110.206,2535,12
1626105600,110.205,110.394,110.167,110.335,2784,12
1626109200,110.335,110.386,110.257,110.282,2236,12
1626112800,110.282,110.391,110.266,110.36,1321,12
1626116400,110.36,110.401,110.36,110.379,925,13
1626120000,110.378,110.389,110.315,110.328,756,13
1626123600,110.329,110.348,110.318,110.328,663,13
1626127200,110.329,110.373,110.327,110.339,623,12
1626130800,110.339,110.361,110.335,110.342,340,12
1626134400,110.349,110.383,110.323,110.345,271,132
1626138000,110.345,110.349,110.308,110.322,6156,13
1626141600,110.322,110.369,110.314,110.328,2433,12
1626145200,110.328,110.402,110.289,110.386,1744,12
1626148800,110.385,110.403,110.341,110.355,1288,12
1626152400,110.355,110.443,110.349,110.364,1427,13
1626156000,110.364,110.397,110.347,110.377,919,12
1626159600,110.377,110.431,110.365,110.427,775,13
1626163200,110.427,110.448,110.365,110.371,749,13
1626166800,110.37,110.412,110.352,110.384,1141,13
1626170400,110.384,110.397,110.315,110.373,2012,13
1626174000,110.372,110.422,110.318,110.35,1527,13
1626177600,110.35,110.373,110.24,110.245,1028,12
1626181200,110.245,110.289,110.223,110.235,868,13
1626184800,110.231,110.292,110.198,110.217,1201,13
1626188400,110.217,110.543,110.204,110.511,6004,12
1626192000,110.51,110.558,110.372,110.416,6306,12
1626195600,110.415,110.449,110.287,110.318,3431,13
1626199200,110.319,110.386,110.288,110.365,1518,12
1626202800,110.366,110.429,110.365,110.42,901,14
1626206400,110.421,110.628,110.409,110.615,2113,12
1626210000,110.617,110.647,110.566,110.596,1307,13
1626213600,110.596,110.615,110.57,110.604,781,14
1626217200,110.604,110.648,110.585,110.593,502,12
