time,open,high,low,close,tick_volume,spread
1684806300,138.568,138.568,138.534,138.537,176,14
1684807200,138.537,138.608,138.499,138.608,337,14
1684808100,138.608,138.686,138.598,138.681,229,14
1684809000,138.681,138.79,138.68,138.684,371,14
1684809900,138.684,138.696,138.635,138.656,180,15
1684810800,138.656,138.663,138.541,138.55,624,14
1684811700,138.55,138.576,138.453,138.504,512,14
1684812600,138.503,138.534,138.454,138.49,477,14
1684813500,138.49,138.545,138.416,138.533,605,14
1684814400,138.533,138.664,138.514,138.615,512,14
1684815300,138.615,138.65,138.567,138.628,422,14
1684816200,138.628,138.664,138.618,138.644,375,14
1684817100,138.644,138.829,138.644,138.802,606,14
1684818000,138.8,138.87,138.749,138.818,470,14
1684818900,138.818,138.861,138.749,138.797,318,15
1684819800,138.797,138.824,138.735,138.74,447,14
1684820700,138.74,138.758,138.695,138.698,267,14
1684821600,138.698,138.785,138.698,138.784,317,14
1684822500,138.783,138.794,138.75,138.77,350,14
1684823400,138.769,138.776,138.497,138.51,530,14
1684824300,138.51,138.631,138.471,138.615,809,14
1684825200,138.618,138.618,138.485,138.549,562,14
1684826100,138.549,138.577,138.52,138.567,348,14
1684827000,138.567,138.568,138.45,138.482,282,14
1684827900,138.482,138.493,138.348,138.406,503,14
1684828800,138.406,138.494,138.386,138.482,386,14
1684829700,138.482,138.52,138.447,138.494,386,15
1684830600,138.499,138.616,138.494,138.552,459,14
1684831500,138.552,138.615,138.537,138.575,423,14
1684832400,138.575,138.675,138.489,138.502,716,14
1684833300,138.506,138.531,138.453,138.502,558,14
1684834200,138.496,138.516,138.454,138.501,445,15
1684835100,138.502,138.508,138.382,138.423,512,14
1684836000,138.423,138.585,138.402,138.528,839,14
1684836900,138.491,138.527,138.382,138.466,1048,14
1684837800,138.464,138.529,138.32,138.515,1263,14
1684838700,138.515,138.518,138.352,138.352,701,14
1684839600,138.352,138.486,138.324,138.334,992,14
1684840500,138.326,138.364,138.235,138.25,817,14
1684841400,138.251,138.342,138.251,138.328,671,14
1684842300,138.328,138.384,138.31,138.323,516,14
1684843200,138.325,138.356,138.258,138.292,460,14
1684844100,138.294,138.361,138.252,138.342,595,14
1684845000,138.342,138.402,138.315,138.402,804,14
1684845900,138.402,138.447,138.386,138.435,531,14
1684846800,138.435,138.568,138.427,138.537,598,14
1684847700,138.539,138.583,138.488,138.496,685,14
1684848600,138.496,138.521,138.463,138.519,625,14
1684849500,138.519,138.531,138.463,138.503,403,14
1684850400,138.503,138.517,138.433,138.442,534,14
1684851300,138.442,138.539,138.435,138.518,324,14
1684852200,138.518,138.532,138.478,138.479,405,14
