time,open,high,low,close,tick_volume,spread
1625731200,25.906,25.97,25.873,25.944,1914,45
1625734800,25.944,25.979,25.867,25.895,2993,45
1625738400,25.896,26.105,25.864,26.044,4498,46
1625742000,26.045,26.185,25.995,26.163,3539,41
1625745600,26.163,26.186,26.089,26.126,2753,45
1625749200,26.126,26.162,25.983,26.149,3162,41
1625752800,26.151,26.211,26.079,26.102,2903,43
1625756400,26.101,26.127,26.032,26.038,4756,45
1625760000,26.036,26.167,25.982,26.071,6355,45
1625763600,26.073,26.089,25.909,25.91,4067,43
1625767200,25.911,25.951,25.799,25.909,3368,40
1625770800,25.899,25.933,25.878,25.904,1522,45
1625774400,25.905,25.955,25.901,25.944,1234,45
1625778000,25.944,25.947,25.882,25.932,993,46
1625781600,25.931,25.969,25.805,25.923000000000002,1785,44
1625785200,25.919,25.961,25.902,25.906,553,46
1625792400,25.914,25.937,25.905,25.912,348,47
1625796000,25.914,25.934,25.902,25.916,477,43
1625799600,25.916,25.927,25.847,25.881,1370,42
1625803200,25.881,25.976,25.859,25.917,2850,42
1625806800,25.914,25.96,25.862,25.914,1886,44
1625810400,25.917,25.921,25.871,25.892,1188,51
1625814000,25.892,25.909,25.837,25.84,984,41
1625817600,25.84,25.925,25.774,25.829,2244,45
1625821200,25.828,25.842,25.759,25.819,2885,44
1625824800,25.819,25.957,25.796,25.927,2956,41
1625828400,25.927,25.962,25.882,25.931,2970,46
1625832000,25.933,26.073,25.91,26.055,2406,44
1625835600,26.053,26.058,25.999,26.025,1886,47
1625839200,26.019,26.037,25.971,25.99,2100,45
1625842800,25.987,26.036,25.831,25.909,3707,46
1625846400,25.908,26.056,25.865,26.038,5494,41
1625850000,26.039,26.137,26.029,26.133,3890,45
1625853600,26.136,26.209,26.107,26.116,2261,43
1625857200,26.116,26.172,26.116,26.172,995,47
1625860800,26.173,26.189,26.122,26.138,929,47
1625864400,26.137,26.186,26.137,26.183,655,46
1625868000,26.182,26.196,26.086,26.102,628,47
1625871600,26.104,26.121,26.077,26.089,353,46
1626051600,26.069,26.112,26.056,26.092,632,41
1626055200,26.093,26.109,26.079,26.092,483,49
1626058800,26.092,26.137,26.066,26.117,831,46
1626062400,26.117,26.281,26.109,26.133,3196,43
1626066000,26.134,26.182,26.076,26.092,1751,45
1626069600,26.093,26.1,26.03,26.047,1274,50
1626073200,26.047,26.049,26.017,26.041,656,50
1626076800,26.04,26.046,25.957,26.012,1508,47
1626080400,26.013,26.015,25.939,25.99,1996,47
1626084000,25.987,26.043,25.941,26.008,2274,44
1626087600,26.007,26.026,25.964,25.981,1841,43
1626091200,25.981,25.998,25.9,25.928,2044,42
1626094800,25.929,25.951,25.871,25.923000000000002,1890,44
1626098400,25.924,25.945,25.862,25.937,1766,45
1626102000,25.935,26.036,25.904,26.025,3187,44
1626105600,26.026,26.139,25.941,25.961,4981,43
1626109200,25.963,26.257,25.939,26.231,5013,43
1626112800,26.23,26.247,26.129,26.176,2141,46
1626116400,26.173,26.197,26.118,26.147,1186,43
1626120000,26.146,26.203,26.133,26.198,976,45
1626123600,26.198,26.228,26.198,26.22,678,46
1626127200,26.22,26.246,26.193,26.21,828,42
1626130800,26.208,26.223,26.191,26.191,432,46
1626138000,26.186,26.23,26.177,26.225,269,49
1626141600,26.226,26.254,26.22,26.254,220,48
1626145200,26.259,26.296,26.24,26.255,671,45
1626148800,26.256,26.313,26.222,26.303,1697,44
1626152400,26.303,26.344,26.267,26.322,1370,42
1626156000,26.322,26.33,26.237,26.242,782,45
1626159600,26.242,26.251,26.226,26.231,475,46
1626163200,26.231,26.248,26.188,26.199,999,45
1626166800,26.2,26.318,26.194,26.286,1783,47
1626170400,26.286,26.332,26.256,26.259,1545,44
1626174000,26.259,26.259,26.163,26.244,2146,46
1626177600,26.245,26.245,26.136,26.154,1762,48
1626181200,26.153,26.164,26.09,26.102,939,48
1626184800,26.101,26.164,26.047,26.164,1796,44
1626188400,26.164,26.259,25.932,25.961,7982,42
1626192000,25.96,26.175,25.933,26.141,8987,41
1626195600,26.141,26.212,26.055,26.161,4770,43
1626199200,26.164,26.193,26.102,26.154,1865,44
1626202800,26.154,26.172,26.071,26.095,855,45
1626206400,26.095,26.102,25.995,26.0,2312,42
1626210000,25.999,26.021,25.938,25.978,2121,46
1626213600,25.979,25.997,25.95,25.98,1121,44
1626217200,25.977,25.984,25.959,25.966,417,48
1626224400,25.963,26.003,25.963,25.985,207,46
1626228000,25.984,25.984,25.948,25.963,355,49
1626231600,25.962,25.995,25.935,25.971,823,50
1626235200,25.972,26.023,25.947,25.975,2659,47
1626238800,25.973,26.055,25.96,26.037,1400,47
1626242400,26.04,26.067,26.037,26.065,655,50
1626246000,26.067,26.089,26.042,26.055,388,47
1626249600,26.056,26.121,26.055,26.08,868,44
1626253200,26.08,26.127,26.07,26.073,1482,48
1626256800,26.073,26.103,26.031,26.039,1834,45
1626260400,26.039,26.109,26.018,26.081,1775,44
1626264000,26.081,26.096,26.018,26.055,1838,42
1626267600,26.053,26.18,26.036,26.174,1811,45
1626271200,26.174,26.207,26.148,26.178,1258,45
1626274800,26.181,26.364,26.171,26.348,5426,42
1626278400,26.348,26.465,26.246,26.283,6129,41
1626282000,26.283,26.349,26.191,26.241,5530,42
1626285600,26.239,26.253,26.059,26.113,3118,43
1626289200,26.115,26.162,26.082,26.145,1411,44
1626292800,26.145,26.203,26.13,26.176,1094,43
1626296400,26.174,26.279,26.164,26.217,1062,43
1626300000,26.222,26.244,26.197,26.244,725,44
1626303600,26.244,26.255,26.226,26.239,378,47
1626310800,26.233,26.257,26.208,26.213,450,41
1626314400,26.213,26.233,26.198,26.213,538,49
1626318000,26.212,26.228,26.17,26.193,736,50
1626321600,26.193,26.328,26.153,26.284,1803,46
1626325200,26.284,26.297,26.227,26.27,1431,41
1626328800,26.27,26.277,26.228,26.271,1253,45
1626332400,26.27,26.297,26.266,26.279,602,47
1626336000,26.279,26.357,26.278,26.343,1538,47
1626339600,26.346,26.386,26.31,26.348,2314,42
1626343200,26.347,26.393,26.313,26.33,2640,46
1626346800,26.332,26.335,26.272,26.327,1552,46
1626350400,26.326,26.376,26.296,26.361,973,45
1626354000,26.361,26.366,26.212,26.23,2490,47
1626357600,26.231,26.252,26.167,26.251,2728,47
1626361200,26.251,26.303,26.182,26.224,3966,47
1626364800,26.223,26.358,26.204,26.321,5182,44
1626368400,26.321,26.335,26.193,26.232,5001,46
1626372000,26.227,26.3,26.206,26.265,2422,41
1626375600,26.265,26.301,26.213,26.294,1362,43
1626379200,26.291,26.311,26.256,26.289,1706,46
1626382800,26.289,26.332,26.269,26.325,1185,46
1626386400,26.323,26.357,26.3,26.313,1000,43
1626390000,26.314,26.343,26.312,26.338,425,49
1626397200,26.317,26.346,26.313,26.345,362,49
1626400800,26.346,26.374,26.318,26.318,373,51
1626404400,26.318,26.37,26.31,26.32,930,50
1626408000,26.319,26.448,26.309,26.32,2560,43
1626411600,26.319,26.379,26.318,26.355,1161,50
1626415200,26.355,26.403,26.345,26.364,1048,50
1626418800,26.362,26.371,26.35,26.359,368,50
1626422400,26.36,26.373,26.223,26.223,1445,47
1626426000,26.226,26.237,26.188,26.204,2136,46
1626429600,26.204,26.253,26.105,26.164,2512,45
1626433200,26.159,26.212,26.149,26.194,2012,45
1626436800,26.191,26.197,26.127,26.165,2611,48
1626440400,26.165,26.172,26.034,26.101,2469,45
1626444000,26.095,26.103,26.006,26.083,2666,41
1626447600,26.08,26.152,26.023,26.102,4251,44
1626451200,26.102,26.163,25.994,26.059,6182,44
1626454800,26.06,26.088,25.741,25.852,7866,42
1626458400,25.852,25.852,25.596,25.684,4828,43
1626462000,25.689,25.766,25.66,25.713,2017,42
1626465600,25.71,25.767,25.648,25.663,1642,41
1626469200,25.665,25.692,25.63,25.676,1662,43
1626472800,25.677,25.679,25.608,25.638,1195,41
1626476400,25.646,25.664,25.621,25.648,398,47
1626656400,25.644,25.661,25.597,25.632,847,42
1626660000,25.632,25.701,25.628,25.694,855,49
1626663600,25.697,25.76,25.673000000000002,25.708,1169,44
1626667200,25.707,25.711,25.558,25.558,3563,44
1626670800,25.557,25.571,25.479,25.479,2076,42
1626674400,25.48,25.533,25.426,25.528,978,43
1626678000,25.528,25.535,25.5,25.505,498,43
1626681600,25.51,25.533,25.43,25.435,1544,46
1626685200,25.433,25.466,25.303,25.352,2929,45
