time,open,high,low,close,tick_volume,spread
1679027400,21.838,21.892,21.829,21.88,469,0
1679028300,21.88,21.885,21.846,21.874,388,0
1679029200,21.875,21.907,21.867,21.905,409,1
1679030100,21.905,21.943,21.896,21.937,414,0
1679031000,21.937,21.939,21.907,21.921,267,1
1679031900,21.922,21.922,21.888,21.915,237,2
1679032800,21.913,21.915,21.893,21.903,190,0
1679033700,21.904,21.93,21.899,21.914,174,1
1679034600,21.913,21.948,21.903,21.931,183,0
1679035500,21.931,21.961,21.93,21.956,220,0
1679036400,21.96,21.972,21.939,21.968,243,0
1679037300,21.969,21.972,21.953,21.969,227,0
1679038200,21.969,22.011,21.966,21.972,466,0
1679039100,21.972,21.977,21.927,21.941,377,0
1679040000,21.941,21.942,21.888,21.898,349,0
1679040900,21.899,21.924,21.892,21.909,316,2
1679041800,21.909,21.924,21.889,21.913,256,3
1679042700,21.913,21.984,21.909,21.979,283,2
1679043600,21.979,21.979,21.893,21.908,392,0
1679044500,21.908,21.934,21.894,21.918,516,1
1679045400,21.918,21.945,21.904,21.942,557,0
1679046300,21.942,21.982,21.924,21.94,657,0
1679047200,21.94,21.96,21.897,21.903,816,0
1679048100,21.904,21.919,21.859,21.903,548,1
1679049000,21.902,21.921,21.859,21.864,479,1
1679049900,21.864,21.874,21.838,21.852,319,1
1679050800,21.852,21.877,21.839,21.864,480,0
1679051700,21.864,21.873,21.829,21.861,419,0
1679052600,21.861,21.894,21.855,21.865,413,1
1679053500,21.865,21.878,21.848,21.868,323,4
1679054400,21.868,21.897,21.849,21.86,342,0
1679055300,21.86,21.863,21.828,21.84,302,0
1679056200,21.841,21.863,21.823,21.843,280,2
1679057100,21.843,21.868,21.828,21.851,337,2
1679058000,21.854,21.874,21.834,21.863,380,1
1679058900,21.863,21.936,21.849,21.904,592,0
1679059800,21.905,21.908,21.85,21.874,412,0
1679060700,21.874,21.901,21.858,21.879,459,1
1679061600,21.879,21.884,21.806,21.829,607,0
1679062500,21.828,21.96,21.814,21.93,985,0
1679063400,21.93,22.056,21.926,21.988,1259,0
1679064300,21.988,22.001,21.943,21.982,929,0
1679065200,21.982,22.069,21.972,22.049,1191,0
1679066100,22.048,22.07,21.961,21.966,1033,0
1679067000,21.967,21.992,21.924,21.97,1552,0
1679067900,21.97,22.162,21.959,22.121,1240,0
1679068800,22.165,22.194,22.079,22.124,1361,0
1679069700,22.124,22.126,22.046,22.121,1098,0
1679070600,22.122,22.197,22.094,22.142,958,0
1679071500,22.144,22.283,22.141,22.23,1051,0
1679072400,22.23,22.271,22.164,22.17,1185,0
1679073300,22.171,22.217,22.113,22.208,879,1
1679074200,22.208,22.25,22.19,22.236,762,0
1679075100,22.236,22.236,22.166,22.179,762,0
1679076000,22.179,22.217,22.126,22.217,709,0
1679076900,22.217,22.22,22.116,22.126,547,1
1679077800,22.126,22.191,22.11,22.181,629,1
1679078700,22.18,22.207,22.176,22.191,360,0
1679079600,22.191,22.305,22.184,22.217,409,0
1679080500,22.217,22.34,22.216,22.338,482,0
1679081400,22.335,22.379,22.326,22.375,665,0
1679082300,22.374,22.479,22.372,22.45,577,0
1679083200,22.449,22.507,22.435,22.5,913,0
1679084100,22.5,22.56,22.493,22.549,654,0
1679085000,22.55,22.562,22.504,22.541,606,0
1679085900,22.541,22.604,22.52,22.564,877,0
1679086800,22.56,22.587,22.519,22.555,603,0
1679087700,22.555,22.568,22.436,22.477,682,0
1679088600,22.476,22.5,22.427,22.43,675,1
1679089500,22.43,22.468,22.424,22.438,496,0
1679090400,22.438,22.469,22.432,22.459,228,1
1679091300,22.459,22.486,22.444,22.486,229,1
1679092200,22.484,22.542,22.482,22.534,328,0
1679093100,22.534,22.602,22.534,22.6,202,0
1679274000,22.407,22.438,22.379,22.412,381,1
1679274900,22.412,22.432,22.402,22.423,257,0
1679275800,22.423,22.43,22.371,22.393,322,2
1679276700,22.392,22.397,22.365,22.388,334,1
1679277600,22.388,22.435,22.373,22.404,495,1
1679278500,22.404,22.428,22.395,22.411,374,0
1679279400,22.41,22.414,22.365,22.378,417,0
1679280300,22.378,22.394,22.319,22.329,480,0
1679281200,22.33,22.345,22.227,22.308,922,0
1679282100,22.311,22.34,22.269,22.325,774,0
1679283000,22.325,22.35,22.264,22.3,736,1
1679283900,22.3,22.316,22.261,22.273,634,0
1679284800,22.269,22.306,22.266,22.285,457,1
1679285700,22.285,22.285,22.252,22.261,277,0
