time,open,high,low,close,tick_volume,spread
1625731200,1797.78,1799.16,1796.36,1797.83,3890,120
1625734800,1797.68,1799.57,1796.27,1797.42,6106,120
1625738400,1797.42,1810.98,1797.27,1807.35,9090,110
1625742000,1807.43,1815.16,1805.27,1813.41,8436,100
1625745600,1813.41,1814.23,1809.19,1812.86,5593,120
1625749200,1812.91,1817.92,1806.46,1817.38,6961,130
1625752800,1817.31,1817.37,1812.69,1814.05,5925,190
1625756400,1814.07,1818.36,1811.75,1813.6,9401,140
1625760000,1813.56,1817.01,1807.1,1808.47,11829,140
1625763600,1808.51,1810.63,1801.42,1801.46,10089,110
1625767200,1801.46,1802.29,1793.97,1796.64,7343,110
1625770800,1796.12,1798.6,1796.12,1797.41,3077,180
1625774400,1797.43,1800.6,1797.4,1799.59,2787,170
1625778000,1799.59,1800.21,1798.25,1800.19,3150,190
1625781600,1800.18,1802.8,1796.47,1802.13,3892,220
1625785200,1802.14,1803.6,1801.72,1802.3,2160,280
1625792400,1802.31,1803.32,1802.11,1802.95,668,330
1625796000,1803.02,1804.41,1802.58,1803.67,1409,240
1625799600,1803.67,1804.11,1800.59,1800.69,2943,250
1625803200,1800.67,1807.09,1799.19,1806.18,6380,150
1625806800,1806.17,1807.73,1803.45,1806.24,4013,190
1625810400,1806.22,1806.5,1804.42,1805.13,2490,210
1625814000,1805.17,1805.28,1801.08,1801.14,2530,130
1625817600,1801.13,1803.12,1799.42,1800.16,4264,130
1625821200,1800.13,1801.6,1796.49,1798.27,6080,150
1625824800,1798.27,1805.97,1796.81,1804.55,6200,140
1625828400,1804.55,1805.78,1800.48,1802.52,3637,160
1625832000,1802.45,1805.6,1801.31,1804.41,4427,110
1625835600,1804.35,1805.16,1802.57,1802.94,3385,190
1625839200,1802.86,1803.1,1798.14,1800.18,5016,120
1625842800,1800.16,1803.89,1798.41,1802.37,6724,210
1625846400,1802.36,1805.1,1801.05,1803.76,7992,200
1625850000,1803.76,1808.63,1803.51,1808.33,7744,150
1625853600,1808.38,1811.56,1807.33,1807.93,5596,110
1625857200,1807.93,1810.61,1807.9,1810.36,3019,120
1625860800,1810.36,1811.45,1809.2,1810.59,2657,200
1625864400,1810.59,1812.35,1809.98,1812.18,2705,200
1625868000,1812.15,1812.33,1807.7,1807.96,2823,250
1625871600,1807.97,1808.9,1807.14,1807.77,803,170
1626051600,1806.93,1808.43,1806.93,1807.82,1160,220
1626055200,1807.82,1808.48,1806.27,1806.42,1117,230
1626058800,1806.41,1809.37,1805.4,1808.87,2189,150
1626062400,1808.89,1810.85,1804.16,1805.42,5573,170
1626066000,1805.42,1807.29,1804.92,1805.18,3096,210
1626069600,1805.21,1805.5,1802.19,1802.9,2649,140
1626073200,1802.89,1803.74,1801.89,1802.85,1629,100
