time,open,high,low,close,tick_volume,spread
1691564400,1930.02,1930.91,1929.34,1930.21,1391,240
1691568000,1930.27,1932.02,1929.99,1931.03,2109,220
1691571600,1931.01,1932.22,1928.48,1930.06,2802,220
1691575200,1930.03,1931.26,1929.313,1930.47,4388,220
1691578800,1930.47,1930.62,1927.33,1927.92,3618,220
1691582400,1927.92,1928.25,1925.78,1926.08,2634,220
1691586000,1926.08,1926.42,1924.55,1925.09,2649,220
1691589600,1925.09,1926.11,1923.16,1924.39,2888,220
1691593200,1924.41,1926.31,1922.04,1924.77,5947,220
1691596800,1924.77,1925.91,1921.41,1922.77,6778,220
1691600400,1922.74,1927.46,1915.936,1917.26,8506,220
1691604000,1917.25,1918.55,1915.51,1916.58,6770,220
1691607600,1916.58,1918.06,1915.55,1916.22,4227,220
1691611200,1916.2,1917.86,1915.91,1916.25,3411,220
1691614800,1916.25,1916.38,1915.32,1916.04,2975,220
1691618400,1916.04,1916.81,1915.41,1915.42,2249,220
1691622000,1915.42,1915.59,1913.84,1913.84,1065,230
1691629200,1914.54,1916.42,1914.38,1916.2,984,220
1691632800,1916.2,1916.84,1916.15,1916.55,740,250
1691636400,1916.63,1917.28,1915.52,1916.84,1499,220
1691640000,1916.84,1918.84,1915.21,1917.85,3405,220
1691643600,1917.85,1919.04,1916.88,1916.91,2390,270
1691647200,1916.91,1918.93,1916.79,1918.54,1699,220
1691650800,1918.54,1918.71,1916.23,1916.58,1192,220
1691654400,1916.58,1919.033,1915.67,1918.35,1840,220
1691658000,1918.35,1918.96,1915.41,1917.89,2594,220
1691661600,1917.86,1920.55,1917.25,1919.16,5324,220
1691665200,1919.18,1921.15,1918.52,1919.27,3788,220
1691668800,1919.28,1921.53,1919.07,1920.82,2597,220
1691672400,1920.82,1922.31,1919.74,1921.67,3569,220
1691676000,1921.775,1922.61,1920.74,1921.76,3959,220
1691679600,1921.75,1930.005,1921.1,1926.13,10218,220
1691683200,1926.23,1927.1,1918.78,1922.65,11176,220
1691686800,1922.54,1922.806,1913.4,1914.9,8888,220
1691690400,1914.91,1920.23,1912.78,1919.85,7263,220
1691694000,1919.87,1921.61,1919.4,1920.44,5024,220
1691697600,1920.42,1920.88,1913.31,1913.59,5899,220
1691701200,1913.56,1914.99,1912.78,1914.82,4258,220
1691704800,1914.83,1915.0,1912.92,1913.25,2929,220
1691708400,1913.22,1913.55,1911.83,1911.97,1469,260
1691715600,1911.51,1913.25,1911.51,1912.57,1002,220
1691719200,1912.45,1912.64,1910.74,1912.27,1031,250
1691722800,1912.27,1915.04,1911.75,1914.57,1398,220
1691726400,1914.51,1915.54,1914.16,1915.42,2832,230
1691730000,1915.42,1915.795,1914.06,1914.62,1825,220
1691733600,1914.6,1915.49,1913.02,1914.5,1962,220
1691737200,1914.5,1914.67,1912.46,1913.34,1172,270
1691740800,1913.34,1915.79,1912.635,1915.56,2292,240
1691744400,1915.49,1917.46,1915.28,1916.17,2929,220
1691748000,1916.18,1917.98,1915.69,1917.82,4519,220
1691751600,1917.81,1919.26,1916.02,1918.87,4091,220
1691755200,1918.87,1919.69,1916.95,1917.86,2974,220
1691758800,1917.87,1918.29,1917.01,1917.85,2252,240
1691762400,1917.84,1919.0,1917.29,1918.91,2849,220
1691766000,1918.91,1920.87,1913.006,1915.91,7577,220
1691769600,1915.936,1917.6,1912.828,1916.1,8668,220
1691773200,1919.34,1920.55,1915.36,1918.53,8772,220
1691776800,1918.52,1919.47,1912.85,1913.93,5839,220
1691780400,1913.96,1915.18,1913.44,1914.23,3722,220
1691784000,1914.2,1915.42,1912.97,1913.15,3364,220
1691787600,1913.21,1913.73,1912.44,1913.32,2164,220
1691791200,1913.3,1913.65,1912.09,1913.54,2191,220
1691794800,1913.49,1913.86,1912.79,1913.05,671,220
1691974800,1912.47,1915.08,1912.05,1913.54,1163,310
1691978400,1913.54,1914.26,1912.33,1913.53,1229,290
1691982000,1913.52,1913.66,1910.59,1910.89,2490,280
1691985600,1910.86,1912.9,1910.0,1911.4,4362,240
1691989200,1911.4,1912.66,1910.49,1911.91,2817,240
1691992800,1911.91,1913.52,1911.47,1912.58,2217,260
1691996400,1912.57,1913.01,1911.67,1912.31,1465,260
1692000000,1912.3,1914.5,1911.75,1912.81,2266,220
1692003600,1912.79,1913.94,1911.39,1911.97,2621,220
1692007200,1911.91,1915.82,1910.51,1914.36,5924,220
1692010800,1914.37,1916.09,1913.75,1914.19,3760,220
1692014400,1914.18,1914.33,1912.13,1913.89,3784,220
1692018000,1913.9,1914.89,1913.1,1914.34,3611,220
1692021600,1914.31,1914.9,1913.27,1913.88,2848,240
