time,open,high,low,close,tick_volume,spread
1652192100,1858.57,1862.15,1858.4,1861.84,922,180
1652193000,1861.86,1864.41,1861.86,1862.91,1251,180
1652193900,1862.91,1863.02,1860.3,1860.36,1027,180
1652194800,1860.32,1861.1,1858.81,1860.43,1267,180
1652195700,1860.41,1860.82,1856.37,1858.97,1626,180
1652196600,1858.92,1862.32,1858.28,1862.19,1743,180
1652197500,1862.19,1863.59,1861.16,1862.14,1680,180
1652198400,1862.16,1864.06,1861.15,1862.62,2107,180
1652199300,1862.62,1863.7,1861.26,1863.02,1657,180
1652200200,1862.95,1864.38,1858.1,1859.35,2925,180
1652201100,1859.35,1859.41,1854.86,1857.01,2529,180
1652202000,1857.01,1859.23,1856.36,1858.14,2258,180
1652202900,1858.1,1859.75,1856.86,1858.36,1994,180
1652203800,1858.36,1858.76,1853.72,1854.39,1749,180
1652204700,1854.39,1854.39,1845.23,1849.76,3265,180
1652205600,1849.83,1850.04,1845.51,1845.81,2780,180
1652206500,1845.81,1848.86,1845.62,1847.59,2356,180
1652207400,1847.58,1847.59,1843.64,1845.8,2408,180
1652208300,1845.82,1845.96,1841.25,1844.22,2231,180
1652209200,1844.22,1844.93,1842.51,1843.31,1967,180
1652210100,1843.31,1843.61,1842.05,1843.32,1597,180
1652211000,1843.3,1847.33,1842.04,1846.99,1830,180
1652211900,1846.98,1847.19,1844.52,1844.81,1241,180
1652212800,1844.75,1846.67,1842.48,1842.97,1860,180
1652213700,1842.97,1843.56,1839.69,1841.88,2194,180
1652214600,1841.87,1845.11,1841.79,1844.16,1494,200
1652215500,1844.16,1846.71,1843.46,1846.43,1294,180
1652216400,1846.46,1846.72,1844.63,1845.71,1075,190
1652217300,1845.71,1845.73,1843.72,1844.02,1232,210
1652218200,1843.94,1844.73,1842.42,1843.77,1029,180
1652219100,1843.89,1843.94,1840.15,1841.6,1359,180
1652220000,1841.6,1843.0,1840.19,1842.22,1376,180
1652220900,1842.21,1842.51,1840.45,1841.47,1068,180
1652221800,1841.49,1841.49,1838.98,1839.14,999,180
1652222700,1839.18,1840.54,1835.34,1836.71,1561,180
1652223600,1836.72,1838.16,1835.87,1837.77,993,180
1652224500,1837.76,1840.41,1837.73,1839.84,688,210
1652225400,1839.81,1839.95,1837.26,1837.94,467,180
1652226300,1837.94,1839.71,1837.84,1838.1,303,180
1652230800,1837.01,1840.09,1836.99,1839.93,292,240
1652231700,1839.93,1840.04,1838.64,1839.12,319,260
1652232600,1839.08,1839.17,1838.49,1839.0,214,180
1652233500,1839.0,1839.54,1838.44,1838.55,316,180
1652234400,1838.43,1838.98,1837.78,1838.63,261,180
1652235300,1838.54,1838.8,1837.97,1838.12,250,260
1652236200,1838.12,1838.32,1834.3,1834.9,463,260
1652237100,1834.93,1835.2,1832.98,1833.48,794,180
1652238000,1833.5,1833.88,1832.29,1833.72,849,180
1652238900,1833.74,1834.04,1832.63,1833.56,635,220
1652239800,1833.55,1833.79,1831.98,1832.23,747,190
1652240700,1832.23,1833.7,1831.89,1832.25,812,180
1652241600,1832.22,1833.84,1832.08,1833.13,1343,180
1652242500,1833.15,1833.88,1832.31,1833.83,922,180
1652243400,1833.83,1835.23,1833.22,1835.12,1039,180
1652244300,1835.12,1837.72,1834.94,1837.26,1043,180
1652245200,1837.26,1838.54,1836.26,1838.54,1056,180
1652246100,1838.59,1838.88,1836.76,1837.16,532,180
1652247000,1837.16,1838.56,1837.06,1837.49,888,180
1652247900,1837.49,1839.88,1837.0,1838.47,919,180
1652248800,1838.47,1838.52,1837.19,1837.92,744,180
1652249700,1837.88,1838.69,1837.24,1837.6,551,180
1652250600,1837.56,1837.98,1836.24,1837.77,595,180
1652251500,1837.82,1838.21,1836.05,1836.33,550,180
1652252400,1836.24,1836.41,1835.81,1836.16,659,190
1652253300,1836.17,1838.95,1836.09,1838.62,542,200
1652254200,1838.62,1839.03,1837.28,1838.67,423,180
1652255100,1838.67,1839.0,1838.36,1838.9,340,190
1652256000,1838.9,1839.27,1837.03,1837.55,629,180
1652256900,1837.53,1839.21,1837.49,1838.95,574,180
1652257800,1838.97,1839.34,1837.04,1838.41,963,180
1652258700,1838.48,1838.75,1837.36,1837.7,845,180
1652259600,1837.7,1839.68,1837.2,1839.39,701,180
1652260500,1839.37,1843.89,1838.9,1842.28,1291,180
1652261400,1842.3,1845.01,1842.08,1845.01,1056,180
1652262300,1844.99,1845.69,1843.66,1844.14,1025,180
1652263200,1844.14,1849.76,1843.19,1848.26,1345,180
1652264100,1848.27,1850.99,1846.39,1847.03,2507,180
1652265000,1847.03,1849.84,1846.84,1849.84,999,180
1652265900,1849.86,1850.6,1848.52,1848.68,1044,180
1652266800,1848.68,1850.9,1848.21,1850.68,945,180
1652267700,1850.81,1850.89,1848.27,1848.27,944,180
1652268600,1848.27,1848.99,1846.66,1848.53,784,180
1652269500,1848.53,1852.5,1848.04,1851.64,969,180
1652270400,1851.67,1854.34,1850.65,1854.27,1057,180
1652271300,1854.26,1854.29,1850.65,1850.99,819,180
1652272200,1850.99,1851.87,1850.74,1850.98,804,180
1652273100,1850.96,1853.19,1850.77,1852.38,631,200
1652274000,1852.41,1853.47,1851.85,1852.83,735,180
1652274900,1852.83,1853.24,1851.13,1852.95,629,200
1652275800,1852.97,1854.24,1852.36,1854.09,624,180
1652276700,1854.09,1854.15,1852.36,1852.56,670,180
1652277600,1852.56,1854.18,1852.29,1853.18,611,200
1652278500,1853.18,1854.14,1852.56,1852.78,723,180
1652279400,1852.8,1853.76,1851.2,1851.36,717,180
1652280300,1851.34,1853.09,1850.19,1850.3,737,220
1652281200,1850.21,1852.14,1849.49,1850.43,1076,180
1652282100,1850.45,1851.03,1848.07,1849.69,1547,210
1652283000,1849.71,1849.87,1834.66,1841.03,5076,180
1652283900,1841.01,1843.17,1835.32,1839.46,3626,180
1652284800,1839.46,1847.19,1837.7,1846.19,3617,180
1652285700,1846.19,1851.22,1844.28,1849.68,2983,180
1652286600,1849.62,1855.8,1847.17,1854.67,4028,180
1652287500,1854.69,1858.14,1851.04,1853.26,3907,180
1652288400,1853.37,1853.63,1846.36,1848.96,3061,180
1652289300,1848.87,1851.39,1846.66,1848.71,2582,180
1652290200,1848.73,1852.64,1847.5,1852.05,2623,180
1652291100,1852.05,1852.82,1850.52,1851.16,2448,180
1652292000,1851.16,1851.38,1847.46,1850.75,2059,180
1652292900,1850.67,1853.95,1848.63,1853.47,2251,180
1652293800,1853.47,1854.88,1852.7,1854.11,2073,180
1652294700,1854.18,1854.6,1850.81,1852.34,1592,180
1652295600,1852.32,1853.39,1851.33,1853.13,1720,180
1652296500,1853.02,1854.51,1851.32,1851.33,1888,230
1652297400,1851.33,1853.08,1850.15,1852.96,2009,180
1652298300,1852.95,1853.8,1851.63,1852.21,1513,180
1652299200,1852.22,1854.24,1850.7,1853.55,1829,180
