time,open,high,low,close,tick_volume,spread
1681221600,2.342,2.348,2.336,2.339,129,250
1681225200,2.339,2.348,2.301,2.321,795,260
1681228800,2.321,2.324,2.243,2.248,978,260
1681232400,2.25,2.2720000000000002,2.235,2.263,803,260
1681236000,2.263,2.325,2.261,2.296,902,250
1681239600,2.296,2.304,2.266,2.285,586,260
1681243200,2.285,2.3,2.259,2.262,614,270
1681246800,2.262,2.299,2.257,2.291,693,280
1681250400,2.29,2.319,2.288,2.317,320,260
1681254000,2.317,2.318,2.291,2.298,180,270
1681261200,2.315,2.317,2.31,2.317,79,340
1681264800,2.317,2.319,2.312,2.315,66,320
1681268400,2.315,2.326,2.313,2.32,103,310
1681272000,2.32,2.326,2.319,2.321,83,310
1681275600,2.321,2.321,2.318,2.319,50,320
1681279200,2.32,2.321,2.315,2.315,65,320
1681282800,2.315,2.316,2.308,2.311,38,320
1681286400,2.31,2.311,2.296,2.296,114,310
1681290000,2.297,2.309,2.276,2.282,172,280
1681293600,2.283,2.297,2.277,2.2800000000000002,194,280
1681297200,2.2800000000000002,2.285,2.277,2.278,141,270
1681300800,2.278,2.299,2.278,2.296,187,280
1681304400,2.296,2.299,2.289,2.296,160,270
1681308000,2.296,2.319,2.285,2.306,324,250
1681311600,2.306,2.31,2.276,2.282,702,240
1681315200,2.282,2.294,2.262,2.287,835,250
1681318800,2.288,2.289,2.216,2.223,827,260
1681322400,2.224,2.233,2.198,2.209,674,270
1681326000,2.21,2.222,2.201,2.215,483,260
1681329600,2.215,2.227,2.2,2.206,550,270
1681333200,2.205,2.222,2.193,2.218,564,280
1681336800,2.219,2.222,2.211,2.212,205,280
1681340400,2.212,2.214,2.187,2.19,242,280
1681347600,2.206,2.211,2.203,2.209,138,350
1681351200,2.209,2.211,2.206,2.21,75,320
1681354800,2.21,2.213,2.205,2.205,101,300
1681358400,2.205,2.207,2.199,2.203,104,300
1681362000,2.203,2.209,2.2,2.206,81,320
1681365600,2.206,2.206,2.204,2.205,67,320
1681369200,2.205,2.206,2.202,2.203,53,320
1681372800,2.204,2.211,2.201,2.209,88,300
1681376400,2.209,2.212,2.205,2.212,108,300
1681380000,2.212,2.215,2.205,2.208,148,280
1681383600,2.208,2.209,2.182,2.196,256,270
1681387200,2.196,2.216,2.192,2.213,235,270
1681390800,2.213,2.216,2.201,2.214,181,260
1681394400,2.215,2.24,2.21,2.231,305,260
1681398000,2.231,2.252,2.197,2.208,614,250
1681401600,2.207,2.213,2.143,2.148,953,250
1681405200,2.147,2.189,2.142,2.182,746,250
1681408800,2.182,2.185,2.151,2.158,462,260
1681412400,2.158,2.16,2.132,2.143,443,270
1681416000,2.143,2.146,2.133,2.136,353,270
1681419600,2.136,2.156,2.13,2.151,550,270
1681423200,2.151,2.156,2.146,2.153,205,280
1681426800,2.153,2.167,2.133,2.133,176,280
1681434000,2.157,2.164,2.157,2.164,81,350
1681437600,2.165,2.166,2.157,2.165,76,320
1681441200,2.165,2.177,2.163,2.172,135,310
1681444800,2.172,2.175,2.17,2.172,75,310
1681448400,2.171,2.175,2.17,2.175,56,320
1681452000,2.175,2.177,2.173,2.177,61,320
1681455600,2.176,2.177,2.171,2.174,57,310
1681459200,2.175,2.176,2.168,2.175,105,320
1681462800,2.175,2.177,2.158,2.173,187,290
1681466400,2.172,2.174,2.162,2.168,153,280
1681470000,2.168,2.19,2.166,2.183,180,280
1681473600,2.183,2.186,2.178,2.181,158,280
1681477200,2.182,2.188,2.166,2.167,164,270
1681480800,2.167,2.181,2.1,2.111,462,250
1681484400,2.111,2.137,2.108,2.137,653,250
1681488000,2.137,2.16,2.122,2.159,777,250
1681491600,2.159,2.177,2.1310000000000002,2.154,661,260
1681495200,2.154,2.214,2.154,2.214,798,260
1681498800,2.214,2.253,2.208,2.24,656,270
1681502400,2.24,2.2560000000000002,2.225,2.246,705,270
1681506000,2.247,2.271,2.231,2.254,728,280
1681509600,2.254,2.263,2.25,2.258,260,280
1681513200,2.258,2.258,2.229,2.233,154,280
1681693200,2.298,2.319,2.297,2.317,279,340
1681696800,2.316,2.333,2.316,2.325,184,320
1681700400,2.325,2.326,2.313,2.316,176,310
1681704000,2.316,2.318,2.312,2.317,90,310
1681707600,2.318,2.319,2.316,2.316,45,320
1681711200,2.317,2.32,2.315,2.315,68,310
1681714800,2.314,2.319,2.313,2.318,68,310
1681718400,2.317,2.325,2.31,2.325,107,320
1681722000,2.325,2.325,2.318,2.322,133,290
1681725600,2.322,2.322,2.306,2.306,169,280
1681729200,2.306,2.308,2.303,2.305,128,290
1681732800,2.305,2.315,2.302,2.309,124,290
1681736400,2.309,2.32,2.299,2.319,149,270
1681740000,2.314,2.328,2.302,2.302,333,270
1681743600,2.302,2.392,2.301,2.382,920,260
1681747200,2.3810000000000002,2.426,2.3810000000000002,2.4050000000000002,1237,240
1681750800,2.406,2.419,2.3810000000000002,2.409,720,260
1681754400,2.409,2.415,2.3970000000000002,2.41,592,250
1681758000,2.41,2.415,2.383,2.399,521,260
1681761600,2.3970000000000002,2.422,2.386,2.421,520,280
1681765200,2.421,2.421,2.394,2.41,685,280
1681768800,2.41,2.416,2.401,2.412,249,280
1681772400,2.411,2.422,2.404,2.407,151,280
1681779600,2.423,2.424,2.417,2.42,69,340
1681783200,2.421,2.427,2.417,2.426,68,320
1681786800,2.426,2.431,2.418,2.425,185,310
1681790400,2.425,2.426,2.422,2.424,61,320
1681794000,2.424,2.425,2.421,2.424,57,320
1681797600,2.424,2.424,2.419,2.419,40,320
1681801200,2.419,2.42,2.403,2.4050000000000002,92,320
1681804800,2.4050000000000002,2.406,2.396,2.403,123,320
1681808400,2.403,2.414,2.3970000000000002,2.414,129,290
1681812000,2.414,2.425,2.411,2.414,163,290
1681815600,2.414,2.416,2.404,2.415,165,280
1681819200,2.415,2.471,2.414,2.469,231,280
1681822800,2.469,2.487,2.44,2.44,356,270
1681826400,2.44,2.443,2.392,2.394,462,250
1681830000,2.394,2.425,2.374,2.422,654,260
1681833600,2.419,2.45,2.409,2.418,844,260
1681837200,2.418,2.444,2.402,2.437,631,250
1681840800,2.437,2.485,2.429,2.474,607,250
1681844400,2.475,2.5,2.464,2.466,561,260
1681848000,2.466,2.505,2.457,2.5,527,280
1681851600,2.5,2.505,2.4859999999999998,2.5,610,280
1681855200,2.5,2.5,2.488,2.497,217,280
1681858800,2.496,2.511,2.488,2.489,171,290
1681866000,2.5060000000000002,2.51,2.504,2.508,115,360
1681869600,2.508,2.5140000000000002,2.505,2.505,107,320
1681873200,2.505,2.505,2.492,2.498,120,310
1681876800,2.498,2.499,2.493,2.496,86,310
1681880400,2.496,2.5,2.4939999999999998,2.496,94,310
1681884000,2.496,2.497,2.493,2.496,75,320
1681887600,2.496,2.497,2.4939999999999998,2.496,60,320
1681891200,2.495,2.498,2.487,2.496,107,310
1681894800,2.496,2.505,2.495,2.502,148,290
1681898400,2.502,2.525,2.501,2.5220000000000002,148,290
1681902000,2.523,2.527,2.4859999999999998,2.49,223,280
1681905600,2.49,2.496,2.4779999999999998,2.482,249,280
1681909200,2.482,2.495,2.48,2.4939999999999998,157,280
1681912800,2.493,2.508,2.455,2.458,369,250
1681916400,2.458,2.463,2.414,2.432,690,260
1681920000,2.432,2.432,2.3689999999999998,2.38,882,250
1681923600,2.38,2.384,2.3529999999999998,2.384,602,260
1681927200,2.384,2.415,2.384,2.409,507,260
1681930800,2.409,2.411,2.38,2.385,449,260
1681934400,2.384,2.413,2.375,2.4050000000000002,416,280
1681938000,2.4050000000000002,2.4050000000000002,2.372,2.385,572,280
1681941600,2.386,2.388,2.372,2.378,202,270
1681945200,2.379,2.385,2.327,2.327,194,280
1681952400,2.352,2.371,2.349,2.363,151,350
1681956000,2.362,2.37,2.359,2.37,95,320
1681959600,2.3689999999999998,2.38,2.366,2.378,108,310
1681963200,2.378,2.379,2.364,2.3689999999999998,71,310
1681966800,2.368,2.376,2.368,2.374,64,320
1681970400,2.374,2.374,2.368,2.373,56,320
1681974000,2.373,2.375,2.372,2.374,53,320
1681977600,2.374,2.382,2.3689999999999998,2.382,98,310
1681981200,2.38,2.39,2.373,2.39,165,290
1681984800,2.39,2.395,2.382,2.391,181,290
1681988400,2.391,2.407,2.387,2.402,198,290
1681992000,2.403,2.408,2.395,2.3970000000000002,157,280
1681995600,2.3970000000000002,2.414,2.396,2.414,154,270
1681999200,2.414,2.418,2.362,2.375,343,260
1682002800,2.375,2.417,2.3689999999999998,2.406,687,250
1682006400,2.406,2.422,2.366,2.392,774,260
1682010000,2.392,2.394,2.336,2.348,854,250
1682013600,2.348,2.357,2.312,2.351,621,260
1682017200,2.351,2.387,2.34,2.385,410,260
1682020800,2.385,2.428,2.376,2.427,604,270
1682024400,2.428,2.429,2.403,2.404,558,270
1682028000,2.404,2.408,2.3890000000000002,2.395,285,270
1682031600,2.395,2.396,2.344,2.346,165,280
1682038800,2.375,2.383,2.374,2.382,92,340
1682042400,2.382,2.388,2.377,2.382,64,320
1682046000,2.382,2.3890000000000002,2.382,2.388,75,320
1682049600,2.388,2.393,2.385,2.391,76,310
1682053200,2.391,2.394,2.39,2.393,49,320
1682056800,2.393,2.3970000000000002,2.39,2.396,69,300
1682060400,2.395,2.3970000000000002,2.3890000000000002,2.393,82,320
1682064000,2.393,2.398,2.39,2.391,102,310
1682067600,2.392,2.416,2.391,2.403,197,290
1682071200,2.403,2.42,2.401,2.403,239,290
1682074800,2.403,2.415,2.385,2.415,214,280
1682078400,2.415,2.42,2.4050000000000002,2.4050000000000002,168,280
1682082000,2.4050000000000002,2.409,2.393,2.399,171,270
1682085600,2.399,2.414,2.379,2.385,293,270
1682089200,2.385,2.449,2.355,2.416,870,260
1682092800,2.418,2.427,2.396,2.407,676,260
1682096400,2.407,2.428,2.384,2.392,612,260
1682100000,2.392,2.417,2.387,2.416,486,260
