time,open,high,low,close,tick_volume,spread
1662739200,877.08,880.19,874.17,878.97,2087,173
1662742800,878.93,885.1,878.39,883.33,3197,119
1662746400,883.33,885.23,880.78,884.02,1911,141
1662750000,884.02,887.47,880.84,886.43,1668,91
1662753600,886.43,886.64,882.8,883.48,1228,189
1662757200,883.48,883.49,881.47,882.79,869,203
1662760800,882.79,883.24,881.84,881.84,642,225
1662764400,881.84,881.99,870.62,870.62,396,253
1662944400,876.32,885.25,874.44,883.64,901,287
1662948000,883.64,883.78,881.16,881.48,566,228
1662951600,881.48,883.34,879.96,879.96,913,200
1662955200,879.96,882.83,878.58,882.03,917,192
1662958800,882.03,882.03,875.91,876.66,859,208
1662962400,876.54,877.49,874.95,877.18,767,237
1662966000,877.18,877.23,874.89,875.75,723,239
1662969600,875.75,878.62,875.13,878.22,896,256
1662973200,878.27,888.74,877.71,888.69,1397,65
1662976800,888.56,896.23,888.11,892.79,2375,88
1662980400,892.78,895.41,889.32,891.23,2005,9
1662984000,891.23,894.09,888.96,889.5,1781,178
1662987600,889.5,892.57,888.94,890.43,1652,182
1662991200,890.43,894.9,889.36,894.02,1925,49
1662994800,894.02,900.59,893.95,899.44,2684,3
1662998400,899.44,904.6,896.94,901.61,3488,20
1663002000,901.61,903.1,897.91,899.55,2477,172
1663005600,899.55,907.24,899.35,906.84,2178,107
1663009200,906.79,910.04,905.97,909.01,2073,55
1663012800,908.92,909.69,904.55,905.49,1486,154
1663016400,905.49,905.83,902.59,905.03,1759,161
1663020000,905.13,907.26,904.02,906.43,1490,169
1663023600,906.39,908.26,904.03,904.1,772,184
1663027200,905.11,905.11,905.11,905.11,1,1083
1663030800,905.11,908.59,904.59,906.81,651,233
1663034400,906.82,909.79,905.6,905.98,738,228
1663038000,905.98,909.0,904.57,904.65,1151,239
1663041600,904.62,907.06,900.99,904.43,1771,242
1663045200,904.43,904.47,901.14,903.47,1189,264
1663048800,903.47,904.74,901.43,901.87,885,279
1663052400,901.87,903.42,900.79,902.17,799,252
1663056000,902.17,903.89,900.9,902.43,1046,218
1663059600,902.43,907.97,902.43,906.45,1305,92
1663063200,906.38,909.49,903.99,909.44,2050,45
1663066800,909.44,912.42,907.9,911.68,1890,114
1663070400,911.76,912.18,909.58,910.0,793,167
1663160400,900.98,902.22,899.35,900.17,743,0
1663164000,900.17,901.97,894.4,894.4,1594,27
1663167600,894.4,907.01,894.13,905.9,1471,86
1663171200,905.9,911.71,902.25,910.43,3078,43
1663174800,910.43,912.43,905.21,911.62,2805,31
1663178400,910.96,914.76,907.24,913.34,2350,99
1663182000,913.34,914.71,909.21,910.01,1945,154
1663185600,910.01,910.61,906.03,906.03,2225,130
1663189200,906.1,909.07,904.79,904.79,2004,174
1663192800,904.79,908.24,903.86,907.79,2037,6
1663196400,907.77,909.19,905.84,905.84,712,100
1663203600,904.59,909.11,903.48,908.87,581,225
1663207200,908.43,911.14,907.18,908.13,709,237
1663210800,908.15,908.35,905.16,906.57,1005,230
1663214400,906.69,909.84,905.14,909.29,1215,220
1663218000,909.33,909.57,905.04,905.95,1076,231
1663221600,905.95,905.95,902.73,903.71,959,225
1663225200,903.74,905.15,902.32,902.82,819,242
1663228800,902.84,903.23,901.08,901.46,1231,222
1663232400,902.15,903.55,901.23,903.0,1356,174
1663236000,903.0,910.93,902.1,910.78,1540,145
1663239600,910.7,911.28,906.08,908.17,1482,127
1663243200,908.22,909.66,907.61,908.53,1143,131
1663246800,908.53,909.45,906.92,908.19,330,142
1663250400,912.84,912.89,912.84,912.89,2,197
1663254000,912.89,918.12,912.8,917.58,516,75
1663264800,907.83,910.09,905.1,906.37,2787,111
1663268400,906.37,908.26,904.36,906.15,2202,132
1663272000,906.17,908.4,905.72,907.83,1516,174
1663275600,907.83,907.96,904.84,905.02,1330,160
1663279200,904.88,906.69,904.21,905.47,1254,213
1663282800,905.47,906.83,902.47,902.65,828,254
1663290000,901.9,904.99,901.42,902.44,619,272
1663293600,902.47,904.45,901.8,903.82,583,256
1663297200,903.82,905.28,902.05,903.56,1169,247
1663300800,903.66,907.18,903.03,903.62,1336,270
1663304400,903.53,905.51,902.27,903.76,1225,281
1663308000,903.76,905.28,902.06,904.94,1009,228
1663311600,904.82,905.79,903.58,903.64,812,263
1663315200,903.64,904.14,901.61,902.09,1115,224
