time,open,high,low,close,tick_volume,spread
1691564400,0.63859,0.64405,0.63712,0.6417,1228,147
1691568000,0.6418,0.6449,0.6411,0.64267,1121,137
1691571600,0.64269,0.64309,0.63705,0.63754,1548,146
1691575200,0.63756,0.64352,0.63742,0.64322,1331,148
1691578800,0.64324,0.64337,0.63857,0.6397,1465,130
1691582400,0.63956,0.64338,0.63819,0.64185,1138,143
1691586000,0.64185,0.64505,0.63947,0.64437,1551,133
1691589600,0.64417,0.64779,0.64166,0.64321,1946,119
1691593200,0.64321,0.64835,0.64283,0.64708,2692,137
1691596800,0.64706,0.66485,0.64582,0.65949,5359,120
1691600400,0.65949,0.65949,0.65139,0.65155,3604,141
1691604000,0.65153,0.65602,0.6498,0.65336,3053,150
1691607600,0.65336,0.65644,0.64726,0.65068,3438,119
1691611200,0.65103,0.65247,0.64706,0.65059,2787,144
1691614800,0.65057,0.65369,0.64982,0.65192,1443,155
1691618400,0.65196,0.66387,0.65196,0.65872,3102,136
1691622000,0.65872,0.65886,0.65387,0.65685,1535,150
1691625600,0.65682,0.65824,0.63191,0.63667,3971,120
1691629200,0.63667,0.64048,0.63061,0.6396,2601,127
1691632800,0.63958,0.64474,0.63895,0.64206,1617,128
1691636400,0.64208,0.64336,0.63805,0.64076,1352,150
1691640000,0.64074,0.64199,0.63765,0.6392,1429,145
1691643600,0.6392,0.64133,0.6365,0.63702,1050,153
1691647200,0.63709,0.6385,0.63568,0.63654,1046,151
1691650800,0.63651,0.63742,0.634,0.63712,1282,154
1691654400,0.63712,0.63742,0.63312,0.63362,1267,143
1691658000,0.63367,0.63518,0.62576,0.62777,2145,97
1691661600,0.6276,0.63012,0.62284,0.62485,2038,132
1691665200,0.62483,0.62858,0.62481,0.62785,1313,146
1691668800,0.62783,0.62947,0.62458,0.62929,1395,147
1691672400,0.62925,0.63087,0.62731,0.63087,1443,143
1691676000,0.63085,0.63144,0.62717,0.62793,1492,142
1691679600,0.62792,0.63664,0.62779,0.63358,3508,144
1691683200,0.63352,0.63597,0.63096,0.6351,2696,128
1691686800,0.63506,0.63629,0.62771,0.6299,3183,151
1691690400,0.62995,0.63133,0.62913,0.63006,1956,148
1691694000,0.63004,0.63004,0.62671,0.62742,1616,147
1691697600,0.62737,0.6328,0.623,0.63034,2140,144
1691701200,0.63031,0.63361,0.62973,0.63245,1587,143
1691704800,0.63252,0.63449,0.62902,0.63254,1378,154
1691708400,0.63257,0.63296,0.62949,0.62967,922,147
1691712000,0.62972,0.63322,0.62948,0.63285,650,82
1691715600,0.63282,0.63399,0.63055,0.63118,822,152
1691719200,0.63118,0.63358,0.63085,0.63172,735,148
1691722800,0.63172,0.63478,0.63114,0.63459,786,151
1691726400,0.63454,0.63494,0.63215,0.63321,944,158
1691730000,0.63316,0.63437,0.63041,0.6313,1342,155
1691733600,0.63127,0.63436,0.63041,0.63372,1200,161
1691737200,0.63371,0.63966,0.63357,0.63643,1325,144
1691740800,0.63643,0.63676,0.63404,0.63457,1002,177
1691744400,0.63457,0.63488,0.63007,0.63258,1275,149
1691748000,0.63259,0.63405,0.63011,0.63016,967,156
1691751600,0.63009,0.63078,0.62702,0.62737,1065,141
1691755200,0.62726,0.63067,0.62678,0.62974,832,140
1691758800,0.62981,0.63086,0.6287,0.63021,972,158
1691762400,0.6302,0.63157,0.62908,0.63157,858,150
1691766000,0.63164,0.63255,0.62907,0.62943,1412,156
1691769600,0.62945,0.63205,0.62894,0.63158,1246,153
1691773200,0.63153,0.63319,0.63073,0.63105,2118,153
1691776800,0.63105,0.63165,0.62421,0.62722,2278,147
1691780400,0.62723,0.62869,0.62544,0.62756,1807,155
1691784000,0.62756,0.62961,0.62658,0.62868,1113,156
1691787600,0.62865,0.62973,0.62799,0.6291,846,149
1691791200,0.62914,0.62981,0.62651,0.62927,865,154
1691794800,0.62937,0.631,0.62833,0.62833,564,158
1691798400,0.62833,0.63115,0.6283,0.6305,405,160
1691802000,0.63055,0.63134,0.62976,0.63125,500,141
1691805600,0.63135,0.63197,0.63033,0.63033,401,154
1691809200,0.63035,0.63207,0.6287,0.63138,982,141
1691812800,0.63138,0.63152,0.62914,0.62925,798,148
1691816400,0.6293,0.62982,0.62849,0.62874,449,155
1691820000,0.62883,0.62922,0.62692,0.62829,529,167
1691823600,0.6282,0.62831,0.62693,0.62764,495,173
1691827200,0.62765,0.62906,0.62752,0.62834,463,172
1691830800,0.62844,0.62956,0.62837,0.62909,348,167
1691834400,0.62913,0.62916,0.62858,0.629,484,169
1691838000,0.62902,0.62943,0.62785,0.62829,510,170
1691841600,0.62824,0.62959,0.62824,0.62952,553,171
1691845200,0.62952,0.63017,0.62899,0.6299,350,171
1691848800,0.62932,0.62932,0.62881,0.62889,27,169
1691852400,0.62887,0.6292,0.62758,0.62859,429,173
1691856000,0.62856,0.62871,0.62756,0.62793,286,173
1691859600,0.62795,0.62984,0.6279,0.62925,487,168
1691863200,0.62929,0.62998,0.6285,0.62969,444,174
1691866800,0.62965,0.63007,0.62883,0.62939,517,167
1691870400,0.62939,0.62964,0.62814,0.62849,417,166
