type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,0.99097,1.00633,1.00633,0.95257,-552.9599999999973,360,362,SL,strong_trend,pullback
sell,0.92573,0.9439900000000001,0.9439900000000001,0.88007,-310.4200000000009,462,469,SL,strong_trend,pullback
partial,0.76939,0.7985480394205794,0.74996,0.81798,233.26431536463497,837,845,SCALE_OUT,strong_trend,
buy,0.76939,0.7800754455482166,0.7800754455482166,0.81798,213.70891096433198,837,851,SL,strong_trend,pullback
partial,0.79868,0.8202967102019038,0.7842699999999999,0.8347,237.78381222094188,872,879,SCALE_OUT,strong_trend,
buy,0.79868,0.8058247262111949,0.8058247262111949,0.8347,192.9076077022649,872,882,SL,strong_trend,pullback
buy,0.80318,0.78863,0.78863,0.83956,-552.8999999999982,891,894,SL,strong_trend,pullback
sell,0.74419,0.75995,0.75995,0.70479,-551.5999999999999,986,996,SL,strong_trend,crossover
buy,0.77249,0.75898,0.75898,0.80627,-310.7300000000005,1061,1069,SL,strong_trend,pullback
partial,1.01045,1.0864475019356998,0.95979,1.13711,75.99750193569976,1268,1271,SCALE_OUT,strong_trend,
buy,1.01045,1.13711,1.0160583079241587,1.13711,253.31999999999994,1268,1273,TP,strong_trend,crossover
partial,0.90364,0.970543797828567,0.85904,1.01514,267.61519131426815,1318,1324,SCALE_OUT,strong_trend,
buy,0.90364,0.9156161914231558,0.9156161914231558,1.01514,95.80953138524603,1318,1328,SL,strong_trend,pullback
sell,0.70514,0.72595,0.72595,0.65311,-457.8199999999999,1470,1472,SL,strong_trend,pullback
sell,0.5745,0.59261,0.59261,0.52922,-72.43999999999984,2128,2134,SL,strong_trend,pullback
buy,0.79699,0.78298,0.78298,0.83201,-140.09999999999965,2927,2933,SL,strong_trend,pullback
buy,0.78599,0.77126,0.77126,0.82283,-103.11000000000016,3030,3032,SL,strong_trend,pullback
buy,0.77574,0.76127,0.76127,0.81193,-101.28999999999988,3040,3046,SL,strong_trend,pullback
buy,0.78481,0.77079,0.77079,0.81988,-84.12000000000019,3218,3221,SL,strong_trend,pullback
buy,0.77671,0.76352,0.76352,0.80968,-92.33000000000025,3221,3225,SL,strong_trend,pullback
buy,0.73406,0.7264400000000001,0.7264400000000001,0.7454900000000001,-68.57999999999963,3363,3366,SL,ranging,mean_reversion
buy,0.66746,0.67742,0.6608200000000001,0.67742,99.59999999999968,3510,3518,TP,ranging,mean_reversion
sell,0.68746,0.6779799999999999,0.69378,0.6779799999999999,104.28000000000047,3526,3527,TP,ranging,mean_reversion
partial,0.66996,0.6615063501252806,0.67559,0.65588,59.175549123035914,3607,3612,SCALE_OUT,strong_trend,
sell,0.66996,0.6652826905855049,0.6652826905855049,0.65588,79.51426004641614,3607,3618,SL,strong_trend,pullback
buy,0.70456,0.69599,0.69599,0.7259899999999999,-137.11999999999946,3677,3678,SL,strong_trend,pullback
buy,0.69816,0.68939,0.68939,0.72009,-131.5500000000008,3680,3684,SL,strong_trend,pullback
partial,0.63137,0.622769406673354,0.6371,0.61704,60.204153286521844,3756,3761,SCALE_OUT,strong_trend,
sell,0.63137,0.6290281630414404,0.6290281630414404,0.61704,37.469391336953706,3756,3764,SL,strong_trend,pullback
