type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,0.62577,0.62456,0.62456,0.6275900000000001,-1.2100000000000446,326,328,SL,ranging,mean_reversion
partial,0.62253,0.6211400823169833,0.6234500000000001,0.62022,1.3899176830167728,357,361,SCALE_OUT,uncertain,
sell,0.62253,0.6223277929699684,0.6223277929699684,0.62022,0.20220703003159815,357,363,SL,uncertain,crossover
partial,0.62328,0.6217102918167045,0.62432,0.6206699999999999,1.569708183295493,370,378,SCALE_OUT,strong_trend,
sell,0.62328,0.6227994297648586,0.6227994297648586,0.6206699999999999,0.4805702351413644,370,380,SL,strong_trend,pullback
partial,0.62101,0.6180653541992781,0.6229699999999999,0.6161099999999999,2.944645800721846,444,449,SCALE_OUT,strong_trend,
sell,0.62101,0.6195807871478052,0.6195807871478052,0.6161099999999999,0.0,444,450,CHANDELIER,strong_trend,pullback
sell,0.62923,0.6301199999999999,0.6301199999999999,0.6278999999999999,-0.8899999999999464,580,590,SL,ranging,mean_reversion
sell,0.63164,0.63296,0.63296,0.6296499999999999,-1.319999999999988,633,643,SL,ranging,mean_reversion
buy,0.63493,0.63401,0.63401,0.63724,-1.840000000000064,687,688,SL,strong_trend,pullback
buy,0.63527,0.63428,0.63428,0.63776,-1.9800000000000932,688,697,SL,strong_trend,pullback
sell,0.63617,0.6348900000000001,0.63702,0.6348900000000001,1.279999999999948,711,719,TP,ranging,mean_reversion
buy,0.63389,0.6351899999999999,0.63303,0.6351899999999999,1.2999999999999683,724,732,TP,ranging,mean_reversion
sell,0.63735,0.6384099999999999,0.6384099999999999,0.63576,-1.05999999999995,740,746,SL,ranging,mean_reversion
buy,0.63591,0.63728,0.635,0.63728,1.3699999999999823,774,779,TP,ranging,mean_reversion
partial,0.63298,0.6315143340201433,0.63395,0.63054,1.4656659798566454,836,839,SCALE_OUT,uncertain,
sell,0.63298,0.63054,0.63298,0.63054,0.0,836,840,TP,uncertain,crossover
sell,0.62212,0.62332,0.62332,0.61911,-1.199999999999979,933,935,SL,strong_trend,pullback
sell,0.62361,0.62057,0.62482,0.62057,3.040000000000043,935,938,TP,strong_trend,pullback
buy,0.62845,0.6271199999999999,0.6271199999999999,0.63178,-1.3300000000000534,1052,1059,SL,strong_trend,pullback
sell,0.62688,0.62824,0.62824,0.62348,-1.360000000000028,1059,1060,SL,strong_trend,crossover
buy,0.62986,0.62881,0.62854,0.63317,-1.0500000249999957,1067,1071,REVERSAL,uncertain,crossover
sell,0.62881,0.63,0.63,0.62584,-1.1900000000000246,1071,1078,SL,uncertain,crossover
partial,0.6308,0.632801434024243,0.62947,0.6341300000000001,2.001434024243021,1086,1092,SCALE_OUT,uncertain,
buy,0.6308,0.6317062914350178,0.6317062914350178,0.6341300000000001,0.0,1086,1096,SL,uncertain,crossover
sell,0.63011,0.6310699999999999,0.6310699999999999,0.62867,-0.9599999999999609,1126,1129,SL,ranging,mean_reversion
sell,0.632,0.63303,0.63303,0.63045,-1.0299999999999756,1129,1137,SL,ranging,mean_reversion
buy,0.63602,0.63514,0.63514,0.6382300000000001,-0.8799999999999919,1178,1179,SL,strong_trend,pullback
partial,0.63494,0.6363070481800921,0.63403,0.6372099999999999,1.3670481800921455,1179,1184,SCALE_OUT,strong_trend,
