type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,8433.9,8474.887785195622,8406.6,8502.199999999999,5.118349676303369,414,415,SCALE_OUT,strong_trend,
buy,8433.9,8444.731960724182,8444.731960724182,8502.199999999999,3.1561625560087827,414,416,CHANDELIER,strong_trend,pullback
sell,8412.7,8436.5,8436.5,8353.1,-10.56719999999968,428,431,SL,uncertain,crossover
sell,8425.8,8446.599999999999,8446.599999999999,8373.8,-10.533899999999633,438,439,SL,ranging,crossover
sell,8492.0,8510.1,8510.1,8464.9,-6.906281250000141,456,463,SL,ranging,mean_reversion
sell,8306.6,8327.5,8327.5,8254.300000000001,-11.309512499999807,741,745,SL,strong_trend,pullback
partial,8315.6,8284.779427962201,8336.1,8264.300000000001,5.131625244293558,745,751,SCALE_OUT,strong_trend,
sell,8315.6,8264.300000000001,8308.795662383669,8264.300000000001,19.57415624999973,745,753,TP,strong_trend,pullback
sell,8242.2,8263.900000000001,8263.900000000001,8187.900000000001,-14.000568750000474,785,791,SL,strong_trend,pullback
partial,8188.3,8144.550729535865,8217.4,8115.400000000001,4.856169021519031,879,888,SCALE_OUT,strong_trend,
sell,8188.3,8115.400000000001,8157.262155865064,8115.400000000001,19.724006249999906,879,891,TP,strong_trend,pullback
partial,8154.5,8102.713580943188,8189.0,8068.2,4.6704876686861985,898,901,SCALE_OUT,strong_trend,
sell,8154.5,8140.0496984246565,8140.0496984246565,8068.2,3.107717982547307,898,905,SL,strong_trend,pullback
partial,8135.5,8089.817934606789,8165.9,8059.4,5.070709258646412,905,916,SCALE_OUT,strong_trend,
sell,8135.5,8125.464181111631,8125.464181111631,8059.4,2.5760692609082825,905,917,CHANDELIER,strong_trend,pullback
sell,7986.8,8016.3,8016.3,7912.900000000001,-3.4791562500000013,964,966,SL,strong_trend,pullback
partial,8003.2,7958.30308238337,8033.099999999999,7928.4,1.5573618298268592,966,968,SCALE_OUT,strong_trend,
sell,8003.2,7928.4,7982.847276969291,7928.4,6.227100000000017,966,978,TP,strong_trend,pullback
partial,7892.2,7844.018859540919,7924.3,7811.9,1.337026647739492,999,1006,SCALE_OUT,strong_trend,
sell,7892.2,7811.9,7892.2,7811.9,5.013731250000013,999,1007,TP,strong_trend,pullback
partial,7867.9,7838.885616937553,7887.2,7819.599999999999,1.6102982599657836,1109,1121,SCALE_OUT,strong_trend,
sell,7867.9,7819.599999999999,7867.9,7819.599999999999,6.366543750000026,1109,1122,TP,strong_trend,pullback
sell,7826.5,7844.7,7844.7,7780.9,-3.535349999999966,1129,1131,SL,strong_trend,pullback
buy,7953.9,7935.799999999999,7935.799999999999,7999.299999999999,-3.6414937500000737,1226,1228,SL,strong_trend,pullback
buy,7957.7,7938.9,7938.9,8004.7,-2.8693500000000287,1268,1282,SL,strong_trend,pullback
partial,7952.7,7981.247068912908,7933.7,8000.2,1.5843623246663885,1284,1292,SCALE_OUT,strong_trend,
buy,7952.7,7969.3686974212305,7969.3686974212305,8000.2,2.1971426788359745,1284,1294,SL,strong_trend,pullback
partial,7861.7,7826.3630510287585,7885.2,7802.9,1.2257504174399338,1316,1320,SCALE_OUT,strong_trend,
sell,7861.7,7842.0841845767545,7842.0841845767545,7802.9,1.7691013534839355,1316,1328,SL,strong_trend,crossover
sell,7900.1,7923.700000000001,7923.700000000001,7841.0,-3.601950000000057,1334,1343,SL,strong_trend,pullback
partial,7932.6,7896.418600184795,7956.700000000001,7872.3,1.5060507673079344,1350,1352,SCALE_OUT,strong_trend,
sell,7932.6,7932.6,7932.6,7872.3,0.0,1350,1353,SL,strong_trend,pullback
buy,7953.6,7929.400000000001,7929.400000000001,8014.200000000001,-2.686199999999981,1378,1381,SL,uncertain,crossover
sell,7393.4,7456.5,7456.5,7235.5,-3.5020500000000214,1476,1483,SL,strong_trend,pullback
buy,8010.9,7989.299999999999,7989.299999999999,8065.099999999999,-3.5964000000000618,1725,1727,SL,strong_trend,pullback
partial,8059.2,8090.402555156485,8038.4,8111.2,1.7317418111849057,1771,1775,SCALE_OUT,strong_trend,
buy,8059.2,8074.689255199253,8074.689255199253,8111.2,1.8267640350619507,1771,1776,CHANDELIER,strong_trend,pullback
buy,8183.1,8159.900000000001,8159.900000000001,8241.300000000001,-3.540899999999973,1806,1808,SL,strong_trend,pullback
partial,8293.5,8320.936821228725,8275.3,8339.2,1.1420576836456582,2044,2047,SCALE_OUT,strong_trend,
buy,8293.5,8339.2,8308.732779281716,8339.2,4.755656250000077,2044,2050,TP,strong_trend,pullback
buy,8412.1,8395.800000000001,8395.800000000001,8452.9,-3.6185999999998395,2204,2209,SL,strong_trend,pullback
partial,8538.0,8559.807470114776,8523.5,8574.3,1.512893239212596,2345,2346,SCALE_OUT,strong_trend,
buy,8538.0,8541.699171176544,8541.699171176544,8574.3,0.6415750009318574,2345,2348,SL,strong_trend,pullback
buy,8542.5,8527.2,8527.2,8580.9,-3.6088874999998297,2348,2351,SL,strong_trend,pullback
buy,8541.0,8523.1,8523.1,8585.9,-2.731987499999945,2351,2353,SL,strong_trend,pullback
buy,8552.9,8534.699999999999,8534.699999999999,8598.6,-2.525250000000102,2354,2358,SL,strong_trend,pullback
partial,8533.9,8559.479650971964,8516.9,8576.5,1.2422118003259988,2359,2367,SCALE_OUT,strong_trend,
buy,8533.9,8546.425616673137,8546.425616673137,8576.5,1.477239916388195,2359,2369,SL,strong_trend,pullback
buy,8591.1,8573.6,8573.6,8635.0,-3.5207812500000006,2450,2461,SL,strong_trend,pullback
partial,8566.0,8597.280187438924,8545.2,8618.1,1.736050402860297,2490,2498,SCALE_OUT,strong_trend,
buy,8566.0,8580.29520834243,8580.29520834243,8618.1,1.68594113388531,2490,2501,SL,strong_trend,pullback
partial,8539.0,8512.096295653271,8556.9,8494.2,1.1198666934325854,2534,2548,SCALE_OUT,uncertain,
