type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,685.98,690.0181,690.0181,675.8848,-565.3339999999979,360,361,SL,strong_trend,pullback
partial,689.81,683.314415861398,694.1402999999999,678.9840999999999,259.8233655440799,361,366,SCALE_OUT,strong_trend,
sell,689.81,689.81,689.81,678.9840999999999,0.0,361,367,SL,strong_trend,pullback
sell,684.94,689.9873,689.9873,672.3216000000001,-454.2569999999954,367,370,SL,strong_trend,pullback
buy,613.51,605.1396,605.1396,634.436,-418.52000000000083,776,779,SL,strong_trend,pullback
partial,606.39,620.2310168468867,605.797602325743,629.4583,276.8203369377352,781,802,SCALE_OUT,strong_trend,
buy,606.39,617.6980764357548,617.6980764357548,629.4583,339.2422930726457,781,804,SL,strong_trend,pullback
buy,672.35,656.7097,656.7097,711.4507,-312.80600000000044,868,896,SL,strong_trend,pullback
buy,661.02,654.5350999999999,654.5350999999999,677.2322,-518.792000000003,981,983,SL,strong_trend,pullback
partial,647.74,657.8866030312229,640.9756,664.6510000000001,202.9320606244573,995,1001,SCALE_OUT,strong_trend,
buy,647.74,649.7951646065485,649.7951646065485,664.6510000000001,123.30987639290925,995,1002,CHANDELIER,strong_trend,pullback
sell,649.51,656.1572,656.1572,632.8919999999999,-398.83199999999977,1011,1035,SL,uncertain,crossover
buy,657.61,652.7291,652.7291,669.8122,-536.8989999999995,1056,1058,SL,strong_trend,pullback
sell,639.44,645.5163,645.5163,624.2491,-60.76299999999946,1060,1063,SL,strong_trend,crossover
sell,648.05,653.712,653.712,633.8947999999999,-113.24000000000068,1064,1069,SL,strong_trend,pullback
buy,665.86,661.3589000000001,661.3589000000001,677.1127,-135.03299999999854,1095,1098,SL,strong_trend,pullback
sell,615.02,599.7442,621.1303,599.7442,152.758,1281,1286,TP,strong_trend,pullback
partial,607.46,597.5272825797574,614.0818,590.9055000000001,99.32717420242625,1287,1288,SCALE_OUT,strong_trend,
sell,607.46,605.6096390001071,605.6096390001071,590.9055000000001,18.503609998929274,1287,1293,SL,strong_trend,pullback
sell,597.57,602.1955,602.1955,586.0062,-138.76499999999962,1365,1367,SL,strong_trend,pullback
sell,547.95,557.5473000000001,557.5473000000001,523.9566000000001,-95.97300000000018,1484,1491,SL,strong_trend,pullback
sell,572.31,580.6636,580.6636,551.4259,-83.53600000000027,1538,1545,SL,strong_trend,pullback
partial,595.08,601.5700271498389,590.7534,605.8967,64.9002714983885,1602,1604,SCALE_OUT,strong_trend,
buy,595.08,596.4232144139228,596.4232144139228,605.8967,26.864288278454747,1602,1605,CHANDELIER,strong_trend,pullback
buy,601.62,596.8489,596.8489,613.5479,-95.42200000000092,1605,1610,SL,strong_trend,pullback
partial,598.74,606.034477748504,593.8771,610.8974000000001,72.94477748503935,1610,1615,SCALE_OUT,strong_trend,
buy,598.74,610.8974000000001,598.74,610.8974000000001,121.57400000000051,1610,1616,TP,strong_trend,pullback
partial,614.76,623.3573432633235,609.0285,629.0889,85.97343263323522,1679,1687,SCALE_OUT,strong_trend,
buy,614.76,617.3594519734011,617.3594519734011,629.0889,25.994519734010737,1679,1689,SL,strong_trend,pullback
buy,626.49,620.1101,620.1101,642.4399,-127.5980000000004,1698,1703,SL,strong_trend,pullback
partial,617.66,627.1218421068397,611.3521999999999,633.4296999999999,94.61842106839752,1703,1706,SCALE_OUT,strong_trend,
buy,617.66,633.4296999999999,623.7077054363976,633.4296999999999,157.6969999999994,1703,1716,TP,strong_trend,pullback
buy,627.8,624.6179,624.6179,632.5731,-63.64199999999982,1748,1749,SL,ranging,mean_reversion
buy,631.46,628.0827,628.0827,636.5260000000001,-67.54599999999982,1827,1829,SL,ranging,mean_reversion
buy,629.7,626.4521000000001,626.4521000000001,634.5719,-64.95799999999916,1830,1844,SL,ranging,mean_reversion
buy,629.1,625.3651,625.3651,634.7024,-74.69800000000076,1884,1893,SL,ranging,mean_reversion
partial,610.84,604.2829018154188,615.2113,599.9116,65.57098184581263,1906,1908,SCALE_OUT,weak_trend,
sell,610.84,609.4345807986607,609.4345807986607,599.9116,14.054192013393275,1906,1909,CHANDELIER,weak_trend,crossover
partial,604.23,597.0782051910497,608.9978,592.3104000000001,71.51794808950285,1951,1957,SCALE_OUT,strong_trend,
sell,604.23,592.3104000000001,604.23,592.3104000000001,238.39199999999883,1951,1958,TP,strong_trend,pullback
sell,600.12,605.4924,605.4924,586.6889,-107.4479999999994,1962,1964,SL,strong_trend,pullback
sell,605.19,611.0438,611.0438,590.5553000000001,-117.07599999999955,1964,1980,SL,strong_trend,pullback
sell,552.64,562.1001,562.1001,528.9897,-94.6010000000001,2136,2143,SL,strong_trend,pullback
buy,588.53,585.7681,585.7681,595.4348,-138.0949999999984,2278,2280,SL,strong_trend,pullback
partial,585.86,590.437251776071,582.8085,593.4887,45.772517760709654,2285,2287,SCALE_OUT,strong_trend,
buy,585.86,588.381937790183,588.381937790183,593.4887,75.6581337054888,2285,2298,SL,strong_trend,pullback
buy,582.91,580.1273,580.1273,589.8668,-139.13499999999883,2335,2338,SL,strong_trend,pullback
buy,582.08,581.45,579.0337000000001,589.6959,-25.20000009999982,2344,2345,REVERSAL,strong_trend,pullback
sell,583.2,586.3751000000001,586.3751000000001,575.2622,-95.25300000000128,2347,2350,SL,strong_trend,pullback
sell,582.68,585.8192482487492,585.8192482487492,572.9802999999999,-62.78496497498508,2351,2366,SL,strong_trend,pullback
buy,588.08,585.4412000000001,585.4412000000001,594.6772000000001,-105.55199999999786,2369,2371,SL,uncertain,crossover
partial,596.05,600.7035331082279,592.9476999999999,603.8058,46.53533108227975,2470,2478,SCALE_OUT,strong_trend,
buy,596.05,598.3145977778046,598.3145977778046,603.8058,45.291955556092475,2470,2480,SL,strong_trend,pullback
buy,611.36,607.7004000000001,607.7004000000001,620.509,-109.78799999999863,2513,2514,SL,strong_trend,pullback
buy,606.54,602.5409,602.5409,616.5378999999999,-119.97299999999994,2516,2520,SL,strong_trend,pullback
buy,599.76,596.134,596.134,608.8251,-145.03999999999903,2541,2542,SL,strong_trend,pullback
partial,598.8,604.1551366322182,595.2299999999999,607.7252,53.55136632218204,2544,2550,SCALE_OUT,strong_trend,
buy,598.8,598.8,598.8,607.7252,0.0,2544,2551,SL,strong_trend,pullback
