type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,105206.9,103917.2,103917.2,108431.2,-412.70399999999916,363,366,SL,strong_trend,pullback
partial,103331.5,105684.22506695543,102473.87930810341,107252.7,141.16350401732606,367,380,SCALE_OUT,strong_trend,
buy,103331.5,104853.24482669421,104853.24482669421,107252.7,213.04427573718922,367,385,SL,strong_trend,pullback
sell,99013.2,99846.7,99846.7,96929.5,-233.38000000000005,451,455,SL,strong_trend,crossover
sell,101216.2,102406.0,102406.0,98241.5,-249.85800000000066,463,464,SL,strong_trend,pullback
sell,101117.7,102352.8,102352.8,98029.8,-259.3710000000013,464,467,SL,strong_trend,pullback
sell,101849.5,103024.8,103024.8,98911.2,-282.07200000000074,467,471,SL,strong_trend,pullback
buy,105483.6,104635.70000000001,104635.70000000001,107603.40000000001,-440.90799999999706,519,529,SL,strong_trend,crossover
buy,104911.9,104205.79999999999,104205.79999999999,106677.2,-536.6360000000045,539,542,SL,strong_trend,pullback
partial,96383.9,95429.17802451305,97020.29999999999,94792.7,238.68049387173602,824,825,SCALE_OUT,strong_trend,
sell,96383.9,96232.05925437395,96232.05925437395,94792.7,88.06763246310703,824,828,SL,strong_trend,pullback
buy,97546.8,97154.0,97154.0,98529.0,-400.656000000003,914,930,SL,uncertain,crossover
sell,96905.0,97171.0,97171.0,96239.9,-133.00000000000003,940,942,SL,strong_trend,crossover
sell,96886.7,96109.8,97197.4,96109.8,326.2979999999976,944,945,TP,strong_trend,pullback
sell,96475.9,96846.7,96846.7,95548.79999999999,-88.99200000000071,958,960,SL,strong_trend,pullback
partial,95981.5,95241.34508556846,96474.9,94748.0,37.0077457215768,966,978,SCALE_OUT,strong_trend,
sell,95981.5,95765.14169216575,95765.14169216575,94748.0,23.79941386176739,966,979,CHANDELIER,strong_trend,pullback
buy,98135.0,97549.1,97549.1,99599.9,-105.46199999999897,1057,1059,SL,strong_trend,pullback
buy,96343.1,96627.0,95681.70000000001,97996.70000000001,31.22872499999937,1068,1085,REVERSAL,strong_trend,pullback
partial,96627.0,96034.95514936959,96608.92874578529,95640.3,47.363588050432746,1085,1102,SCALE_OUT,uncertain,
sell,96627.0,95640.3,96065.42266413904,95640.3,167.73899999999952,1085,1104,TP,uncertain,crossover
partial,95993.5,95494.86490335151,96325.9,95162.5,59.836211597818775,1115,1117,SCALE_OUT,strong_trend,
sell,95993.5,95162.5,95993.5,95162.5,232.68000000000006,1115,1118,TP,strong_trend,pullback
sell,95744.4,96125.2,96125.2,94792.29999999999,-102.81600000000081,1119,1123,SL,strong_trend,pullback
sell,84326.0,85712.0,85712.0,80860.8,-138.60000000000002,1226,1237,SL,strong_trend,pullback
buy,92347.7,91203.0,91203.0,95209.59999999999,-80.12899999999982,1288,1289,SL,exhaustion,crossover
buy,90242.9,88917.5,88917.5,93556.59999999999,-92.77799999999962,1298,1299,SL,strong_trend,pullback
partial,85986.2,83811.97755360656,87435.59999999999,82362.5,43.484448927868804,1305,1306,SCALE_OUT,strong_trend,
sell,85986.2,82362.5,85986.2,82362.5,144.9479999999999,1305,1307,TP,strong_trend,crossover
sell,86760.1,88328.0,88328.0,82840.3,-125.43199999999956,1325,1326,SL,strong_trend,pullback
sell,87412.1,88965.20000000001,88965.20000000001,83529.3,-139.77900000000054,1327,1339,SL,strong_trend,pullback
buy,91822.7,90675.7,90675.7,94690.2,-137.64000000000001,1355,1362,SL,strong_trend,crossover
partial,87607.7,89941.31925049385,86052.0,91497.0,46.67238500987705,1381,1390,SCALE_OUT,strong_trend,
buy,87607.7,89140.64739226869,89140.64739226869,91497.0,45.98842176806066,1381,1391,CHANDELIER,strong_trend,pullback
sell,86673.5,85869.12394298718,85869.12394298718,82767.4,40.21880285064108,1399,1431,CHANDELIER,uncertain,crossover
partial,83227.0,81608.40673630408,84306.0,80529.4,32.37186527391838,1462,1463,SCALE_OUT,strong_trend,
sell,83227.0,80529.4,83227.0,80529.4,134.8800000000003,1462,1464,TP,strong_trend,pullback
sell,83364.0,83819.7,83819.7,82224.6,-132.15299999999917,1606,1608,SL,strong_trend,pullback
partial,83622.7,82785.10602848373,84181.0,82226.8,41.87969857581339,1608,1611,SCALE_OUT,strong_trend,
sell,83622.7,83438.91643248845,83438.91643248845,82226.8,23.891863776501417,1608,1612,CHANDELIER,strong_trend,pullback
sell,82688.2,83288.0,83288.0,81188.7,-131.95600000000067,1663,1669,SL,strong_trend,pullback
partial,86580.3,87395.77187437179,86036.7,87939.40000000001,40.77359371858912,1812,1819,SCALE_OUT,strong_trend,
buy,86580.3,87939.40000000001,86749.17438236775,87939.40000000001,163.09200000000075,1812,1821,TP,strong_trend,pullback
buy,87492.0,86931.6,86931.6,88893.1,-134.49599999999862,1830,1845,SL,strong_trend,pullback
sell,82161.5,82729.4,82729.4,80741.7,-96.54299999999904,1961,1963,SL,strong_trend,pullback
sell,82482.2,83132.8,83132.8,80855.59999999999,-91.08400000000084,1964,1965,SL,strong_trend,pullback
