type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,12850.0,12912.1,12912.1,12694.6,-8.694000000000054,413,417,SL,strong_trend,crossover
buy,12774.5,12719.2,12719.2,12857.5,-7.188999999999908,450,453,SL,ranging,mean_reversion
sell,12774.0,12819.2,12819.2,12661.0,-14.012000000000228,474,476,SL,strong_trend,pullback
sell,12853.0,12897.3,12897.3,12742.1,-13.732999999999777,477,495,SL,strong_trend,pullback
buy,13049.0,13009.1,13009.1,13148.8,-7.1819999999999355,507,509,SL,weak_trend,crossover
sell,13208.0,13244.7,13244.7,13152.9,-6.606000000000132,610,611,SL,ranging,mean_reversion
sell,13264.0,13305.5,13305.5,13201.7,-6.6400000000000015,611,612,SL,ranging,mean_reversion
partial,13274.0,13336.08236161931,13253.91272381556,13377.4,6.208236161931019,637,656,SCALE_OUT,strong_trend,
buy,13274.0,13377.4,13274.0,13377.4,22.747999999999923,637,657,TP,strong_trend,pullback
buy,13284.5,13366.3,13251.8,13366.3,34.355999999999696,672,680,TP,strong_trend,pullback
sell,13234.0,13274.6,13274.6,13132.5,-13.804000000000126,799,800,SL,strong_trend,pullback
sell,13227.5,13271.1,13271.1,13118.5,-2.6160000000000223,802,808,SL,strong_trend,pullback
partial,13260.0,13207.048310886457,13295.3,13171.8,1.5885506734062802,809,812,SCALE_OUT,strong_trend,
sell,13260.0,13171.8,13255.709663753954,13171.8,6.174000000000053,809,814,TP,strong_trend,pullback
sell,13293.0,13335.0,13335.0,13187.8,-3.3600000000000008,820,821,SL,strong_trend,pullback
partial,13330.0,13399.0024280352,13284.0,13445.0,1.3800485607040176,823,828,SCALE_OUT,strong_trend,
buy,13330.0,13330.0,13330.0,13445.0,0.0,823,829,SL,strong_trend,crossover
partial,13283.5,13350.39527486543,13239.0,13394.9,1.3379054973086024,830,834,SCALE_OUT,strong_trend,
buy,13283.5,13293.934324629228,13293.934324629228,13394.9,0.4173729851691314,830,837,SL,strong_trend,pullback
sell,13188.5,13229.8,13229.8,13085.1,-2.4779999999999567,854,861,SL,uncertain,crossover
partial,13139.0,13082.678172995149,13176.5,13045.2,1.1264365400970204,990,996,SCALE_OUT,ranging,
sell,13139.0,13045.2,13115.66256631157,13045.2,4.689999999999965,990,999,TP,ranging,crossover
sell,13221.0,13223.0,13253.504644323335,13157.0,-0.08010000000000002,1007,1023,REVERSAL,ranging,mean_reversion
buy,13616.0,13583.9,13583.9,13696.4,-3.531000000000041,1124,1137,SL,strong_trend,pullback
sell,13313.5,13352.2,13352.2,13216.6,-2.7090000000000516,1200,1206,SL,strong_trend,crossover
partial,13459.0,13400.902816302754,13481.220034464643,13362.2,1.7429155109173737,1216,1229,SCALE_OUT,strong_trend,
sell,13459.0,13430.317156572664,13430.317156572664,13362.2,1.7209706056401413,1216,1232,SL,strong_trend,pullback
buy,13002.5,12960.3,12960.3,13108.0,-2.532000000000044,1615,1621,SL,strong_trend,pullback
partial,13165.0,13248.126033766908,13121.850757201928,13303.5,0.8312603376690824,1691,1714,SCALE_OUT,strong_trend,
buy,13165.0,13165.0,13165.0,13303.5,0.0,1691,1715,SL,strong_trend,pullback
buy,13165.0,13135.2,13135.2,13239.6,-3.5759999999999135,1737,1742,SL,strong_trend,pullback
partial,13155.0,13197.659394230479,13126.6,13226.0,1.706375769219158,1744,1752,SCALE_OUT,strong_trend,
buy,13155.0,13155.0,13155.0,13226.0,0.0,1744,1753,SL,strong_trend,pullback
buy,13201.0,13167.2,13167.2,13285.6,-3.379999999999928,1758,1762,SL,strong_trend,pullback
buy,13150.5,13120.4,13120.4,13225.9,-2.7090000000000334,1763,1779,SL,strong_trend,pullback
partial,13007.0,12966.914004978466,13033.7,12940.2,1.6034398008613793,1808,1814,SCALE_OUT,strong_trend,
sell,13007.0,12998.311548389245,12998.311548389245,12940.2,0.7819606449679305,1808,1819,SL,strong_trend,crossover
partial,13155.0,13207.132962846452,13120.3,13241.8,1.5639888853935555,1851,1859,SCALE_OUT,strong_trend,
buy,13155.0,13165.313248127733,13165.313248127733,13241.8,0.7219273689413424,1851,1866,SL,strong_trend,pullback
partial,13100.0,13158.235088690528,13061.2,13197.0,1.1647017738105572,1880,1884,SCALE_OUT,strong_trend,
buy,13100.0,13197.0,13118.76241072608,13197.0,4.850000000000001,1880,1891,TP,strong_trend,pullback
buy,13718.0,13689.0,13689.0,13790.5,-3.480000000000001,2043,2045,SL,strong_trend,pullback
buy,13624.0,13658.69527084703,13658.69527084703,13701.6,3.8164797931733854,2105,2119,CHANDELIER,strong_trend,pullback
sell,13466.0,13500.6,13500.6,13379.3,-2.4220000000000264,2202,2216,SL,strong_trend,crossover
sell,13359.0,13390.9,13390.9,13279.1,-3.508999999999961,2340,2347,SL,strong_trend,pullback
sell,13390.0,13414.5,13414.5,13328.6,-3.4300000000000006,2362,2366,SL,strong_trend,pullback
buy,13450.0,13419.9,13419.9,13525.3,-1.8060000000000223,2392,2400,SL,weak_trend,crossover
sell,13390.0,13419.2,13419.2,13316.9,-2.0440000000000516,2430,2437,SL,weak_trend,crossover
sell,13451.0,13472.7,13472.7,13418.4,-1.7360000000000586,2446,2447,SL,ranging,mean_reversion
sell,13459.0,13424.5,13482.0,13424.5,2.415000000000001,2447,2450,TP,ranging,mean_reversion
sell,13354.5,13384.3,13384.3,13279.9,-2.0859999999999497,2453,2458,SL,weak_trend,crossover
buy,13463.0,13423.9,13423.9,13560.9,-1.564000000000015,2473,2492,SL,weak_trend,crossover
partial,13379.0,13331.559305584797,13395.311076893275,13300.0,0.9488138883040667,2522,2535,SCALE_OUT,weak_trend,
sell,13379.0,13379.0,13379.0,13300.0,0.0,2522,2536,SL,weak_trend,crossover
sell,13375.5,13406.7,13406.7,13297.4,-2.808000000000066,2542,2543,SL,strong_trend,pullback
sell,13396.5,13428.5,13428.5,13316.4,-2.5600000000000005,2543,2550,SL,strong_trend,pullback
sell,13378.0,13407.9,13407.9,13303.1,-3.2889999999999606,2562,2565,SL,strong_trend,pullback
sell,13353.0,13392.4,13392.4,13254.3,-1.9699999999999822,2655,2657,SL,strong_trend,pullback
