type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,21253.7,21339.538966271328,21196.5,21396.7,3.925347256414771,300,302,SCALE_OUT,strong_trend,
buy,21253.7,21396.7,21311.03637509774,21396.7,14.7133701,300,308,TP,strong_trend,pullback
buy,21764.3,21719.6,21719.6,21876.2,-14.308666680000236,510,516,SL,strong_trend,pullback
partial,21791.5,21873.48698427794,21740.98356644415,21928.1,4.686499001803514,516,525,SCALE_OUT,strong_trend,
buy,21791.5,21823.226623380837,21823.226623380837,21928.1,3.9897910412441497,516,526,CHANDELIER,strong_trend,pullback
partial,22432.1,22542.801315295994,22358.3,22616.6,5.0622825874336295,747,748,SCALE_OUT,strong_trend,
buy,22432.1,22480.80906997437,22480.80906997437,22616.6,4.454853605344034,747,750,SL,strong_trend,crossover
buy,22487.1,22411.899999999998,22411.899999999998,22675.1,-9.456798560000093,750,755,SL,strong_trend,pullback
buy,22395.4,22306.9,22306.9,22616.7,-8.094068400000001,755,761,SL,strong_trend,pullback
partial,22360.0,22506.55371437269,22313.723186847947,22604.2,5.026338086468733,762,783,SCALE_OUT,strong_trend,
buy,22360.0,22467.751574357855,22467.751574357855,22604.2,7.391089941187844,762,784,CHANDELIER,strong_trend,pullback
buy,22822.6,22702.8,22702.8,23122.199999999997,-10.956716319999934,904,905,SL,strong_trend,pullback
partial,22671.0,22863.503372589297,22544.03342891707,22991.8,4.401512612905246,905,915,SCALE_OUT,strong_trend,
buy,22671.0,22991.8,22671.0,22991.8,18.337409199999964,905,916,TP,strong_trend,pullback
buy,23158.3,23418.3,23054.3,23418.3,35.66877600000001,943,946,TP,strong_trend,pullback
buy,23229.9,23104.5,23104.5,23543.5,-2.867220840000034,949,962,SL,strong_trend,pullback
buy,23077.0,22981.6,22981.6,23315.6,-3.27192426000005,1089,1099,SL,uncertain,crossover
sell,23020.1,23087.199999999997,23087.199999999997,22919.5,-1.534214659999967,1240,1241,SL,ranging,mean_reversion
sell,23089.5,23159.3,23159.3,22984.8,-1.5959490799999836,1241,1242,SL,ranging,mean_reversion
buy,23156.5,23089.2,23089.2,23324.8,-3.077575159999967,1250,1262,SL,weak_trend,crossover
partial,22689.5,22552.25959575658,22750.118901102236,22460.8,1.5689734734320613,1272,1285,SCALE_OUT,weak_trend,
sell,22689.5,22689.5,22689.5,22460.8,0.0,1272,1286,SL,weak_trend,crossover
sell,22380.2,22473.0,22473.0,22148.100000000002,-3.182752319999975,1383,1386,SL,strong_trend,pullback
partial,22478.9,22600.035096975258,22398.2,22680.7,1.3848527691502264,1795,1798,SCALE_OUT,strong_trend,
buy,22478.9,22680.7,22521.219051843666,22680.7,4.614076279999983,1795,1801,TP,strong_trend,pullback
buy,23173.4,23382.600000000002,23089.800000000003,23382.600000000002,7.174911480000026,1858,1868,TP,strong_trend,pullback
buy,23606.0,23518.8,23518.8,23824.1,-2.9906896800000253,1951,1952,SL,strong_trend,pullback
buy,23488.0,23395.1,23395.1,23720.3,-3.18618201000005,1952,1953,SL,strong_trend,pullback
partial,23508.0,23654.92537711842,23410.1,23752.8,1.6796949888309067,1954,1958,SCALE_OUT,strong_trend,
buy,23508.0,23560.673222752368,23560.673222752368,23752.8,0.6021760844718971,1954,1964,SL,strong_trend,pullback
partial,23729.2,23815.182071905823,23671.9,23872.5,1.9659456812978702,2044,2048,SCALE_OUT,strong_trend,
buy,23729.2,23745.404412381627,23745.404412381627,23872.5,0.7410148146818861,2044,2051,SL,strong_trend,pullback
partial,23792.1,23954.760220142216,23683.699999999997,24063.199999999997,1.8595804347318727,2167,2169,SCALE_OUT,strong_trend,
buy,23792.1,24063.199999999997,23878.767312984917,24063.199999999997,3.0992965299999837,2167,2199,TP,strong_trend,pullback
