type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,0.378902,0.3588157975040869,0.38534047916295355,0.3387296,20.086202495913138,309,329,SCALE_OUT,strong_trend,
sell,0.378902,0.36950047640158357,0.36950047640158357,0.3387296,0.0,309,343,SL,strong_trend,pullback
buy,0.347966,0.3559777,0.3426249,0.3559777,8.011700000000008,356,359,TP,ranging,mean_reversion
buy,0.345032,0.3518555,0.340483,0.3518555,6.823499999999982,393,396,TP,ranging,mean_reversion
buy,0.343362,0.3406298,0.3406298,0.3474603,-2.732200000000018,438,439,SL,ranging,mean_reversion
sell,0.328772,0.335269,0.335269,0.30928100000000003,-6.496999999999974,461,464,SL,strong_trend,pullback
sell,0.252612,0.2575118,0.2575118,0.2379126,-4.89980000000001,704,716,SL,strong_trend,pullback
partial,0.259277,0.2534960652719008,0.2631309,0.24771519999999997,5.780934728099208,812,816,SCALE_OUT,strong_trend,
sell,0.259277,0.25384076359087754,0.25384076359087754,0.24771519999999997,0.0,812,819,SL,strong_trend,pullback
sell,0.253837,0.2576287,0.2576287,0.24246179999999998,-3.791700000000009,819,834,SL,strong_trend,pullback
buy,0.273336,0.2693858,0.2693858,0.2851868,-3.950200000000015,884,885,SL,strong_trend,crossover
buy,0.266896,0.26408590000000004,0.26408590000000004,0.2753263,-2.8100999999999816,938,944,SL,strong_trend,pullback
