type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,6.2166,6.30492,6.30492,5.9957899999999995,-547.5840000000023,557,558,SL,strong_trend,pullback
sell,5.7092,5.81928,5.81928,5.43399,-539.3919999999996,587,589,SL,strong_trend,crossover
sell,4.7114,4.77947,4.77947,4.54122,-537.752999999997,764,766,SL,strong_trend,pullback
sell,4.7764,4.60532,4.84483,4.60532,1334.423999999999,768,772,TP,strong_trend,pullback
sell,4.6814,4.76959,4.76959,4.46092,-405.6739999999999,773,774,SL,strong_trend,pullback
sell,4.7584,4.84857,4.84857,4.53296,-378.7139999999984,774,775,SL,strong_trend,pullback
partial,4.7984,4.659613864468336,4.89092,4.56709,166.54336263799647,775,776,SCALE_OUT,strong_trend,
sell,4.7984,4.750026820943118,4.750026820943118,4.56709,135.44490135926955,775,778,SL,strong_trend,pullback
buy,5.2854,5.16949,5.16949,5.5751800000000005,-336.13900000000115,843,851,SL,strong_trend,crossover
partial,4.9374,4.855519624476972,4.99198,4.800940000000001,245.64112656908583,942,945,SCALE_OUT,strong_trend,
sell,4.9374,4.800940000000001,4.9374,4.800940000000001,941.5739999999969,942,946,TP,strong_trend,pullback
sell,4.9064,4.9646099999999995,4.9646099999999995,4.760879999999999,-552.9949999999988,949,951,SL,strong_trend,pullback
partial,5.0204,4.935243946385284,5.077170000000001,4.878480000000001,59.60923753030167,955,956,SCALE_OUT,strong_trend,
sell,5.0204,4.878480000000001,5.0204,4.878480000000001,241.26399999999964,955,957,TP,strong_trend,pullback
partial,4.8844,4.782960133434252,4.95202,4.71534,50.719933282874045,961,970,SCALE_OUT,strong_trend,
sell,4.8844,4.71534,4.8844,4.71534,185.96599999999995,961,971,TP,strong_trend,pullback
sell,4.7284,4.803319999999999,4.803319999999999,4.5411,-112.37999999999946,987,996,SL,strong_trend,pullback
buy,5.1154,5.03777,5.03777,5.30948,-85.39300000000009,1055,1056,SL,strong_trend,pullback
partial,5.0234,5.151282293593983,4.938149999999999,5.236529999999999,38.36468807819501,1058,1061,SCALE_OUT,strong_trend,
buy,5.0234,5.081002205140104,5.081002205140104,5.236529999999999,34.561323084062494,1058,1067,SL,strong_trend,pullback
sell,4.5934,4.69737,4.69737,4.33347,-103.97000000000033,1207,1219,SL,uncertain,crossover
buy,5.1984,5.11139,5.11139,5.41593,-78.30900000000022,1273,1275,SL,strong_trend,crossover
buy,4.9594000000000005,4.865920000000001,4.865920000000001,5.19312,-102.8279999999995,1281,1282,SL,strong_trend,pullback
partial,4.8434,4.99043916995531,4.74538,5.0884599999999995,44.11175098659292,1282,1287,SCALE_OUT,strong_trend,
buy,4.8434,4.8434,4.8434,5.0884599999999995,0.0,1282,1288,SL,strong_trend,pullback
partial,4.4619,4.291113184658023,4.57575,4.17726,34.157363068395334,1297,1299,SCALE_OUT,strong_trend,
sell,4.4619,4.17726,4.4619,4.17726,170.7839999999997,1297,1300,TP,strong_trend,crossover
sell,4.3575,4.45794,4.45794,4.1064,-140.61599999999981,1323,1332,SL,strong_trend,pullback
sell,4.3834,4.46512,4.46512,4.17908,-106.23599999999972,1374,1376,SL,strong_trend,pullback
sell,4.1664,4.23555,4.23555,3.99352,-103.72499999999937,1444,1446,SL,strong_trend,pullback
sell,3.9485,4.04601,4.04601,3.70471,-87.75899999999977,1471,1484,SL,strong_trend,pullback
buy,4.3744,4.32684,4.32684,4.493309999999999,-137.92399999999947,1576,1586,SL,strong_trend,crossover
partial,4.2454,4.309835780824642,4.20245,4.35279,64.43578082464185,1599,1601,SCALE_OUT,strong_trend,
buy,4.2454,4.262799996183769,4.262799996183769,4.35279,38.279991604290764,1599,1602,CHANDELIER,strong_trend,pullback
buy,4.4884,4.4327000000000005,4.4327000000000005,4.6276600000000006,-133.67999999999964,1682,1686,SL,strong_trend,pullback
buy,4.5742,4.5255,4.5255,4.6472500000000005,-68.18000000000025,1859,1861,SL,ranging,mean_reversion
sell,4.2451,4.30102,4.30102,4.1053,-134.20800000000096,1884,1885,SL,strong_trend,crossover
sell,4.0332,4.08727,4.08727,3.8980099999999998,-135.1750000000007,1954,1970,SL,strong_trend,pullback
partial,3.6075,3.5001464255943437,3.6790599999999998,3.4285799999999997,42.94142976226247,2181,2184,SCALE_OUT,strong_trend,
sell,3.6075,3.596765304524155,3.596765304524155,3.4285799999999997,11.808165023429181,2181,2187,SL,strong_trend,pullback
buy,3.7701000000000002,3.7095000000000002,3.7095000000000002,3.9216,-84.83999999999997,2290,2291,SL,uncertain,crossover
partial,3.6254999999999997,3.5552365377061945,3.6723399999999997,3.5083999999999995,49.18442360566363,2314,2318,SCALE_OUT,uncertain,
sell,3.6254999999999997,3.5083999999999995,3.5840371147045436,3.5083999999999995,175.65000000000026,2314,2324,TP,uncertain,crossover
sell,3.5305,3.58391,3.58391,3.39696,-133.52499999999986,2342,2343,SL,strong_trend,pullback
sell,3.5595,3.61428,3.61428,3.4225499999999998,-104.08200000000008,2344,2353,SL,strong_trend,pullback
buy,3.7624,3.87182,3.71864,3.87182,339.2020000000002,2477,2481,TP,strong_trend,pullback
partial,4.1073,4.1737072874855885,4.06303,4.21797,59.766558737029285,2612,2615,SCALE_OUT,strong_trend,
buy,4.1073,4.21797,4.1073,4.21797,243.47399999999956,2612,2616,TP,strong_trend,pullback
buy,4.2084,4.1621500000000005,4.1621500000000005,4.3240300000000005,-134.12499999999903,2617,2622,SL,strong_trend,pullback
buy,4.1342,4.085459999999999,4.085459999999999,4.25606,-102.35400000000092,2622,2624,SL,strong_trend,pullback
buy,4.1287,4.0875200000000005,4.0875200000000005,4.19048,-65.88799999999964,2655,2658,SL,ranging,mean_reversion
sell,4.1726,4.11986,4.20776,4.11986,100.20600000000002,2693,2694,TP,ranging,mean_reversion
partial,3.9815,3.9176218655315282,4.02408,3.87504,44.71469412793025,2778,2786,SCALE_OUT,strong_trend,
sell,3.9815,3.947961089118403,3.947961089118403,3.87504,57.016148498714685,2778,2793,SL,strong_trend,pullback
partial,3.9373,3.8782103113664284,3.97669,3.83882,59.08968863357167,2798,2802,SCALE_OUT,strong_trend,
sell,3.9373,3.9091015238476245,3.9091015238476245,3.83882,70.49619038093867,2798,2803,CHANDELIER,strong_trend,pullback
sell,3.8945,3.9356,3.9356,3.79174,-135.63000000000045,2814,2818,SL,strong_trend,pullback
buy,4.2681000000000004,4.223190000000001,4.223190000000001,4.380380000000001,-134.72999999999934,2858,2860,SL,strong_trend,crossover
partial,4.9944,5.130267975098531,4.90383,5.22084,54.34719003941239,2931,2936,SCALE_OUT,strong_trend,
buy,4.9944,5.026922415282561,5.026922415282561,5.22084,35.77465681081752,2931,2943,SL,strong_trend,pullback
buy,5.1254,5.01883,5.01883,5.39184,-106.5699999999996,2956,2960,SL,strong_trend,pullback
buy,4.8794,4.80062,4.80062,5.076350000000001,-110.29200000000009,3030,3032,SL,strong_trend,pullback
