type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,1.66372,1.6667095246493657,1.6617300000000002,1.6687,186.64499243384492,300,308,SCALE_OUT,uncertain,
buy,1.66372,1.6687,1.6651587249460627,1.6687,722.0168339999979,300,311,TP,uncertain,crossover
buy,1.6638899999999999,1.6605899999999998,1.6605899999999998,1.6688399999999999,-231.21021000000565,436,441,SL,ranging,mean_reversion
buy,1.66137,1.6615799999999998,1.65811,1.66626,17.918268866857268,442,446,REVERSAL,ranging,mean_reversion
buy,1.65947,1.65734,1.65734,1.66266,-277.7852279999955,467,476,SL,ranging,mean_reversion
buy,1.65524,1.65835,1.65317,1.65835,416.37955099999283,484,495,TP,ranging,mean_reversion
sell,1.6436899999999999,1.6454399999999998,1.6454399999999998,1.6393099999999998,-558.4284999999741,573,576,SL,strong_trend,pullback
sell,1.64307,1.6448800000000001,1.6448800000000001,1.63853,-552.4626800000274,576,579,SL,strong_trend,pullback
sell,1.64425,1.6460299999999999,1.6460299999999999,1.63978,-547.0101979999671,579,583,SL,strong_trend,pullback
buy,1.65737,1.65533,1.65533,1.6624700000000001,-542.0016840000111,628,630,SL,strong_trend,crossover
buy,1.65531,1.65311,1.65311,1.6608100000000001,-425.79305999999616,630,638,SL,strong_trend,pullback
partial,1.65175,1.6544972504554798,1.64992,1.65632,45.73842338319116,812,814,SCALE_OUT,uncertain,
buy,1.65175,1.65632,1.6525475002730725,1.65632,174.3614949999986,812,818,TP,uncertain,crossover
buy,1.70424,1.7008699999999999,1.7008699999999999,1.71268,-133.2528330000038,988,990,SL,strong_trend,pullback
partial,1.70478,1.7098610824141958,1.7014,1.7132399999999999,59.9206968023697,991,998,SCALE_OUT,strong_trend,
buy,1.70478,1.7132399999999999,1.70478,1.7132399999999999,234.74807999999757,991,999,TP,strong_trend,pullback
buy,1.73365,1.73053,1.73053,1.74146,-134.1893280000005,1083,1085,SL,strong_trend,pullback
partial,1.71424,1.717368609305367,1.71216,1.71945,60.76885570372782,1177,1179,SCALE_OUT,strong_trend,
buy,1.71424,1.71945,1.71424,1.71945,234.92150499999718,1177,1180,TP,strong_trend,pullback
partial,1.7215,1.7256646321295066,1.719376297843613,1.72844,49.113090240058085,1227,1250,SCALE_OUT,strong_trend,
buy,1.7215,1.7235767919989888,1.7235767919989888,1.72844,56.186153778242776,1227,1254,SL,strong_trend,pullback
buy,1.72439,1.72207,1.72207,1.7302000000000002,-135.18825600000582,1381,1382,SL,strong_trend,crossover
buy,1.72786,1.72501,1.72501,1.7349999999999999,-134.43906000000092,1410,1416,SL,strong_trend,pullback
buy,1.7229100000000002,1.7203500000000003,1.7203500000000003,1.7293200000000002,-133.19039999999458,1448,1449,SL,strong_trend,pullback
buy,1.72119,1.72916,1.718,1.72916,331.7273400000014,1449,1450,TP,strong_trend,pullback
partial,1.8275299999999999,1.8411320998640048,1.8184699999999998,1.8501999999999998,56.61466005396144,1556,1560,SCALE_OUT,strong_trend,
buy,1.8275299999999999,1.833811013761368,1.833811013761368,1.8501999999999998,65.35708869391499,1556,1562,SL,strong_trend,pullback
buy,1.82004,1.8095800000000002,1.8095800000000002,1.84619,-137.86593799999886,1609,1610,SL,strong_trend,pullback
buy,1.82088,1.80977,1.80977,1.84866,-131.01911899999948,1610,1613,SL,strong_trend,pullback
buy,1.79756,1.79402,1.79402,1.8064200000000001,-105.59501400000295,1749,1751,SL,strong_trend,crossover
buy,1.79317,1.78931,1.78931,1.80283,-101.75191599999934,1754,1766,SL,strong_trend,pullback
sell,1.77347,1.7780600000000002,1.7780600000000002,1.76198,-101.8906560000021,1795,1796,SL,strong_trend,crossover
sell,1.78049,1.7863048606854246,1.7863048606854246,1.7656299999999998,-92.77668372201956,1804,1815,SL,strong_trend,pullback
sell,1.77503,1.77886,1.77886,1.7654500000000002,-132.84355000000002,1844,1846,SL,strong_trend,pullback
sell,1.75631,1.75931,1.75931,1.7518,-66.5951999999976,2044,2047,SL,ranging,mean_reversion
sell,1.75654,1.75975,1.75975,1.75173,-66.80330999999865,2047,2048,SL,ranging,mean_reversion
sell,1.73607,1.73917,1.73917,1.7283,-133.32914000000443,2158,2164,SL,strong_trend,pullback
sell,1.73824,1.74142,1.74142,1.73027,-132.35795999999834,2164,2172,SL,strong_trend,pullback
partial,1.75602,1.7602882782757545,1.75318,1.7631299999999999,35.530855678691594,2257,2259,SCALE_OUT,weak_trend,
buy,1.75602,1.7560782279986034,1.7560782279986034,1.7631299999999999,1.1309973536738542,2257,2261,SL,weak_trend,crossover
partial,1.75593,1.7602220175698506,1.75307,1.76308,59.5474517641079,2283,2286,SCALE_OUT,strong_trend,
buy,1.75593,1.7574766434851918,1.7574766434851918,1.76308,49.353702941168834,2283,2294,SL,strong_trend,pullback
buy,1.7640799999999999,1.7611499999999998,1.7611499999999998,1.7714199999999998,-132.11516500000448,2451,2457,SL,strong_trend,pullback
buy,1.76403,1.7617,1.7617,1.76986,-132.5383219999968,2496,2499,SL,strong_trend,pullback
buy,1.7612700000000001,1.7588300000000001,1.7588300000000001,1.76739,-132.0249839999999,2499,2502,SL,strong_trend,pullback
sell,1.75471,1.75672,1.75672,1.74968,-98.99792700000332,2543,2546,SL,ranging,crossover
buy,1.75918,1.75708,1.75708,1.76443,-97.60358999999958,2567,2569,SL,ranging,crossover
partial,1.75539,1.7519526270284975,1.75768,1.74967,45.30560697629419,2569,2582,SCALE_OUT,ranging,
sell,1.75539,1.74967,1.7544097926520539,1.74967,170.62245199999845,2569,2589,TP,ranging,crossover
partial,1.76657,1.7703513786788454,1.76405,1.77287,44.59342062175623,2650,2653,SCALE_OUT,strong_trend,
buy,1.76657,1.77287,1.76657,1.77287,179.18270999999916,2650,2654,TP,strong_trend,crossover
