type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,162.148,161.803,161.803,162.666,-65.87335316617063,304,305,SL,ranging,mean_reversion
buy,161.75,162.297,161.386,162.297,64.01325474109491,305,308,TP,uncertain,mean_reversion
buy,161.832,162.37,161.474,162.37,129.23372567859982,312,320,TP,uncertain,mean_reversion
buy,161.651,161.41,161.41,162.013,-59.37532721102605,353,356,SL,uncertain,mean_reversion
buy,161.444,161.795,161.20999999999998,161.795,75.66658659620448,356,360,TP,uncertain,mean_reversion
partial,161.032,160.638468830166,161.20600000000002,160.595,138.1602067082931,374,376,SCALE_OUT,strong_trend,
sell,161.032,160.595,161.032,160.595,355.2911177220667,374,377,TP,strong_trend,pullback
sell,160.68,160.858,160.858,160.235,-212.69178415466828,377,380,SL,strong_trend,pullback
sell,160.646,160.85799999999998,160.85799999999998,160.11499999999998,-154.08020596585743,381,383,SL,strong_trend,pullback
sell,160.895,160.36800000000002,161.10600000000002,160.36800000000002,383.0201346415519,383,387,TP,strong_trend,pullback
buy,158.709,158.24,158.24,159.413,-37.55304668107888,425,430,SL,uncertain,mean_reversion
sell,160.24,160.086,160.741,159.488,8.536743103161351,439,442,REVERSAL,uncertain,mean_reversion
buy,160.086,159.79500000000002,159.79500000000002,160.81400000000002,-14.338771965483318,442,444,SL,uncertain,crossover
sell,160.155,160.579,160.579,159.519,-23.50376023208152,446,447,SL,uncertain,mean_reversion
sell,160.43,159.79000000000002,160.856,159.79000000000002,35.477373935216086,447,463,TP,uncertain,mean_reversion
buy,159.338,159.016,159.016,159.822,-15.866270009916557,464,465,SL,uncertain,mean_reversion
buy,158.13,158.594,157.821,158.594,17.147397402021422,488,494,TP,uncertain,mean_reversion
buy,157.94,157.662,157.662,158.357,-13.698208269430534,498,500,SL,uncertain,mean_reversion
sell,157.615,157.09400000000002,157.823,157.09400000000002,131.5680876094006,503,506,TP,strong_trend,pullback
sell,157.417,156.90800000000002,157.62,156.90800000000002,134.80786168751212,507,511,TP,strong_trend,pullback
sell,157.39,157.595,157.595,156.878,-54.29393250676311,512,518,SL,strong_trend,pullback
sell,157.763,157.942,157.942,157.314,-54.022924789199735,520,521,SL,strong_trend,pullback
sell,156.409,155.733,156.679,155.733,91.60060853550961,530,533,TP,strong_trend,pullback
sell,156.662,156.893,156.893,156.083,-21.34185775790338,539,540,SL,strong_trend,pullback
sell,156.757,156.984,156.984,156.189,-54.52798462647224,540,543,SL,strong_trend,pullback
buy,156.424,156.78,156.187,156.78,35.08318089149167,559,568,TP,uncertain,mean_reversion
buy,159.551,160.039,159.356,160.039,75.14304896000783,596,598,TP,strong_trend,pullback
sell,159.357,159.548,159.548,158.878,-27.057656891911396,655,656,SL,uncertain,crossover
sell,158.723,158.858,158.858,158.38500000000002,-46.564053289968975,675,678,SL,strong_trend,pullback
sell,158.88,159.021,159.021,158.52599999999998,-42.55437092333295,679,682,SL,strong_trend,pullback
partial,159.12,158.80090309411983,159.261,158.766,37.342653607317715,682,688,SCALE_OUT,strong_trend,
sell,159.12,158.766,159.12,158.766,93.75635174338389,682,689,TP,strong_trend,pullback
buy,158.158,157.92299999999997,157.92299999999997,158.511,-27.50112406610285,712,717,SL,uncertain,mean_reversion
sell,157.923,157.501,158.091,157.501,129.96051910296356,720,726,TP,strong_trend,pullback
sell,156.861,156.374,157.05499999999998,156.374,110.9838196074072,735,742,TP,strong_trend,pullback
sell,157.832,157.871,158.04,157.311,-10.329089598851143,755,757,REVERSAL,strong_trend,pullback
buy,157.531,157.322,157.322,158.055,-30.89487980191847,760,762,SL,strong_trend,pullback
sell,157.326,157.525,157.525,156.828,-28.190961892621097,762,764,SL,uncertain,crossover
buy,155.983,156.486,155.648,156.486,34.079220483255085,769,774,TP,uncertain,mean_reversion
sell,157.065,156.623,157.359,156.623,40.83593562334922,781,782,TP,uncertain,mean_reversion
partial,156.485,156.00732511726218,156.697,155.955,17.652760869115465,840,847,SCALE_OUT,uncertain,
sell,156.485,156.485,156.485,155.955,0.0,840,848,SL,uncertain,crossover
sell,157.065,156.597,157.377,156.597,34.59043958683563,857,860,TP,uncertain,mean_reversion
buy,155.238,155.828,154.845,155.828,18.169835609182343,873,877,TP,uncertain,mean_reversion
sell,156.861,156.25,157.268,156.25,41.39642885739384,885,889,TP,uncertain,mean_reversion
sell,156.256,156.529,156.529,155.573,-26.903675234205725,892,893,SL,uncertain,crossover
sell,157.495,157.923,157.923,156.853,-21.089327839267657,905,906,SL,uncertain,mean_reversion
sell,158.342,157.68,158.78300000000002,157.68,40.774342960266964,907,910,TP,uncertain,mean_reversion
buy,156.197,156.465,155.725,156.905,16.50683370596899,920,921,REVERSAL,uncertain,mean_reversion
sell,159.016,159.578,159.578,158.173,-20.769045991241963,941,950,SL,uncertain,mean_reversion
buy,159.094,159.743,158.661,159.743,39.97363834020098,1024,1025,TP,uncertain,mean_reversion
sell,159.256,159.513,159.513,158.613,-47.48794323620264,1038,1042,SL,strong_trend,pullback
sell,160.788,161.20600000000002,161.20600000000002,160.161,-28.320306485091933,1048,1052,SL,uncertain,mean_reversion
buy,160.584,161.048,160.275,161.048,25.72109610303213,1095,1097,TP,uncertain,mean_reversion
sell,160.233,160.482,160.482,159.609,-52.14434856519793,1105,1110,SL,strong_trend,pullback
sell,160.555,160.76600000000002,160.76600000000002,160.026,-48.08539206809976,1111,1112,SL,strong_trend,pullback
sell,160.882,161.101,161.101,160.333,-55.30405218130268,1112,1117,SL,strong_trend,pullback
sell,161.21,161.513,161.513,160.755,-24.261349987989217,1119,1120,SL,uncertain,mean_reversion
sell,161.592,161.911,161.911,161.114,-23.577671427778668,1120,1122,SL,uncertain,mean_reversion
buy,161.848,162.346,161.649,162.346,113.49064099484255,1147,1149,TP,strong_trend,pullback
buy,162.206,162.742,161.992,162.742,72.63006830626355,1150,1154,TP,strong_trend,pullback
buy,163.078,163.505,162.907,163.505,105.20026854400922,1161,1166,TP,strong_trend,pullback
partial,162.262,161.70907237616174,162.507,161.648,27.24502787502888,1205,1209,SCALE_OUT,strong_trend,
sell,162.262,161.648,162.10545742565094,161.648,64.29042172496457,1205,1213,TP,strong_trend,pullback
