type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,1.04448,1.0427600000000001,1.0427600000000001,1.04706,-42.95586432303079,303,305,SL,uncertain,mean_reversion
buy,1.04309,1.04344,1.0415800000000002,1.04687,19.57988234258305,317,322,REVERSAL,strong_trend,pullback
partial,1.04344,1.0412432959458888,1.04439383543959,1.03978,19.750043994331623,322,336,SCALE_OUT,uncertain,
sell,1.04344,1.03978,1.04344,1.03978,73.12486670804542,322,337,TP,uncertain,crossover
partial,1.04189,1.0397278838615902,1.04333,1.03829,38.87814453160546,342,346,SCALE_OUT,strong_trend,
sell,1.04189,1.04189,1.04189,1.03829,0.0,342,347,SL,strong_trend,pullback
sell,1.04071,1.04196,1.04196,1.03757,-86.16147204328948,360,364,SL,strong_trend,pullback
partial,1.04276,1.040008941324909,1.04459,1.0381799999999999,27.48234957951344,365,371,SCALE_OUT,strong_trend,
sell,1.04276,1.0381799999999999,1.0412724691116513,1.0381799999999999,109.80717689273786,365,376,TP,strong_trend,pullback
partial,1.03276,1.0283361983380213,1.0356999999999998,1.0253899999999998,30.93482716017936,422,428,SCALE_OUT,strong_trend,
sell,1.03276,1.0307593118684293,1.0307593118684293,1.0253899999999998,33.976788252363214,422,430,SL,strong_trend,pullback
sell,1.03796,1.0384,1.04012,1.03472,-8.790967582387902,438,449,REVERSAL,uncertain,mean_reversion
buy,1.03646,1.03522,1.03522,1.03832,-43.355453758592056,479,483,SL,uncertain,mean_reversion
partial,1.03689,1.038767842952048,1.0356400000000001,1.04001,39.39422577745864,486,489,SCALE_OUT,strong_trend,
buy,1.03689,1.037640731353862,1.037640731353862,1.04001,35.99811815390506,486,496,SL,strong_trend,pullback
sell,1.03028,1.03122,1.03122,1.02793,-21.597808992183662,550,551,SL,strong_trend,pullback
sell,1.03219,1.0331599999999999,1.0331599999999999,1.03073,-10.6590481936445,556,557,SL,uncertain,mean_reversion
sell,1.03319,1.0342,1.0342,1.03167,-11.098596572764338,557,558,SL,uncertain,mean_reversion
sell,1.03393,1.03498,1.03498,1.03236,-10.48922268353107,558,559,SL,uncertain,mean_reversion
sell,1.03451,1.03557,1.03557,1.03292,-10.589120042422497,559,562,SL,uncertain,mean_reversion
partial,1.03557,1.0370463660952836,1.0345900000000001,1.03803,7.374253683734986,571,574,SCALE_OUT,weak_trend,
buy,1.03557,1.0364388614611555,1.0364388614611555,1.03803,10.415635825368122,571,576,SL,weak_trend,crossover
buy,1.04738,1.04615,1.04615,1.0492299999999999,-11.058637629209096,647,666,SL,uncertain,mean_reversion
buy,1.04442,1.04589,1.04344,1.04589,16.15340293263882,676,678,TP,uncertain,mean_reversion
buy,1.0423499999999999,1.04276,1.04138,1.04381,4.505370885974077,697,699,REVERSAL,uncertain,mean_reversion
sell,1.04276,1.0437599999999998,1.0437599999999998,1.04026,-15.983577422521844,699,702,SL,weak_trend,crossover
sell,1.04743,1.04877,1.04877,1.0454100000000002,-8.031747654817494,727,728,SL,uncertain,mean_reversion
buy,1.04907,1.04758,1.04758,1.05281,-22.32705971208753,766,767,SL,strong_trend,pullback
buy,1.04795,1.0464,1.0464,1.05182,-21.677726879296806,767,770,SL,strong_trend,pullback
buy,1.04684,1.04906,1.04536,1.04906,15.524049571626826,774,795,TP,uncertain,mean_reversion
buy,1.04763,1.04938,1.04647,1.04938,15.73383402529594,819,820,TP,uncertain,mean_reversion
buy,1.04835,1.05016,1.04714,1.05016,16.27327976330765,820,822,TP,uncertain,mean_reversion
sell,1.04761,1.04874,1.04874,1.0447799999999998,-11.28840155465805,843,844,SL,uncertain,crossover
sell,1.04062,1.0417800000000002,1.0417800000000002,1.0377100000000001,-22.01737789952721,868,870,SL,strong_trend,pullback
sell,1.03994,1.03674,1.04122,1.03674,54.34416323658182,870,873,TP,strong_trend,pullback
sell,1.04089,1.0425,1.0425,1.0368600000000001,-16.08347478141327,879,888,SL,strong_trend,pullback
sell,1.04416,1.04563,1.04563,1.04196,-10.279438229861068,889,890,SL,uncertain,mean_reversion
sell,1.04521,1.0467,1.0467,1.04298,-10.419294532307514,890,891,SL,uncertain,mean_reversion
sell,1.04698,1.04853,1.04853,1.04465,-10.838863439648403,891,893,SL,uncertain,mean_reversion
sell,1.04813,1.04973,1.04973,1.04572,-11.188504195766846,893,894,SL,uncertain,mean_reversion
partial,1.04725,1.0498264720137058,1.04554,1.05154,7.721482482756023,898,910,SCALE_OUT,strong_trend,
buy,1.04725,1.05154,1.04725,1.05154,29.99917687489833,898,911,TP,strong_trend,crossover
buy,1.07966,1.0771000000000002,1.0771000000000002,1.0860800000000002,-20.458979100829378,968,969,SL,strong_trend,pullback
buy,1.08428,1.08172,1.08172,1.0907,-20.458979100829378,992,1007,SL,strong_trend,pullback
buy,1.0865,1.08505,1.08505,1.08868,-10.13958192741307,1079,1083,SL,uncertain,mean_reversion
buy,1.08648,1.08445,1.08445,1.0915499999999998,-16.223331083861268,1086,1097,SL,strong_trend,pullback
sell,1.08388,1.08524,1.08524,1.0804799999999999,-21.73766529463255,1103,1104,SL,strong_trend,crossover
sell,1.08536,1.08677,1.08677,1.08182,-21.12829140539706,1104,1106,SL,strong_trend,pullback
partial,1.08729,1.090117363456081,1.0859183467863256,1.092,8.473384256603126,1109,1130,SCALE_OUT,strong_trend,
buy,1.08729,1.0889745594710598,1.0889745594710598,1.092,13.462643364264235,1109,1132,SL,strong_trend,pullback
buy,1.09159,1.09029,1.09029,1.0948600000000002,-22.077316314862067,1155,1156,SL,strong_trend,pullback
buy,1.09111,1.08968,1.08968,1.0947,-21.42798348207134,1156,1159,SL,strong_trend,pullback
buy,1.09068,1.0892700000000002,1.0892700000000002,1.0927900000000002,-11.268422082878432,1176,1178,SL,uncertain,mean_reversion
buy,1.0908,1.0893599999999999,1.0893599999999999,1.0944099999999999,-21.57782952040848,1179,1181,SL,strong_trend,pullback
buy,1.08977,1.08794,1.08794,1.09436,-12.79685167390795,1187,1199,SL,strong_trend,pullback
partial,1.08648,1.0841906159181574,1.0879999999999999,1.0826699999999998,4.574068465252916,1200,1201,SCALE_OUT,uncertain,
sell,1.08648,1.0826699999999998,1.085589233744042,1.0826699999999998,19.03044686869262,1200,1205,TP,uncertain,crossover
sell,1.08365,1.08496,1.08496,1.08036,-20.938486423504678,1226,1227,SL,strong_trend,pullback
partial,1.08318,1.0810242362737525,1.08461,1.07959,8.61420410578616,1229,1231,SCALE_OUT,strong_trend,
sell,1.08318,1.082106413673163,1.082106413673163,1.07959,11.797328245148398,1229,1232,CHANDELIER,strong_trend,pullback
sell,1.08221,1.08385,1.08385,1.07811,-21.29811691551382,1233,1240,SL,strong_trend,pullback
sell,1.08476,1.0826,1.0862,1.0826,15.104480664284386,1250,1252,TP,uncertain,mean_reversion
sell,1.07643,1.07785,1.07785,1.07287,-21.2781374437342,1319,1321,SL,strong_trend,pullback
sell,1.07703,1.07852,1.07852,1.0732899999999999,-20.83858906461503,1321,1323,SL,strong_trend,pullback
sell,1.07866,1.08019,1.08019,1.07636,-10.69900713720196,1324,1327,SL,uncertain,mean_reversion
sell,1.08247,1.0825,1.08405,1.0801,-0.20978445367044393,1351,1355,REVERSAL,uncertain,mean_reversion
buy,1.0825,1.08102,1.08102,1.0862100000000001,-20.698732762167033,1355,1358,SL,strong_trend,crossover
buy,1.08311,1.08156,1.08156,1.0869900000000001,-21.677726879296806,1367,1368,SL,strong_trend,pullback
buy,1.08268,1.08108,1.08108,1.08668,-20.778650649281285,1368,1370,SL,strong_trend,pullback
buy,1.07937,1.08199,1.07762,1.08199,15.703864817629842,1375,1384,TP,uncertain,mean_reversion
sell,1.08256,1.08383,1.08383,1.0806499999999999,-10.149571663303323,1421,1422,SL,uncertain,mean_reversion
buy,1.08383,1.0898800000000002,1.08141,1.0898800000000002,24.175160851567394,1430,1431,TP,strong_trend,pullback
buy,1.10048,1.09632,1.09632,1.1108799999999999,-16.622920519424316,1469,1470,SL,strong_trend,pullback
buy,1.0985800000000001,1.09433,1.09433,1.10921,-16.982551011431678,1470,1473,SL,strong_trend,pullback
buy,1.09827,1.09368,1.09368,1.1097400000000002,-13.755866319259658,1479,1482,SL,strong_trend,pullback
sell,1.09114,1.09418,1.09418,1.08353,-9.110639130838248,1519,1521,SL,uncertain,crossover
partial,1.10148,1.106580402691555,1.09808,1.10998,10.190335163314831,1535,1540,SCALE_OUT,strong_trend,
buy,1.10148,1.1038580953865869,1.1038580953865869,1.10998,9.502617932414248,1535,1541,CHANDELIER,strong_trend,pullback
buy,1.10444,1.10071,1.10071,1.1137700000000001,-14.904685946503305,1541,1545,SL,strong_trend,pullback
buy,1.09737,1.09323,1.09323,1.10774,-12.407251974234045,1545,1546,SL,strong_trend,pullback
partial,1.09636,1.1028915288933283,1.09201,1.10724,6.524824859622684,1546,1559,SCALE_OUT,strong_trend,
buy,1.09636,1.10724,1.0998786145805828,1.10724,21.737665294632098,1546,1562,TP,strong_trend,pullback
buy,1.13268,1.128906145420165,1.128906145420165,1.1424699999999999,-18.849905268167745,1613,1638,SL,strong_trend,pullback
buy,1.14335,1.1409200000000002,1.1409200000000002,1.147,-9.71002328418282,1760,1765,SL,uncertain,mean_reversion
sell,1.13846,1.1413200000000001,1.1413200000000001,1.1313,-17.142386785657074,1774,1776,SL,strong_trend,crossover
partial,1.13801,1.1344647204839562,1.1403699999999999,1.13211,10.62492180546988,1800,1817,SCALE_OUT,strong_trend,
sell,1.13801,1.135445301693523,1.135445301693523,1.13211,15.372395230120617,1800,1819,CHANDELIER,strong_trend,pullback
sell,1.1411,1.14202,1.14348,1.13753,-3.6762228071805567,1856,1861,REVERSAL,uncertain,mean_reversion
sell,1.13618,1.13809,1.13809,1.1314,-11.448237328883001,1897,1900,SL,uncertain,crossover
sell,1.13194,1.13373,1.13373,1.1274499999999998,-21.45795268973744,1923,1924,SL,strong_trend,pullback
partial,1.13151,1.128676714455155,1.1333900000000001,1.12679,8.491132287402465,1924,1926,SCALE_OUT,strong_trend,
sell,1.13151,1.12679,1.13151,1.12679,37.721242717156166,1924,1927,TP,strong_trend,pullback
sell,1.13252,1.13421,1.13421,1.12829,-20.259184383048304,1942,1945,SL,strong_trend,pullback
sell,1.13305,1.1349099999999999,1.1349099999999999,1.1283999999999998,-20.43899962905176,1946,1947,SL,strong_trend,pullback
sell,1.13592,1.13308,1.13781,1.13308,17.02250995498736,1972,1974,TP,uncertain,mean_reversion
buy,1.1364,1.13439,1.13439,1.1414300000000002,-10.039684568522976,2001,2006,SL,uncertain,crossover
buy,1.1306,1.13023,1.12853,1.13371,-1.8481011394791993,2027,2031,REVERSAL,uncertain,mean_reversion
sell,1.12672,1.12228,1.12849,1.12228,53.22531281700359,2070,2077,TP,strong_trend,pullback
sell,1.113,1.11473,1.11473,1.10867,-20.738691705724488,2116,2117,SL,strong_trend,pullback
sell,1.11352,1.11528,1.11528,1.10912,-21.098322197730962,2117,2118,SL,strong_trend,pullback
partial,1.12114,1.1180933148267471,1.12317,1.1160700000000001,9.130674065389229,2142,2144,SCALE_OUT,strong_trend,
sell,1.12114,1.1195249737361452,1.1195249737361452,1.1160700000000001,11.293580080882787,2142,2153,SL,strong_trend,pullback
buy,1.12004,1.1180999999999999,1.1180999999999999,1.1249,-9.6900438124052,2165,2166,SL,uncertain,crossover
sell,1.11857,1.1206200000000002,1.1206200000000002,1.11344,-10.239479286304721,2166,2176,SL,uncertain,crossover
sell,1.12089,1.12258,1.12258,1.11835,-10.129592191524152,2206,2207,SL,uncertain,mean_reversion
sell,1.12379,1.12564,1.12564,1.12101,-11.088606836875195,2207,2208,SL,uncertain,mean_reversion
buy,1.12549,1.12379,1.12379,1.1297400000000002,-20.379061213718014,2233,2236,SL,strong_trend,pullback
buy,1.13016,1.12826,1.12826,1.13491,-20.8785480081716,2280,2285,SL,strong_trend,pullback
buy,1.1280000000000001,1.1260000000000001,1.1260000000000001,1.131,-9.989735889077263,2287,2289,SL,uncertain,mean_reversion
sell,1.12713,1.1290499999999999,1.1290499999999999,1.12232,-15.344234325622036,2398,2402,SL,strong_trend,pullback
buy,1.13548,1.13355,1.13355,1.1403,-21.20820929251087,2417,2423,SL,strong_trend,pullback
buy,1.13381,1.1320999999999999,1.1320999999999999,1.13638,-10.249469022193864,2423,2429,SL,uncertain,mean_reversion
buy,1.14113,1.13967,1.13967,1.14478,-20.41902015727414,2472,2474,SL,strong_trend,pullback
buy,1.13977,1.13829,1.13829,1.142,-10.349366381083517,2474,2476,SL,uncertain,mean_reversion
buy,1.1381999999999999,1.13672,1.13672,1.1404299999999998,-10.349366381083517,2476,2478,SL,uncertain,mean_reversion
buy,1.13919,1.13758,1.13758,1.14322,-20.90851721583725,2478,2479,SL,strong_trend,pullback
sell,1.13923,1.14073,1.14073,1.13547,-14.984603833616447,2591,2592,SL,ranging,crossover
partial,1.14235,1.14463528216708,1.14083,1.14615,6.8488095843442425,2594,2597,SCALE_OUT,ranging,
buy,1.14235,1.14235,1.14235,1.14615,0.0,2594,2598,SL,ranging,crossover
partial,1.16581,1.1631117803415278,1.1676,1.16132,8.086350527655952,3410,3413,SCALE_OUT,strong_trend,
sell,1.16581,1.16132,1.165408582598568,1.16132,26.91234848517475,3410,3415,TP,strong_trend,crossover
partial,1.14445,1.141226996272476,1.14659,1.1390799999999999,9.659086802243008,3486,3491,SCALE_OUT,strong_trend,
