type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,192.469,193.161,192.00799999999998,193.161,98.03752479272768,312,315,TP,uncertain,mean_reversion
sell,193.76,193.197,194.135,193.197,100.56915476820897,324,329,TP,uncertain,mean_reversion
buy,192.683,193.15,192.37199999999999,193.15,129.44575166619802,356,360,TP,uncertain,mean_reversion
partial,192.403,191.90386905753616,192.73499999999999,191.405,64.56426269658972,375,379,SCALE_OUT,strong_trend,
sell,192.403,191.405,192.403,191.405,307.3682135685482,375,380,TP,strong_trend,pullback
partial,192.15,191.61328185625612,192.507,191.077,56.202237465943185,382,387,SCALE_OUT,strong_trend,
partial,192.15,191.25546976042688,191.72829803425302,191.077,93.67039577657098,382,389,SCALE_OUT,strong_trend,
sell,192.15,191.61328185625612,191.61328185625612,,76.03832127745254,382,390,SL,strong_trend,pullback
partial,192.157,191.61618010693022,192.51700000000002,191.07600000000002,83.28198616993873,396,400,SCALE_OUT,strong_trend,
sell,192.157,192.157,192.157,191.07600000000002,0.0,396,401,SL,strong_trend,pullback
sell,192.141,192.506,192.506,191.04399999999998,-157.3799169674685,402,404,SL,strong_trend,pullback
sell,192.941,192.061,193.52700000000002,192.061,102.98991043819936,439,444,TP,uncertain,mean_reversion
buy,191.549,191.15300000000002,191.15300000000002,192.143,-70.7378069062349,464,465,SL,uncertain,mean_reversion
buy,191.276,190.89200000000002,190.89200000000002,191.852,-49.67168886205825,468,478,SL,uncertain,mean_reversion
sell,189.197,188.103,189.561,188.103,161.7286536163494,523,526,TP,strong_trend,pullback
sell,188.157,188.65200000000002,188.65200000000002,186.67100000000002,-27.441390610178512,534,542,SL,strong_trend,pullback
sell,188.841,188.258,189.229,188.258,39.50205117465156,544,548,TP,uncertain,mean_reversion
partial,187.743,187.31692583689767,188.027,186.891,23.62033846180966,562,567,SCALE_OUT,strong_trend,
sell,187.743,187.743,187.743,186.891,0.0,562,568,SL,strong_trend,pullback
sell,188.033,188.31799999999998,188.31799999999998,187.176,-31.599177066265497,569,570,SL,strong_trend,pullback
sell,188.819,189.13,189.13,188.35199999999998,-13.409631281337697,572,574,SL,uncertain,mean_reversion
partial,191.437,192.0921693328095,191.001,192.747,16.14254327940307,620,622,SCALE_OUT,strong_trend,
buy,191.437,191.58090432792184,191.58090432792184,192.747,7.09124107384628,620,625,SL,strong_trend,pullback
buy,190.906,191.43800000000002,190.55100000000002,191.43800000000002,29.492565261848743,658,681,TP,uncertain,mean_reversion
sell,191.658,191.92299999999997,191.92299999999997,191.26,-19.587793970900645,682,687,SL,uncertain,mean_reversion
buy,190.557,190.682,190.218,191.065,3.8498022741551994,717,721,REVERSAL,uncertain,mean_reversion
sell,190.347,190.72400000000002,190.72400000000002,189.216,-53.41061683072093,756,758,SL,strong_trend,pullback
partial,190.428,189.85120812577676,190.81199999999998,189.275,21.317132823348867,759,765,SCALE_OUT,strong_trend,
sell,190.428,189.275,190.428,189.275,106.53172853042189,759,766,TP,strong_trend,pullback
sell,188.964,189.345,189.345,187.819,-53.97730772547526,774,777,SL,strong_trend,pullback
partial,189.286,188.69324507828998,189.681,188.101,25.558279550898543,777,783,SCALE_OUT,strong_trend,
sell,189.286,189.0681976344298,189.0681976344298,188.101,21.465498682587334,777,784,CHANDELIER,strong_trend,pullback
sell,189.757,189.20000000000002,190.12800000000001,189.20000000000002,30.878494080543355,838,840,TP,uncertain,mean_reversion
sell,189.822,189.263,190.19400000000002,189.263,30.989368386039555,858,860,TP,uncertain,mean_reversion
buy,188.157,188.85500000000002,187.692,188.85500000000002,21.497295898882868,873,878,TP,uncertain,mean_reversion
sell,189.906,189.193,190.381,189.193,43.91854434356214,885,887,TP,uncertain,mean_reversion
sell,189.631,188.863,190.143,188.863,42.57573331033721,887,889,TP,uncertain,mean_reversion
buy,190.045,189.557,189.557,191.511,-18.03555369396226,894,896,SL,uncertain,crossover
sell,191.873,191.075,192.405,191.075,39.323420349130956,907,909,TP,uncertain,mean_reversion
partial,190.462,191.42156827023885,189.82299999999998,192.381,11.821273948712767,937,940,SCALE_OUT,uncertain,
partial,190.462,192.06128045039807,190.92218195122976,192.381,19.70212324785438,937,944,SCALE_OUT,uncertain,
buy,190.462,191.42156827023885,191.42156827023885,,11.821273948712763,937,945,SL,uncertain,crossover
partial,191.07,191.93348527611107,190.495,192.796,21.275184509900527,956,961,SCALE_OUT,strong_trend,
partial,191.07,192.5091421268518,191.7875775892302,192.796,35.458640849834445,956,967,SCALE_OUT,strong_trend,
buy,191.07,191.93348527611107,191.93348527611107,,31.912776764850793,956,973,SL,strong_trend,pullback
buy,189.524,189.824,189.008,190.298,16.63114582435109,1024,1026,REVERSAL,ranging,mean_reversion
sell,189.824,190.35000000000002,190.35000000000002,188.246,-25.91994875143264,1026,1029,SL,uncertain,crossover
partial,191.366,192.23546248754866,190.80671483981283,193.104,10.711227717943718,1059,1073,SCALE_OUT,weak_trend,
buy,191.366,192.4102493757396,192.4102493757396,193.104,25.7289831776473,1059,1076,CHANDELIER,weak_trend,crossover
buy,191.43,191.984,191.061,191.984,37.537112093923,1095,1097,TP,uncertain,mean_reversion
sell,192.236,192.607,192.607,191.67999999999998,-22.85242629938584,1119,1120,SL,uncertain,mean_reversion
sell,192.687,193.03400000000002,193.03400000000002,192.167,-17.09928178088815,1141,1148,SL,ranging,mean_reversion
sell,193.148,193.539,193.539,192.56199999999998,-19.267490421691505,1149,1153,SL,ranging,mean_reversion
buy,192.735,192.683,192.358,193.86800000000002,-5.445160336567305,1221,1231,REVERSAL,strong_trend,pullback
partial,192.59,192.0302881415235,192.963,191.471,10.342943931045498,1245,1248,SCALE_OUT,uncertain,
sell,192.59,192.59,192.59,191.471,0.0,1245,1249,SL,uncertain,crossover
sell,192.829,193.243,193.243,191.586,-40.80174442240521,1249,1255,SL,strong_trend,pullback
partial,193.623,194.19780695210122,193.33188949817477,194.772,10.621886934717706,1257,1270,SCALE_OUT,uncertain,
partial,193.623,194.5810115868354,194.16680806560018,194.772,17.703144891196526,1257,1271,SCALE_OUT,uncertain,
buy,193.623,194.19780695210122,194.19780695210122,,14.162515912956945,1257,1272,SL,uncertain,crossover
sell,194.697,194.23,195.008,194.23,34.518867110986136,1277,1292,TP,ranging,mean_reversion
buy,193.891,194.304,193.61599999999999,194.304,43.247138826950994,1293,1305,TP,ranging,mean_reversion
sell,194.573,194.226,194.804,194.226,19.236692003499165,1309,1311,TP,ranging,mean_reversion
buy,194.448,194.098,194.098,194.97400000000002,-17.24711418821501,1367,1369,SL,ranging,mean_reversion
sell,193.013,193.39600000000002,193.39600000000002,191.863,-28.309906003228395,1378,1381,SL,weak_trend,crossover
buy,192.321,192.943,191.907,192.943,34.48190900915407,1411,1414,TP,ranging,mean_reversion
partial,193.23,192.41828431043297,193.771,191.607,9.999823704520265,1445,1446,SCALE_OUT,uncertain,
sell,193.23,193.13387985477974,193.13387985477974,191.607,2.3682787434308072,1445,1447,CHANDELIER,uncertain,crossover
sell,190.015,187.48,190.85999999999999,187.48,109.30358616781427,1489,1493,TP,strong_trend,pullback
partial,188.218,186.67364079173998,188.94159816953646,185.13,28.538292441945067,1510,1539,SCALE_OUT,strong_trend,
