type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,1.2456,1.2435100000000001,1.2435100000000001,1.25083,-2.0899999999999257,324,328,SL,strong_trend,pullback
sell,1.2257500000000001,1.2289500000000002,1.2289500000000002,1.21774,-3.200000000000092,424,426,SL,strong_trend,crossover
partial,1.2431,1.2466443290378062,1.2410236867881024,1.249,3.5443290378061043,508,525,SCALE_OUT,strong_trend,
buy,1.2431,1.244280956987102,1.244280956987102,1.249,0.0,508,528,SL,strong_trend,pullback
partial,1.24039,1.2375394046909707,1.2422900000000001,1.23564,2.850595309029425,547,554,SCALE_OUT,uncertain,
sell,1.24039,1.23564,1.239010012864464,1.23564,0.0,547,563,TP,uncertain,crossover
sell,1.23801,1.2395,1.2395,1.23427,-1.4899999999999916,576,577,SL,strong_trend,pullback
sell,1.23974,1.24129,1.24129,1.2358500000000001,-1.5499999999999405,577,578,SL,strong_trend,pullback
sell,1.24048,1.24203,1.24203,1.2366,-1.5499999999999405,579,580,SL,strong_trend,pullback
partial,1.24039,1.2432534006573255,1.23849,1.24516,2.863400657325377,602,603,SCALE_OUT,strong_trend,
buy,1.24039,1.24039,1.24039,1.24516,0.0,602,604,SL,strong_trend,pullback
partial,1.2443,1.2478341821994285,1.2419499999999999,1.25019,3.5341821994285816,604,605,SCALE_OUT,strong_trend,
buy,1.2443,1.2443,1.2443,1.25019,0.0,604,606,SL,strong_trend,pullback
partial,1.24441,1.248302151998487,1.2424187721560758,1.25089,3.8921519984869155,606,616,SCALE_OUT,strong_trend,
buy,1.24441,1.25089,1.2467316542253772,1.25089,0.0,606,619,TP,strong_trend,pullback
partial,1.26788,1.2705874459770643,1.2660799999999999,1.27239,2.707445977064405,913,915,SCALE_OUT,uncertain,
buy,1.26788,1.27239,1.268846785595821,1.27239,0.0,913,918,TP,uncertain,crossover
buy,1.29654,1.29483,1.29483,1.30081,-1.7100000000001006,1227,1240,SL,strong_trend,pullback
partial,1.29246,1.2951755431706273,1.2906499999999999,1.29698,2.7155431706273885,1260,1269,SCALE_OUT,strong_trend,
buy,1.29246,1.29698,1.2938978911044845,1.29698,0.0,1260,1271,TP,strong_trend,pullback
sell,1.29102,1.29292,1.29292,1.28627,-1.9000000000000128,1278,1279,SL,uncertain,crossover
buy,1.2943500000000001,1.29353,1.2931000000000001,1.2974800000000002,-0.820000025000043,1311,1312,REVERSAL,uncertain,crossover
sell,1.28997,1.2914700000000001,1.2914700000000001,1.2862200000000001,-1.500000000000057,1334,1335,SL,strong_trend,pullback
sell,1.29279,1.2945600000000002,1.2945600000000002,1.28835,-1.7700000000000495,1346,1347,SL,strong_trend,pullback
sell,1.29454,1.29417,1.29621,1.29035,0.3699999749999815,1355,1363,REVERSAL,strong_trend,pullback
buy,1.2947600000000001,1.2931300000000001,1.2931300000000001,1.29885,-1.6300000000000205,1371,1374,SL,strong_trend,pullback
sell,1.2917399999999999,1.29347,1.29347,1.2874199999999998,-1.7300000000000093,1401,1408,SL,uncertain,crossover
buy,1.3020800000000001,1.29892,1.29892,1.3099800000000001,-3.1600000000000517,1488,1490,SL,strong_trend,pullback
partial,1.30097,1.3060151401967068,1.29761,1.30937,5.045140196706877,1598,1604,SCALE_OUT,strong_trend,
buy,1.30097,1.30937,1.30097,1.30937,0.0,1598,1605,TP,strong_trend,crossover
buy,1.32298,1.32081,1.32081,1.32841,-2.1700000000000057,1687,1694,SL,strong_trend,pullback
buy,1.33206,1.3297,1.3297,1.33797,-2.359999999999918,1795,1797,SL,strong_trend,pullback
buy,1.33194,1.32938,1.32938,1.33836,-2.559999999999896,1797,1800,SL,strong_trend,pullback
buy,1.33036,1.32792,1.32792,1.33646,-2.439999999999998,1801,1803,SL,strong_trend,pullback
