type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,88.087,86.33625986261524,89.254,84.586,52.522204121543005,3401,3403,SCALE_OUT,strong_trend,
partial,88.087,85.16909977102539,86.7476405181612,84.586,87.53700686923848,3401,3404,SCALE_OUT,strong_trend,
sell,88.087,85.5451661954354,85.5451661954354,,76.25501413693812,3401,3405,CHANDELIER,strong_trend,pullback
partial,87.894,87.18318085532856,88.367,86.473,21.324574340143414,3603,3604,SCALE_OUT,uncertain,
partial,87.894,86.7093014255476,87.36771543762507,86.473,35.54095723357235,3603,3606,SCALE_OUT,uncertain,
sell,87.894,87.18318085532856,87.18318085532856,,35.54095723357236,3603,3608,SL,uncertain,crossover
sell,83.315,84.551,84.551,79.606,-74.16000000000024,3720,3732,SL,strong_trend,pullback
sell,82.974,83.76,83.76,80.614,-94.32000000000016,3906,3914,SL,strong_trend,pullback
partial,83.83,82.88841263817378,84.457,81.947,37.6634944730489,3914,3922,SCALE_OUT,strong_trend,
sell,83.83,82.89717035419443,82.89717035419443,81.947,93.2829645805569,3914,3926,CHANDELIER,strong_trend,pullback
partial,81.705,80.7728418139623,82.326,79.841,46.60790930188483,3927,3928,SCALE_OUT,strong_trend,
sell,81.705,81.705,81.705,79.841,0.0,3927,3929,SL,strong_trend,pullback
sell,81.001,81.96900000000001,81.96900000000001,78.096,-67.76000000000025,3933,3939,SL,strong_trend,pullback
sell,80.215,80.934,81.427,76.578,-43.139999999999645,3956,3958,REVERSAL,strong_trend,pullback
sell,80.956,81.852,81.852,79.61200000000001,-44.80000000000004,3966,3970,SL,uncertain,mean_reversion
sell,84.974,85.17,86.02000000000001,83.40400000000001,-7.839999999999918,3980,4018,REVERSAL,uncertain,mean_reversion
sell,87.986,87.203,88.50800000000001,87.203,15.660000000000025,4124,4129,TP,uncertain,mean_reversion
sell,86.153,86.654,86.804,84.19800000000001,-10.019999999999811,4151,4152,REVERSAL,uncertain,crossover
partial,83.859,82.84550668846394,84.53399999999999,81.833,10.134933115360525,4168,4170,SCALE_OUT,strong_trend,
sell,83.859,83.44859049032242,83.44859049032242,81.833,12.312285290327338,4168,4173,SL,strong_trend,pullback
buy,91.017,90.36699999999999,90.36699999999999,92.96799999999999,-19.50000000000017,4371,4378,SL,strong_trend,pullback
sell,93.739,95.013,95.013,89.917,-12.740000000000009,4410,4413,SL,strong_trend,crossover
partial,95.069,93.20808716171754,96.309,91.348,18.609128382824593,4413,4416,SCALE_OUT,strong_trend,
sell,95.069,93.17775599663996,93.17775599663996,91.348,0.0,4413,4424,CHANDELIER,strong_trend,pullback
sell,102.949,104.55288059625084,104.55288059625084,96.30799999999999,-16.038805962508462,4574,4598,SL,strong_trend,pullback
sell,111.327,113.428,113.428,108.175,-21.00999999999999,4599,4601,SL,uncertain,mean_reversion
sell,113.855,113.741,116.178,106.885,1.1400000000000432,4708,4710,REVERSAL,strong_trend,pullback
partial,119.745,116.85648545677812,121.67,113.968,28.885145432218877,5006,5018,SCALE_OUT,strong_trend,
sell,119.745,117.61042784514187,117.61042784514187,113.968,0.0,5006,5025,SL,strong_trend,pullback
partial,121.316,118.16604348208618,121.92929756310669,115.017,31.49956517913822,5220,5241,SCALE_OUT,strong_trend,
sell,121.316,118.8603633159302,118.8603633159302,115.017,0.0,5220,5243,SL,strong_trend,pullback
sell,115.936,115.802,116.83300000000001,113.24300000000001,4.02000000000001,5894,5895,REVERSAL,strong_trend,pullback
partial,116.582,115.06101179878284,117.595,113.541,15.209882012171505,5953,5955,SCALE_OUT,strong_trend,
partial,116.582,114.04701966463807,115.49487140813628,113.541,25.349803353619222,5953,5957,SCALE_OUT,strong_trend,
sell,116.582,115.06101179878284,115.06101179878284,,0.0,5953,5959,SL,strong_trend,pullback
sell,115.688,116.587,116.587,112.989,-26.970000000000027,5969,5972,SL,strong_trend,pullback
partial,113.654,112.18472981630505,114.633,110.716,14.692701836949453,5988,5995,SCALE_OUT,strong_trend,
sell,113.654,113.654,113.654,110.716,0.0,5988,5996,SL,strong_trend,pullback
sell,114.226,114.744,115.137,111.491,-15.54000000000002,5996,5998,REVERSAL,strong_trend,pullback
sell,105.668,107.0,107.0,101.671,-13.319999999999936,6146,6171,SL,strong_trend,pullback
partial,103.994,102.60301807288033,104.921,101.213,13.909819271196682,6214,6219,SCALE_OUT,strong_trend,
sell,103.994,103.994,103.994,101.213,0.0,6214,6220,SL,strong_trend,pullback
partial,104.832,103.23786115397927,105.89399999999999,101.64399999999999,15.941388460207264,6221,6223,SCALE_OUT,strong_trend,
sell,104.832,101.64399999999999,104.832,101.64399999999999,31.880000000000024,6221,6224,TP,strong_trend,pullback
partial,103.614,101.7014507865107,104.88900000000001,99.789,19.125492134892994,6231,6241,SCALE_OUT,strong_trend,
sell,103.614,102.62795987388361,102.62795987388361,99.789,0.0,6231,6243,SL,strong_trend,pullback
sell,103.314,103.984,104.44999999999999,99.90599999999999,-13.400000000000034,6244,6247,REVERSAL,strong_trend,pullback
partial,103.894,103.16867092176601,104.37700000000001,102.444,7.253290782339974,6279,6289,SCALE_OUT,uncertain,
sell,103.894,103.49134673666758,103.49134673666758,102.444,8.0530652666485,6279,6291,SL,uncertain,crossover
partial,119.092,120.8375042244403,117.929,122.583,17.45504224440296,6412,6414,SCALE_OUT,strong_trend,
buy,119.092,119.092,119.092,122.583,0.0,6412,6415,SL,strong_trend,crossover
buy,117.942,119.419,116.958,119.419,14.770000000000039,6436,6443,TP,uncertain,mean_reversion
partial,126.31,122.01486080841921,129.173,117.72,42.951391915807875,6584,6586,SCALE_OUT,strong_trend,
sell,126.31,117.72,126.31,117.72,0.0,6584,6587,TP,strong_trend,crossover
partial,101.174,94.0682817383203,102.91283099063568,86.96300000000001,71.05718261679712,6590,6607,SCALE_OUT,strong_trend,
