type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,0.56805,0.56867,0.56867,0.5665,-1.239999999999908,316,318,SL,uncertain,crossover
sell,0.5659,0.56655,0.56655,0.56426,-1.9500000000001185,328,341,SL,strong_trend,pullback
sell,0.56463,0.56341,0.5651299999999999,0.56341,4.879999999999996,358,360,TP,strong_trend,pullback
sell,0.5643,0.56481,0.56481,0.56301,-2.0400000000000422,361,362,SL,strong_trend,pullback
sell,0.56522,0.5657599999999999,0.5657599999999999,0.56385,-2.15999999999994,362,364,SL,strong_trend,pullback
sell,0.56535,0.5659000000000001,0.5659000000000001,0.56398,-2.2000000000002022,364,366,SL,strong_trend,pullback
sell,0.56538,0.56599,0.56599,0.56384,-1.8299999999999985,366,367,SL,strong_trend,pullback
partial,0.5654,0.5640992605094715,0.56597,0.56396,1.3007394905285576,374,377,SCALE_OUT,strong_trend,
sell,0.5654,0.56396,0.5654,0.56396,2.8799999999999932,374,378,TP,strong_trend,pullback
sell,0.56339,0.5640099999999999,0.5640099999999999,0.56182,-1.859999999999862,394,397,SL,strong_trend,pullback
sell,0.56425,0.56491,0.56491,0.56259,-1.319999999999988,397,401,SL,strong_trend,pullback
buy,0.5675,0.56673,0.56673,0.5694400000000001,-0.7700000000000484,412,413,SL,uncertain,crossover
sell,0.56388,0.5647800000000001,0.5647800000000001,0.5616300000000001,-0.9000000000000119,414,416,SL,uncertain,crossover
sell,0.55533,0.55652,0.55652,0.5523399999999999,-1.1900000000000246,425,427,SL,strong_trend,pullback
sell,0.55587,0.55702,0.55702,0.55299,-1.1499999999999846,427,431,SL,strong_trend,pullback
sell,0.55897,0.5600999999999999,0.5600999999999999,0.5561499999999999,-1.1299999999999646,448,449,SL,uncertain,crossover
buy,0.56786,0.56957,0.56718,0.56957,1.7099999999999895,480,482,TP,strong_trend,pullback
buy,0.5692,0.56849,0.56849,0.57099,-0.7099999999999885,484,486,SL,strong_trend,pullback
buy,0.56691,0.56837,0.56633,0.56837,1.460000000000017,506,516,TP,strong_trend,pullback
sell,0.56516,0.56598,0.56598,0.5631,-0.820000000000043,532,533,SL,uncertain,crossover
sell,0.56541,0.56528,0.56614,0.56431,0.12999997499996352,579,584,REVERSAL,ranging,mean_reversion
partial,0.56528,0.5663941712188204,0.5647800000000001,0.56651,1.1141712188204036,584,588,SCALE_OUT,ranging,
buy,0.56528,0.56651,0.56528,0.56651,0.0,584,589,TP,ranging,crossover
sell,0.564,0.5627399999999999,0.5644999999999999,0.5627399999999999,1.260000000000039,596,600,TP,ranging,crossover
sell,0.56557,0.56585,0.56658,0.56405,-0.28000002499994703,615,616,REVERSAL,ranging,mean_reversion
sell,0.56361,0.56425,0.56425,0.562,-0.639999999999974,620,626,SL,ranging,crossover
partial,0.56611,0.5678815758062773,0.56533,0.56807,1.7715758062772926,630,634,SCALE_OUT,ranging,
buy,0.56611,0.56807,0.56611,0.56807,0.0,630,635,TP,ranging,crossover
sell,0.56897,0.57004,0.57004,0.5673699999999999,-1.0700000000000156,638,643,SL,ranging,mean_reversion
sell,0.56981,0.57081,0.57081,0.5683,-1.000000000000001,643,644,SL,ranging,mean_reversion
buy,0.57107,0.57057,0.57057,0.57226,-0.499999999999945,689,691,SL,strong_trend,pullback
sell,0.57069,0.56945,0.57119,0.56945,1.240000000000019,691,696,TP,strong_trend,crossover
buy,0.57255,0.57191,0.57191,0.57416,-0.639999999999974,713,717,SL,weak_trend,crossover
sell,0.56986,0.57048,0.57048,0.5683,-0.619999999999954,723,726,SL,ranging,crossover
buy,0.57036,0.5695399999999999,0.5695399999999999,0.5716,-0.820000000000043,729,732,SL,ranging,mean_reversion
buy,0.57189,0.5734,0.57129,0.5734,1.5100000000000113,737,744,TP,ranging,crossover
sell,0.57318,0.57408,0.57408,0.5718300000000001,-0.9000000000000119,744,745,SL,ranging,mean_reversion
sell,0.57434,0.57533,0.57533,0.57285,-0.9900000000000466,745,746,SL,ranging,mean_reversion
sell,0.57404,0.57463,0.57463,0.57256,-0.5899999999999795,794,797,SL,ranging,crossover
buy,0.56776,0.5669200000000001,0.5669200000000001,0.5690200000000001,-0.839999999999952,856,864,SL,ranging,mean_reversion
sell,0.56102,0.55962,0.56158,0.55962,1.399999999999957,900,905,TP,strong_trend,pullback
sell,0.55973,0.56024,0.56024,0.5584399999999999,-0.5100000000000106,905,906,SL,strong_trend,pullback
sell,0.56026,0.56077,0.56077,0.55898,-0.5100000000000106,907,908,SL,strong_trend,pullback
sell,0.56257,0.56109,0.56316,0.56109,1.480000000000037,917,919,TP,strong_trend,pullback
sell,0.56145,0.55979,0.56211,0.55979,1.6599999999999948,919,927,TP,strong_trend,pullback
sell,0.56012,0.56077,0.56077,0.5585,-0.6500000000000395,927,929,SL,strong_trend,pullback
buy,0.56351,0.5628599999999999,0.5628599999999999,0.5651499999999999,-0.6500000000000395,934,936,SL,uncertain,crossover
buy,0.56519,0.56441,0.56441,0.56716,-0.780000000000003,948,949,SL,strong_trend,pullback
sell,0.56969,0.57047,0.57047,0.5677300000000001,-0.780000000000003,1012,1014,SL,uncertain,crossover
buy,0.57238,0.57411,0.57169,0.57411,1.7300000000000093,1026,1029,TP,uncertain,crossover
sell,0.56979,0.5680000000000001,0.5705,0.5680000000000001,1.7899999999999585,1039,1045,TP,uncertain,crossover
sell,0.56926,0.56996,0.56996,0.5675,-0.7000000000000339,1046,1051,SL,strong_trend,pullback
sell,0.57013,0.57089,0.57089,0.56823,-0.7599999999999829,1051,1053,SL,strong_trend,pullback
buy,0.57156,0.57083,0.57083,0.5733999999999999,-0.7300000000000085,1063,1068,SL,uncertain,crossover
sell,0.57002,0.57062,0.57062,0.5685,-0.600000000000045,1071,1072,SL,ranging,crossover
buy,0.57173,0.57111,0.57111,0.57328,-0.619999999999954,1076,1077,SL,ranging,crossover
sell,0.57036,0.5711499999999999,0.5711499999999999,0.56839,-0.7899999999999575,1081,1082,SL,ranging,crossover
partial,0.57123,0.5730417975254638,0.57043,0.57324,1.8117975254637875,1082,1085,SCALE_OUT,ranging,
buy,0.57123,0.5716459355208493,0.5716459355208493,0.57324,0.0,1082,1089,SL,ranging,crossover
sell,0.57221,0.57308,0.57308,0.5709,-0.8700000000000375,1123,1128,SL,ranging,mean_reversion
partial,0.58159,0.5828595788255855,0.58103,0.5830000000000001,1.269578825585427,1161,1165,SCALE_OUT,strong_trend,
buy,0.58159,0.5817654434984528,0.5817654434984528,0.5830000000000001,0.0,1161,1167,SL,strong_trend,pullback
buy,0.58087,0.5803,0.5803,0.58231,-0.5699999999999595,1179,1195,SL,strong_trend,pullback
sell,0.57846,0.5789799999999999,0.5789799999999999,0.57716,-0.519999999999965,1198,1199,SL,strong_trend,crossover
sell,0.57907,0.57773,0.5796,0.57773,1.340000000000008,1199,1201,TP,strong_trend,pullback
sell,0.5783,0.57886,0.57886,0.5768800000000001,-0.560000000000005,1202,1206,SL,strong_trend,pullback
buy,0.58174,0.5810000000000001,0.5810000000000001,0.5836,-0.739999999999963,1209,1212,SL,strong_trend,crossover
buy,0.58024,0.5794699999999999,0.5794699999999999,0.58218,-0.7700000000000484,1212,1213,SL,strong_trend,pullback
buy,0.57918,0.57914,0.5783900000000001,0.58116,-0.04000002500004001,1213,1216,REVERSAL,strong_trend,pullback
sell,0.57914,0.57723,0.5799,0.57723,1.9099999999999673,1216,1219,TP,strong_trend,crossover
sell,0.57351,0.5741299999999999,0.5741299999999999,0.57194,-0.619999999999954,1253,1258,SL,strong_trend,pullback
partial,0.57438,0.5730782558143154,0.57495,0.57294,1.3017441856846281,1259,1261,SCALE_OUT,strong_trend,
sell,0.57438,0.57294,0.57438,0.57294,0.0,1259,1262,TP,strong_trend,pullback
sell,0.57269,0.57328,0.57328,0.5712,-0.5899999999999795,1262,1267,SL,strong_trend,pullback
buy,0.5735,0.5729,0.5729,0.57501,-0.600000000000045,1299,1303,SL,uncertain,crossover
