type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,257.126,251.47186999999997,251.47186999999997,271.26133,-11.308260000000018,345,348,SL,strong_trend,pullback
sell,225.6514,229.94787,229.94787,214.91021999999998,-8.592939999999997,452,453,SL,strong_trend,crossover
sell,234.7825,239.84198,239.84198,222.1338,-10.118960000000015,463,469,SL,strong_trend,pullback
sell,196.9191,199.21955999999997,199.21955999999997,191.16795,-13.80275999999992,764,765,SL,strong_trend,pullback
sell,199.476,201.8437,201.8437,193.55674,-14.20620000000008,765,767,SL,strong_trend,pullback
partial,199.36,195.66535952690504,201.82309,193.20227,3.694640473094978,893,900,SCALE_OUT,strong_trend,
sell,199.36,193.20227,196.83548428168083,193.20227,18.47319000000004,893,913,TP,strong_trend,pullback
partial,173.1583,169.11195974701627,175.85586,166.4144,4.0463402529837245,1052,1056,SCALE_OUT,strong_trend,
sell,173.1583,171.08390654295485,171.08390654295485,166.4144,6.223180371135442,1052,1062,SL,strong_trend,pullback
sell,171.8154,174.42054000000002,174.42054000000002,165.30255,-10.420560000000023,1062,1073,SL,strong_trend,pullback
sell,135.356,138.35318,138.35318,127.86304,-14.98590000000007,1216,1217,SL,strong_trend,pullback
buy,178.669,174.02864000000002,174.02864000000002,190.26992,-4.640359999999987,1273,1274,SL,strong_trend,crossover
sell,136.2271,141.03324,141.03324,124.21174,-4.806139999999999,1301,1312,SL,strong_trend,crossover
sell,143.6808,147.86440000000002,147.86440000000002,133.22179,-4.183600000000012,1320,1332,SL,strong_trend,pullback
partial,123.1798,118.70584911494345,126.16243,115.72322,4.473950885056552,1471,1480,SCALE_OUT,strong_trend,
sell,123.1798,123.1798,123.1798,115.72322,0.0,1471,1481,SL,strong_trend,pullback
partial,128.9005,126.55531991977566,130.46394999999998,124.99186999999999,2.3451800802243383,1612,1615,SCALE_OUT,strong_trend,
sell,128.9005,128.9005,128.9005,124.99186999999999,0.0,1612,1616,SL,strong_trend,pullback
