type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,558.07,560.72,560.72,550.12,-7.949999999999932,389,392,SL,strong_trend,pullback
sell,558.41,561.1,561.1,550.3199999999999,-8.070000000000164,394,398,SL,strong_trend,pullback
sell,521.26,525.02,525.02,509.96,-11.279999999999973,492,493,SL,strong_trend,pullback
sell,526.18,530.0,530.0,514.7199999999999,-11.46000000000015,493,495,SL,strong_trend,pullback
buy,548.88,558.36,545.72,558.36,47.40000000000009,532,537,TP,strong_trend,pullback
buy,596.64,594.79,594.79,602.1899999999999,-11.100000000000136,774,777,SL,strong_trend,pullback
buy,598.51,604.68,596.46,604.68,30.849999999999795,779,781,TP,strong_trend,pullback
buy,619.48,623.39,618.1800000000001,623.39,31.279999999999745,843,852,TP,strong_trend,pullback
sell,646.59,647.9100000000001,647.9100000000001,644.61,-6.60000000000025,1103,1104,SL,ranging,mean_reversion
buy,647.62,644.68,644.68,656.44,-5.880000000000109,1107,1112,SL,strong_trend,pullback
buy,643.74,641.1800000000001,641.1800000000001,651.42,-2.5599999999999454,1112,1118,SL,strong_trend,pullback
buy,657.63,661.68,656.28,661.68,12.149999999999864,1200,1202,TP,strong_trend,pullback
buy,661.05,659.8199999999999,659.8199999999999,664.76,-3.6900000000000546,1235,1237,SL,strong_trend,pullback
sell,668.49,670.2,670.2,665.92,-1.7100000000000364,1271,1272,SL,ranging,mean_reversion
partial,668.18,671.426047502415,666.8299999999999,672.2299999999999,3.246047502415081,1295,1301,SCALE_OUT,strong_trend,
buy,668.18,672.2299999999999,668.18,672.2299999999999,4.0499999999999545,1295,1302,TP,strong_trend,pullback
buy,662.91,659.41,659.41,673.42,-3.5,1323,1328,SL,strong_trend,pullback
sell,656.83,639.639646811129,639.639646811129,640.1,17.190353188871086,1328,1329,CHANDELIER,strong_trend,crossover
sell,659.67,665.0699999999999,665.0699999999999,643.4699999999999,-5.399999999999977,1329,1331,SL,strong_trend,pullback
sell,665.07,669.9300000000001,669.9300000000001,650.48,-4.860000000000014,1332,1336,SL,strong_trend,pullback
sell,664.01,668.22,668.22,651.37,-4.210000000000036,1338,1343,SL,strong_trend,pullback
buy,667.66,665.29,665.29,674.78,-2.3700000000000045,1376,1377,SL,strong_trend,pullback
buy,672.29,681.42,669.25,681.42,9.129999999999995,1381,1391,TP,strong_trend,pullback
buy,686.07,683.47,683.47,693.8900000000001,-2.6000000000000227,1410,1411,SL,strong_trend,pullback
buy,680.8,673.1335474894474,673.1335474894474,705.1899999999999,-7.666452510552517,1423,1448,SL,strong_trend,pullback
