type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,8498.5,8527.567401576518,8479.2,8546.9,4.67271269999221,300,303,SCALE_OUT,strong_trend,
buy,8498.5,8512.436670096784,8512.436670096784,8546.9,5.41425417856557,300,308,SL,strong_trend,pullback
buy,8645.5,8629.1,8629.1,8686.6,-14.06065151999969,395,397,SL,strong_trend,pullback
sell,8659.4,8679.699999999999,8679.699999999999,8608.5,-8.974114379999682,741,749,SL,strong_trend,pullback
partial,8783.0,8821.46234756775,8757.4,8847.1,6.182991605845246,894,895,SCALE_OUT,strong_trend,
buy,8783.0,8847.1,8783.0,8847.1,24.043499760000145,894,896,TP,strong_trend,pullback
sell,8644.8,8675.3,8675.3,8568.5,-14.300443500000004,939,960,SL,strong_trend,crossover
sell,8708.2,8737.6,8737.6,8634.5,-14.178538079999827,963,965,SL,strong_trend,pullback
partial,8728.7,8685.058855347626,8757.7,8656.0,6.430880521913511,965,967,SCALE_OUT,strong_trend,
sell,8728.7,8719.257359621453,8719.257359621453,8656.0,3.1623874759774067,965,969,SL,strong_trend,pullback
partial,8699.2,8725.24052037426,8681.900000000001,8742.6,4.8838162665271465,1103,1115,SCALE_OUT,uncertain,
buy,8699.2,8706.454295383868,8706.454295383868,8742.6,3.012579746462311,1103,1116,CHANDELIER,uncertain,crossover
partial,8689.2,8712.938054084938,8673.400000000001,8728.7,6.35999440265271,1122,1129,SCALE_OUT,strong_trend,
buy,8689.2,8699.396341687505,8699.396341687505,8728.7,6.283242695650598,1122,1136,SL,strong_trend,pullback
partial,8648.8,8618.427262703794,8669.0,8598.199999999999,4.882551160409178,1216,1223,SCALE_OUT,uncertain,
sell,8648.8,8636.13333710101,8636.13333710101,8598.199999999999,4.581499037241027,1216,1227,SL,uncertain,crossover
buy,8678.2,8661.5,8661.5,8719.900000000001,-2.6845984800001177,1240,1249,SL,ranging,crossover
partial,8638.4,8611.22738916482,8656.5,8593.199999999999,1.0920291878106954,1274,1279,SCALE_OUT,uncertain,
sell,8638.4,8638.4,8638.4,8593.199999999999,0.0,1274,1280,SL,uncertain,crossover
sell,8631.0,8651.0,8651.0,8601.0,-1.8754680000000006,1341,1342,SL,ranging,mean_reversion
buy,8568.6,8547.6,8547.6,8600.1,-1.6879212000000001,1367,1369,SL,ranging,mean_reversion
buy,8577.1,8609.9,8555.2,8609.9,2.636372159999942,1369,1376,TP,ranging,mean_reversion
buy,8455.9,8515.1,8416.4,8515.1,1.5861100800000199,1381,1386,TP,ranging,mean_reversion
partial,8432.8,8464.052532109863,8412.0,8484.8,1.6746606826006274,1777,1779,SCALE_OUT,strong_trend,
buy,8432.8,8450.14966725752,8450.14966725752,8484.8,2.0917765126367285,1777,1780,CHANDELIER,strong_trend,pullback
partial,8483.3,8518.424683321877,8459.9,8541.8,0.9410745654330697,1783,1784,SCALE_OUT,strong_trend,
buy,8483.3,8483.3,8483.3,8541.8,0.0,1783,1785,SL,strong_trend,pullback
buy,8585.9,8561.5,8561.5,8646.9,-3.5955400799999473,1825,1827,SL,strong_trend,pullback
buy,8591.6,8564.0,8564.0,8660.6,-3.6973512000000497,1828,1838,SL,strong_trend,pullback
buy,8520.5,8548.7,8501.7,8548.7,2.644409880000069,1892,1896,TP,ranging,mean_reversion
buy,8579.7,8559.800000000001,8559.800000000001,8629.5,-3.4655969399999376,1904,1905,SL,strong_trend,pullback
buy,8594.7,8567.800000000001,8567.800000000001,8661.900000000001,-2.5225044599999666,1906,1912,SL,strong_trend,pullback
buy,8596.9,8569.699999999999,8569.699999999999,8665.0,-3.643766400000098,1912,1925,SL,strong_trend,pullback
buy,8648.3,8631.099999999999,8631.099999999999,8691.4,-3.456219600000147,2023,2024,SL,strong_trend,pullback
buy,8739.8,8720.199999999999,8720.199999999999,8788.8,-2.8882207200000543,2081,2090,SL,strong_trend,pullback
buy,8747.9,8726.4,8726.4,8801.699999999999,-3.4562196000000007,2096,2115,SL,strong_trend,pullback
buy,8769.0,8798.2,8749.6,8798.2,2.7381832800000687,2246,2250,TP,ranging,mean_reversion
buy,8880.5,8864.4,8864.4,8920.9,-2.803824660000064,2418,2420,SL,strong_trend,pullback
buy,8846.1,8826.9,8826.9,8894.2,-2.8292774400001077,2422,2423,SL,strong_trend,pullback
buy,8843.1,8823.4,8823.4,8892.4,-2.639051400000098,2423,2428,SL,strong_trend,pullback
partial,8838.4,8869.476552295566,8817.699999999999,8890.1,1.2489231295855925,2428,2432,SCALE_OUT,strong_trend,
buy,8838.4,8856.044081183662,8856.044081183662,8890.1,1.6545454824680024,2428,2434,SL,strong_trend,pullback
buy,8844.9,8822.8,8822.8,8900.3,-2.3684481600000393,2434,2439,SL,strong_trend,pullback
partial,8845.1,8881.80837695133,8823.664668639058,8906.2,0.9835055186308178,2442,2451,SCALE_OUT,strong_trend,
buy,8845.1,8906.2,8864.846143642073,8906.2,4.911046920000031,2442,2453,TP,strong_trend,pullback
buy,8847.6,8830.7,8830.7,8890.0,-3.6223324799999226,2474,2479,SL,strong_trend,pullback
buy,8800.4,8826.199999999999,8783.199999999999,8826.199999999999,2.7649756799999228,2519,2521,TP,ranging,mean_reversion
sell,8813.4,8768.3,8831.4,8768.3,6.645854820000055,2526,2533,TP,uncertain,crossover
sell,8820.3,8806.372944303937,8806.372944303937,8765.4,1.6791266116402563,2533,2534,CHANDELIER,strong_trend,pullback
sell,8818.8,8837.8,8837.8,8771.199999999999,-3.563389200000001,2537,2541,SL,strong_trend,pullback
sell,8845.7,8796.5,8865.300000000001,8796.5,7.250023440000109,2544,2548,TP,strong_trend,pullback
sell,8764.6,8785.300000000001,8785.300000000001,8712.7,-3.6049174200001275,2575,2578,SL,strong_trend,pullback
sell,8735.4,8749.6,8749.6,8699.9,-3.614294760000186,2639,2640,SL,strong_trend,pullback
sell,8747.1,8761.9,8761.9,8710.1,-3.5687476799998255,2640,2647,SL,strong_trend,pullback
buy,8797.0,8781.6,8781.6,8835.7,-2.681919239999937,2727,2729,SL,ranging,crossover
sell,8812.3,8825.3,8825.3,8792.8,-1.7415060000000004,2747,2752,SL,ranging,mean_reversion
sell,8817.3,8795.5,8831.8,8795.5,2.6283344399999127,2752,2769,TP,ranging,mean_reversion
buy,8796.9,8786.699999999999,8786.699999999999,8812.3,-1.7763361200001273,2770,2771,SL,ranging,mean_reversion
partial,8927.1,8950.127940134313,8911.800000000001,8965.4,1.5424344581363727,2884,2893,SCALE_OUT,strong_trend,
buy,8927.1,8934.191570725076,8934.191570725076,8965.4,1.14000119696702,2884,2895,SL,strong_trend,pullback
partial,8929.3,8955.281785269482,8912.0,8972.599999999999,1.392228767308205,2899,2904,SCALE_OUT,strong_trend,
buy,8929.3,8972.599999999999,8929.3,8972.599999999999,4.6404436799999225,2899,2905,TP,strong_trend,pullback
buy,8975.7,8960.5,8960.5,9013.7,-3.4615780800001668,2933,2934,SL,strong_trend,pullback
sell,9010.2,8992.400000000001,9022.1,8992.400000000001,2.622975959999893,2994,2996,TP,ranging,mean_reversion
partial,9119.8,9143.615960543579,9104.0,9159.4,1.5952168531694937,3183,3186,SCALE_OUT,strong_trend,
buy,9119.8,9129.332390172049,9129.332390172049,9159.4,1.5323736626737012,3183,3190,SL,strong_trend,pullback
buy,9121.7,9100.0,9100.0,9176.0,-2.616277860000088,3218,3223,SL,strong_trend,pullback
buy,9097.6,9071.2,9071.2,9163.800000000001,-2.8292774399999616,3232,3246,SL,strong_trend,pullback
buy,9104.5,9093.6,9088.4,9144.9,-1.898676916499937,3331,3339,REVERSAL,strong_trend,pullback
sell,9093.6,9108.6,9108.6,9055.9,-2.6122590000000008,3339,3359,SL,uncertain,crossover
sell,9123.2,9135.5,9135.5,9092.300000000001,-3.460238459999796,3370,3376,SL,strong_trend,pullback
partial,9136.6,9154.152089822883,9124.9,9165.800000000001,1.6459191397970816,3376,3383,SCALE_OUT,strong_trend,
buy,9136.6,9147.149905753586,9147.149905753586,9165.800000000001,2.1199297118426985,3376,3384,CHANDELIER,strong_trend,crossover
buy,9136.5,9122.6,9122.6,9171.4,-2.9793148799999227,3389,3390,SL,strong_trend,pullback
partial,9141.2,9163.599811563348,9126.300000000001,9178.5,1.2002894226596694,3390,3393,SCALE_OUT,strong_trend,
buy,9141.2,9178.5,9155.657972543417,9178.5,4.996782599999904,3390,3406,TP,strong_trend,pullback
partial,9156.2,9175.013592221134,9143.7,9187.5,1.5121838646764636,3413,3417,SCALE_OUT,strong_trend,
buy,9156.2,9187.5,9156.2,9187.5,6.289515899999855,3413,3418,TP,strong_trend,pullback
partial,9167.6,9188.208329210122,9153.9,9201.9,1.6564397985877506,3453,3454,SCALE_OUT,strong_trend,
buy,9167.6,9170.521899813722,9170.521899813722,9201.9,0.5088506056995956,3453,3457,SL,strong_trend,pullback
buy,9162.4,9148.699999999999,9148.699999999999,9196.8,-3.487030860000186,3467,3474,SL,strong_trend,pullback
buy,9169.8,9157.0,9157.0,9201.9,-3.6008985599997962,3483,3497,SL,strong_trend,pullback
buy,9274.5,9256.1,9256.1,9320.6,-2.464900799999952,3589,3594,SL,strong_trend,pullback
partial,9277.2,9304.925796835872,9262.467797530593,9323.400000000001,1.114260958718115,3594,3602,SCALE_OUT,strong_trend,
buy,9277.2,9292.1805520785,9292.1805520785,9323.400000000001,1.605459774031948,3594,3608,SL,strong_trend,pullback
buy,9263.5,9248.9,9248.9,9300.2,-3.520521360000088,3625,3633,SL,strong_trend,pullback
sell,9193.4,9207.4,9207.4,9158.4,-3.563389200000001,3658,3660,SL,strong_trend,crossover
partial,9160.6,9130.833909743875,9180.4,9111.0,0.7975049965782199,3711,3719,SCALE_OUT,strong_trend,
sell,9160.6,9147.244638834398,9147.244638834398,9111.0,1.0734665354798667,3711,3723,SL,strong_trend,pullback
partial,9207.0,9230.25388486955,9191.5,9245.7,1.5575684624472912,3776,3780,SCALE_OUT,strong_trend,
buy,9207.0,9245.7,9218.973320714176,9245.7,6.221195280000119,3776,3784,TP,strong_trend,pullback
buy,9280.6,9292.05945011505,9292.05945011505,9326.6,1.535130856312268,3897,3898,CHANDELIER,strong_trend,pullback
partial,9278.9,9305.07430046442,9261.5,9322.5,1.4025446555258265,3899,3906,SCALE_OUT,strong_trend,
buy,9278.9,9286.729773014653,9286.729773014653,9322.5,0.8391136420711836,3899,3907,CHANDELIER,strong_trend,pullback
sell,9250.8,9219.699999999999,9263.199999999999,9219.699999999999,8.749058220000105,3958,3959,TP,strong_trend,pullback
buy,9278.3,9264.3,9264.3,9313.3,-2.6256552000000006,4050,4051,SL,ranging,crossover
partial,9232.9,9210.643972358375,9247.699999999999,9195.9,1.1925847899709108,4053,4056,SCALE_OUT,ranging,
sell,9232.9,9223.31754101084,9223.31754101084,9195.9,1.1553168339952586,4053,4065,SL,ranging,crossover
sell,9258.4,9274.4,9274.4,9234.3,-1.5003744000000003,4073,4074,SL,ranging,mean_reversion
sell,9275.2,9250.0,9292.0,9250.0,2.0255054400000585,4074,4075,TP,ranging,mean_reversion
sell,9281.8,9297.8,9297.8,9257.8,-1.7147136000000003,4118,4119,SL,ranging,mean_reversion
sell,9297.0,9313.9,9313.9,9271.6,-1.8111662399999613,4119,4122,SL,ranging,mean_reversion
partial,9426.8,9450.955711968596,9410.699999999999,9467.0,1.6179737433685781,4212,4221,SCALE_OUT,strong_trend,
buy,9426.8,9467.0,9439.121036212271,9467.0,6.462326880000118,4212,4228,TP,strong_trend,pullback
buy,9447.5,9425.1,9425.1,9503.7,-2.7006739199999568,4365,4370,SL,strong_trend,pullback
partial,9429.1,9398.45969688254,9449.5,9378.1,1.2313908858663352,4391,4392,SCALE_OUT,uncertain,
sell,9429.1,9429.1,9429.1,9378.1,0.0,4391,4393,SL,uncertain,crossover
buy,9501.1,9478.1,9478.1,9558.7,-2.1567882000000007,4399,4401,SL,uncertain,crossover
partial,9418.9,9387.651669045264,9439.699999999999,9366.9,1.2558266734074688,4421,4422,SCALE_OUT,uncertain,
sell,9418.9,9418.9,9418.9,9366.9,0.0,4421,4423,SL,uncertain,crossover
sell,9364.0,9389.5,9389.5,9300.2,-2.732824800000001,4465,4469,SL,strong_trend,pullback
partial,9437.6,9416.421097887505,9451.7,9402.4,1.7023008508764377,4513,4517,SCALE_OUT,strong_trend,
