type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,76.004,75.4405683444538,76.379,75.065,5.634316555462107,343,352,SCALE_OUT,strong_trend,
sell,76.004,75.76989405286292,75.76989405286292,75.065,0.0,343,354,SL,strong_trend,pullback
sell,75.803,76.319,76.319,74.512,-5.160000000000053,399,402,SL,strong_trend,pullback
partial,75.74,74.93839616836416,76.21065802097661,74.404,8.016038316358305,403,417,SCALE_OUT,strong_trend,
sell,75.74,74.404,75.27796566619412,74.404,0.0,403,421,TP,strong_trend,pullback
sell,74.425,74.76299999999999,74.76299999999999,73.579,-3.3799999999999386,449,455,SL,strong_trend,pullback
buy,76.673,76.42,76.42,77.306,-2.530000000000001,506,511,SL,strong_trend,crossover
buy,75.806,75.559,75.559,76.423,-2.469999999999999,524,525,SL,strong_trend,pullback
partial,75.233,74.77985108842806,75.53500000000001,74.47800000000001,4.531489115719438,566,567,SCALE_OUT,strong_trend,
sell,75.233,74.47800000000001,75.233,74.47800000000001,0.0,566,568,TP,strong_trend,pullback
partial,74.683,74.17639966298134,75.02000000000001,73.83900000000001,5.066003370186678,568,574,SCALE_OUT,strong_trend,
sell,74.683,74.59193965337326,74.59193965337326,73.83900000000001,0.0,568,576,SL,strong_trend,pullback
sell,75.307,75.55,75.55,74.943,-2.42999999999995,601,602,SL,ranging,mean_reversion
sell,75.546,75.155,75.807,75.155,3.9100000000000534,602,603,TP,ranging,mean_reversion
sell,75.876,76.123,76.123,75.506,-2.469999999999999,623,624,SL,ranging,mean_reversion
buy,76.085,75.833,75.833,76.716,-2.5199999999999534,624,628,SL,uncertain,crossover
buy,76.071,75.791,75.791,76.773,-2.8000000000000114,654,662,SL,strong_trend,pullback
partial,73.233,72.80523280120634,73.518,72.521,4.2776719879366,759,767,SCALE_OUT,strong_trend,
sell,73.233,72.521,72.99522073735339,72.521,0.0,759,771,TP,strong_trend,pullback
sell,72.645,72.931,72.931,71.929,-2.8600000000000136,776,778,SL,strong_trend,pullback
sell,72.973,73.279,73.279,72.207,-3.059999999999974,778,782,SL,strong_trend,pullback
sell,69.373,69.79100000000001,69.79100000000001,68.327,-4.180000000000064,863,872,SL,strong_trend,pullback
sell,70.114,70.57300000000001,70.57300000000001,68.96600000000001,-4.590000000000032,881,899,SL,strong_trend,pullback
