type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,6017.8,5997.5,5997.5,6068.5,-1.218000000000011,300,312,SL,strong_trend,pullback
sell,5927.1,5947.8,5947.8,5875.3,-1.2419999999999893,396,398,SL,strong_trend,crossover
sell,5995.4,6021.299999999999,6021.299999999999,5930.5,-1.5539999999999783,407,409,SL,strong_trend,pullback
partial,6018.9,5980.449300144073,6042.171369893066,5954.9,0.7690139971185274,409,418,SCALE_OUT,strong_trend,
sell,6018.9,5996.53962679418,5996.53962679418,5954.9,0.6708111961746,409,420,SL,strong_trend,pullback
sell,6047.9,6062.4,6062.4,6026.099999999999,-1.0150000000000003,452,456,SL,ranging,mean_reversion
sell,6062.7,6068.5,6076.2,6042.4,-0.40617500000001283,456,460,REVERSAL,ranging,mean_reversion
buy,6068.5,6057.1,6057.1,6097.2,-1.481999999999953,460,478,SL,uncertain,crossover
sell,6099.0,6083.9,6109.1,6083.9,1.359000000000033,496,497,TP,ranging,mean_reversion
buy,6036.5,6021.1,6021.1,6059.7,-0.769999999999982,498,504,SL,ranging,mean_reversion
buy,6034.0,6020.1,6020.1,6054.9,-0.6949999999999821,565,566,SL,ranging,mean_reversion
buy,6119.9,6130.099999999999,6113.099999999999,6130.099999999999,0.4079999999999928,675,678,TP,ranging,mean_reversion
buy,6091.4,6106.2,6081.5,6106.2,0.2960000000000037,700,702,TP,ranging,mean_reversion
buy,6086.5,6076.6,6076.6,6101.4,-0.19799999999999277,723,725,SL,ranging,mean_reversion
sell,6038.5,6052.8,6052.8,6002.7,-0.2860000000000037,730,740,SL,strong_trend,crossover
sell,5947.7,5975.0,5975.0,5879.5,-0.27300000000000185,844,845,SL,strong_trend,pullback
sell,5946.4,5973.7,5973.7,5878.0,-0.27300000000000185,846,855,SL,strong_trend,pullback
sell,5842.5,5773.4,5870.1,5773.4,1.3820000000000077,888,889,TP,strong_trend,pullback
partial,5843.8,5798.8738406454395,5868.516306261676,5769.0,0.449261593545607,911,923,SCALE_OUT,strong_trend,
sell,5843.8,5769.0,5813.113632083729,5769.0,0.748000000000002,911,928,TP,strong_trend,pullback
sell,5604.0,5625.6,5625.6,5549.8,-0.4320000000000074,1075,1087,SL,strong_trend,pullback
sell,5614.9,5632.2,5632.2,5571.599999999999,-0.5190000000000056,1117,1123,SL,strong_trend,pullback
partial,5670.2,5639.44983026757,5690.7,5619.0,0.3075016973242965,1162,1177,SCALE_OUT,strong_trend,
sell,5670.2,5644.538057139393,5644.538057139393,5619.0,0.25661942860607273,1162,1181,CHANDELIER,strong_trend,pullback
sell,5652.8,5674.1,5674.1,5599.400000000001,-0.4260000000000037,1186,1188,SL,strong_trend,pullback
sell,5667.2,5688.8,5688.8,5613.0,-0.4320000000000074,1188,1190,SL,strong_trend,pullback
partial,5708.6,5735.486488233996,5693.307874820212,5753.400000000001,0.2688648823399581,1194,1203,SCALE_OUT,strong_trend,
buy,5708.6,5753.400000000001,5721.20517467335,5753.400000000001,0.4480000000000019,1194,1205,TP,strong_trend,crossover
sell,5590.1,5610.700000000001,5610.700000000001,5538.400000000001,-0.41200000000000736,1331,1337,SL,strong_trend,pullback
