type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,1.43798,1.43967,1.43967,1.43544,-7.154095260940908,306,307,SL,ranging,mean_reversion
sell,1.43998,1.4374,1.4417,1.4374,10.921636552205959,307,309,TP,ranging,mean_reversion
buy,1.44037,1.43872,1.43872,1.4444899999999998,-10.47715134368539,331,338,SL,ranging,crossover
sell,1.44192,1.44313,1.44313,1.4401000000000002,-6.829550505513356,356,357,SL,ranging,mean_reversion
sell,1.44293,1.44416,1.44416,1.4410800000000001,-6.9424356378366365,357,361,SL,ranging,mean_reversion
sell,1.4482599999999999,1.4441899999999999,1.4509699999999999,1.4441899999999999,5.7430311069093,393,403,TP,ranging,mean_reversion
sell,1.42095,1.41947,1.42194,1.41947,10.441874739834525,720,722,TP,ranging,mean_reversion
sell,1.42202,1.42324,1.42324,1.42019,-6.885993071674997,723,724,SL,ranging,mean_reversion
buy,1.41894,1.4174200000000001,1.4174200000000001,1.4212200000000001,-6.434452542384693,747,750,SL,ranging,mean_reversion
sell,1.4235,1.42117,1.42505,1.42117,9.863338436681783,795,798,TP,ranging,mean_reversion
partial,1.4316900000000001,1.4345547665307745,1.4297900000000001,1.43646,2.0211846806228344,845,848,SCALE_OUT,strong_trend,
buy,1.4316900000000001,1.43646,1.4316900000000001,1.43646,6.730776014731425,845,849,TP,strong_trend,pullback
partial,1.44248,1.4464660470329544,1.43983,1.44912,2.812284042243355,933,938,SCALE_OUT,strong_trend,
buy,1.44248,1.44912,1.44248,1.44912,0.0,933,939,TP,strong_trend,pullback
sell,1.43024,1.43305,1.43305,1.4232,-1.9825451364146123,990,1008,SL,uncertain,crossover
sell,1.4365,1.43904,1.43904,1.4301300000000001,-3.5841029512406593,1015,1032,SL,strong_trend,pullback
partial,1.44347,1.448388333224188,1.4404508662706028,1.45166,3.4700418551175756,1065,1076,SCALE_OUT,strong_trend,
buy,1.44347,1.44347,1.44347,1.45166,0.0,1065,1077,SL,strong_trend,pullback
sell,1.43055,1.4318,1.4318,1.42741,-3.5276603850793324,1190,1196,SL,strong_trend,pullback
