type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,0.90439,0.90584,0.90584,0.90075,-1.7964887936267406,323,328,SL,strong_trend,pullback
sell,0.90629,0.90741,0.90741,0.9034800000000001,-1.3876327233531274,366,367,SL,strong_trend,pullback
sell,0.90625,0.90744,0.90744,0.90327,-1.4743597685627152,371,381,SL,strong_trend,pullback
partial,0.90955,0.9112839938551988,0.9084,0.91243,2.148345192470593,395,405,SCALE_OUT,strong_trend,
buy,0.90955,0.909950890884326,0.909950890884326,0.91243,0.0,395,408,SL,strong_trend,crossover
partial,0.90803,0.9098546513289454,0.90682,0.91107,2.260665975673536,411,414,SCALE_OUT,strong_trend,
buy,0.90803,0.91107,0.9089205050862659,0.91107,0.0,411,417,TP,strong_trend,pullback
buy,0.91388,0.9118200000000001,0.9118200000000001,0.91905,-2.5522530447387046,436,441,SL,strong_trend,pullback
buy,0.91149,0.90963,0.90963,0.9161400000000001,-2.3044614869971043,443,453,SL,strong_trend,pullback
sell,0.90507,0.9060600000000001,0.9060600000000001,0.90259,-2.4531364216422293,507,518,SL,strong_trend,pullback
sell,0.91026,0.91164,0.91164,0.9081899999999999,-1.7097617484172907,533,541,SL,ranging,mean_reversion
buy,0.90258,0.9017700000000001,0.9017700000000001,0.9038,-1.0035558088535643,739,742,SL,ranging,mean_reversion
buy,0.9023,0.90148,0.90148,0.9035299999999999,-1.0159453867407269,743,745,SL,ranging,mean_reversion
buy,0.9014,0.9004599999999999,0.9004599999999999,0.90281,-1.1646203213857147,746,747,SL,ranging,mean_reversion
buy,0.89964,0.89859,0.89859,0.90121,-1.30090567814354,747,749,SL,ranging,mean_reversion
sell,0.8944,0.8954799999999999,0.8954799999999999,0.89169,-1.3380744118047523,842,843,SL,strong_trend,pullback
buy,0.90184,0.90066,0.90066,0.90479,-1.4619701906755527,893,909,SL,strong_trend,crossover
