type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,154.782,155.11200000000002,155.11200000000002,153.955,-2.0327456850353727,442,443,SL,strong_trend,pullback
partial,151.946,151.47919243395702,152.257,151.168,2.87545777459298,529,530,SCALE_OUT,strong_trend,
sell,151.946,151.168,151.77006621765952,151.168,0.0,529,532,TP,strong_trend,pullback
sell,151.87,152.22400000000002,152.22400000000002,150.983,-2.180581734856127,539,548,SL,strong_trend,pullback
buy,154.41,154.142,154.142,155.081,-1.6508358896650321,609,612,SL,strong_trend,crossover
buy,153.512,153.235,153.235,154.206,-1.7062744083477277,625,627,SL,strong_trend,pullback
buy,153.263,152.981,152.981,153.969,-1.7370735853938641,630,631,SL,strong_trend,pullback
partial,151.932,151.64765337407343,152.12099999999998,151.45899999999997,1.7515284148683623,690,697,SCALE_OUT,strong_trend,
sell,151.932,151.81408933681138,151.81408933681138,151.45899999999997,0.7263102782312032,690,700,SL,strong_trend,pullback
sell,150.324,150.633,150.633,149.55100000000002,-1.9033891414421251,760,763,SL,strong_trend,pullback
partial,150.468,150.03164783537326,150.75799999999998,149.74099999999999,2.6878575145478427,765,770,SCALE_OUT,strong_trend,
sell,150.468,149.74099999999999,150.468,149.74099999999999,0.0,765,771,TP,strong_trend,pullback
sell,149.221,149.532,149.532,148.44400000000002,-1.9157088122605797,829,832,SL,strong_trend,pullback
buy,150.618,150.291,150.291,151.43699999999998,-2.014266178807691,914,915,SL,uncertain,crossover
sell,150.178,149.341,150.513,149.341,5.1557822374985465,917,920,TP,uncertain,crossover
partial,149.525,148.9562856366306,149.904,148.578,3.5031868732022207,930,933,SCALE_OUT,strong_trend,
sell,149.525,148.578,149.33075519138362,148.578,0.0,930,935,TP,strong_trend,pullback
sell,149.097,149.496,149.496,148.1,-2.457774328269954,944,945,SL,strong_trend,pullback
partial,147.974,147.3187589567283,148.41,146.88199999999998,4.036176979904775,1014,1021,SCALE_OUT,strong_trend,
sell,147.974,147.66934103294355,147.66934103294355,146.88199999999998,0.0,1014,1024,SL,strong_trend,pullback
partial,147.291,146.7704579795227,147.638,146.424,3.2064531697115206,1040,1045,SCALE_OUT,strong_trend,
sell,147.291,147.0316033257983,147.0316033257983,146.424,0.0,1040,1047,SL,strong_trend,pullback
sell,147.621,147.916,147.916,146.883,-1.8171514457132936,1110,1115,SL,strong_trend,pullback
sell,148.453,148.732,148.732,147.754,-1.7185940791661822,1131,1138,SL,strong_trend,pullback
partial,148.608,148.99375792619023,148.351,149.25,2.3762053331252733,1142,1145,SCALE_OUT,uncertain,
buy,148.608,148.71201831419026,148.71201831419026,149.25,0.0,1142,1149,SL,uncertain,crossover
buy,149.417,149.174,149.174,150.026,-1.4968400044350505,1181,1183,SL,strong_trend,pullback
buy,149.965,149.747,149.747,150.51,-1.342844119205069,1297,1298,SL,strong_trend,pullback
partial,149.772,150.09488224596097,149.557,150.31,1.9889014916717977,1301,1309,SCALE_OUT,strong_trend,
buy,149.772,150.31,149.99641971002728,150.31,0.0,1301,1312,TP,strong_trend,pullback
partial,149.661,150.1213453840586,149.355,150.428,2.8356517971849455,1394,1399,SCALE_OUT,strong_trend,
buy,149.661,149.80808835625695,149.80808835625695,150.428,0.0,1394,1405,SL,strong_trend,pullback
partial,149.617,149.23420811807233,149.87199999999999,148.98,2.3579349886514827,1414,1416,SCALE_OUT,uncertain,
sell,149.617,149.50964514015857,149.50964514015857,148.98,0.0,1414,1418,SL,uncertain,crossover
partial,146.896,145.93527371760266,147.53599999999997,145.295,5.917915772858111,1495,1498,SCALE_OUT,strong_trend,
sell,146.896,145.295,146.896,145.295,0.0,1495,1499,TP,strong_trend,pullback
sell,145.813,146.48899999999998,146.48899999999998,144.12199999999999,-4.164048736617682,1501,1503,SL,strong_trend,pullback
partial,146.724,145.74068048405516,147.379,145.08599999999998,6.057086372872257,1573,1583,SCALE_OUT,strong_trend,
sell,146.724,145.08599999999998,146.1045092901285,145.08599999999998,0.0,1573,1585,TP,strong_trend,pullback
sell,143.805,142.255,144.425,142.255,9.547744884256762,1615,1622,TP,strong_trend,pullback
sell,140.762,141.057,141.057,140.025,-1.8171514457132936,1778,1781,SL,strong_trend,pullback
sell,141.758,142.181,142.181,140.70000000000002,-2.6056103780907085,1790,1792,SL,strong_trend,pullback
sell,141.705,142.119,142.119,140.669,-2.550171859407838,1795,1800,SL,strong_trend,pullback
sell,141.646,142.04399999999998,142.04399999999998,140.64999999999998,-2.4516144928607266,1800,1802,SL,strong_trend,pullback
buy,143.538,143.24900000000002,143.24900000000002,144.262,-1.7801924332581047,1843,1844,SL,uncertain,crossover
sell,142.426,142.66,142.66,141.84099999999998,-1.4414014857523552,1909,1915,SL,strong_trend,pullback
partial,144.006,144.578715512417,143.625,144.96,3.5278332927831695,1971,1972,SCALE_OUT,strong_trend,
buy,144.006,144.96,144.21651440204803,144.96,0.0,1971,1975,TP,strong_trend,pullback
buy,144.869,144.519,144.519,145.746,-2.155942393219218,1978,1980,SL,strong_trend,pullback
sell,142.383,142.662,142.662,141.686,-1.7185940791661822,2025,2027,SL,strong_trend,crossover
sell,143.083,143.391,143.391,142.312,-1.897229306032898,2028,2037,SL,strong_trend,pullback
partial,143.919,144.34449967146458,143.63600000000002,144.62800000000001,2.6210079428894817,2058,2059,SCALE_OUT,uncertain,
buy,143.919,144.62800000000001,144.06632171184944,144.62800000000001,0.0,2058,2061,TP,uncertain,crossover
buy,147.2,146.94,146.94,147.851,-1.601557206391389,2150,2153,SL,strong_trend,pullback
partial,146.546,147.07954779411725,146.191,147.435,3.286566594702875,2164,2165,SCALE_OUT,strong_trend,
buy,146.546,146.546,146.546,147.435,0.0,2164,2166,SL,strong_trend,pullback
buy,146.573,146.203,146.203,147.5,-2.279139101403238,2166,2173,SL,strong_trend,pullback
buy,145.95,145.65699999999998,145.65699999999998,146.684,-1.804831774895014,2211,2217,SL,strong_trend,pullback
sell,145.11,144.41600000000003,145.387,144.41600000000003,4.274925773983248,2247,2250,TP,strong_trend,pullback
partial,144.093,143.66789937399597,144.37599999999998,143.385,2.6185498885317675,2291,2292,SCALE_OUT,strong_trend,
sell,144.093,143.385,144.093,143.385,0.0,2291,2293,TP,strong_trend,pullback
sell,143.65,143.964,143.964,142.864,-1.9341883184880866,2303,2308,SL,strong_trend,pullback
buy,143.308,143.071,143.071,143.664,-1.459880991979862,2325,2328,SL,ranging,mean_reversion
sell,144.038,144.327,144.327,143.315,-1.7801924332581047,2397,2400,SL,strong_trend,pullback
buy,144.852,145.529,144.58100000000002,145.529,4.170208572026909,2406,2412,TP,strong_trend,crossover
buy,144.344,144.01,144.01,145.179,-2.0573850266721068,2426,2430,SL,strong_trend,pullback
partial,143.883,143.47028383279945,144.15800000000002,143.196,2.542263660670418,2456,2462,SCALE_OUT,ranging,
sell,143.883,143.196,143.70265207113084,143.196,0.0,2456,2467,TP,ranging,crossover
partial,144.557,144.91633303327166,144.31799999999998,145.155,2.2134323420412927,2610,2620,SCALE_OUT,strong_trend,
buy,144.557,145.155,144.71735834295842,145.155,0.0,2610,2628,TP,strong_trend,pullback
buy,144.618,144.32999999999998,144.32999999999998,145.338,-1.7740325978490525,2645,2647,SL,strong_trend,pullback
sell,143.649,143.957,143.957,142.879,-1.897229306032898,2683,2686,SL,strong_trend,pullback
sell,144.112,144.41899999999998,144.41899999999998,143.343,-1.8910694706236706,2686,2688,SL,strong_trend,pullback
sell,144.128,144.445,144.445,143.33399999999997,-1.9526678247157683,2688,2690,SL,strong_trend,pullback
sell,144.098,144.418,144.418,143.298,-1.971147330943275,2690,2698,SL,strong_trend,pullback
buy,143.81,144.191,143.556,144.191,2.3468972909043884,2714,2716,TP,ranging,mean_reversion
partial,144.598,144.9800160244764,144.34400000000002,145.234,2.3531558344507255,2719,2725,SCALE_OUT,ranging,
buy,144.598,144.73425851743693,144.73425851743693,145.234,0.0,2719,2728,SL,ranging,crossover
buy,144.848,144.65400000000002,144.65400000000002,145.139,-1.1950080693843146,2760,2764,SL,ranging,mean_reversion
buy,144.581,144.374,144.374,144.892,-1.275085929703919,2764,2767,SL,ranging,mean_reversion
sell,145.385,145.596,145.596,145.06799999999998,-1.299725271340828,2780,2783,SL,ranging,mean_reversion
sell,145.742,145.927,145.927,145.465,-1.139569550701619,2810,2811,SL,ranging,mean_reversion
sell,145.913,146.09900000000002,146.09900000000002,145.633,-1.1457293861108466,2811,2816,SL,ranging,mean_reversion
buy,146.209,145.87800000000001,145.87800000000001,147.037,-2.038905520444425,2838,2843,SL,strong_trend,pullback
