type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,73.068,72.52800078272337,73.42699999999999,72.169,248.39963994725002,368,369,SCALE_OUT,strong_trend,
sell,73.068,72.87225327063301,72.87225327063301,72.169,209.44900042267713,368,373,SL,strong_trend,pullback
partial,73.036,72.53607638162173,73.369,72.203,249.96180918913785,380,384,SCALE_OUT,strong_trend,
sell,73.036,72.203,73.036,72.203,974.6099999999983,380,385,TP,strong_trend,pullback
partial,72.378,71.55725312275199,72.82397999375033,71.011,254.43153194688398,437,456,SCALE_OUT,strong_trend,
sell,72.378,71.011,71.99478285465575,71.011,997.9100000000033,437,461,TP,strong_trend,pullback
buy,73.151,72.911,72.911,73.75099999999999,-434.3999999999909,556,558,SL,exhaustion,crossover
buy,72.073,71.83099999999999,71.83099999999999,72.67999999999999,-575.9600000000106,574,575,SL,strong_trend,pullback
sell,71.13,71.45299999999999,71.45299999999999,70.32199999999999,-442.5099999999909,599,613,SL,strong_trend,pullback
partial,71.31,70.87014601810715,71.60300000000001,70.577,255.11530949785458,619,621,SCALE_OUT,strong_trend,
sell,71.31,70.577,71.07767645707675,70.577,989.5500000000058,619,624,TP,strong_trend,pullback
sell,70.712,71.009,71.009,69.97,-576.1799999999944,632,637,SL,strong_trend,pullback
buy,71.972,71.69099999999999,71.69099999999999,72.675,-570.4300000000122,691,700,SL,strong_trend,pullback
buy,72.412,72.11500000000001,72.11500000000001,73.15400000000001,-424.70999999999583,716,726,SL,strong_trend,pullback
sell,70.082,70.368,70.368,69.366,-108.68000000000055,740,741,SL,strong_trend,crossover
sell,70.6,70.87899999999999,70.87899999999999,69.901,-139.4999999999982,761,766,SL,strong_trend,pullback
sell,69.52,69.81099999999999,69.81099999999999,68.791,-139.6799999999985,850,852,SL,strong_trend,pullback
sell,69.959,69.193,70.265,69.193,252.78000000000182,860,865,TP,strong_trend,pullback
sell,66.22,66.66199999999999,66.66199999999999,65.114,-106.07999999999836,945,957,SL,strong_trend,pullback
sell,66.826,67.294,67.294,65.65499999999999,-117.00000000000091,965,985,SL,strong_trend,pullback
buy,67.705,67.451,67.451,68.342,-139.70000000000272,1124,1125,SL,strong_trend,pullback
sell,66.397,66.66900000000001,66.66900000000001,65.71600000000001,-138.72000000000287,1135,1145,SL,strong_trend,crossover
partial,67.274,66.8284938916259,67.571,66.532,62.370855172374625,1150,1152,SCALE_OUT,strong_trend,
sell,67.274,67.10547464289283,67.10547464289283,66.532,55.61336784536651,1150,1158,SL,strong_trend,pullback
partial,67.997,68.44186770581882,67.701,68.738,44.486770581882254,1174,1178,SCALE_OUT,uncertain,
buy,67.997,68.14656550173183,68.14656550173183,68.738,37.391375432957126,1174,1185,SL,uncertain,crossover
partial,69.017,69.43838573892639,68.737,69.719,50.56628867116673,1323,1325,SCALE_OUT,strong_trend,
buy,69.017,69.719,69.017,69.719,196.55999999999955,1323,1326,TP,strong_trend,pullback
buy,70.878,70.58,70.58,71.625,-140.06000000000088,1359,1371,SL,strong_trend,pullback
partial,66.293,65.4439825994498,66.43433743249359,64.878,42.450870027510504,1402,1417,SCALE_OUT,strong_trend,
sell,66.293,64.878,66.293,64.878,155.6500000000007,1402,1418,TP,strong_trend,crossover
buy,64.047,63.660999999999994,63.660999999999994,65.012,-138.96000000000103,1633,1634,SL,strong_trend,crossover
partial,62.216,62.80685387322162,61.823,63.2,64.99392605437806,1654,1662,SCALE_OUT,strong_trend,
buy,62.216,62.61905573177414,62.61905573177414,63.2,100.76393294353461,1654,1669,CHANDELIER,strong_trend,pullback
partial,61.551,60.97850409988311,61.932,60.597,45.799672009351305,1772,1783,SCALE_OUT,uncertain,
sell,61.551,61.24170408202239,61.24170408202239,60.597,61.85918359552291,1772,1786,SL,uncertain,crossover
sell,58.179,58.707,58.707,56.859,-142.55999999999966,1838,1842,SL,strong_trend,pullback
sell,58.775,59.346,59.346,57.346,-97.06999999999968,1842,1848,SL,strong_trend,pullback
partial,58.136,57.535308677018996,58.536,57.135000000000005,60.06913229810068,1931,1934,SCALE_OUT,strong_trend,
sell,58.136,57.983431810670226,57.983431810670226,57.135000000000005,38.142047332444314,1931,1940,SL,strong_trend,pullback
sell,58.131,58.475,58.475,57.27,-141.04000000000053,1940,1948,SL,strong_trend,pullback
buy,61.308,60.865,60.865,62.417,-93.02999999999956,2067,2068,SL,strong_trend,pullback
partial,61.137,61.840025989937644,60.68768819659715,62.308,42.1815593962586,2069,2092,SCALE_OUT,strong_trend,
buy,61.137,61.55250346599274,61.55250346599274,62.308,54.01545057905652,2069,2098,SL,strong_trend,pullback
buy,60.241,60.767,59.89,60.767,105.20000000000068,2250,2254,TP,ranging,mean_reversion
partial,61.936,62.454998626256106,61.591,62.8,36.32990383792746,2280,2285,SCALE_OUT,uncertain,
buy,61.936,62.32280651324744,62.32280651324744,62.8,61.88904211959086,2280,2289,SL,uncertain,crossover
sell,60.403,60.707,60.707,59.641999999999996,-106.40000000000074,2304,2311,SL,weak_trend,crossover
sell,62.998,63.288999999999994,63.288999999999994,62.562,-69.83999999999925,2408,2409,SL,ranging,mean_reversion
sell,63.126,62.687,63.418,62.687,105.36000000000004,2409,2412,TP,ranging,mean_reversion
sell,63.786,64.10803511310374,64.10803511310374,63.291000000000004,-67.6273737517849,2433,2452,SL,ranging,mean_reversion
buy,74.475,73.74799999999999,73.74799999999999,76.29299999999999,-138.13000000000076,2672,2675,SL,strong_trend,pullback
partial,67.196,67.75663123480759,67.05313675430068,68.13,44.850498784607005,3002,3016,SCALE_OUT,weak_trend,
buy,67.196,67.65050850426252,67.65050850426252,68.13,90.90170085250409,3002,3018,SL,weak_trend,crossover
buy,66.837,66.471,66.471,67.753,-139.0799999999999,3023,3024,SL,strong_trend,pullback
buy,64.686,65.06400000000001,64.43400000000001,65.06400000000001,105.84000000000006,3066,3068,TP,ranging,mean_reversion
buy,64.69,65.095,64.42,65.095,105.30000000000032,3068,3071,TP,ranging,mean_reversion
sell,66.108,66.412,66.412,65.65100000000001,-69.92000000000048,3094,3105,SL,ranging,mean_reversion
sell,65.919,66.199,66.199,65.49799999999999,-70.0000000000003,3250,3251,SL,ranging,mean_reversion
sell,66.108,66.38900000000001,66.38900000000001,65.686,-70.25000000000149,3251,3252,SL,ranging,mean_reversion
sell,66.495,66.02300000000001,66.81,66.02300000000001,103.83999999999875,3252,3254,TP,ranging,mean_reversion
buy,66.591,66.276,66.276,67.37899999999999,-103.94999999999928,3259,3266,SL,weak_trend,crossover
sell,65.271,64.391,65.623,64.391,351.9999999999983,3414,3415,TP,strong_trend,pullback
partial,63.55,62.87028511300141,64.003,62.418,47.580042089901234,3461,3466,SCALE_OUT,strong_trend,
sell,63.55,62.418,63.146268798834186,62.418,192.43999999999969,3461,3469,TP,strong_trend,pullback
partial,63.343,62.816777659496374,63.693000000000005,62.466,63.146680860435545,3488,3503,SCALE_OUT,strong_trend,
sell,63.343,63.07392506016841,63.07392506016841,62.466,75.34098315284527,3488,3507,SL,strong_trend,pullback
sell,62.177,62.451,62.451,61.491,-142.4800000000005,3538,3550,SL,strong_trend,pullback
partial,62.272,61.82098606986687,62.571999999999996,61.521,54.12167161597553,3580,3582,SCALE_OUT,strong_trend,
sell,62.272,62.043193915635015,62.043193915635015,61.521,61.77764277854545,3580,3588,SL,strong_trend,pullback
sell,61.844,62.137,62.137,61.111000000000004,-140.63999999999967,3625,3636,SL,strong_trend,pullback
partial,63.38,63.68747194835654,63.176,63.892,49.19551173704577,3680,3683,SCALE_OUT,uncertain,
buy,63.38,63.38,63.38,63.892,0.0,3680,3684,SL,uncertain,crossover
sell,63.921,64.115,64.115,63.63,-69.8399999999984,3711,3712,SL,ranging,mean_reversion
partial,64.693,65.16871244767128,64.376,65.485,38.05699581370278,3848,3850,SCALE_OUT,strong_trend,
buy,64.693,65.485,64.97232170279379,65.485,158.40000000000038,3848,3852,TP,strong_trend,pullback
buy,64.438,64.075,64.075,65.34700000000001,-94.3799999999999,3873,3874,SL,strong_trend,pullback
sell,62.318,62.638999999999996,62.638999999999996,61.513999999999996,-109.13999999999933,3929,3933,SL,strong_trend,pullback
sell,62.415,62.711,62.711,61.675,-142.07999999999973,3967,3971,SL,strong_trend,pullback
sell,62.753,63.024,63.024,62.076,-140.92000000000044,3971,3978,SL,strong_trend,pullback
buy,63.11,62.917,62.917,63.4,-69.47999999999924,4004,4006,SL,ranging,mean_reversion
buy,62.881,62.676,62.676,63.188,-69.69999999999945,4006,4007,SL,ranging,mean_reversion
partial,63.74,64.13219157108314,63.479,64.393,62.75065137330218,4078,4080,SCALE_OUT,strong_trend,
buy,63.74,63.993586006827734,63.993586006827734,64.393,96.36268259453803,4078,4093,SL,strong_trend,crossover
buy,62.644,63.016999999999996,62.396,63.016999999999996,104.43999999999934,4143,4144,TP,ranging,mean_reversion
buy,62.433,62.384,62.112,62.915,-10.78005499999989,4149,4150,REVERSAL,ranging,mean_reversion
buy,62.459,62.913000000000004,62.156000000000006,62.913000000000004,104.42000000000017,4151,4163,TP,ranging,mean_reversion
buy,61.681,62.044999999999995,61.437999999999995,62.044999999999995,105.5599999999992,4169,4171,TP,ranging,mean_reversion
buy,64.775,64.498,64.498,65.19000000000001,-69.25000000000027,4280,4281,SL,ranging,mean_reversion
buy,64.386,64.09899999999999,64.09899999999999,64.817,-71.75000000000155,4281,4284,SL,ranging,mean_reversion
partial,61.879,61.329205514385585,62.21746553749582,60.963,60.477393417585446,4342,4350,SCALE_OUT,strong_trend,
sell,61.879,60.963,61.548215877166705,60.963,247.31999999999923,4342,4354,TP,strong_trend,pullback
sell,61.018,61.354,61.354,60.178,-141.1199999999994,4398,4399,SL,strong_trend,pullback
partial,57.084,56.55203882332159,57.438,56.198,63.8353412014098,4609,4623,SCALE_OUT,strong_trend,
sell,57.084,56.95084979960373,56.95084979960373,56.198,37.28205611095633,4609,4625,SL,strong_trend,pullback
buy,60.774,60.35,60.35,61.835,-105.9999999999999,4691,4692,SL,strong_trend,crossover
partial,61.163,61.69510729990544,60.809,62.049,63.852875988652904,4729,4730,SCALE_OUT,strong_trend,
buy,61.163,61.40488707304072,61.40488707304072,62.049,67.72838045140222,4729,4733,SL,strong_trend,pullback
sell,60.988,60.566,61.269,60.566,105.49999999999929,4837,4838,TP,ranging,mean_reversion
sell,59.383,59.672000000000004,59.672000000000004,58.660000000000004,-83.81000000000044,4913,4919,SL,ranging,crossover
sell,59.953,60.205000000000005,60.205000000000005,59.575,-70.56000000000071,4945,4947,SL,ranging,mean_reversion
sell,60.041,59.638999999999996,60.309,59.638999999999996,104.5200000000003,4948,4952,TP,ranging,mean_reversion
sell,60.118,59.786,60.339,59.786,106.24000000000025,4968,4971,TP,ranging,mean_reversion
sell,60.691,60.887,60.940000000000005,60.318000000000005,-54.88006999999945,4997,4999,REVERSAL,ranging,mean_reversion
buy,60.887,60.629,60.629,61.533,-105.78000000000112,4999,5014,SL,uncertain,crossover
sell,58.329,58.619,58.619,57.603,-78.29999999999978,5024,5039,SL,weak_trend,crossover
sell,58.905,59.17,59.17,58.242000000000004,-140.45000000000033,5051,5053,SL,strong_trend,pullback
buy,60.715,60.416000000000004,60.416000000000004,61.464000000000006,-80.72999999999988,5117,5122,SL,uncertain,crossover
sell,59.59,59.831,59.831,59.229000000000006,-69.88999999999992,5152,5154,SL,ranging,mean_reversion
sell,58.416,57.507,58.778999999999996,57.507,354.50999999999965,5179,5181,TP,strong_trend,pullback
sell,57.914,58.252,58.252,57.067,-98.0200000000003,5234,5252,SL,strong_trend,pullback
buy,58.532,58.65,58.276999999999994,59.171,64.89986250000118,5339,5341,REVERSAL,strong_trend,pullback
