type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,30.072,30.276999999999997,30.276999999999997,29.558,-10.249999999999913,302,321,SL,strong_trend,crossover
sell,32.912,33.07,33.07,32.515,-7.9000000000000625,1198,1204,SL,strong_trend,crossover
sell,32.331,32.574000000000005,32.574000000000005,31.723000000000003,-12.150000000000105,1837,1849,SL,strong_trend,pullback
partial,32.234,31.977003313080886,32.405,31.806,12.849834345955813,2048,2056,SCALE_OUT,uncertain,
sell,32.234,31.806,32.234,31.806,0.0,2048,2057,TP,uncertain,crossover
sell,33.484,33.296,33.609,33.296,9.40000000000012,2219,2224,TP,ranging,mean_reversion
sell,36.209,35.815000000000005,36.366,35.815000000000005,19.699999999999918,2682,2690,TP,strong_trend,pullback
sell,35.875,36.057,36.057,35.418,-9.100000000000108,2784,2785,SL,strong_trend,crossover
sell,35.972,36.158,36.158,35.506,-9.299999999999997,2785,2787,SL,strong_trend,pullback
sell,36.35,36.333,36.526,35.909,0.8499875000001507,2820,2821,REVERSAL,strong_trend,pullback
buy,37.818,37.994,37.701,37.994,8.800000000000097,3689,3690,TP,ranging,mean_reversion
sell,47.528,47.851,47.851,46.72,-16.15000000000002,4895,4901,SL,strong_trend,pullback
sell,49.853,50.322,50.322,48.68,-23.45000000000006,5181,5184,SL,strong_trend,pullback
partial,85.698,77.69378201622138,91.03399999999999,72.35799999999999,400.2108991889308,6273,6276,SCALE_OUT,strong_trend,
sell,85.698,72.35799999999999,80.95661596609878,72.35799999999999,0.0,6273,6279,TP,strong_trend,crossover
partial,84.058,81.65123921277738,85.62361367638907,80.04700000000001,120.33803936113117,6824,6846,SCALE_OUT,strong_trend,
sell,84.058,80.04700000000001,82.7851982997875,80.04700000000001,0.0,6824,6848,TP,strong_trend,pullback
partial,85.054,83.62670667757618,86.005,82.676,71.36466612119108,6939,6944,SCALE_OUT,strong_trend,
sell,85.054,82.676,85.054,82.676,0.0,6939,6945,TP,strong_trend,crossover
sell,84.23,81.762,85.217,81.762,123.40000000000019,6951,6953,TP,strong_trend,pullback
partial,81.23,79.26678686355945,81.96219773153128,77.958,98.1606568220279,6975,7000,SCALE_OUT,strong_trend,
sell,81.23,79.81831848499714,79.81831848499714,77.958,0.0,6975,7002,SL,strong_trend,pullback
sell,68.864,70.64897829097936,70.64897829097936,63.631,-89.24891454896766,7093,7120,SL,strong_trend,pullback
buy,78.906,78.35000000000001,78.35000000000001,79.741,-27.79999999999987,7543,7550,SL,ranging,mean_reversion
