type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,1943.218,1941.1044466092767,1947.587,1937.02,590.7030877208995,338,338,SCALE_OUT,ranging,
partial,1943.218,1940.047669913915,1942.1612233046383,1937.02,886.0546315813808,338,338,SCALE_OUT,ranging,
sell,1943.218,1941.2164466092768,1941.1044466092767,,0.0,338,339,SL,ranging,mean_reversion
buy,1941.417,1945.036,1939.151,1945.1480000000001,6010.142547600239,343,345,TP,weak_trend,crossover
partial,1916.1380000000001,1914.4413470144152,1917.946,1912.858,948.3726900628562,411,413,SCALE_OUT,strong_trend,
sell,1916.1380000000001,1915.4016735072078,1915.2896735072077,1912.858,1372.2172220098419,411,414,SL,strong_trend,pullback
partial,1904.7780000000002,1903.3623898659375,1906.315,1902.0700000000002,791.2790666846083,493,493,SCALE_OUT,strong_trend,
sell,1904.7780000000002,1904.182194932969,1904.070194932969,1902.0700000000002,1410.8186328401675,493,494,SL,strong_trend,pullback
partial,1904.228,1902.8679075884868,1905.6999999999998,1901.62,760.2465029678606,495,495,SCALE_OUT,strong_trend,
sell,1904.228,1903.6599537942434,1903.5479537942433,1901.62,1340.9953644777709,495,496,SL,strong_trend,pullback
partial,1919.562,1920.8879740375423,1918.125,1922.1000000000001,741.1754646481761,654,654,SCALE_OUT,strong_trend,
partial,1919.562,1921.5509610563136,1920.2249870187711,1922.1000000000001,1111.763196972264,654,654,SCALE_OUT,strong_trend,
buy,1919.562,1920.7759740375423,1920.8879740375423,,2636.204732192525,654,655,SL,strong_trend,pullback
partial,1918.1319999999998,1919.5106772738252,1916.642,1920.776,385.3174119914428,706,706,SCALE_OUT,uncertain,
buy,1918.1319999999998,1918.7093386369124,1918.8213386369125,1920.776,757.982825978495,706,707,SL,uncertain,crossover
buy,1923.2119999999998,1921.7689999999998,1921.8809999999999,1925.538,-5369.709100599942,723,725,SL,strong_trend,pullback
buy,1943.6819999999998,1942.081,1942.193,1946.3539999999998,-5029.342157399648,756,758,SL,strong_trend,pullback
partial,1938.1280000000002,1936.9329619610323,1939.435,1935.85,333.9932942600597,822,827,SCALE_OUT,uncertain,
sell,1938.1280000000002,1937.6424809805164,1937.5304809805164,1935.85,629.6725316498786,822,828,SL,uncertain,crossover
sell,1933.5880000000002,1931.2440000000001,1934.939,1931.132,3872.094537600086,840,840,TP,strong_trend,pullback
buy,1924.7019999999998,1923.3169999999998,1923.4289999999999,1926.8819999999998,-2777.9115629999833,905,906,SL,strong_trend,pullback
partial,1925.322,1926.6272505681798,1923.7849999999999,1927.6999999999998,364.79586664684257,931,931,SCALE_OUT,strong_trend,
buy,1925.322,1925.8626252840897,1925.9746252840898,1927.6999999999998,706.6789626169945,931,932,SL,strong_trend,pullback
partial,1922.552,1924.0665238696395,1920.9260000000002,1925.468,423.28428046802134,934,934,SCALE_OUT,strong_trend,
buy,1922.552,1923.1972619348196,1923.3092619348197,1925.468,682.3199977359533,934,935,SL,strong_trend,pullback
partial,1918.012,1919.327469509429,1916.585,1920.5300000000002,367.65189109155517,1020,1022,SCALE_OUT,strong_trend,
buy,1918.012,1918.5577347547144,1918.6697347547145,1920.5300000000002,713.819023728776,1020,1023,SL,strong_trend,pullback
buy,1917.1319999999998,1919.548,1915.685,1919.66,3992.8313664002812,1024,1024,TP,strong_trend,pullback
buy,1924.752,1922.863,1922.9750000000001,1927.97,-2688.5207129998557,1029,1030,SL,strong_trend,pullback
sell,1848.6180000000002,1844.184,1851.149,1844.072,2458.9387912001102,1260,1262,TP,strong_trend,crossover
sell,1844.2780000000002,1840.632,1846.46,1840.52,4036.9459056002083,1271,1271,TP,strong_trend,pullback
partial,1823.718,1821.6051398629195,1825.875,1819.539,590.509334835749,1294,1294,SCALE_OUT,strong_trend,
sell,1823.718,1822.7735699314599,1822.6615699314598,1819.539,762.5775798535564,1294,1295,SL,strong_trend,pullback
partial,1849.9619999999998,1852.5134703653446,1847.3690000000001,1855.0220000000002,713.0936127058105,1386,1386,SCALE_OUT,strong_trend,
buy,1849.9619999999998,1851.125735182672,1851.2377351826722,1855.0220000000002,315.48466555288286,1386,1387,SL,strong_trend,pullback
buy,1873.062,1876.418,1871.1000000000001,1876.53,3712.745161599995,1441,1441,TP,strong_trend,pullback
partial,1872.397,1874.194608924871,1870.523,1875.914,502.40185419333534,1444,1445,SCALE_OUT,strong_trend,
partial,1872.397,1875.0934133873068,1873.2958044624356,1875.914,753.6027812900347,1444,1446,SCALE_OUT,strong_trend,
buy,1872.397,1879.9759127595128,1880.0879127595128,,4216.840612664057,1444,1460,SL,strong_trend,pullback
buy,1887.552,1890.604,1885.877,1890.7160000000001,4216.116684000189,1482,1482,TP,strong_trend,pullback
partial,1924.052,1926.458354535186,1921.5240000000001,1928.742,672.5361470991983,1532,1532,SCALE_OUT,strong_trend,
buy,1924.052,1925.1431772675928,1925.255177267593,1928.742,590.4118654991535,1532,1533,SL,strong_trend,pullback
buy,1949.8619999999999,1955.722,1946.708,1955.834,3256.025448000072,1557,1557,TP,strong_trend,pullback
buy,1972.4769999999999,1977.663,1969.6499999999999,1977.78,4318.922737200126,1585,1585,TP,strong_trend,pullback
partial,1977.822,1980.6248573325527,1974.9080000000001,1983.314,783.3520970167806,1588,1588,SCALE_OUT,strong_trend,
buy,1977.822,1979.0864286662763,1979.2234286662763,1983.314,343.6268227084061,1588,1589,SL,strong_trend,pullback
partial,1980.2219999999998,1982.7564069231464,1977.5359999999998,1985.138,708.3246638645678,1594,1594,SCALE_OUT,strong_trend,
partial,1980.2219999999998,1984.0236103847196,1981.489203461573,1985.138,1062.48699579682,1594,1594,SCALE_OUT,strong_trend,
buy,1980.2219999999998,1982.6444069231463,1982.7564069231464,,667.2625230645453,1594,1595,SL,strong_trend,pullback
sell,1970.8080000000002,1968.034,1972.419,1967.922,4593.161709600193,1868,1868,TP,strong_trend,pullback
sell,1965.928,1962.942,1967.645,1962.83,4123.8871620001455,1872,1872,TP,strong_trend,pullback
sell,1966.3280000000002,1962.5320000000002,1968.405,1962.42,4204.635945600056,1875,1875,TP,strong_trend,pullback
sell,1945.9080000000001,1942.3200000000002,1947.926,1942.208,3972.1057567999624,1944,1944,TP,strong_trend,pullback
sell,1941.861,1937.853,1944.058,1937.7340000000002,4441.637868800043,1946,1946,TP,strong_trend,pullback
partial,1939.3080000000002,1937.127995833048,1941.5900000000001,1935.0500000000002,609.2749765939493,1947,1947,SCALE_OUT,strong_trend,
sell,1939.3080000000002,1935.1620000000003,1938.2179979165242,1935.0500000000002,3446.9345291999653,1947,1948,TP,strong_trend,pullback
sell,1935.7680000000003,1938.123,1938.011,1931.528,-2671.7736279997666,1949,1951,SL,strong_trend,pullback
buy,1988.8929999999998,1986.908,1987.02,1992.237,-2822.672744999861,2057,2058,SL,strong_trend,pullback
sell,1974.3680000000002,1976.683,1976.571,1970.298,-2627.0562839998074,2084,2085,SL,strong_trend,pullback
buy,1999.6429999999998,2003.3159999999998,1997.626,2003.4279999999999,4067.130112800003,2122,2122,TP,strong_trend,pullback
partial,1999.1419999999998,2001.1101183772141,1997.062,2002.966,550.056415666334,2127,2127,SCALE_OUT,strong_trend,
partial,1999.1419999999998,2002.0941775658214,2000.126059188607,2002.966,825.0846234995328,2127,2127,SCALE_OUT,strong_trend,
buy,1999.1419999999998,2000.998118377214,2001.1101183772141,,1017.9885497326231,2127,2128,SL,strong_trend,pullback
buy,2002.1519999999998,2005.158,2000.275,2005.27,4151.83550200012,2177,2177,TP,strong_trend,pullback
partial,2009.4989999999998,2011.6354810826626,2007.267,2013.675,597.1109970182916,2180,2180,SCALE_OUT,strong_trend,
partial,2009.4989999999998,2012.7037216239942,2010.5672405413313,2013.675,895.6664955274692,2180,2180,SCALE_OUT,strong_trend,
buy,2009.4989999999998,2011.5234810826626,2011.6354810826626,,556.0488562182691,2180,2181,SL,strong_trend,pullback
partial,2010.6629999999998,2012.790731137602,2008.403,2014.7839999999999,594.6655326229499,2182,2184,SCALE_OUT,strong_trend,
buy,2010.6629999999998,2014.6719999999998,2011.7268655688008,2014.7839999999999,2221.377901200008,2182,2185,TP,strong_trend,pullback
buy,2011.322,2009.146,2009.258,2015.114,-1853.7476351999424,2190,2191,SL,strong_trend,pullback
partial,2043.9419999999998,2046.099151035826,2041.692,2048.163,602.8879058062411,2226,2226,SCALE_OUT,strong_trend,
buy,2043.9419999999998,2044.903575517913,2045.020575517913,2048.163,517.9687902062624,2226,2227,SL,strong_trend,pullback
buy,2087.722,2081.54,2081.652,2099.5260000000003,-1737.5263788000684,2293,2295,SL,strong_trend,pullback
sell,2036.948,2030.47,2041.528,2030.358,1800.7334652000186,2374,2374,TP,uncertain,mean_reversion
sell,1999.2830000000001,2002.284,2002.172,1993.406,-1696.979366799987,2402,2403,SL,strong_trend,pullback
sell,2002.538,2005.576,2005.434,1997.292,-1717.6611384000064,2404,2405,SL,strong_trend,pullback
partial,1995.8780000000002,1993.4177898377552,1998.44,1991.06,687.5879008587699,2415,2415,SCALE_OUT,strong_trend,
partial,1995.8780000000002,1992.1876847566327,1994.6478949188777,1991.06,1031.3818512881548,2415,2415,SCALE_OUT,strong_trend,
sell,1995.8780000000002,1993.5297898377553,1993.4177898377552,,1293.0515201174949,2415,2416,SL,strong_trend,pullback
partial,1996.1680000000001,1993.7905904786983,1998.527,1991.3960000000002,664.4464962058116,2418,2418,SCALE_OUT,strong_trend,
sell,1996.1680000000001,1995.0912952393494,1994.9792952393493,1991.3960000000002,873.4833219085549,2418,2419,SL,strong_trend,pullback
sell,1993.7680000000003,1989.014,1995.934,1988.9019999999998,5275.616334400404,2420,2420,TP,strong_trend,pullback
partial,2032.418,2035.8083655651658,2028.9099999999999,2039.08,947.5508953954858,2477,2480,SCALE_OUT,strong_trend,
buy,2032.418,2034.0011827825829,2034.113182782583,2039.08,0.0,2477,2481,SL,strong_trend,pullback
buy,2036.502,2033.182,2033.294,2042.5520000000001,-1875.2897759999646,2484,2485,SL,strong_trend,pullback
partial,2034.012,2036.9650717457766,2030.9470000000001,2039.806,825.3345319536071,2486,2487,SCALE_OUT,strong_trend,
partial,2034.012,2038.441607618665,2035.4885358728884,2039.806,1238.0017979304423,2486,2487,SCALE_OUT,strong_trend,
buy,2034.012,2036.8530717457766,2036.9650717457766,,0.0,2486,2488,SL,strong_trend,pullback
partial,2018.928,2016.180716208741,2021.797,2013.556,767.8202147460057,2518,2520,SCALE_OUT,strong_trend,
sell,2018.928,2017.6663581043706,2017.5543581043705,2013.556,685.6959331459608,2518,2521,SL,strong_trend,crossover
buy,2039.6119999999999,2037.202,2037.314,2043.638,-2733.2599759998375,2564,2569,SL,strong_trend,pullback
partial,2053.3720000000003,2056.2541829508136,2050.388,2059.034,805.5222905153424,2630,2631,SCALE_OUT,strong_trend,
partial,2053.3720000000003,2057.6952744262203,2054.813091475407,2059.034,1208.2834357730137,2630,2631,SCALE_OUT,strong_trend,
buy,2053.3720000000003,2056.1421829508135,2056.2541829508136,,0.0,2630,2632,SL,strong_trend,pullback
partial,2060.728,2058.092258044447,2063.4350000000004,2055.53,736.6461232605819,2748,2748,SCALE_OUT,uncertain,
sell,2060.728,2059.5366290222237,2059.410129022224,2055.53,0.0,2748,2750,SL,uncertain,crossover
sell,2032.2980000000002,2035.434,2035.322,2026.286,-1772.439884799855,2768,2769,SL,strong_trend,pullback
sell,2054.598,2046.256,2060.42,2046.144,2321.690522799964,2813,2813,TP,uncertain,mean_reversion
partial,2031.988,2029.0549497030422,2035.044,2026.2450000000001,819.7388693647882,2837,2837,SCALE_OUT,strong_trend,
partial,2031.988,2027.5884245545633,2030.5214748515211,2026.2450000000001,1229.6083040471824,2837,2837,SCALE_OUT,strong_trend,
sell,2031.988,2029.1669497030423,2029.0549497030422,,0.0,2837,2839,SL,strong_trend,pullback
partial,2043.8919999999998,2046.8657043516298,2040.797,2049.716,831.1010027883415,2930,2930,SCALE_OUT,strong_trend,
partial,2043.8919999999998,2048.352556527445,2045.378852175815,2049.716,1246.651504182544,2930,2930,SCALE_OUT,strong_trend,
buy,2043.8919999999998,2046.7387043516298,2046.8657043516298,,0.0,2930,2931,SL,strong_trend,pullback
partial,2024.868,2027.1246564610594,2022.514,2029.282,630.6980203688746,3042,3042,SCALE_OUT,strong_trend,
partial,2024.868,2028.252984691589,2025.9963282305296,2029.282,946.0470305532803,3042,3042,SCALE_OUT,strong_trend,
buy,2024.868,2027.0426564610593,2027.1246564610594,,1196.0407631376893,3042,3043,SL,strong_trend,pullback
buy,2032.6719999999998,2036.122,2030.843,2036.2040000000002,4772.288650000382,3107,3107,TP,strong_trend,pullback
buy,2049.9719999999998,2047.5889999999997,2047.6709999999998,2054.328,-2703.075768800043,3226,3227,SL,strong_trend,pullback
sell,2034.8580000000002,2037.9060000000002,2037.824,2029.202,-2584.8762096000023,3271,3273,SL,strong_trend,crossover
sell,2037.258,2040.1699999999998,2040.033,2031.954,-2470.846982399839,3274,3277,SL,strong_trend,pullback
sell,2024.778,2021.1460000000002,2026.833,2021.064,2010.6474175999078,3360,3360,TP,uncertain,crossover
partial,2036.4519999999998,2037.7281783813962,2035.0939999999998,2038.9219999999998,356.6706730391763,3655,3655,SCALE_OUT,strong_trend,
partial,2036.4519999999998,2038.3662675720943,2037.0900891906979,2038.9219999999998,535.0060095587326,3655,3655,SCALE_OUT,strong_trend,
buy,2036.4519999999998,2037.646178381396,2037.7281783813962,,1619.9651711957313,3655,3656,SL,strong_trend,pullback
buy,2129.632,2126.363,2126.46,2135.619,-1846.7824692001304,3779,3782,SL,weak_trend,crossover
buy,2144.812,2150.958,2141.575,2151.04,3415.8899528001048,3800,3800,TP,weak_trend,crossover
buy,2174.517,2171.803,2171.89,2179.5099999999998,-3073.1117903999357,3916,3917,SL,strong_trend,crossover
partial,2154.7535000000003,2152.563363455625,2157.03,2150.46,612.1068078861862,4005,4005,SCALE_OUT,strong_trend,
partial,2154.7535000000003,2151.4682951834375,2153.6584317278125,2150.46,918.1602118293429,4005,4005,SCALE_OUT,strong_trend,
sell,2154.7535000000003,2152.645363455625,2152.563363455625,,1158.8583381724393,4005,4006,SL,strong_trend,pullback
buy,2198.682,2207.126,2194.701,2207.208,2350.197829600116,4037,4037,TP,strong_trend,pullback
partial,2204.8219999999997,2209.208965266824,2200.414,2213.572,1226.0839684540238,4038,4042,SCALE_OUT,strong_trend,
buy,2204.8219999999997,2206.933482633412,2207.015482633412,2213.572,0.0,4038,4043,SL,strong_trend,pullback
partial,2205.442,2208.9742720887393,2201.828,2212.424,987.2114130859668,4046,4046,SCALE_OUT,strong_trend,
partial,2205.442,2210.740408133109,2207.20813604437,2212.424,1480.8171196290139,4046,4046,SCALE_OUT,strong_trend,
buy,2205.442,2208.8922720887394,2208.9742720887393,,0.0,4046,4047,SL,strong_trend,pullback
buy,2206.7019999999998,2213.3100000000004,2203.2490000000003,2213.3920000000003,3674.1326144003524,4165,4165,TP,strong_trend,pullback
partial,2256.392,2259.688273615828,2253.014,2262.902,921.2537574819986,4205,4205,SCALE_OUT,strong_trend,
partial,2256.392,2261.336410423742,2258.0401368079138,2262.902,1381.8806362229345,4205,4205,SCALE_OUT,strong_trend,
buy,2256.392,2259.6062736158283,2259.688273615828,,888.5761186820318,4205,4206,SL,strong_trend,pullback
buy,2299.7819999999997,2307.8920000000003,2295.638,2307.974,2256.850374000163,4280,4280,TP,uncertain,crossover
buy,2349.332,2356.672,2345.5879999999997,2356.754,6124.944468000123,4325,4325,TP,strong_trend,pullback
buy,2361.502,2369.882,2357.103,2369.964,2332.310892000031,4377,4377,TP,uncertain,crossover
buy,2378.852,2386.606,2374.601,2386.688,4314.708567200202,4382,4382,TP,strong_trend,pullback
partial,2384.2565,2388.413743896154,2379.9429999999998,2392.4139999999998,1161.8806587263355,4385,4386,SCALE_OUT,strong_trend,
buy,2384.2565,2386.253121948077,2386.335121948077,2392.4139999999998,548.2626905632013,4385,4387,SL,strong_trend,pullback
buy,2398.142,2394.031,2394.113,2405.9539999999997,-2317.4325147999316,4391,4392,SL,strong_trend,pullback
partial,2361.045,2356.9589845526143,2365.2509999999997,2352.993,1141.973489687894,4529,4529,SCALE_OUT,strong_trend,
sell,2361.045,2353.0499999999997,2359.001992276307,2352.993,2224.709783000097,4529,4530,TP,strong_trend,pullback
partial,2341.058,2336.238159112449,2345.904,2331.447,1347.0655187117661,4534,4534,SCALE_OUT,strong_trend,
partial,2341.058,2333.8282386686733,2338.6480795562243,2331.447,2020.5982780677127,4534,4534,SCALE_OUT,strong_trend,
sell,2341.058,2336.295159112449,2336.238159112449,,0.0,4534,4535,SL,strong_trend,pullback
sell,2315.2985000000003,2309.8855000000003,2318.1780000000003,2309.7990000000004,4509.250932600011,4668,4668,TP,strong_trend,pullback
sell,2312.605,2307.129,2315.493,2307.072,4562.073295200096,4669,4669,TP,strong_trend,pullback
partial,2295.708,2292.215532469557,2299.257,2288.781,976.0866997978871,4673,4674,SCALE_OUT,strong_trend,
sell,2295.708,2294.0287662347787,2293.9617662347787,2288.781,919.1159241977558,4673,4675,SL,strong_trend,pullback
partial,2290.4480000000003,2287.09245829506,2294.02,2283.955,937.8182045384705,4677,4677,SCALE_OUT,strong_trend,
partial,2290.4480000000003,2285.41468744259,2288.7702291475302,2283.955,1406.7273068077056,4677,4677,SCALE_OUT,strong_trend,
sell,2290.4480000000003,2287.18095829506,2287.09245829506,,903.3239236385149,4677,4678,SL,strong_trend,pullback
sell,2294.308,2287.174,2297.944,2287.117,5952.2237268000135,4716,4716,TP,strong_trend,crossover
sell,2299.7580000000003,2304.0090000000005,2303.9320000000002,2291.581,-2395.6878668001145,4719,4720,SL,strong_trend,pullback
buy,2322.7264999999998,2319.2695,2319.346,2329.213,-2927.8023413999,4774,4778,SL,strong_trend,pullback
buy,2347.682,2353.096,2344.636,2353.153,4510.089382800181,4842,4842,TP,strong_trend,pullback
partial,2349.4519999999998,2352.3363437946978,2346.461,2355.113,806.1262105110985,4844,4844,SCALE_OUT,strong_trend,
partial,2349.4519999999998,2353.778515692047,2350.8941718973488,2355.113,1209.1893157667748,4844,4844,SCALE_OUT,strong_trend,
buy,2349.4519999999998,2352.2393437946976,2352.3363437946978,,769.2563207110402,4844,4845,SL,strong_trend,pullback
buy,2357.122,2362.432,2354.273,2362.529,5897.187415999941,4847,4847,TP,strong_trend,pullback
partial,2372.462,2375.460286807926,2369.3469999999998,2378.341,837.9713912542996,4851,4851,SCALE_OUT,strong_trend,
partial,2372.462,2376.959430211889,2373.961143403963,2378.341,1256.9570868814496,4851,4851,SCALE_OUT,strong_trend,
buy,2372.462,2375.388286807926,2375.460286807926,,808.0885864542668,4851,4852,SL,strong_trend,pullback
sell,2346.853,2341.043,2349.887,2340.971,4842.115661999956,4877,4877,TP,strong_trend,pullback
partial,2343.918,2340.8351577175845,2347.057,2337.8109999999997,861.6032427532836,4878,4878,SCALE_OUT,strong_trend,
sell,2343.918,2342.433578858792,2342.376578858792,2337.8109999999997,810.2221351535286,4878,4879,SL,strong_trend,pullback
partial,2357.4970000000003,2359.870326329891,2354.982,2362.101,663.3053119874347,4912,4913,SCALE_OUT,uncertain,
buy,2357.4970000000003,2358.581663164946,2358.6836631649458,2362.101,293.385349193756,4912,4914,SL,uncertain,crossover
buy,2418.0519999999997,2421.4900000000002,2411.029,2421.547,1902.2078584003114,4977,4977,TP,strong_trend,pullback
buy,2417.8025000000002,2424.909,2414.0609999999997,2424.966,3952.777564199928,4978,4979,TP,strong_trend,pullback
buy,2437.182,2444.6910000000003,2433.36,2444.748,4177.761701200263,4984,4984,TP,strong_trend,pullback
partial,2438.651,2442.9980272775038,2434.2479999999996,2447.2889999999998,1214.921963409537,4986,4986,SCALE_OUT,strong_trend,
buy,2438.651,2440.743013638752,2440.824513638752,2447.2889999999998,574.9230846048306,4986,4987,SL,strong_trend,pullback
sell,2380.168,2373.352,2383.585,2373.295,5685.596563200218,5049,5049,TP,strong_trend,pullback
sell,2372.1945,2365.0909999999994,2375.957,2365.0339999999997,5926.650995700523,5052,5053,TP,strong_trend,pullback
sell,2364.1180000000004,2356.388,2368.097,2356.331,6451.940046000398,5055,5055,TP,strong_trend,pullback
partial,2356.3675,2359.1035229180047,2353.6400000000003,2361.8480000000004,764.6729876019285,5116,5116,SCALE_OUT,strong_trend,
partial,2356.3675,2360.4715343770067,2357.7355114590023,2361.8480000000004,1147.0094814027657,5116,5116,SCALE_OUT,strong_trend,
buy,2356.3675,2359.0270229180046,2359.1035229180047,,1467.0650150037877,5116,5117,SL,strong_trend,pullback
sell,2343.245,2337.321,2346.354,2337.24,6583.598646399977,5129,5129,TP,strong_trend,pullback
sell,2338.975,2342.1955,2342.124,2332.917,-3639.3451587998907,5130,5131,SL,strong_trend,pullback
buy,2348.3725,2344.663,2344.759,2355.217,-2093.0073445999637,5201,5202,SL,uncertain,crossover
partial,2329.3835,2326.5472392125594,2331.881,2323.373,792.6878081605628,5217,5217,SCALE_OUT,uncertain,
sell,2329.3835,2328.0223696062794,2327.9653696062796,2323.373,370.6533502803403,5217,5218,SL,uncertain,crossover
sell,2325.9105,2329.8935,2329.822,2318.443,-2245.884764400098,5222,5223,SL,strong_trend,pullback
sell,2328.539,2332.4635000000003,2332.3770000000004,2321.1510000000003,-2213.185206600045,5224,5231,SL,strong_trend,pullback
partial,2353.642,2356.9447082132187,2350.223,2360.129,923.0521206383492,5245,5250,SCALE_OUT,uncertain,
buy,2353.642,2355.1618541066096,2355.2933541066095,2360.129,415.01399321924924,5245,5251,SL,uncertain,crossover
buy,2368.4025,2365.0695,2365.166,2374.5860000000002,-2823.834516600071,5256,5258,SL,strong_trend,pullback
partial,2339.1580000000004,2334.9428668626233,2343.4300000000003,2330.7850000000003,1178.0597406868058,5285,5285,SCALE_OUT,strong_trend,
partial,2339.1580000000004,2332.8353002939343,2337.050433431312,2330.7850000000003,1767.0896110303356,5285,5285,SCALE_OUT,strong_trend,
sell,2339.1580000000004,2334.999866862623,2334.9428668626233,,0.0,5285,5286,SL,strong_trend,crossover
partial,2311.5085,2306.0883773234973,2316.915,2300.6549999999997,1514.8343140460513,5292,5292,SCALE_OUT,strong_trend,
sell,2311.5085,2300.7414999999996,2308.7984386617486,2300.6549999999997,0.0,5292,5293,TP,strong_trend,pullback
sell,2293.433,2299.0080000000003,2298.9060000000004,2283.213,-1567.8799550000765,5296,5297,SL,strong_trend,pullback
partial,2330.2729999999997,2333.615276730597,2326.923,2336.949,934.1108644082469,5404,5404,SCALE_OUT,strong_trend,
partial,2330.2729999999997,2335.286415095896,2331.9441383652984,2336.949,1401.1662966123704,5404,5404,SCALE_OUT,strong_trend,
buy,2330.2729999999997,2333.498776730597,2333.615276730597,,891.7910483082222,5404,5405,SL,strong_trend,pullback
partial,2326.142,2329.562228405464,2322.525,2332.7850000000003,955.8970635356739,5406,5406,SCALE_OUT,strong_trend,
partial,2326.142,2331.2723426081957,2327.8521142027316,2332.7850000000003,1433.8455953034475,5406,5406,SCALE_OUT,strong_trend,
buy,2326.142,2329.455728405464,2329.562228405464,,916.3720814357101,5406,5407,SL,strong_trend,pullback
buy,2334.1025,2330.525,2330.582,2340.824,-3028.835590499894,5408,5411,SL,strong_trend,pullback
buy,2329.6524999999997,2335.5055,2326.568,2335.592,3252.1126804002915,5454,5460,TP,ranging,crossover
partial,2327.77,2323.9856256619764,2331.57,2320.218,1057.6698068635724,5498,5498,SCALE_OUT,weak_trend,
sell,2327.77,2320.2749999999996,2325.877812830988,2320.218,2084.9680830000966,5498,5499,TP,weak_trend,crossover
buy,2323.142,2327.8520000000003,2320.6730000000002,2327.909,5226.427256000549,5588,5588,TP,strong_trend,crossover
buy,2377.7219999999998,2381.938,2375.5299999999997,2381.995,3505.626043200293,5791,5791,TP,uncertain,crossover
partial,2431.4719999999998,2434.490156577746,2428.407,2437.4610000000002,843.5246620808558,5862,5862,SCALE_OUT,ranging,
partial,2431.4719999999998,2435.9992348666187,2432.9810782888726,2437.4610000000002,1265.2869931212201,5862,5862,SCALE_OUT,ranging,
