type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,2812.211,2801.962,2801.962,2837.834,-386.7376108199923,546,549,SL,strong_trend,pullback
buy,2797.616,2787.665,2787.665,2822.495,-364.1142547200008,549,561,SL,strong_trend,pullback
sell,2761.668,2771.551,2771.551,2736.96,-440.7317920199916,827,829,SL,strong_trend,pullback
partial,2762.011,2730.8478266177935,2782.786,2710.073,178.1692111780888,1444,1448,SCALE_OUT,strong_trend,
sell,2762.011,2710.073,2748.5017189017217,2710.073,712.6683057600014,1444,1450,TP,strong_trend,pullback
buy,2828.296,2811.1409999999996,2811.1409999999996,2871.1839999999997,-411.9371823000048,1521,1525,SL,uncertain,crossover
partial,2829.394,2851.319309184342,2814.778,2865.9359999999997,250.70714039927753,1564,1585,SCALE_OUT,strong_trend,
buy,2829.394,2865.9359999999997,2842.258246616785,2865.9359999999997,919.2549370399979,1564,1592,TP,strong_trend,pullback
buy,2916.346,2904.098,2904.098,2946.967,-560.2039232000022,1630,1631,SL,strong_trend,pullback
partial,2898.435,2918.677290807143,2884.941,2932.172,185.16999877068622,1631,1633,SCALE_OUT,strong_trend,
buy,2898.435,2932.172,2907.1884639330983,2932.172,771.5382004000019,1631,1638,TP,strong_trend,pullback
buy,2978.055,2960.0919999999996,2960.0919999999996,3022.964,-369.719495640004,1676,1679,SL,strong_trend,pullback
buy,2958.724,2939.944,2939.944,3005.675,-386.53521840000417,1683,1684,SL,strong_trend,pullback
buy,2953.316,2933.2659999999996,2933.2659999999996,3003.441,-91.70549200000083,1686,1689,SL,strong_trend,pullback
buy,2936.535,2916.576,2916.576,2986.433,-114.11159069999906,1690,1691,SL,strong_trend,pullback
sell,2879.377,2889.526,2889.526,2854.005,-104.44477985999883,1811,1813,SL,uncertain,crossover
partial,2947.378,2968.7964324698523,2933.1000000000004,2983.0750000000003,48.98224158395435,1964,1978,SCALE_OUT,strong_trend,
buy,2947.378,2953.111380812256,2953.111380812256,2983.0750000000003,39.335349741491726,1964,1983,SL,strong_trend,pullback
sell,2843.181,2855.581,2855.581,2812.18,-113.43123200000083,2066,2068,SL,strong_trend,pullback
sell,2863.987,2876.681,2876.681,2832.252,-101.60556867999969,2068,2069,SL,strong_trend,pullback
buy,2902.65,2892.985,2892.985,2917.148,-66.30924539999975,2280,2282,SL,ranging,mean_reversion
buy,2905.015,2909.105,2896.953,2917.109,32.73725779894617,2308,2314,REVERSAL,ranging,mean_reversion
partial,2909.105,2897.205729394341,2917.037,2889.273,40.819019900241344,2314,2316,SCALE_OUT,ranging,
sell,2909.105,2909.105,2909.105,2889.273,0.0,2314,2317,SL,ranging,crossover
sell,2934.68,2931.106,2943.8309999999997,2920.953,28.607080278941915,2334,2336,REVERSAL,ranging,mean_reversion
partial,2931.106,2944.531003798213,2922.1560000000004,2953.481,46.05286452931342,2336,2339,SCALE_OUT,uncertain,
buy,2931.106,2953.481,2931.106,2953.481,179.09442250000004,2336,2340,TP,uncertain,crossover
sell,2976.033,2964.923,2983.439,2964.923,101.63072480000118,2406,2408,TP,ranging,mean_reversion
buy,2923.876,2939.8680000000004,2913.5824095712032,2939.8680000000004,73.14484928000087,2411,2420,TP,ranging,mean_reversion
sell,2967.988,2979.187,2979.187,2951.189,-64.0280427000004,2535,2536,SL,ranging,mean_reversion
buy,2980.633,2968.8399999999997,2968.8399999999997,3010.1169999999997,-107.8785902400011,2536,2537,SL,uncertain,crossover
buy,2888.967,2876.6600000000003,2876.6600000000003,2907.428,-42.21768665999927,2692,2697,SL,ranging,mean_reversion
sell,2825.468,2832.397,2832.397,2808.145,-134.6915837800017,2831,2833,SL,strong_trend,pullback
sell,2833.817,2841.187,2841.187,2815.392,-134.836803199998,2845,2847,SL,strong_trend,pullback
sell,2838.998,2845.833,2845.833,2821.909,-132.8643347000007,2852,2858,SL,strong_trend,pullback
buy,2817.31,2809.277,2809.277,2829.36,-64.29789925999923,2933,2943,SL,ranging,mean_reversion
partial,2866.039,2878.340160553736,2858.202480283774,2886.5400000000004,56.26354018709907,3025,3037,SCALE_OUT,strong_trend,
buy,2866.039,2871.7208646027266,2871.7208646027266,2886.5400000000004,71.46683388496837,3025,3045,SL,strong_trend,pullback
sell,2873.781,2880.3669999999997,2880.3669999999997,2857.316,-135.5548960799956,3287,3288,SL,strong_trend,pullback
sell,2898.184,2906.759,2906.759,2885.3210000000004,-68.63618649999856,3347,3349,SL,ranging,mean_reversion
buy,2919.366,2911.734,2911.734,2938.446,-139.63018752000113,3395,3405,SL,strong_trend,pullback
buy,2901.259,2894.952,2894.952,2917.027,-137.0242421799954,3425,3428,SL,strong_trend,pullback
sell,2869.549,2876.511,2876.511,2852.144,-135.3330648399998,3530,3539,SL,strong_trend,pullback
sell,2851.266,2856.359,2856.359,2838.532,-133.943760939996,3632,3637,SL,strong_trend,pullback
sell,2863.836,2868.8599999999997,2868.8599999999997,2851.2749999999996,-132.12908991999703,3665,3666,SL,strong_trend,pullback
sell,2869.396,2874.659,2874.659,2856.2380000000003,-132.396659559998,3666,3667,SL,strong_trend,pullback
buy,2862.87,2869.913,2858.1749999999997,2869.913,96.64066536000165,3689,3690,TP,ranging,mean_reversion
partial,2875.405,2884.676234681665,2869.4385395760933,2890.8570000000004,31.80385802728908,3693,3714,SCALE_OUT,ranging,
buy,2875.405,2890.8570000000004,2875.405,2890.8570000000004,141.34995136000208,3693,3715,TP,ranging,crossover
sell,2891.39,2896.433,2896.433,2883.826,-69.19762536000165,3715,3717,SL,ranging,mean_reversion
partial,3034.75,3049.474429262653,3024.934,3059.29,50.51038765401908,3888,3894,SCALE_OUT,strong_trend,
buy,3034.75,3039.675329676107,3039.675329676107,3059.29,39.423422300090294,3888,3896,SL,strong_trend,pullback
buy,3106.02,3099.382,3099.382,3122.615,-136.62517463999836,4101,4107,SL,strong_trend,pullback
buy,3098.096,3089.196,3089.196,3120.348,-101.76794000000105,4109,4118,SL,strong_trend,pullback
buy,3098.925,3090.3320000000003,3090.3320000000003,3120.409,-88.43176601999842,4120,4125,SL,strong_trend,pullback
buy,3245.258,3277.749,3232.2619999999997,3277.749,260.0651120199999,4306,4310,TP,strong_trend,pullback
buy,3436.987,3419.504,3419.504,3480.695,-99.955555900001,4476,4484,SL,strong_trend,pullback
partial,3426.92,3450.5041025661676,3411.198,3466.226,53.93495584061985,4484,4489,SCALE_OUT,strong_trend,
buy,3426.92,3439.0121980469576,3439.0121980469576,3466.226,55.30777911509605,4484,4493,SL,strong_trend,pullback
buy,3629.954,3701.614,3601.29,3701.614,245.82103079999948,4613,4630,TP,strong_trend,pullback
partial,3406.728,3376.928009782788,3426.594,3357.062,68.15019362754617,4801,4804,SCALE_OUT,strong_trend,
sell,3406.728,3400.4117009343445,3400.4117009343445,3357.062,28.889741318458135,4801,4806,SL,strong_trend,pullback
sell,3415.055,3436.7019999999998,3436.7019999999998,3360.9359999999997,-99.0099144799997,4806,4811,SL,strong_trend,pullback
sell,3447.467,3461.4680000000003,3461.4680000000003,3412.464,-128.07666768000186,4896,4898,SL,strong_trend,pullback
partial,3518.78,3536.919441522047,3506.688,3549.012,62.225177408398146,4967,4974,SCALE_OUT,strong_trend,
buy,3518.78,3532.0554879440465,3532.0554879440465,3549.012,106.25992611149421,4967,4976,SL,strong_trend,crossover
partial,3548.28,3564.201567684064,3537.666,3574.815,54.617027352058,5003,5005,SCALE_OUT,strong_trend,
buy,3548.28,3574.815,3551.0517440955223,3574.815,242.73368879999867,5003,5007,TP,strong_trend,pullback
buy,3550.58,3539.951,3539.951,3577.153,-133.6921997399988,5011,5013,SL,strong_trend,pullback
buy,3611.28,3595.183,3595.183,3651.5240000000003,-110.43765372000142,5046,5048,SL,strong_trend,pullback
partial,3577.98,3605.775886746943,3559.45,3624.306,31.783484659659294,5049,5055,SCALE_OUT,strong_trend,
buy,3577.98,3593.078912839757,3593.078912839757,3624.306,51.795008627245096,5049,5058,SL,strong_trend,pullback
partial,3486.58,3457.2501363001975,3506.133,3437.697,67.0750518923522,5095,5101,SCALE_OUT,strong_trend,
sell,3486.58,3477.85608944005,3477.85608944005,3437.697,39.901771075522284,5095,5106,SL,strong_trend,crossover
partial,3517.58,3493.285640388154,3533.776,3477.09,55.559256883522224,5172,5173,SCALE_OUT,uncertain,
sell,3517.58,3512.20906517552,3512.20906517552,3477.09,18.424347403198738,5172,5176,SL,uncertain,crossover
buy,3548.68,3530.6369999999997,3530.6369999999997,3593.788,-103.1572439000007,5185,5187,SL,uncertain,crossover
