type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,2884.725,2902.43,2878.824,2902.43,35.409999999999854,573,576,TP,strong_trend,pullback
buy,2895.835,2889.589,2889.589,2914.573,-12.49200000000019,622,623,SL,strong_trend,pullback
buy,2923.235,2940.398,2917.514,2940.398,34.32600000000002,727,736,TP,strong_trend,pullback
buy,2923.335,2917.199,2917.199,2941.744,-6.135999999999967,788,789,SL,strong_trend,pullback
buy,2920.955,2914.613,2914.613,2939.9829999999997,-6.342000000000098,790,792,SL,strong_trend,pullback
sell,2872.525,2877.544,2877.544,2857.466,-10.037999999999556,870,871,SL,uncertain,crossover
buy,2891.395,2885.837,2885.837,2908.07,-11.115999999999985,878,881,SL,uncertain,crossover
buy,2898.965,2893.237,2893.237,2916.1510000000003,-11.456000000000131,998,1001,SL,strong_trend,pullback
buy,2915.584,2929.5029999999997,2910.9449999999997,2929.5029999999997,41.75699999999961,1032,1035,TP,strong_trend,pullback
buy,3015.655,3032.8590000000004,3009.9210000000003,3032.8590000000004,34.40800000000036,1194,1213,TP,strong_trend,pullback
buy,3013.965,3008.6310000000003,3008.6310000000003,3029.9680000000003,-5.333999999999833,1218,1219,SL,strong_trend,pullback
sell,2980.105,2989.236,2989.236,2952.71,-9.130999999999858,1479,1480,SL,uncertain,crossover
sell,3047.405,3058.7250000000004,3058.7250000000004,3013.4440000000004,-11.320000000000164,1491,1492,SL,strong_trend,pullback
buy,3086.115,3073.993,3073.993,3122.482,-12.121999999999844,1494,1496,SL,strong_trend,crossover
buy,3059.215,3099.094,3045.922,3099.094,39.878999999999905,1496,1498,TP,strong_trend,pullback
buy,3324.375,3312.128,3312.128,3361.117,-12.246999999999844,1966,1983,SL,strong_trend,pullback
sell,3246.995,3255.8959999999997,3255.8959999999997,3220.292,-8.90099999999984,2025,2030,SL,uncertain,crossover
sell,3219.555,3229.6929999999998,3229.6929999999998,3189.1409999999996,-10.13799999999992,2069,2073,SL,strong_trend,pullback
buy,3287.635,3316.485,3278.0190000000002,3316.485,28.84999999999991,2182,2197,TP,strong_trend,pullback
buy,3337.165,3326.252,3326.252,3353.535,-10.913000000000011,2221,2224,SL,ranging,mean_reversion
buy,3331.558,3346.883,3321.341,3346.883,15.324999999999818,2225,2233,TP,ranging,mean_reversion
buy,3295.58,3284.66,3284.66,3311.96,-10.920000000000073,2312,2316,SL,ranging,mean_reversion
sell,3344.5,3331.228,3353.348,3331.228,13.271999999999935,2496,2497,TP,ranging,mean_reversion
buy,3357.42,3372.736,3347.21,3372.736,15.315999999999804,2632,2635,TP,ranging,mean_reversion
buy,3369.228,3389.904,3362.3360000000002,3389.904,20.67599999999993,2660,2667,TP,strong_trend,pullback
sell,3330.91,3338.2439999999997,3338.2439999999997,3308.9069999999997,-7.333999999999833,2866,2879,SL,strong_trend,pullback
buy,3315.27,3307.643,3307.643,3326.711,-7.626999999999953,2931,2932,SL,ranging,mean_reversion
sell,3312.32,3318.5060000000003,3318.5060000000003,3293.762,-6.186000000000149,2955,2962,SL,strong_trend,pullback
buy,3343.05,3361.666,3337.9873744425036,3361.666,18.615999999999985,3024,3038,TP,strong_trend,pullback
buy,3347.155,3340.547,3340.547,3366.98,-6.608000000000175,3076,3079,SL,strong_trend,pullback
buy,3344.071,3338.051,3338.051,3362.132,-6.019999999999982,3080,3081,SL,strong_trend,pullback
buy,3325.815,3317.414,3317.414,3338.417,-8.40099999999984,3089,3091,SL,ranging,mean_reversion
buy,3398.045,3392.103,3392.103,3415.871,-5.942000000000007,3186,3187,SL,strong_trend,pullback
buy,3393.264,3386.974,3386.974,3412.135,-6.289999999999964,3188,3191,SL,strong_trend,pullback
buy,3373.645,3367.411,3367.411,3392.347,-6.233999999999924,3208,3210,SL,strong_trend,pullback
sell,3340.68,3344.9629999999997,3344.9629999999997,3327.83,-4.282999999999902,3646,3647,SL,strong_trend,pullback
buy,3328.83,3323.48,3323.48,3336.8559999999998,-5.349999999999909,3685,3689,SL,ranging,mean_reversion
buy,3323.44,3331.208,3318.261,3331.208,7.768000000000029,3689,3690,TP,ranging,mean_reversion
buy,3374.345,3370.35,3370.35,3386.3309999999997,-3.994999999999891,3714,3718,SL,uncertain,crossover
sell,3395.75,3386.929,3401.631,3386.929,8.820999999999913,3767,3770,TP,ranging,mean_reversion
sell,3410.908,3417.976,3417.976,3400.306,-7.068000000000211,3784,3786,SL,ranging,mean_reversion
buy,3735.94,3757.629,3728.7110000000002,3757.629,21.68899999999985,4224,4235,TP,strong_trend,pullback
buy,3798.71,3828.458,3788.794,3828.458,29.748000000000047,4305,4309,TP,strong_trend,pullback
buy,3957.01,3997.949,3943.364,3997.949,40.93899999999985,4475,4489,TP,strong_trend,pullback
sell,3949.46,3965.783,3965.783,3900.4900000000002,-16.322999999999865,4770,4771,SL,strong_trend,crossover
buy,4081.72,4068.524,4068.524,4121.309,-13.195999999999913,5158,5159,SL,strong_trend,pullback
buy,4184.686,4221.672,4172.357999999999,4221.672,36.985999999999876,5340,5349,TP,strong_trend,pullback
buy,4289.325,4280.041,4280.041,4317.177,-9.28399999999965,5560,5561,SL,strong_trend,pullback
buy,4472.17,4457.627,4457.627,4515.799,-14.542999999999665,5744,5745,SL,strong_trend,pullback
buy,4464.239,4449.5,4449.5,4508.458,-14.738999999999578,5747,5748,SL,strong_trend,pullback
buy,4400.02,4442.563,4385.839000000001,4442.563,42.542999999999665,5819,5830,TP,strong_trend,pullback
buy,4445.39,4434.205,4434.205,4478.945000000001,-11.1850000000004,5876,5877,SL,strong_trend,pullback
buy,4445.953,4434.200000000001,4434.200000000001,4481.212,-11.752999999999702,5877,5887,SL,strong_trend,pullback
buy,4454.071,4487.092,4443.064,4487.092,33.02099999999973,5900,5921,TP,strong_trend,pullback
buy,4594.691,4582.593,4582.593,4630.987,-12.097999999999956,6005,6013,SL,strong_trend,pullback
buy,4580.512,4621.709,4566.78,4621.709,41.197000000000116,6040,6045,TP,strong_trend,pullback
buy,4927.32,4890.382,4890.382,5038.134,-36.9380000000001,6338,6345,SL,strong_trend,pullback
buy,4897.0,4855.476,4855.476,5021.574,-41.52400000000034,6371,6372,SL,strong_trend,pullback
buy,4845.22,4972.017,4905.28463691711,4972.017,126.79699999999957,6372,6388,TP,strong_trend,pullback
