type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
sell,3.5335,3.5708,3.5708,3.4402,-3.73000000000001,2278,2279,SL,uncertain,crossover
partial,3.6935000000000002,3.7433862078226343,3.6603000000000003,3.7766,4.988620782263407,2364,2366,SCALE_OUT,strong_trend,
buy,3.6935000000000002,3.7766,3.6935000000000002,3.7766,0.0,2364,2367,TP,strong_trend,pullback
partial,3.6295,3.57883265457317,3.6632000000000002,3.5451,5.066734542683003,2480,2482,SCALE_OUT,uncertain,
sell,3.6295,3.6113090717141,3.6113090717141,3.5451,0.0,2480,2489,SL,uncertain,crossover
buy,4.0625,4.0298,4.0298,4.1444,-3.2700000000000164,2658,2660,SL,strong_trend,pullback
partial,3.6654999999999998,3.6141898724604724,3.694615755225188,3.5799999999999996,5.131012753952733,2781,2792,SCALE_OUT,strong_trend,
sell,3.6654999999999998,3.5799999999999996,3.6186736168753297,3.5799999999999996,0.0,2781,2794,TP,strong_trend,pullback
sell,3.4095,3.4372,3.4372,3.3402,-2.769999999999983,2908,2909,SL,strong_trend,pullback
sell,3.4145,3.4474,3.4474,3.3321,-3.2900000000000142,2912,2927,SL,strong_trend,pullback
buy,3.4885,3.4539,3.4539,3.5752,-3.4600000000000177,3027,3029,SL,ranging,crossover
partial,3.1795,3.141246086227509,3.205,3.1158,3.825391377249109,3208,3210,SCALE_OUT,strong_trend,
sell,3.1795,3.166747393789418,3.166747393789418,3.1158,0.0,3208,3211,CHANDELIER,strong_trend,pullback
partial,3.1945,3.1525141389451306,3.2224,3.1246,4.198586105486956,3229,3233,SCALE_OUT,strong_trend,
sell,3.1945,3.187197691640101,3.187197691640101,3.1246,0.0,3229,3234,CHANDELIER,strong_trend,pullback
sell,3.0915,3.12,3.12,3.0202,-2.8500000000000187,3323,3325,SL,strong_trend,pullback
sell,3.1245,3.1578,3.1578,3.0412,-3.3300000000000103,3326,3343,SL,strong_trend,pullback
sell,3.1055,3.1378000000000004,3.1378000000000004,3.0248,-3.2300000000000213,3439,3447,SL,strong_trend,pullback
sell,2.8885,2.911,2.911,2.8323,-2.249999999999996,3672,3673,SL,strong_trend,pullback
partial,3.1405,3.10205214508923,3.1660999999999997,3.0765,3.844785491076984,4170,4175,SCALE_OUT,uncertain,
sell,3.1405,3.1405,3.1405,3.0765,0.0,4170,4176,SL,uncertain,crossover
sell,3.2775,3.2984999999999998,3.2984999999999998,3.2459,-2.09999999999999,4235,4236,SL,ranging,mean_reversion
sell,3.3205,3.3435,3.3435,3.286,-2.3000000000000127,4236,4237,SL,ranging,mean_reversion
sell,3.3295,3.3537,3.3537,3.2931999999999997,-2.419999999999999,4237,4239,SL,ranging,mean_reversion
sell,3.3175,3.2767999999999997,3.3446,3.2767999999999997,4.070000000000016,4239,4240,TP,ranging,mean_reversion
partial,3.3035,3.3468858533594625,3.2746,3.3758,4.338585335946242,4261,4265,SCALE_OUT,strong_trend,
buy,3.3035,3.307710690390546,3.307710690390546,3.3758,0.0,4261,4267,SL,strong_trend,pullback
buy,3.9285,3.8958,3.8958,4.0104,-3.2700000000000164,4790,4791,SL,strong_trend,pullback
partial,3.8795,3.9347320399289134,3.8445625024139654,3.9715000000000003,5.523203992891322,4797,4807,SCALE_OUT,strong_trend,
buy,3.8795,3.896484057083109,3.896484057083109,3.9715000000000003,0.0,4797,4809,SL,strong_trend,pullback
partial,4.2075,4.272639721506987,4.1640999999999995,4.316,6.513972150698776,4858,4859,SCALE_OUT,strong_trend,
buy,4.2075,4.316,4.2075,4.316,0.0,4858,4860,TP,strong_trend,pullback
partial,4.4765,4.540318950010077,4.433999999999999,4.5828,6.3818950010077184,4977,4982,SCALE_OUT,strong_trend,
buy,4.4765,4.494637226620136,4.494637226620136,4.5828,0.0,4977,4988,SL,strong_trend,pullback
partial,4.5925,4.656401278453229,4.564284485041537,4.699,6.39012784532289,5114,5131,SCALE_OUT,strong_trend,
buy,4.5925,4.699,4.5925,4.699,0.0,5114,5132,TP,strong_trend,pullback
buy,4.7165,4.6711,4.6711,4.8301,-4.539999999999987,5324,5328,SL,strong_trend,pullback
sell,3.7935,3.7001999999999997,3.8308,3.7001999999999997,9.330000000000014,5602,5603,TP,strong_trend,pullback
partial,2.9905,2.933445180531274,3.0284999999999997,2.8954999999999997,5.705481946872614,5935,5941,SCALE_OUT,strong_trend,
sell,2.9905,2.963761342179413,2.963761342179413,2.8954999999999997,0.0,5935,5947,SL,strong_trend,pullback
partial,3.2025,3.2714119196465536,3.1566,3.3173,6.891191964655351,6070,6072,SCALE_OUT,strong_trend,
buy,3.2025,3.2027459958223474,3.2027459958223474,3.3173,0.0,6070,6074,SL,strong_trend,crossover
sell,3.4015,3.4539,3.4539,3.2704,-5.239999999999999,6323,6343,SL,strong_trend,pullback
partial,3.4125,3.341182730549371,3.46,3.2937000000000003,7.131726945062898,6343,6344,SCALE_OUT,strong_trend,
sell,3.4125,3.4125,3.4125,3.2937000000000003,0.0,6343,6345,SL,strong_trend,pullback
sell,3.4005,3.3262212598435994,3.3262212598435994,3.248,7.427874015640067,6345,6357,CHANDELIER,strong_trend,pullback
sell,3.0755,3.1094999999999997,3.1094999999999997,2.9905,-3.3999999999999804,6436,6438,SL,strong_trend,pullback
sell,3.0905,3.1252,3.1252,3.0037,-3.4699999999999944,6438,6442,SL,strong_trend,pullback
sell,3.1075,3.0564,3.1414999999999997,3.0564,5.109999999999991,6486,6489,TP,ranging,mean_reversion
partial,2.9025,2.8671082784091153,2.9259999999999997,2.8436,3.5391721590884546,6666,6668,SCALE_OUT,strong_trend,
sell,2.9025,2.8436,2.884347698432675,2.8436,0.0,6666,6677,TP,strong_trend,pullback
buy,3.2445,3.1767,3.1767,3.4141,-6.780000000000007,6847,6849,SL,strong_trend,pullback
buy,3.1315,3.0603,3.0603,3.3096,-7.120000000000013,6849,6853,SL,strong_trend,pullback
buy,2.9955,2.9745999999999997,2.9745999999999997,3.0479,-2.090000000000013,7866,7869,SL,strong_trend,pullback
sell,3.0635,3.0906,3.0906,2.9956,-2.7099999999999898,8119,8133,SL,strong_trend,pullback
partial,3.1405,3.1017595168621317,3.1662999999999997,3.0759999999999996,3.8740483137868145,8389,8396,SCALE_OUT,strong_trend,
sell,3.1405,3.0759999999999996,3.1405,3.0759999999999996,0.0,8389,8397,TP,strong_trend,pullback
