type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
partial,1077.63,1086.2390619147995,1071.9,1091.97,249.66279552918374,2271,2280,SCALE_OUT,strong_trend,
buy,1077.63,1091.97,1078.188960598714,1091.97,960.7799999999944,2271,2282,TP,strong_trend,pullback
buy,1066.86,1059.81,1059.81,1084.4799999999998,-563.9999999999964,2331,2332,SL,strong_trend,pullback
buy,1068.44,1062.01,1062.01,1084.52,-559.4100000000055,2337,2340,SL,strong_trend,pullback
partial,1236.54,1258.3773251602702,1230.6775725778427,1272.93,196.5359264424319,2545,2558,SCALE_OUT,strong_trend,
buy,1236.54,1272.93,1236.54,1272.93,727.8000000000019,2545,2559,TP,strong_trend,pullback
buy,1294.25,1281.2,1281.2,1326.88,-391.49999999999864,2625,2627,SL,strong_trend,pullback
partial,1298.45,1317.886232736922,1285.5,1330.8400000000001,194.36232736921966,2631,2633,SCALE_OUT,strong_trend,
buy,1298.45,1298.45,1298.45,1330.8400000000001,0.0,2631,2634,SL,strong_trend,pullback
buy,1289.75,1275.48,1275.48,1325.44,-413.8299999999994,2636,2639,SL,strong_trend,pullback
buy,1393.95,1378.2,1378.2,1433.3400000000001,-409.5,2751,2754,SL,strong_trend,pullback
buy,1350.76,1334.43,1334.43,1391.6,-424.5799999999981,2761,2767,SL,strong_trend,pullback
partial,1346.2,1362.77863068984,1335.15,1373.8300000000002,248.67946034759825,2788,2791,SCALE_OUT,strong_trend,
buy,1346.2,1354.7675673903448,1354.7675673903448,1373.8300000000002,291.2972912717205,2788,2794,SL,strong_trend,pullback
buy,1382.65,1368.45,1368.45,1418.17,-99.40000000000033,2849,2851,SL,strong_trend,pullback
buy,1379.97,1365.24,1365.24,1416.79,-103.11000000000014,2851,2853,SL,strong_trend,pullback
partial,1375.78,1397.730170818021,1363.1286427781781,1412.36,43.90034163604196,2854,2878,SCALE_OUT,strong_trend,
buy,1375.78,1385.4246639627445,1385.4246639627445,1412.36,38.57865585097806,2854,2881,SL,strong_trend,pullback
buy,1369.95,1358.4,1358.4,1398.8300000000002,-138.59999999999945,2889,2892,SL,strong_trend,pullback
partial,1365.05,1381.7218967089875,1355.1256827721165,1392.83,66.68758683595024,2893,2904,SCALE_OUT,strong_trend,
buy,1365.05,1375.4507819195157,1375.4507819195157,1392.83,83.20625535612633,2893,2906,SL,strong_trend,pullback
partial,1376.54,1394.876053923313,1364.32,1407.1,36.672107846626204,2986,2989,SCALE_OUT,uncertain,
buy,1376.54,1385.1110864977159,1385.1110864977159,1407.1,34.28434599086358,2986,2991,SL,uncertain,crossover
buy,1444.34,1432.25,1432.25,1474.57,-132.9899999999991,3100,3102,SL,strong_trend,pullback
buy,1410.65,1399.73,1399.73,1437.97,-141.96000000000095,3192,3204,SL,strong_trend,pullback
sell,1307.05,1321.25,1321.25,1271.55,-142.00000000000045,3330,3337,SL,strong_trend,pullback
sell,1326.35,1337.36,1337.36,1298.83,-132.1199999999999,3470,3477,SL,strong_trend,pullback
buy,1348.2,1340.43,1340.43,1367.64,-101.00999999999976,3509,3512,SL,uncertain,crossover
buy,1342.53,1334.59,1334.59,1362.3899999999999,-111.16000000000078,3565,3566,SL,strong_trend,pullback
buy,1349.75,1341.44,1341.44,1370.53,-132.95999999999913,3570,3571,SL,strong_trend,pullback
buy,1342.65,1334.3400000000001,1334.3400000000001,1363.43,-132.95999999999913,3571,3575,SL,strong_trend,pullback
sell,1329.25,1336.2,1336.2,1311.86,-104.25000000000068,3589,3599,SL,uncertain,crossover
buy,1339.65,1349.5600000000002,1333.0400000000002,1349.5600000000002,99.10000000000082,3742,3745,TP,ranging,mean_reversion
sell,1367.45,1356.94,1374.46,1356.94,105.09999999999991,3793,3797,TP,ranging,mean_reversion
sell,1375.98,1383.2,1383.2,1365.14,-50.5400000000002,3801,3804,SL,ranging,mean_reversion
buy,1382.65,1372.0600000000002,1372.0600000000002,1409.14,-84.71999999999935,3824,3828,SL,strong_trend,pullback
partial,1377.29,1393.593682336687,1366.43,1404.46,48.911047010060884,3828,3830,SCALE_OUT,strong_trend,
buy,1377.29,1404.46,1377.29,1404.46,163.02000000000044,3828,3831,TP,strong_trend,pullback
buy,1399.55,1387.52,1387.52,1429.6399999999999,-96.23999999999978,3831,3832,SL,strong_trend,pullback
partial,1390.34,1408.628154967152,1378.1499999999999,1420.82,36.57630993430439,3832,3836,SCALE_OUT,strong_trend,
buy,1390.34,1399.1471375947717,1399.1471375947717,1420.82,44.03568797385901,3832,3842,SL,strong_trend,pullback
buy,1383.32,1374.4199999999998,1374.4199999999998,1405.58,-133.50000000000136,3886,3897,SL,strong_trend,pullback
buy,1398.08,1388.37,1388.37,1422.37,-135.9400000000005,3898,3899,SL,strong_trend,pullback
buy,1380.53,1369.1499999999999,1369.1499999999999,1409.0,-113.80000000000109,3900,3905,SL,strong_trend,pullback
partial,1374.29,1390.418106990086,1364.386432002768,1401.17,48.38432097025816,3906,3914,SCALE_OUT,strong_trend,
buy,1374.29,1401.17,1374.29,1401.17,161.28000000000065,3906,3915,TP,strong_trend,pullback
buy,1390.44,1381.67,1381.67,1412.38,-131.54999999999973,3990,3993,SL,strong_trend,pullback
buy,1388.93,1380.1000000000001,1380.1000000000001,1411.01,-132.4499999999989,3993,3997,SL,strong_trend,pullback
buy,1382.35,1374.26,1374.26,1402.59,-137.5299999999986,3997,3998,SL,strong_trend,pullback
partial,1377.97,1390.2080122259747,1369.82,1398.3600000000001,61.19006112987336,3999,4003,SCALE_OUT,strong_trend,
buy,1377.97,1398.3600000000001,1386.4346907567924,1398.3600000000001,224.2900000000011,3999,4005,TP,strong_trend,pullback
sell,1373.65,1381.3300000000002,1381.3300000000002,1354.45,-138.24000000000115,4085,4087,SL,strong_trend,crossover
sell,1444.72,1453.97,1453.97,1430.84,-64.75,4171,4172,SL,ranging,mean_reversion
buy,1630.47,1613.39,1613.39,1673.17,-136.63999999999942,4470,4475,SL,strong_trend,pullback
sell,1589.47,1615.54,1615.54,1524.29,-78.20999999999981,4665,4669,SL,strong_trend,pullback
sell,1586.57,1605.61,1605.61,1538.96,-114.23999999999978,4749,4767,SL,strong_trend,pullback
buy,1571.71,1558.43,1558.43,1591.64,-66.39999999999986,4821,4826,SL,ranging,mean_reversion
buy,1528.62,1516.4899999999998,1516.4899999999998,1546.82,-60.650000000000546,4912,4918,SL,ranging,mean_reversion
sell,1542.64,1554.8200000000002,1554.8200000000002,1512.17,-109.62000000000057,4920,4925,SL,strong_trend,pullback
buy,1586.61,1575.6399999999999,1575.6399999999999,1614.04,-98.73000000000025,4972,4979,SL,ranging,crossover
buy,1568.73,1551.42,1551.42,1612.01,-103.85999999999967,5048,5051,SL,strong_trend,pullback
sell,1545.89,1560.5400000000002,1560.5400000000002,1509.2700000000002,-131.85000000000082,5053,5058,SL,strong_trend,crossover
partial,1560.21,1536.8155968035194,1575.8,1521.22,46.788806392961305,5058,5070,SCALE_OUT,strong_trend,
sell,1560.21,1521.22,1546.4722888365761,1521.22,233.94000000000005,5058,5083,TP,strong_trend,pullback
buy,1565.86,1591.31,1555.6799999999998,1591.31,254.50000000000045,5226,5236,TP,ranging,crossover
buy,1674.85,1660.7199999999998,1660.7199999999998,1710.1699999999998,-98.91000000000078,5425,5435,SL,strong_trend,pullback
buy,1912.25,1890.53,1890.53,1966.56,-130.32000000000016,5570,5575,SL,strong_trend,pullback
partial,1901.55,1934.969519780362,1879.28,1957.24,66.8390395607239,5575,5577,SCALE_OUT,strong_trend,
buy,1901.55,1905.5329318668166,1905.5329318668166,1957.24,11.948795600450014,5575,5578,CHANDELIER,strong_trend,pullback
partial,2247.53,2315.430519237844,2202.27,2360.69,67.90051923784358,5670,5672,SCALE_OUT,strong_trend,
buy,2247.53,2360.69,2273.689961455706,2360.69,113.15999999999985,5670,5674,TP,strong_trend,pullback
