type,entry,exit,sl,tp,pnl,entry_bar,exit_bar,exit_reason,regime,entry_type
buy,3.11783,3.02028,3.02028,3.3617,-390.2000000000001,301,305,SL,strong_trend,pullback
sell,2.93233,2.84902,2.9656499999999997,2.84902,749.7899999999998,448,449,TP,strong_trend,crossover
sell,3.01126,3.06441,3.06441,2.87837,-531.5000000000003,488,489,SL,strong_trend,pullback
sell,3.07321,3.11874,3.12721,2.9382099999999998,-455.3000002499985,489,496,REVERSAL,strong_trend,pullback
buy,3.11874,3.0732899999999996,3.0732899999999996,3.23237,-409.0500000000019,496,500,SL,uncertain,crossover
sell,3.04007,2.97474,3.0662000000000003,2.97474,979.9499999999982,565,571,TP,uncertain,crossover
sell,2.38258,2.42708,2.42708,2.2713099999999997,-400.50000000000176,781,786,SL,strong_trend,pullback
sell,2.44066,2.47309,2.47309,2.3595699999999997,-551.310000000003,815,817,SL,strong_trend,pullback
buy,2.69016,2.65916,2.65916,2.7676700000000003,-527.0000000000024,957,960,SL,strong_trend,pullback
buy,2.65922,2.62227,2.62227,2.7516,-443.40000000000043,965,974,SL,strong_trend,pullback
partial,2.5688,2.51092627029558,2.60738,2.47235,57.87372970441984,995,998,SCALE_OUT,strong_trend,
sell,2.5688,2.5629910105873726,2.5629910105873726,2.47235,11.617978825254834,995,1000,CHANDELIER,strong_trend,pullback
buy,2.73653,2.6956,2.6956,2.83887,-122.78999999999972,1016,1018,SL,strong_trend,crossover
buy,2.5891,2.57144,2.55073,2.6850300000000002,-35.32000005000046,1066,1068,REVERSAL,strong_trend,pullback
sell,2.1026,2.15075,2.15075,1.9822099999999998,-96.30000000000028,1223,1224,SL,strong_trend,pullback
sell,2.14127,2.1898400000000002,2.1898400000000002,2.01983,-145.71000000000066,1225,1234,SL,strong_trend,pullback
sell,2.22395,2.252,2.252,2.1538299999999997,-140.24999999999952,1270,1271,SL,strong_trend,pullback
buy,2.40378,2.31046,2.31046,2.6370899999999997,-93.31999999999984,1302,1305,SL,strong_trend,pullback
buy,2.492,2.40593,2.40593,2.70719,-172.1399999999997,1322,1334,SL,strong_trend,pullback
buy,2.48228,2.4208999999999996,2.4208999999999996,2.6357399999999997,-122.76000000000042,1380,1392,SL,strong_trend,pullback
sell,2.1003600000000002,2.1632000000000002,2.1632000000000002,1.9432500000000001,-62.84,1478,1484,SL,strong_trend,pullback
sell,2.26945,2.31251,2.31251,2.1618,-129.18000000000026,1537,1551,SL,strong_trend,pullback
buy,2.31997,2.2905,2.2905,2.39365,-117.87999999999953,1608,1610,SL,strong_trend,pullback
partial,2.32831,2.372398360031405,2.2989200000000003,2.40179,44.08836003140504,1615,1633,SCALE_OUT,strong_trend,
buy,2.32831,2.338393369475286,2.338393369475286,2.40179,20.16673895057152,1615,1636,SL,strong_trend,pullback
sell,2.2566,2.2833400000000004,2.2833400000000004,2.18975,-133.70000000000104,1653,1661,SL,strong_trend,crossover
buy,2.53882,2.49457,2.49457,2.64944,-88.4999999999998,1677,1680,SL,strong_trend,crossover
sell,2.40437,2.41922,2.41922,2.3820900000000003,-59.40000000000012,1770,1772,SL,ranging,mean_reversion
sell,2.41701,2.39336,2.43277,2.39336,94.59999999999978,1772,1776,TP,ranging,mean_reversion
sell,2.43932,2.4565799999999998,2.4565799999999998,2.41343,-69.03999999999932,1782,1783,SL,ranging,mean_reversion
sell,2.43617,2.4545700000000004,2.4545700000000004,2.40857,-55.20000000000058,1783,1787,SL,ranging,mean_reversion
buy,2.40806,2.38717,2.38717,2.4394,-62.670000000000215,1845,1848,SL,ranging,mean_reversion
partial,2.35181,2.3150223413591857,2.37633,2.2904999999999998,36.787658640814236,1876,1879,SCALE_OUT,strong_trend,
sell,2.35181,2.2904999999999998,2.335098150655155,2.2904999999999998,183.93000000000058,1876,1883,TP,strong_trend,pullback
sell,2.10284,2.13845,2.13845,2.01382,-106.83000000000041,1962,1965,SL,strong_trend,pullback
partial,2.11847,2.063235670938082,2.15529,2.02642,55.23432906191772,1965,1975,SCALE_OUT,strong_trend,
sell,2.11847,2.109288468435385,2.109288468435385,2.02642,18.363063129229747,1965,1976,CHANDELIER,strong_trend,pullback
sell,1.88968,1.95857,1.95857,1.71745,-68.88999999999989,2136,2153,SL,strong_trend,pullback
buy,2.05353,2.10785,2.0318,2.10785,217.2800000000006,2244,2250,TP,uncertain,crossover
buy,2.14249,2.10946,2.10946,2.22508,-99.09000000000034,2274,2280,SL,strong_trend,pullback
buy,2.11931,2.08595,2.08595,2.20271,-100.08000000000015,2280,2282,SL,strong_trend,pullback
buy,2.10643,2.07268,2.07268,2.1908,-101.24999999999983,2282,2284,SL,strong_trend,pullback
buy,2.13728,2.1040824057801655,2.1040824057801655,2.22545,-99.59278265950377,2285,2327,SL,strong_trend,pullback
buy,2.08869,2.0655300000000003,2.0655300000000003,2.1466000000000003,-138.95999999999907,2344,2346,SL,strong_trend,pullback
buy,2.09529,2.07056,2.07056,2.15713,-123.6499999999996,2347,2350,SL,strong_trend,pullback
buy,2.0840899999999998,2.0535099999999997,2.0535099999999997,2.1605499999999997,-91.74000000000015,2351,2376,SL,strong_trend,pullback
buy,2.05929,2.06417,2.03773,2.1132,29.279999849999967,2383,2397,REVERSAL,strong_trend,pullback
buy,2.08393,2.0710100000000002,2.0710100000000002,2.1162300000000003,-90.43999999999875,2415,2421,SL,uncertain,crossover
sell,2.04603,2.05751,2.05751,2.01731,-91.84000000000125,2439,2443,SL,uncertain,crossover
buy,2.1183,2.10271,2.10271,2.15728,-93.53999999999994,2457,2469,SL,strong_trend,crossover
