rank,ema_fast,ema_slow,atr_sl_mult,rr,adx_threshold,trades,return,max_dd,sharpe,calmar,win_rate,profit_factor
1,30,150,1.2,1.5,20,24,169.00,30.96,4766201.43,5.46,0.6250,2.4166
2,30,150,1.2,1.5,25,24,169.00,30.96,4766201.43,5.46,0.6250,2.4166
3,30,150,1.2,1.5,30,24,169.00,30.96,4766201.43,5.46,0.6250,2.4166
4,30,150,1.2,2.0,20,24,175.33,45.99,4021771.61,3.81,0.5417,2.1749
5,30,150,1.2,2.0,25,24,175.33,45.99,4021771.61,3.81,0.5417,2.1749
6,30,150,1.2,2.0,30,24,175.33,45.99,4021771.61,3.81,0.5417,2.1749
7,30,150,1.2,2.5,20,24,148.52,45.99,2981904.34,3.23,0.4583,1.8248
8,30,150,1.2,2.5,25,24,148.52,45.99,2981904.34,3.23,0.4583,1.8248
9,30,150,1.2,2.5,30,24,148.52,45.99,2981904.34,3.23,0.4583,1.8248
10,30,200,1.2,2.0,20,22,154.71,52.94,3836238.33,2.92,0.5455,2.0645
11,30,200,1.2,2.0,25,22,154.71,52.94,3836238.33,2.92,0.5455,2.0645
12,30,200,1.2,2.0,30,22,154.71,52.94,3836238.33,2.92,0.5455,2.0645
13,30,200,1.5,2.5,20,22,101.96,39.15,2768521.41,2.60,0.4545,1.7302
14,30,200,1.5,2.5,25,22,101.96,39.15,2768521.41,2.60,0.4545,1.7302
15,30,200,1.5,2.5,30,22,101.96,39.15,2768521.41,2.60,0.4545,1.7302
16,30,100,1.0,2.5,20,29,145.97,58.62,2060370.46,2.49,0.3793,1.4894
17,30,100,1.0,2.5,25,29,145.97,58.62,2060370.46,2.49,0.3793,1.4894
18,30,100,1.0,2.5,30,29,145.97,58.62,2060370.46,2.49,0.3793,1.4894
19,30,100,1.2,2.5,20,29,121.64,48.85,2060370.46,2.49,0.3793,1.4894
20,30,100,1.2,2.5,25,29,121.64,48.85,2060370.46,2.49,0.3793,1.4894
21,30,100,1.2,2.5,30,29,121.64,48.85,2060370.46,2.49,0.3793,1.4894
22,30,200,1.0,2.5,20,22,139.57,58.73,2569321.89,2.38,0.4545,1.6544
23,30,200,1.0,2.5,25,22,139.57,58.73,2569321.89,2.38,0.4545,1.6544
24,30,200,1.0,2.5,30,22,139.57,58.73,2569321.89,2.38,0.4545,1.6544
25,30,200,1.2,2.5,20,22,116.31,48.94,2569321.89,2.38,0.4545,1.6544
26,30,200,1.2,2.5,25,22,116.31,48.94,2569321.89,2.38,0.4545,1.6544
27,30,200,1.2,2.5,30,22,116.31,48.94,2569321.89,2.38,0.4545,1.6544
28,70,200,1.2,2.5,20,18,88.80,39.70,2638960.31,2.24,0.3889,1.7114
29,70,200,1.2,2.5,25,18,88.80,39.70,2638960.31,2.24,0.3889,1.7114
30,70,200,1.2,2.5,30,18,88.80,39.70,2638960.31,2.24,0.3889,1.7114
31,30,200,1.5,1.5,20,22,80.06,36.48,2934878.83,2.19,0.5455,1.7295
32,30,200,1.5,1.5,25,22,80.06,36.48,2934878.83,2.19,0.5455,1.7295
33,30,200,1.5,1.5,30,22,80.06,36.48,2934878.83,2.19,0.5455,1.7295
34,30,200,1.0,2.0,20,22,133.76,63.53,2778010.40,2.11,0.5000,1.6977
35,30,200,1.0,2.0,25,22,133.76,63.53,2778010.40,2.11,0.5000,1.6977
36,30,200,1.0,2.0,30,22,133.76,63.53,2778010.40,2.11,0.5000,1.6977
37,30,200,1.0,1.5,20,22,133.46,64.45,3323939.64,2.07,0.5909,1.8380
38,30,200,1.0,1.5,25,22,133.46,64.45,3323939.64,2.07,0.5909,1.8380
39,30,200,1.0,1.5,30,22,133.46,64.45,3323939.64,2.07,0.5909,1.8380
40,70,200,1.2,2.0,20,18,69.80,34.06,2426196.06,2.05,0.4444,1.5970
41,70,200,1.2,2.0,25,18,69.80,34.06,2426196.06,2.05,0.4444,1.5970
42,70,200,1.2,2.0,30,18,69.80,34.06,2426196.06,2.05,0.4444,1.5970
43,30,150,1.0,1.5,20,24,113.03,55.19,2608362.74,2.05,0.5417,1.6312
44,30,150,1.0,1.5,25,24,113.03,55.19,2608362.74,2.05,0.5417,1.6312
45,30,150,1.0,1.5,30,24,113.03,55.19,2608362.74,2.05,0.5417,1.6312
46,30,100,1.5,1.5,20,29,66.73,32.82,1890098.41,2.03,0.4828,1.4077
47,30,100,1.5,1.5,25,29,66.73,32.82,1890098.41,2.03,0.4828,1.4077
48,30,100,1.5,1.5,30,29,66.73,32.82,1890098.41,2.03,0.4828,1.4077
49,50,100,1.2,1.5,20,21,103.60,51.32,3017653.35,2.02,0.5238,1.7511
50,50,100,1.2,1.5,25,21,103.60,51.32,3017653.35,2.02,0.5238,1.7511
51,50,100,1.2,1.5,30,21,103.60,51.32,3017653.35,2.02,0.5238,1.7511
52,50,100,1.5,1.5,20,21,95.60,47.52,3455365.52,2.01,0.5238,1.9084
53,50,100,1.5,1.5,25,21,95.60,47.52,3455365.52,2.01,0.5238,1.9084
54,50,100,1.5,1.5,30,21,95.60,47.52,3455365.52,2.01,0.5238,1.9084
55,30,150,1.5,1.5,20,24,71.33,36.79,2448220.30,1.94,0.5000,1.5895
56,30,150,1.5,1.5,25,24,71.33,36.79,2448220.30,1.94,0.5000,1.5895
57,30,150,1.5,1.5,30,24,71.33,36.79,2448220.30,1.94,0.5000,1.5895
58,30,100,1.0,2.0,20,29,113.70,62.86,1830748.73,1.81,0.4138,1.4069
59,30,100,1.0,2.0,25,29,113.70,62.86,1830748.73,1.81,0.4138,1.4069
60,30,100,1.0,2.0,30,29,113.70,62.86,1830748.73,1.81,0.4138,1.4069
61,30,150,1.0,2.0,20,24,99.36,55.19,1943533.90,1.80,0.4583,1.4598
62,30,150,1.0,2.0,25,24,99.36,55.19,1943533.90,1.80,0.4583,1.4598
63,30,150,1.0,2.0,30,24,99.36,55.19,1943533.90,1.80,0.4583,1.4598
64,30,150,1.5,2.5,20,24,85.81,53.53,2125162.46,1.60,0.3750,1.5591
65,30,150,1.5,2.5,25,24,85.81,53.53,2125162.46,1.60,0.3750,1.5591
66,30,150,1.5,2.5,30,24,85.81,53.53,2125162.46,1.60,0.3750,1.5591
67,50,100,1.0,1.5,20,21,101.14,71.89,2479544.99,1.41,0.5238,1.5787
68,50,100,1.0,1.5,25,21,101.14,71.89,2479544.99,1.41,0.5238,1.5787
69,50,100,1.0,1.5,30,21,101.14,71.89,2479544.99,1.41,0.5238,1.5787
70,30,150,1.5,2.0,20,24,73.71,53.53,2105437.65,1.38,0.4167,1.5207
71,30,150,1.5,2.0,25,24,73.71,53.53,2105437.65,1.38,0.4167,1.5207
72,30,150,1.5,2.0,30,24,73.71,53.53,2105437.65,1.38,0.4167,1.5207
73,30,200,1.2,1.5,20,22,79.70,59.12,2368943.55,1.35,0.5455,1.5484
74,30,200,1.2,1.5,25,22,79.70,59.12,2368943.55,1.35,0.5455,1.5484
75,30,200,1.2,1.5,30,22,79.70,59.12,2368943.55,1.35,0.5455,1.5484
76,70,100,1.2,1.5,20,21,93.93,71.26,2837301.13,1.32,0.5714,1.6846
77,70,100,1.2,1.5,25,21,93.93,71.26,2837301.13,1.32,0.5714,1.6846
78,70,100,1.2,1.5,30,21,93.93,71.26,2837301.13,1.32,0.5714,1.6846
79,30,100,1.2,1.5,20,29,69.90,53.49,1601694.21,1.31,0.4828,1.3328
80,30,100,1.2,1.5,25,29,69.90,53.49,1601694.21,1.31,0.4828,1.3328
81,30,100,1.2,1.5,30,29,69.90,53.49,1601694.21,1.31,0.4828,1.3328
82,30,200,1.5,2.0,20,22,53.64,42.35,1697246.84,1.27,0.4545,1.3841
83,30,200,1.5,2.0,25,22,53.64,42.35,1697246.84,1.27,0.4545,1.3841
84,30,200,1.5,2.0,30,22,53.64,42.35,1697246.84,1.27,0.4545,1.3841
85,70,200,1.0,2.0,20,18,55.29,47.64,1606008.59,1.16,0.3889,1.3691
86,70,200,1.0,2.0,25,18,55.29,47.64,1606008.59,1.16,0.3889,1.3691
87,70,200,1.0,2.0,30,18,55.29,47.64,1606008.59,1.16,0.3889,1.3691
88,50,100,1.5,2.0,20,21,63.89,57.22,1976308.70,1.12,0.4286,1.4625
89,50,100,1.5,2.0,25,21,63.89,57.22,1976308.70,1.12,0.4286,1.4625
90,50,100,1.5,2.0,30,21,63.89,57.22,1976308.70,1.12,0.4286,1.4625
91,50,100,1.5,2.5,20,21,70.34,65.31,1910930.72,1.08,0.3810,1.4667
92,50,100,1.5,2.5,25,21,70.34,65.31,1910930.72,1.08,0.3810,1.4667
93,50,100,1.5,2.5,30,21,70.34,65.31,1910930.72,1.08,0.3810,1.4667
94,70,200,1.5,2.5,20,18,51.74,48.36,1998414.01,1.07,0.3889,1.4910
95,70,200,1.5,2.5,25,18,51.74,48.36,1998414.01,1.07,0.3889,1.4910
96,70,200,1.5,2.5,30,18,51.74,48.36,1998414.01,1.07,0.3889,1.4910
97,50,200,1.0,2.0,20,20,-98.12,98.12,-3014715.03,1.00,0.2500,0.5726
98,50,200,1.0,2.0,25,20,-98.12,98.12,-3014715.03,1.00,0.2500,0.5726
99,50,200,1.0,2.0,30,20,-98.12,98.12,-3014715.03,1.00,0.2500,0.5726
100,50,200,1.0,2.5,20,20,-134.71,134.71,-4261207.36,1.00,0.2000,0.4599
101,50,200,1.0,2.5,25,20,-134.71,134.71,-4261207.36,1.00,0.2000,0.4599
102,50,200,1.0,2.5,30,20,-134.71,134.71,-4261207.36,1.00,0.2000,0.4599
103,50,200,1.0,1.5,20,20,-92.12,96.89,-3129852.72,0.95,0.3000,0.5696
104,50,200,1.0,1.5,25,20,-92.12,96.89,-3129852.72,0.95,0.3000,0.5696
105,50,200,1.0,1.5,30,20,-92.12,96.89,-3129852.72,0.95,0.3000,0.5696
106,70,150,1.2,2.5,20,22,48.46,52.18,1139212.54,0.93,0.3182,1.2583
107,70,150,1.2,2.5,25,22,48.46,52.18,1139212.54,0.93,0.3182,1.2583
108,70,150,1.2,2.5,30,22,48.46,52.18,1139212.54,0.93,0.3182,1.2583
109,30,100,1.2,2.0,20,29,47.60,52.38,938965.24,0.91,0.3793,1.1915
110,30,100,1.2,2.0,25,29,47.60,52.38,938965.24,0.91,0.3793,1.1915
111,30,100,1.2,2.0,30,29,47.60,52.38,938965.24,0.91,0.3793,1.1915
112,70,100,1.0,1.5,20,21,77.42,85.51,1941995.71,0.91,0.5238,1.4331
113,70,100,1.0,1.5,25,21,77.42,85.51,1941995.71,0.91,0.5238,1.4331
114,70,100,1.0,1.5,30,21,77.42,85.51,1941995.71,0.91,0.5238,1.4331
115,50,100,1.2,2.0,20,21,75.90,84.51,1886672.11,0.90,0.4286,1.4363
116,50,100,1.2,2.0,25,21,75.90,84.51,1886672.11,0.90,0.4286,1.4363
117,50,100,1.2,2.0,30,21,75.90,84.51,1886672.11,0.90,0.4286,1.4363
118,50,150,1.5,2.5,20,22,-107.85,132.99,-4086244.16,0.81,0.1364,0.4407
119,50,150,1.5,2.5,25,22,-107.85,132.99,-4086244.16,0.81,0.1364,0.4407
120,50,150,1.5,2.5,30,22,-107.85,132.99,-4086244.16,0.81,0.1364,0.4407
121,50,150,1.0,1.5,20,22,-87.99,115.54,-2469879.02,0.76,0.2727,0.6324
122,50,150,1.0,1.5,25,22,-87.99,115.54,-2469879.02,0.76,0.2727,0.6324
123,50,150,1.0,1.5,30,22,-87.99,115.54,-2469879.02,0.76,0.2727,0.6324
124,50,100,1.0,2.5,20,21,-77.81,110.04,-1620760.41,0.71,0.2381,0.7206
125,50,100,1.0,2.5,25,21,-77.81,110.04,-1620760.41,0.71,0.2381,0.7206
126,50,100,1.0,2.5,30,21,-77.81,110.04,-1620760.41,0.71,0.2381,0.7206
127,70,150,1.0,2.5,20,22,-96.58,141.42,-2339194.75,0.68,0.2273,0.6415
128,70,150,1.0,2.5,25,22,-96.58,141.42,-2339194.75,0.68,0.2273,0.6415
129,70,150,1.0,2.5,30,22,-96.58,141.42,-2339194.75,0.68,0.2273,0.6415
