ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
12,36,1.0,3.0,25,inf,0,0.0,0,0,12313.747764733671
12,36,1.5,3.0,25,inf,0,0.0,0,0,10317.417793283148
12,36,1.0,2.0,25,inf,0,0.0,0,0,8125.253512099269
12,36,1.5,2.0,25,inf,0,0.0,0,0,6778.378528855433
12,36,1.5,2.0,25,inf,0,0.0,0,0,6778.378528855433
12,36,1.5,2.0,28,inf,0,0.0,0,0,6778.378528855433
12,36,1.5,2.0,30,inf,0,0.0,0,0,6778.378528855433
10,30,1.0,3.0,25,inf,0,0.0,0,0,3691.1049501233942
10,30,1.0,2.0,25,inf,0,0.0,0,0,2405.3076328677143
10,30,1.5,3.0,25,inf,0,0.0,0,0,2277.4555221558967
10,30,1.5,2.0,25,inf,0,0.0,0,0,716.9964270853152
10,30,1.5,2.0,25,inf,0,0.0,0,0,716.9964270853152
10,30,1.5,2.0,28,inf,0,0.0,0,0,716.9964270853152
10,30,1.5,2.0,30,inf,0,0.0,0,0,716.9964270853152
