ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
25,100,1.5,2.0,22,0.7292504875394079,-28535.71991032239,38856.55690209725,0.5841035120147874,541,0.5554273476460565
25,100,1.5,1.5,25,0.719612882075545,-24879.01204781409,34279.45014507865,0.5670840787119857,559,0.5447669939431499
25,100,1.5,2.0,25,0.7235623380275227,-27749.27496139207,37537.47192583262,0.5561797752808989,534,0.5392993045135214
25,100,1.5,2.0,25,0.7235623380275227,-27749.27496139207,37537.47192583262,0.5561797752808989,534,0.5392993045135214
15,60,1.5,2.0,22,0.8099118740016611,-20139.94607216981,36416.151787211245,0.6015037593984962,532,0.5385693500148061
25,100,1.5,2.0,28,0.7330169421703359,-25333.818685063754,33865.332592802646,0.5404896421845574,531,0.5282041898869957
25,100,1.0,2.0,25,0.744559502644454,-33004.933473879726,40591.26865662524,0.5254691689008043,373,0.5166175138638613
15,60,1.5,1.5,25,0.7661904764403975,-21593.895428798878,36001.91134073929,0.5776965265082267,547,0.5149217558240843
25,100,1.0,1.5,25,0.774219032980594,-30195.520780486044,40750.50570107938,0.5813953488372093,430,0.5139773044480567
15,60,1.5,2.0,25,0.829477095295342,-16852.415261791986,32983.61704654747,0.579047619047619,525,0.5058563603708576
15,60,1.5,2.0,25,0.829477095295342,-16852.415261791986,32983.61704654747,0.579047619047619,525,0.5058563603708576
15,60,1.5,2.0,28,0.8527149931251132,-13579.719371089912,29084.608881284366,0.5547024952015355,521,0.4979254920486426
25,100,2.0,1.5,25,0.8530027852637337,-8699.673192903583,17248.507153885672,0.5581787521079258,593,0.4965150044488712
15,60,2.0,2.0,25,0.8078701356892702,-13819.0856960399,29798.440515625814,0.5486238532110091,545,0.4960625090166243
15,60,2.0,1.5,25,0.7323601097398025,-18195.8242763748,32728.768374607665,0.5536028119507909,569,0.49072404260269165
25,100,2.0,2.0,25,0.8136089388566041,-12703.410425483586,25483.42272954597,0.5490909090909091,550,0.486562584926845
15,60,1.0,1.5,25,0.780584617662976,-26080.39051155819,41800.17461701052,0.5561797752808989,356,0.479366269859816
15,60,1.0,2.0,25,0.592118912268362,-33437.44325473428,40681.14766022412,0.45454545454545453,198,0.4401460922904922
