ema_fast,ema_slow,sl,rr,adx,pf,ret,dd,wr,n_trades,wf_score
25,100,2.0,2.5,25,0.40946450639997756,-13060.237724090171,16520.284273516212,0.8240740740740741,108,0.3581298270347858
25,100,1.5,2.5,25,0.5099171038105355,-14111.15197290733,21176.439540218387,0.75,96,0.3549931443500499
25,100,1.5,2.0,25,0.4262295117106417,-17264.555515691864,21834.982005995465,0.7395833333333334,96,0.3461261186272058
25,100,1.5,2.0,25,0.4262295117106417,-17264.555515691864,21834.982005995465,0.7395833333333334,96,0.3461261186272058
30,120,1.5,2.5,25,0.45327117174106013,-16185.063820660967,22776.443002808664,0.7608695652173914,92,0.3397786131434005
30,120,1.0,2.5,25,0.4761639489276843,-23814.410611281954,32042.083449460857,0.5466666666666666,75,0.33963188743956474
25,100,1.5,2.0,22,0.39924792508553186,-19140.877086234286,23780.803576537874,0.7395833333333334,96,0.33879015267301016
25,100,2.0,2.0,25,0.42155580382020086,-10657.199778589926,14523.701316404156,0.853448275862069,116,0.33439462574830053
30,120,2.0,2.5,25,0.30958883620891753,-17191.38078156899,20487.407330995018,0.8118811881188119,101,0.3300490571401555
30,120,1.5,2.0,25,0.39079966709028563,-18690.79226600274,23108.31875630631,0.7526881720430108,93,0.32763295002751835
30,120,1.5,2.0,25,0.39079966709028563,-18690.79226600274,23108.31875630631,0.7526881720430108,93,0.32763295002751835
30,120,2.0,2.0,25,0.3015107696841743,-14818.765480144079,18562.94701795833,0.8440366972477065,109,0.32399701434893324
30,120,1.5,2.0,22,0.36812390523266036,-20511.008729760142,24992.4752200637,0.7526881720430108,93,0.32200862587369716
30,120,1.5,2.0,20,0.3688253349372408,-20849.87672752909,25442.54321783269,0.7526881720430108,93,0.311772640694561
25,100,1.5,2.0,20,0.3874283630502367,-20486.367162270497,25290.313652574085,0.7395833333333334,96,0.3043614082503172
30,120,1.0,2.0,25,0.4651719665682211,-24989.96320271921,34131.66657461872,0.5454545454545454,77,0.2905710454746436
25,100,1.0,2.5,25,0.3669717402756361,-32829.080429949434,41187.41326812835,0.47368421052631576,76,0.26350390463911244
25,100,1.0,2.0,25,0.34725919553492623,-32465.114885632298,41355.87019223743,0.4861111111111111,72,0.21414813206815586
